SearchBayesianSkopt: New best config found. Config 0: {'num_models': 72, 'topK': 847} - results: ROC_AUC: 0.1727400, PRECISION: 0.0275750, PRECISION_RECALL_MIN_DEN: 0.0919167, RECALL: 0.0919167, MAP: 0.0489894, MRR: 0.1290424, NDCG: 0.0799457, F1: 0.0424231, HIT_RATE: 0.2757502, ARHR: 0.1377696, RMSE: 0.9816970, NOVELTY: 0.0062826, AVERAGE_POPULARITY: 0.2312660, DIVERSITY_MEAN_INTER_LIST: 0.9909055, DIVERSITY_HERFINDAHL: 0.9990839, COVERAGE_ITEM: 0.7306299, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2411414, SHANNON_ENTROPY: 11.5966024, 
SearchBayesianSkopt: New best config found. Config 1: {'num_models': 56, 'topK': 808} - results: ROC_AUC: 0.1728319, PRECISION: 0.0275750, PRECISION_RECALL_MIN_DEN: 0.0919167, RECALL: 0.0919167, MAP: 0.0490167, MRR: 0.1291503, NDCG: 0.0799775, F1: 0.0424231, HIT_RATE: 0.2757502, ARHR: 0.1378604, RMSE: 0.9817392, NOVELTY: 0.0062842, AVERAGE_POPULARITY: 0.2313300, DIVERSITY_MEAN_INTER_LIST: 0.9909228, DIVERSITY_HERFINDAHL: 0.9990856, COVERAGE_ITEM: 0.7301433, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2407194, SHANNON_ENTROPY: 11.5959322, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_models': 63, 'topK': 2390} - results: ROC_AUC: 0.1728474, PRECISION: 0.0275615, PRECISION_RECALL_MIN_DEN: 0.0918717, RECALL: 0.0918717, MAP: 0.0490072, MRR: 0.1291501, NDCG: 0.0799586, F1: 0.0424023, HIT_RATE: 0.2756150, ARHR: 0.1378468, RMSE: 0.9817300, NOVELTY: 0.0062836, AVERAGE_POPULARITY: 0.2310307, DIVERSITY_MEAN_INTER_LIST: 0.9909408, DIVERSITY_HERFINDAHL: 0.9990874, COVERAGE_ITEM: 0.7304136, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2412630, SHANNON_ENTROPY: 11.5992741, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_models': 90, 'topK': 2756} - results: ROC_AUC: 0.1727704, PRECISION: 0.0276156, PRECISION_RECALL_MIN_DEN: 0.0920519, RECALL: 0.0920519, MAP: 0.0489582, MRR: 0.1289686, NDCG: 0.0799598, F1: 0.0424855, HIT_RATE: 0.2761557, ARHR: 0.1376876, RMSE: 0.9815609, NOVELTY: 0.0062662, AVERAGE_POPULARITY: 0.2348206, DIVERSITY_MEAN_INTER_LIST: 0.9907727, DIVERSITY_HERFINDAHL: 0.9990706, COVERAGE_ITEM: 0.7287916, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2396140, SHANNON_ENTROPY: 11.5792096, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_models': 50, 'topK': 2062} - results: ROC_AUC: 0.1728929, PRECISION: 0.0275412, PRECISION_RECALL_MIN_DEN: 0.0918041, RECALL: 0.0918041, MAP: 0.0490141, MRR: 0.1291716, NDCG: 0.0799449, F1: 0.0423711, HIT_RATE: 0.2754123, ARHR: 0.1378671, RMSE: 0.9817756, NOVELTY: 0.0062889, AVERAGE_POPULARITY: 0.2301899, DIVERSITY_MEAN_INTER_LIST: 0.9909527, DIVERSITY_HERFINDAHL: 0.9990886, COVERAGE_ITEM: 0.7310624, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2415364, SHANNON_ENTROPY: 11.6026466, 
SearchBayesianSkopt: New best config found. Config 5: {'num_models': 66, 'topK': 739} - results: ROC_AUC: 0.1728085, PRECISION: 0.0275818, PRECISION_RECALL_MIN_DEN: 0.0919393, RECALL: 0.0919393, MAP: 0.0490423, MRR: 0.1291821, NDCG: 0.0800043, F1: 0.0424335, HIT_RATE: 0.2758178, ARHR: 0.1379155, RMSE: 0.9817238, NOVELTY: 0.0062852, AVERAGE_POPULARITY: 0.2305045, DIVERSITY_MEAN_INTER_LIST: 0.9909647, DIVERSITY_HERFINDAHL: 0.9990898, COVERAGE_ITEM: 0.7319275, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2417315, SHANNON_ENTROPY: 11.6047754, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_models': 79, 'topK': 1752} - results: ROC_AUC: 0.1728170, PRECISION: 0.0276291, PRECISION_RECALL_MIN_DEN: 0.0920970, RECALL: 0.0920970, MAP: 0.0489954, MRR: 0.1290852, NDCG: 0.0800122, F1: 0.0425063, HIT_RATE: 0.2762909, ARHR: 0.1378007, RMSE: 0.9816547, NOVELTY: 0.0062714, AVERAGE_POPULARITY: 0.2330376, DIVERSITY_MEAN_INTER_LIST: 0.9909157, DIVERSITY_HERFINDAHL: 0.9990849, COVERAGE_ITEM: 0.7297648, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2409631, SHANNON_ENTROPY: 11.5957931, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_models': 32, 'topK': 889} - results: ROC_AUC: 0.1727788, PRECISION: 0.0276426, PRECISION_RECALL_MIN_DEN: 0.0921420, RECALL: 0.0921420, MAP: 0.0489812, MRR: 0.1289954, NDCG: 0.0800071, F1: 0.0425271, HIT_RATE: 0.2764261, ARHR: 0.1377380, RMSE: 0.9815769, NOVELTY: 0.0062719, AVERAGE_POPULARITY: 0.2351886, DIVERSITY_MEAN_INTER_LIST: 0.9905696, DIVERSITY_HERFINDAHL: 0.9990503, COVERAGE_ITEM: 0.7234388, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2372652, SHANNON_ENTROPY: 11.5492664, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_models': 14, 'topK': 1318} - results: ROC_AUC: 0.1725263, PRECISION: 0.0274196, PRECISION_RECALL_MIN_DEN: 0.0913986, RECALL: 0.0913986, MAP: 0.0489146, MRR: 0.1288660, NDCG: 0.0797139, F1: 0.0421840, HIT_RATE: 0.2741957, ARHR: 0.1375691, RMSE: 0.9814986, NOVELTY: 0.0062984, AVERAGE_POPULARITY: 0.2292837, DIVERSITY_MEAN_INTER_LIST: 0.9906141, DIVERSITY_HERFINDAHL: 0.9990547, COVERAGE_ITEM: 0.7330630, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2407654, SHANNON_ENTROPY: 11.5816649, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_models': 91, 'topK': 691} - results: ROC_AUC: 0.1727399, PRECISION: 0.0276426, PRECISION_RECALL_MIN_DEN: 0.0921420, RECALL: 0.0921420, MAP: 0.0489931, MRR: 0.1290251, NDCG: 0.0800162, F1: 0.0425271, HIT_RATE: 0.2764261, ARHR: 0.1377682, RMSE: 0.9815531, NOVELTY: 0.0062657, AVERAGE_POPULARITY: 0.2349517, DIVERSITY_MEAN_INTER_LIST: 0.9907611, DIVERSITY_HERFINDAHL: 0.9990694, COVERAGE_ITEM: 0.7285753, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2394263, SHANNON_ENTROPY: 11.5775022, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_models': 95, 'topK': 1841} - results: ROC_AUC: 0.1728412, PRECISION: 0.0276426, PRECISION_RECALL_MIN_DEN: 0.0921420, RECALL: 0.0921420, MAP: 0.0489956, MRR: 0.1290394, NDCG: 0.0800212, F1: 0.0425271, HIT_RATE: 0.2764261, ARHR: 0.1377783, RMSE: 0.9815383, NOVELTY: 0.0062666, AVERAGE_POPULARITY: 0.2349700, DIVERSITY_MEAN_INTER_LIST: 0.9907575, DIVERSITY_HERFINDAHL: 0.9990691, COVERAGE_ITEM: 0.7290619, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2394589, SHANNON_ENTROPY: 11.5778066, 
