SearchBayesianSkopt: New best config found. Config 0: {'epochs': 200, 'latent_factors': 42, 'regularization': 7.1280581010839265e-06, 'learning_rate': 0.1690846213292214} - results: ROC_AUC: 0.0451962, PRECISION: 0.0086366, PRECISION_RECALL_MIN_DEN: 0.0287885, RECALL: 0.0287885, MAP: 0.0093372, MRR: 0.0265073, NDCG: 0.0191878, F1: 0.0132870, HIT_RATE: 0.0863656, ARHR: 0.0272399, RMSE: 1.0000000, NOVELTY: 0.0060781, AVERAGE_POPULARITY: 0.2354668, DIVERSITY_MEAN_INTER_LIST: 0.9344885, DIVERSITY_HERFINDAHL: 0.9934431, COVERAGE_ITEM: 0.3431198, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1385661, SHANNON_ENTROPY: 9.3710592, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'epochs': 200, 'latent_factors': 199, 'regularization': 1.720087836114188e-05, 'learning_rate': 0.018345644983871954} - results: ROC_AUC: 0.0359793, PRECISION: 0.0068079, PRECISION_RECALL_MIN_DEN: 0.0226931, RECALL: 0.0226931, MAP: 0.0076935, MRR: 0.0220838, NDCG: 0.0155123, F1: 0.0104737, HIT_RATE: 0.0680793, ARHR: 0.0225745, RMSE: 1.0000000, NOVELTY: 0.0063032, AVERAGE_POPULARITY: 0.1777583, DIVERSITY_MEAN_INTER_LIST: 0.9556288, DIVERSITY_HERFINDAHL: 0.9955570, COVERAGE_ITEM: 0.3920519, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1632283, SHANNON_ENTROPY: 9.9291914, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'epochs': 200, 'latent_factors': 152, 'regularization': 1.091829862209899e-05, 'learning_rate': 0.022553263031131473} - results: ROC_AUC: 0.0351078, PRECISION: 0.0066535, PRECISION_RECALL_MIN_DEN: 0.0221783, RECALL: 0.0221783, MAP: 0.0075329, MRR: 0.0215657, NDCG: 0.0151628, F1: 0.0102361, HIT_RATE: 0.0665349, ARHR: 0.0220674, RMSE: 15.1190735, NOVELTY: 0.0063449, AVERAGE_POPULARITY: 0.1719428, DIVERSITY_MEAN_INTER_LIST: 0.9579105, DIVERSITY_HERFINDAHL: 0.9957851, COVERAGE_ITEM: 0.4017302, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1641646, SHANNON_ENTROPY: 9.9875995, 
SearchBayesianSkopt: New best config found. Config 3: {'epochs': 200, 'latent_factors': 170, 'regularization': 0.0014362572836409998, 'learning_rate': 0.020132920588443296} - results: ROC_AUC: 0.0535671, PRECISION: 0.0103911, PRECISION_RECALL_MIN_DEN: 0.0346368, RECALL: 0.0346368, MAP: 0.0107546, MRR: 0.0301428, NDCG: 0.0225443, F1: 0.0159862, HIT_RATE: 0.1039105, ARHR: 0.0311886, RMSE: 1.0000000, NOVELTY: 0.0057251, AVERAGE_POPULARITY: 0.3144800, DIVERSITY_MEAN_INTER_LIST: 0.8807054, DIVERSITY_HERFINDAHL: 0.9880651, COVERAGE_ITEM: 0.2218437, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1035022, SHANNON_ENTROPY: 8.2635749, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'epochs': 200, 'latent_factors': 23, 'regularization': 1.8344733483476489e-06, 'learning_rate': 0.3535624794024742} - results: ROC_AUC: 0.0497647, PRECISION: 0.0096127, PRECISION_RECALL_MIN_DEN: 0.0320422, RECALL: 0.0320422, MAP: 0.0105049, MRR: 0.0297188, NDCG: 0.0214484, F1: 0.0147887, HIT_RATE: 0.0961265, ARHR: 0.0305928, RMSE: 1.0000000, NOVELTY: 0.0058527, AVERAGE_POPULARITY: 0.2811723, DIVERSITY_MEAN_INTER_LIST: 0.9033948, DIVERSITY_HERFINDAHL: 0.9903339, COVERAGE_ITEM: 0.2758583, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1148193, SHANNON_ENTROPY: 8.7040877, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'epochs': 200, 'latent_factors': 93, 'regularization': 3.571581755987224e-07, 'learning_rate': 0.08468050456431789} - results: ROC_AUC: 0.0329935, PRECISION: 0.0064434, PRECISION_RECALL_MIN_DEN: 0.0214781, RECALL: 0.0214781, MAP: 0.0070303, MRR: 0.0200909, NDCG: 0.0143792, F1: 0.0099130, HIT_RATE: 0.0644344, ARHR: 0.0205710, RMSE: 769402.9346502, NOVELTY: 0.0063809, AVERAGE_POPULARITY: 0.1668941, DIVERSITY_MEAN_INTER_LIST: 0.9578492, DIVERSITY_HERFINDAHL: 0.9957790, COVERAGE_ITEM: 0.4032982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1597798, SHANNON_ENTROPY: 9.9533583, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'epochs': 200, 'latent_factors': 139, 'regularization': 0.00028367722252044193, 'learning_rate': 0.5695454606368775} - results: ROC_AUC: 0.0517645, PRECISION: 0.0102057, PRECISION_RECALL_MIN_DEN: 0.0340191, RECALL: 0.0340191, MAP: 0.0106769, MRR: 0.0300061, NDCG: 0.0222496, F1: 0.0157011, HIT_RATE: 0.1020572, ARHR: 0.0310046, RMSE: 0.9997872, NOVELTY: 0.0057508, AVERAGE_POPULARITY: 0.3050815, DIVERSITY_MEAN_INTER_LIST: 0.8819244, DIVERSITY_HERFINDAHL: 0.9881870, COVERAGE_ITEM: 0.2276291, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1047843, SHANNON_ENTROPY: 8.3041375, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'epochs': 200, 'latent_factors': 180, 'regularization': 1.2955459795053339e-06, 'learning_rate': 0.39700072289128246} - results: ROC_AUC: 0.0299923, PRECISION: 0.0057577, PRECISION_RECALL_MIN_DEN: 0.0191924, RECALL: 0.0191924, MAP: 0.0065182, MRR: 0.0186757, NDCG: 0.0131117, F1: 0.0088580, HIT_RATE: 0.0575771, ARHR: 0.0191024, RMSE: 1.0000000, NOVELTY: 0.0064930, AVERAGE_POPULARITY: 0.1460286, DIVERSITY_MEAN_INTER_LIST: 0.9654960, DIVERSITY_HERFINDAHL: 0.9965436, COVERAGE_ITEM: 0.4170316, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1668222, SHANNON_ENTROPY: 10.1420962, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'epochs': 200, 'latent_factors': 139, 'regularization': 0.0011124982209304018, 'learning_rate': 0.09036175893327936} - results: ROC_AUC: 0.0531891, PRECISION: 0.0103725, PRECISION_RECALL_MIN_DEN: 0.0345751, RECALL: 0.0345751, MAP: 0.0107161, MRR: 0.0300446, NDCG: 0.0224798, F1: 0.0159577, HIT_RATE: 0.1037252, ARHR: 0.0310818, RMSE: 0.9999462, NOVELTY: 0.0057193, AVERAGE_POPULARITY: 0.3129112, DIVERSITY_MEAN_INTER_LIST: 0.8805161, DIVERSITY_HERFINDAHL: 0.9880462, COVERAGE_ITEM: 0.2231955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1034965, SHANNON_ENTROPY: 8.2648041, 
SearchBayesianSkopt: New best config found. Config 9: {'epochs': 200, 'latent_factors': 112, 'regularization': 0.00011719453427891029, 'learning_rate': 0.13948975445949727} - results: ROC_AUC: 0.0520466, PRECISION: 0.0103787, PRECISION_RECALL_MIN_DEN: 0.0345957, RECALL: 0.0345957, MAP: 0.0113016, MRR: 0.0319059, NDCG: 0.0230682, F1: 0.0159672, HIT_RATE: 0.1037870, ARHR: 0.0328919, RMSE: 1.1676431, NOVELTY: 0.0057941, AVERAGE_POPULARITY: 0.2948838, DIVERSITY_MEAN_INTER_LIST: 0.9000285, DIVERSITY_HERFINDAHL: 0.9899973, COVERAGE_ITEM: 0.2617464, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1135893, SHANNON_ENTROPY: 8.6371537, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'epochs': 200, 'latent_factors': 46, 'regularization': 0.00938736902410935, 'learning_rate': 0.879960205604189} - results: ROC_AUC: 0.0563527, PRECISION: 0.0108791, PRECISION_RECALL_MIN_DEN: 0.0362637, RECALL: 0.0362637, MAP: 0.0110210, MRR: 0.0306887, NDCG: 0.0233443, F1: 0.0167371, HIT_RATE: 0.1087910, ARHR: 0.0318605, RMSE: 1.0000000, NOVELTY: 0.0056917, AVERAGE_POPULARITY: 0.3200726, DIVERSITY_MEAN_INTER_LIST: 0.8841514, DIVERSITY_HERFINDAHL: 0.9884097, COVERAGE_ITEM: 0.2208164, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033906, SHANNON_ENTROPY: 8.2865743, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'epochs': 200, 'latent_factors': 20, 'regularization': 0.01, 'learning_rate': 1.0} - results: ROC_AUC: 0.0564470, PRECISION: 0.0108791, PRECISION_RECALL_MIN_DEN: 0.0362637, RECALL: 0.0362637, MAP: 0.0110186, MRR: 0.0306967, NDCG: 0.0233457, F1: 0.0167371, HIT_RATE: 0.1087910, ARHR: 0.0318609, RMSE: 1.0000000, NOVELTY: 0.0056914, AVERAGE_POPULARITY: 0.3201450, DIVERSITY_MEAN_INTER_LIST: 0.8842382, DIVERSITY_HERFINDAHL: 0.9884184, COVERAGE_ITEM: 0.2213571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1032854, SHANNON_ENTROPY: 8.2875896, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'epochs': 200, 'latent_factors': 20, 'regularization': 0.01, 'learning_rate': 0.01} - results: ROC_AUC: 0.0564380, PRECISION: 0.0108667, PRECISION_RECALL_MIN_DEN: 0.0362225, RECALL: 0.0362225, MAP: 0.0110142, MRR: 0.0306784, NDCG: 0.0233278, F1: 0.0167181, HIT_RATE: 0.1086674, ARHR: 0.0318451, RMSE: 1.0000000, NOVELTY: 0.0056917, AVERAGE_POPULARITY: 0.3201054, DIVERSITY_MEAN_INTER_LIST: 0.8842341, DIVERSITY_HERFINDAHL: 0.9884179, COVERAGE_ITEM: 0.2214112, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033237, SHANNON_ENTROPY: 8.2882148, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'epochs': 200, 'latent_factors': 25, 'regularization': 1.0693045530919066e-07, 'learning_rate': 0.012905637804607177} - results: ROC_AUC: 0.0469411, PRECISION: 0.0089825, PRECISION_RECALL_MIN_DEN: 0.0299417, RECALL: 0.0299417, MAP: 0.0099118, MRR: 0.0281921, NDCG: 0.0201746, F1: 0.0138193, HIT_RATE: 0.0898252, ARHR: 0.0289500, RMSE: 1.0000000, NOVELTY: 0.0059439, AVERAGE_POPULARITY: 0.2600085, DIVERSITY_MEAN_INTER_LIST: 0.9138358, DIVERSITY_HERFINDAHL: 0.9913779, COVERAGE_ITEM: 0.3046229, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1208705, SHANNON_ENTROPY: 8.9171210, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'epochs': 200, 'latent_factors': 20, 'regularization': 0.00719049723572815, 'learning_rate': 0.010037605494144357} - results: ROC_AUC: 0.0559691, PRECISION: 0.0107803, PRECISION_RECALL_MIN_DEN: 0.0359342, RECALL: 0.0359342, MAP: 0.0109197, MRR: 0.0303870, NDCG: 0.0231310, F1: 0.0165850, HIT_RATE: 0.1078026, ARHR: 0.0315576, RMSE: 1.0000000, NOVELTY: 0.0056952, AVERAGE_POPULARITY: 0.3193068, DIVERSITY_MEAN_INTER_LIST: 0.8834213, DIVERSITY_HERFINDAHL: 0.9883367, COVERAGE_ITEM: 0.2209786, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1034304, SHANNON_ENTROPY: 8.2809302, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'epochs': 200, 'latent_factors': 20, 'regularization': 0.01, 'learning_rate': 1.0} - results: ROC_AUC: 0.0564762, PRECISION: 0.0108853, PRECISION_RECALL_MIN_DEN: 0.0362843, RECALL: 0.0362843, MAP: 0.0110297, MRR: 0.0307168, NDCG: 0.0233624, F1: 0.0167466, HIT_RATE: 0.1088528, ARHR: 0.0318876, RMSE: 1.0000000, NOVELTY: 0.0056918, AVERAGE_POPULARITY: 0.3201745, DIVERSITY_MEAN_INTER_LIST: 0.8842730, DIVERSITY_HERFINDAHL: 0.9884218, COVERAGE_ITEM: 0.2213571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033600, SHANNON_ENTROPY: 8.2885364, 
