SearchBayesianSkopt: New best config found. Config 0: {'epochs': 200, 'latent_factors': 324, 'regularization': 0.004092462874163312, 'learning_rate': 0.15572771172330313} - results: ROC_AUC: 0.0548791, PRECISION: 0.0106382, PRECISION_RECALL_MIN_DEN: 0.0354606, RECALL: 0.0354606, MAP: 0.0107691, MRR: 0.0300551, NDCG: 0.0228236, F1: 0.0163664, HIT_RATE: 0.1063817, ARHR: 0.0311657, RMSE: 1.0000000, NOVELTY: 0.0057073, AVERAGE_POPULARITY: 0.3177237, DIVERSITY_MEAN_INTER_LIST: 0.8829997, DIVERSITY_HERFINDAHL: 0.9882945, COVERAGE_ITEM: 0.2207624, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1038887, SHANNON_ENTROPY: 8.2813483, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'epochs': 200, 'latent_factors': 377, 'regularization': 0.00042953455974820197, 'learning_rate': 0.015279680576179771} - results: ROC_AUC: 0.0515062, PRECISION: 0.0100698, PRECISION_RECALL_MIN_DEN: 0.0335660, RECALL: 0.0335660, MAP: 0.0105203, MRR: 0.0295683, NDCG: 0.0219472, F1: 0.0154920, HIT_RATE: 0.1006981, ARHR: 0.0305505, RMSE: 1.0000000, NOVELTY: 0.0057378, AVERAGE_POPULARITY: 0.3060474, DIVERSITY_MEAN_INTER_LIST: 0.8803307, DIVERSITY_HERFINDAHL: 0.9880276, COVERAGE_ITEM: 0.2247094, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1035817, SHANNON_ENTROPY: 8.2695993, 
SearchBayesianSkopt: New best config found. Config 2: {'epochs': 200, 'latent_factors': 194, 'regularization': 0.5141746324777515, 'learning_rate': 0.4237615690653758} - results: ROC_AUC: 0.0579831, PRECISION: 0.0114289, PRECISION_RECALL_MIN_DEN: 0.0380964, RECALL: 0.0380964, MAP: 0.0120011, MRR: 0.0335121, NDCG: 0.0249338, F1: 0.0175830, HIT_RATE: 0.1142892, ARHR: 0.0347546, RMSE: 1.0000000, NOVELTY: 0.0056878, AVERAGE_POPULARITY: 0.3139499, DIVERSITY_MEAN_INTER_LIST: 0.8884167, DIVERSITY_HERFINDAHL: 0.9888362, COVERAGE_ITEM: 0.2399027, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1056282, SHANNON_ENTROPY: 8.4197035, 
SearchBayesianSkopt: New best config found. Config 3: {'epochs': 200, 'latent_factors': 161, 'regularization': 2.459113882846688, 'learning_rate': 0.030895271511450783} - results: ROC_AUC: 0.0614185, PRECISION: 0.0119787, PRECISION_RECALL_MIN_DEN: 0.0399292, RECALL: 0.0399292, MAP: 0.0131154, MRR: 0.0362436, NDCG: 0.0266308, F1: 0.0184288, HIT_RATE: 0.1197875, ARHR: 0.0377776, RMSE: 0.9999525, NOVELTY: 0.0056708, AVERAGE_POPULARITY: 0.3161291, DIVERSITY_MEAN_INTER_LIST: 0.8979127, DIVERSITY_HERFINDAHL: 0.9897857, COVERAGE_ITEM: 0.2548797, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1095316, SHANNON_ENTROPY: 8.5867526, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'epochs': 200, 'latent_factors': 404, 'regularization': 0.04383187887012107, 'learning_rate': 0.1040390819574974} - results: ROC_AUC: 0.0585236, PRECISION: 0.0113610, PRECISION_RECALL_MIN_DEN: 0.0378699, RECALL: 0.0378699, MAP: 0.0119140, MRR: 0.0332621, NDCG: 0.0247855, F1: 0.0174784, HIT_RATE: 0.1136097, ARHR: 0.0344907, RMSE: 1.0000000, NOVELTY: 0.0056847, AVERAGE_POPULARITY: 0.3206203, DIVERSITY_MEAN_INTER_LIST: 0.8888024, DIVERSITY_HERFINDAHL: 0.9888747, COVERAGE_ITEM: 0.2296837, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1045967, SHANNON_ENTROPY: 8.3708347, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'epochs': 200, 'latent_factors': 96, 'regularization': 0.009450673967792715, 'learning_rate': 0.035669210689548085} - results: ROC_AUC: 0.0563780, PRECISION: 0.0108667, PRECISION_RECALL_MIN_DEN: 0.0362225, RECALL: 0.0362225, MAP: 0.0110202, MRR: 0.0306841, NDCG: 0.0233315, F1: 0.0167181, HIT_RATE: 0.1086674, ARHR: 0.0318569, RMSE: 0.9999547, NOVELTY: 0.0056919, AVERAGE_POPULARITY: 0.3200485, DIVERSITY_MEAN_INTER_LIST: 0.8841442, DIVERSITY_HERFINDAHL: 0.9884090, COVERAGE_ITEM: 0.2207083, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1034438, SHANNON_ENTROPY: 8.2865208, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'epochs': 200, 'latent_factors': 52, 'regularization': 0.003090732388935758, 'learning_rate': 0.25716415116850555} - results: ROC_AUC: 0.0544028, PRECISION: 0.0105270, PRECISION_RECALL_MIN_DEN: 0.0350899, RECALL: 0.0350899, MAP: 0.0107191, MRR: 0.0299729, NDCG: 0.0226607, F1: 0.0161953, HIT_RATE: 0.1052697, ARHR: 0.0310497, RMSE: 1.0000000, NOVELTY: 0.0057111, AVERAGE_POPULARITY: 0.3162289, DIVERSITY_MEAN_INTER_LIST: 0.8819812, DIVERSITY_HERFINDAHL: 0.9881927, COVERAGE_ITEM: 0.2207624, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1037336, SHANNON_ENTROPY: 8.2708856, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'epochs': 200, 'latent_factors': 445, 'regularization': 36.26583832822251, 'learning_rate': 0.07715501404480306} - results: ROC_AUC: 0.0546682, PRECISION: 0.0109285, PRECISION_RECALL_MIN_DEN: 0.0364284, RECALL: 0.0364284, MAP: 0.0106107, MRR: 0.0294758, NDCG: 0.0229213, F1: 0.0168131, HIT_RATE: 0.1092852, ARHR: 0.0306469, RMSE: 1.0000000, NOVELTY: 0.0057239, AVERAGE_POPULARITY: 0.2885424, DIVERSITY_MEAN_INTER_LIST: 0.8953211, DIVERSITY_HERFINDAHL: 0.9895266, COVERAGE_ITEM: 0.2951068, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1133439, SHANNON_ENTROPY: 8.7058917, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'epochs': 200, 'latent_factors': 98, 'regularization': 0.0009690753551069059, 'learning_rate': 0.04709223280543789} - results: ROC_AUC: 0.0529145, PRECISION: 0.0103416, PRECISION_RECALL_MIN_DEN: 0.0344721, RECALL: 0.0344721, MAP: 0.0106967, MRR: 0.0299861, NDCG: 0.0224213, F1: 0.0159102, HIT_RATE: 0.1034163, ARHR: 0.0310234, RMSE: 0.9999324, NOVELTY: 0.0057240, AVERAGE_POPULARITY: 0.3117691, DIVERSITY_MEAN_INTER_LIST: 0.8806044, DIVERSITY_HERFINDAHL: 0.9880550, COVERAGE_ITEM: 0.2234658, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1039603, SHANNON_ENTROPY: 8.2730006, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'epochs': 200, 'latent_factors': 238, 'regularization': 43.266947051055645, 'learning_rate': 0.06325658049274063} - results: ROC_AUC: 0.0569223, PRECISION: 0.0108235, PRECISION_RECALL_MIN_DEN: 0.0360783, RECALL: 0.0360783, MAP: 0.0125289, MRR: 0.0351381, NDCG: 0.0248491, F1: 0.0166515, HIT_RATE: 0.1082350, ARHR: 0.0363519, RMSE: 1.0000000, NOVELTY: 0.0058587, AVERAGE_POPULARITY: 0.2873269, DIVERSITY_MEAN_INTER_LIST: 0.8907250, DIVERSITY_HERFINDAHL: 0.9890670, COVERAGE_ITEM: 0.2911057, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1121223, SHANNON_ENTROPY: 8.6431932, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'epochs': 200, 'latent_factors': 500, 'regularization': 100.0, 'learning_rate': 1.0} - results: ROC_AUC: 0.0381798, PRECISION: 0.0091246, PRECISION_RECALL_MIN_DEN: 0.0304154, RECALL: 0.0304154, MAP: 0.0083387, MRR: 0.0235772, NDCG: 0.0184852, F1: 0.0140379, HIT_RATE: 0.0912461, ARHR: 0.0242871, RMSE: 1.0000000, NOVELTY: 0.0058499, AVERAGE_POPULARITY: 0.2459651, DIVERSITY_MEAN_INTER_LIST: 0.8823359, DIVERSITY_HERFINDAHL: 0.9882281, COVERAGE_ITEM: 0.3247364, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1145742, SHANNON_ENTROPY: 8.6502013, 
