CrossSearchBayesianSkoptObject: New best config found. Config 0: {'FUSION': 0.19722577740068564, 'ItemDotCF': 0.2002019849294861, 'ItemCBF_CF': 0.35907955664785257, 'RP3BETA_SIDE': 0.632083072457197} - results: ROC_AUC: 0.054913±0.0022, PRECISION: 0.008668±0.0004, PRECISION_RECALL_MIN_DEN: 0.086676±0.0041, RECALL: 0.086676±0.0041, MAP: 0.036634±0.0021, MRR: 0.036634±0.0021, NDCG: 0.048276±0.0024, F1: 0.015759±0.0007, HIT_RATE: 0.086676±0.0041, ARHR: 0.036634±0.0021, RMSE: 0.973479±0.0006, NOVELTY: 0.006036±0.0000, AVERAGE_POPULARITY: 0.305406±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.975455±0.0001, DIVERSITY_HERFINDAHL: 0.997524±0.0000, COVERAGE_ITEM: 0.169073±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.223932±0.0007, SHANNON_ENTROPY: 9.682328±0.0052, 
CrossSearchBayesianSkoptObject: New best config found. Config 1: {'FUSION': 0.2092229320778704, 'ItemDotCF': 0.39444592300990733, 'ItemCBF_CF': 0.6084750400014978, 'RP3BETA_SIDE': 0.6963270700605692} - results: ROC_AUC: 0.055571±0.0024, PRECISION: 0.008659±0.0004, PRECISION_RECALL_MIN_DEN: 0.086585±0.0041, RECALL: 0.086585±0.0041, MAP: 0.036935±0.0021, MRR: 0.036935±0.0021, NDCG: 0.048511±0.0025, F1: 0.015743±0.0008, HIT_RATE: 0.086585±0.0041, ARHR: 0.036935±0.0021, RMSE: 0.965534±0.0008, NOVELTY: 0.006086±0.0000, AVERAGE_POPULARITY: 0.292181±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.977047±0.0001, DIVERSITY_HERFINDAHL: 0.997683±0.0000, COVERAGE_ITEM: 0.176285±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.227956±0.0008, SHANNON_ENTROPY: 9.772486±0.0046, 
CrossSearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'FUSION': 0.737574608830136, 'ItemDotCF': 0.24989104806170098, 'ItemCBF_CF': 0.30456225946644727, 'RP3BETA_SIDE': 0.6519356172141401} - results: ROC_AUC: 0.053147±0.0016, PRECISION: 0.008369±0.0003, PRECISION_RECALL_MIN_DEN: 0.083695±0.0030, RECALL: 0.083695±0.0030, MAP: 0.035229±0.0017, MRR: 0.035229±0.0017, NDCG: 0.046511±0.0019, F1: 0.015217±0.0005, HIT_RATE: 0.083695±0.0030, ARHR: 0.035229±0.0017, RMSE: 0.962240±0.0009, NOVELTY: 0.005802±0.0000, AVERAGE_POPULARITY: 0.370006±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.966628±0.0003, DIVERSITY_HERFINDAHL: 0.996641±0.0000, COVERAGE_ITEM: 0.118129±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.213575±0.0013, SHANNON_ENTROPY: 9.147186±0.0067, 
CrossSearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'FUSION': 0.5180655634519756, 'ItemDotCF': 0.7614115255405951, 'ItemCBF_CF': 0.1400081181228712, 'RP3BETA_SIDE': 0.48885424601886507} - results: ROC_AUC: 0.054276±0.0019, PRECISION: 0.008446±0.0004, PRECISION_RECALL_MIN_DEN: 0.084463±0.0038, RECALL: 0.084463±0.0038, MAP: 0.035875±0.0018, MRR: 0.035875±0.0018, NDCG: 0.047208±0.0021, F1: 0.015357±0.0007, HIT_RATE: 0.084463±0.0038, ARHR: 0.035875±0.0018, RMSE: 0.970867±0.0007, NOVELTY: 0.005857±0.0000, AVERAGE_POPULARITY: 0.353912±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.969582±0.0002, DIVERSITY_HERFINDAHL: 0.996936±0.0000, COVERAGE_ITEM: 0.119005±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.226839±0.0017, SHANNON_ENTROPY: 9.261604±0.0056, 
CrossSearchBayesianSkoptObject: New best config found. Config 4: {'FUSION': 0.05155107164355045, 'ItemDotCF': 0.27005880122953524, 'ItemCBF_CF': 0.7550679009929566, 'RP3BETA_SIDE': 0.6466317859814587} - results: ROC_AUC: 0.055716±0.0024, PRECISION: 0.008640±0.0004, PRECISION_RECALL_MIN_DEN: 0.086405±0.0044, RECALL: 0.086405±0.0044, MAP: 0.037019±0.0019, MRR: 0.037019±0.0019, NDCG: 0.048541±0.0024, F1: 0.015710±0.0008, HIT_RATE: 0.086405±0.0044, ARHR: 0.037019±0.0019, RMSE: 0.967716±0.0008, NOVELTY: 0.006189±0.0000, AVERAGE_POPULARITY: 0.268320±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.979748±0.0001, DIVERSITY_HERFINDAHL: 0.997953±0.0000, COVERAGE_ITEM: 0.203428±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.232752±0.0005, SHANNON_ENTROPY: 9.985023±0.0017, 
CrossSearchBayesianSkoptObject: New best config found. Config 5: {'FUSION': 0.02942731534214805, 'ItemDotCF': 0.6606777744316928, 'ItemCBF_CF': 0.817991332859363, 'RP3BETA_SIDE': 0.5882907144994953} - results: ROC_AUC: 0.056037±0.0025, PRECISION: 0.008681±0.0004, PRECISION_RECALL_MIN_DEN: 0.086811±0.0041, RECALL: 0.086811±0.0041, MAP: 0.037351±0.0019, MRR: 0.037351±0.0019, NDCG: 0.048890±0.0024, F1: 0.015784±0.0008, HIT_RATE: 0.086811±0.0041, ARHR: 0.037351±0.0019, RMSE: 0.965846±0.0008, NOVELTY: 0.006210±0.0000, AVERAGE_POPULARITY: 0.261940±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.980557±0.0000, DIVERSITY_HERFINDAHL: 0.998034±0.0000, COVERAGE_ITEM: 0.200616±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236967±0.0005, SHANNON_ENTROPY: 10.011405±0.0025, 
CrossSearchBayesianSkoptObject: New best config found. Config 6: {'FUSION': 0.010378492056808188, 'ItemDotCF': 0.6744412381640167, 'ItemCBF_CF': 0.5773610209867689, 'RP3BETA_SIDE': 0.49101030264530066} - results: ROC_AUC: 0.056303±0.0024, PRECISION: 0.008731±0.0005, PRECISION_RECALL_MIN_DEN: 0.087308±0.0049, RECALL: 0.087308±0.0049, MAP: 0.037586±0.0019, MRR: 0.037586±0.0019, NDCG: 0.049183±0.0026, F1: 0.015874±0.0009, HIT_RATE: 0.087308±0.0049, ARHR: 0.037586±0.0019, RMSE: 0.973246±0.0007, NOVELTY: 0.006209±0.0000, AVERAGE_POPULARITY: 0.261526±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.980750±0.0000, DIVERSITY_HERFINDAHL: 0.998053±0.0000, COVERAGE_ITEM: 0.196421±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239343±0.0008, SHANNON_ENTROPY: 10.007887±0.0047, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'FUSION': 0.3924373027674982, 'ItemDotCF': 0.8813463738014823, 'ItemCBF_CF': 0.8962257900214691, 'RP3BETA_SIDE': 0.5934907072744655} - results: ROC_AUC: 0.055666±0.0024, PRECISION: 0.008690±0.0004, PRECISION_RECALL_MIN_DEN: 0.086902±0.0041, RECALL: 0.086902±0.0041, MAP: 0.037051±0.0019, MRR: 0.037051±0.0019, NDCG: 0.048667±0.0023, F1: 0.015800±0.0007, HIT_RATE: 0.086902±0.0041, ARHR: 0.037051±0.0019, RMSE: 0.954994±0.0011, NOVELTY: 0.006055±0.0000, AVERAGE_POPULARITY: 0.298647±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.976553±0.0001, DIVERSITY_HERFINDAHL: 0.997633±0.0000, COVERAGE_ITEM: 0.161925±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.230487±0.0010, SHANNON_ENTROPY: 9.695489±0.0046, 
CrossSearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'FUSION': 0.043023284663602064, 'ItemDotCF': 0.5192248024036976, 'ItemCBF_CF': 0.11344852082634863, 'RP3BETA_SIDE': 0.26331725211605034} - results: ROC_AUC: 0.056263±0.0026, PRECISION: 0.008717±0.0005, PRECISION_RECALL_MIN_DEN: 0.087173±0.0048, RECALL: 0.087173±0.0048, MAP: 0.037529±0.0023, MRR: 0.037529±0.0023, NDCG: 0.049109±0.0027, F1: 0.015850±0.0009, HIT_RATE: 0.087173±0.0048, ARHR: 0.037529±0.0023, RMSE: 0.987962±0.0003, NOVELTY: 0.006124±0.0000, AVERAGE_POPULARITY: 0.281587±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.979112±0.0001, DIVERSITY_HERFINDAHL: 0.997889±0.0000, COVERAGE_ITEM: 0.166175±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244091±0.0009, SHANNON_ENTROPY: 9.834246±0.0032, 
CrossSearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'FUSION': 0.8698523246586968, 'ItemDotCF': 0.708056812582411, 'ItemCBF_CF': 0.28782074021072607, 'RP3BETA_SIDE': 0.900538780096543} - results: ROC_AUC: 0.053648±0.0018, PRECISION: 0.008451±0.0004, PRECISION_RECALL_MIN_DEN: 0.084508±0.0037, RECALL: 0.084508±0.0037, MAP: 0.035512±0.0019, MRR: 0.035512±0.0019, NDCG: 0.046923±0.0022, F1: 0.015365±0.0007, HIT_RATE: 0.084508±0.0037, ARHR: 0.035512±0.0019, RMSE: 0.951646±0.0012, NOVELTY: 0.005835±0.0000, AVERAGE_POPULARITY: 0.359977±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.968277±0.0002, DIVERSITY_HERFINDAHL: 0.996806±0.0000, COVERAGE_ITEM: 0.120789±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.218959±0.0015, SHANNON_ENTROPY: 9.219240±0.0043, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'FUSION': 0.17230211536580034, 'ItemDotCF': 0.2905443169828614, 'ItemCBF_CF': 0.8601178117591338, 'RP3BETA_SIDE': 0.34235935638281717} - results: ROC_AUC: 0.055581±0.0024, PRECISION: 0.008659±0.0003, PRECISION_RECALL_MIN_DEN: 0.086585±0.0034, RECALL: 0.086585±0.0034, MAP: 0.037052±0.0021, MRR: 0.037052±0.0021, NDCG: 0.048597±0.0024, F1: 0.015743±0.0006, HIT_RATE: 0.086585±0.0034, ARHR: 0.037052±0.0021, RMSE: 0.969410±0.0007, NOVELTY: 0.006133±0.0000, AVERAGE_POPULARITY: 0.280979±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.978393±0.0001, DIVERSITY_HERFINDAHL: 0.997817±0.0000, COVERAGE_ITEM: 0.187640±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.228786±0.0008, SHANNON_ENTROPY: 9.862043±0.0047, 
