CrossSearchBayesianSkoptObject: New best config found. Config 0: {'ItemDotCF': 6, 'ItemCBF_CF': 18, 'RP3BETA_SIDE': 2} - results: ROC_AUC: 0.055696±0.0026, PRECISION: 0.008622±0.0005, PRECISION_RECALL_MIN_DEN: 0.086224±0.0047, RECALL: 0.086224±0.0047, MAP: 0.037005±0.0023, MRR: 0.037005±0.0023, NDCG: 0.048492±0.0028, F1: 0.015677±0.0008, HIT_RATE: 0.086224±0.0047, ARHR: 0.037005±0.0023, RMSE: 0.973324±0.0006, NOVELTY: 0.006261±0.0000, AVERAGE_POPULARITY: 0.251815±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.981715±0.0001, DIVERSITY_HERFINDAHL: 0.998149±0.0000, COVERAGE_ITEM: 0.217951±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.237802±0.0008, SHANNON_ENTROPY: 10.117590±0.0046, 
CrossSearchBayesianSkoptObject: New best config found. Config 1: {'ItemDotCF': 17, 'ItemCBF_CF': 21, 'RP3BETA_SIDE': 7} - results: ROC_AUC: 0.056158±0.0026, PRECISION: 0.008672±0.0004, PRECISION_RECALL_MIN_DEN: 0.086721±0.0039, RECALL: 0.086721±0.0039, MAP: 0.037436±0.0020, MRR: 0.037436±0.0020, NDCG: 0.048941±0.0024, F1: 0.015767±0.0007, HIT_RATE: 0.086721±0.0039, ARHR: 0.037436±0.0020, RMSE: 0.961241±0.0009, NOVELTY: 0.006244±0.0000, AVERAGE_POPULARITY: 0.253775±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.981513±0.0000, DIVERSITY_HERFINDAHL: 0.998129±0.0000, COVERAGE_ITEM: 0.205969±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239761±0.0005, SHANNON_ENTROPY: 10.071712±0.0050, 
CrossSearchBayesianSkoptObject: New best config found. Config 2: {'ItemDotCF': 22, 'ItemCBF_CF': 14, 'RP3BETA_SIDE': 24} - results: ROC_AUC: 0.056208±0.0024, PRECISION: 0.008681±0.0005, PRECISION_RECALL_MIN_DEN: 0.086811±0.0047, RECALL: 0.086811±0.0047, MAP: 0.037520±0.0018, MRR: 0.037520±0.0018, NDCG: 0.049021±0.0024, F1: 0.015784±0.0008, HIT_RATE: 0.086811±0.0047, ARHR: 0.037520±0.0018, RMSE: 0.947322±0.0013, NOVELTY: 0.006179±0.0000, AVERAGE_POPULARITY: 0.269687±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980165±0.0001, DIVERSITY_HERFINDAHL: 0.997994±0.0000, COVERAGE_ITEM: 0.193252±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238587±0.0008, SHANNON_ENTROPY: 9.975548±0.0038, 
CrossSearchBayesianSkoptObject: New best config found. Config 3: {'ItemDotCF': 9, 'ItemCBF_CF': 4, 'RP3BETA_SIDE': 2} - results: ROC_AUC: 0.056384±0.0025, PRECISION: 0.008708±0.0004, PRECISION_RECALL_MIN_DEN: 0.087082±0.0044, RECALL: 0.087082±0.0044, MAP: 0.037698±0.0022, MRR: 0.037698±0.0022, NDCG: 0.049226±0.0027, F1: 0.015833±0.0008, HIT_RATE: 0.087082±0.0044, ARHR: 0.037698±0.0022, RMSE: 0.987670±0.0003, NOVELTY: 0.006226±0.0000, AVERAGE_POPULARITY: 0.256451±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.981554±0.0001, DIVERSITY_HERFINDAHL: 0.998133±0.0000, COVERAGE_ITEM: 0.188548±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246917±0.0008, SHANNON_ENTROPY: 10.023370±0.0051, 
CrossSearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'ItemDotCF': 1, 'ItemCBF_CF': 19, 'RP3BETA_SIDE': 1} - results: ROC_AUC: 0.055305±0.0025, PRECISION: 0.008505±0.0005, PRECISION_RECALL_MIN_DEN: 0.085050±0.0046, RECALL: 0.085050±0.0046, MAP: 0.036796±0.0022, MRR: 0.036796±0.0022, NDCG: 0.048067±0.0027, F1: 0.015464±0.0008, HIT_RATE: 0.085050±0.0046, ARHR: 0.036796±0.0022, RMSE: 0.974313±0.0006, NOVELTY: 0.006273±0.0000, AVERAGE_POPULARITY: 0.251007±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.981773±0.0001, DIVERSITY_HERFINDAHL: 0.998155±0.0000, COVERAGE_ITEM: 0.227478±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236460±0.0004, SHANNON_ENTROPY: 10.149833±0.0058, 
CrossSearchBayesianSkoptObject: New best config found. Config 5: {'ItemDotCF': 21, 'ItemCBF_CF': 16, 'RP3BETA_SIDE': 4} - results: ROC_AUC: 0.056333±0.0027, PRECISION: 0.008731±0.0004, PRECISION_RECALL_MIN_DEN: 0.087308±0.0043, RECALL: 0.087308±0.0043, MAP: 0.037754±0.0022, MRR: 0.037754±0.0022, NDCG: 0.049312±0.0027, F1: 0.015874±0.0008, HIT_RATE: 0.087308±0.0043, ARHR: 0.037754±0.0022, RMSE: 0.969128±0.0008, NOVELTY: 0.006240±0.0000, AVERAGE_POPULARITY: 0.253601±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.981828±0.0000, DIVERSITY_HERFINDAHL: 0.998161±0.0000, COVERAGE_ITEM: 0.195534±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.245044±0.0008, SHANNON_ENTROPY: 10.055690±0.0050, 
CrossSearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'ItemDotCF': 9, 'ItemCBF_CF': 21, 'RP3BETA_SIDE': 4} - results: ROC_AUC: 0.055766±0.0026, PRECISION: 0.008636±0.0004, PRECISION_RECALL_MIN_DEN: 0.086360±0.0043, RECALL: 0.086360±0.0043, MAP: 0.037032±0.0022, MRR: 0.037032±0.0022, NDCG: 0.048546±0.0027, F1: 0.015702±0.0008, HIT_RATE: 0.086360±0.0043, ARHR: 0.037032±0.0022, RMSE: 0.966939±0.0008, NOVELTY: 0.006257±0.0000, AVERAGE_POPULARITY: 0.252448±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.981601±0.0000, DIVERSITY_HERFINDAHL: 0.998138±0.0000, COVERAGE_ITEM: 0.215810±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.237659±0.0006, SHANNON_ENTROPY: 10.105543±0.0051, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'ItemDotCF': 24, 'ItemCBF_CF': 17, 'RP3BETA_SIDE': 22} - results: ROC_AUC: 0.056288±0.0024, PRECISION: 0.008668±0.0005, PRECISION_RECALL_MIN_DEN: 0.086676±0.0049, RECALL: 0.086676±0.0049, MAP: 0.037486±0.0017, MRR: 0.037486±0.0017, NDCG: 0.048971±0.0024, F1: 0.015759±0.0009, HIT_RATE: 0.086676±0.0049, ARHR: 0.037486±0.0017, RMSE: 0.946320±0.0013, NOVELTY: 0.006194±0.0000, AVERAGE_POPULARITY: 0.265589±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.980484±0.0001, DIVERSITY_HERFINDAHL: 0.998026±0.0000, COVERAGE_ITEM: 0.193869±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239815±0.0006, SHANNON_ENTROPY: 9.991715±0.0036, 
CrossSearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'ItemDotCF': 17, 'ItemCBF_CF': 12, 'RP3BETA_SIDE': 19} - results: ROC_AUC: 0.056198±0.0024, PRECISION: 0.008690±0.0005, PRECISION_RECALL_MIN_DEN: 0.086902±0.0046, RECALL: 0.086902±0.0046, MAP: 0.037535±0.0018, MRR: 0.037535±0.0018, NDCG: 0.049052±0.0024, F1: 0.015800±0.0008, HIT_RATE: 0.086902±0.0046, ARHR: 0.037535±0.0018, RMSE: 0.957560±0.0010, NOVELTY: 0.006180±0.0000, AVERAGE_POPULARITY: 0.269392±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.980172±0.0001, DIVERSITY_HERFINDAHL: 0.997995±0.0000, COVERAGE_ITEM: 0.193977±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238314±0.0007, SHANNON_ENTROPY: 9.977866±0.0037, 
CrossSearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'ItemDotCF': 23, 'ItemCBF_CF': 16, 'RP3BETA_SIDE': 20} - results: ROC_AUC: 0.056318±0.0024, PRECISION: 0.008681±0.0005, PRECISION_RECALL_MIN_DEN: 0.086811±0.0049, RECALL: 0.086811±0.0049, MAP: 0.037509±0.0018, MRR: 0.037509±0.0018, NDCG: 0.049019±0.0024, F1: 0.015784±0.0009, HIT_RATE: 0.086811±0.0049, ARHR: 0.037509±0.0018, RMSE: 0.949703±0.0012, NOVELTY: 0.006194±0.0000, AVERAGE_POPULARITY: 0.265534±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.980500±0.0001, DIVERSITY_HERFINDAHL: 0.998028±0.0000, COVERAGE_ITEM: 0.193447±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.240014±0.0007, SHANNON_ENTROPY: 9.991038±0.0034, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'ItemDotCF': 8, 'ItemCBF_CF': 6, 'RP3BETA_SIDE': 14} - results: ROC_AUC: 0.055646±0.0021, PRECISION: 0.008618±0.0004, PRECISION_RECALL_MIN_DEN: 0.086179±0.0040, RECALL: 0.086179±0.0040, MAP: 0.037031±0.0016, MRR: 0.037031±0.0016, NDCG: 0.048500±0.0021, F1: 0.015669±0.0007, HIT_RATE: 0.086179±0.0040, ARHR: 0.037031±0.0016, RMSE: 0.971883±0.0007, NOVELTY: 0.006162±0.0000, AVERAGE_POPULARITY: 0.274798±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.979671±0.0001, DIVERSITY_HERFINDAHL: 0.997945±0.0000, COVERAGE_ITEM: 0.196842±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.235227±0.0007, SHANNON_ENTROPY: 9.965099±0.0056, 
