CrossSearchBayesianSkoptObject: New best config found. Config 0: {'FUSION': 2, 'ItemDotCF': 9, 'ItemCBF_CF': 12, 'RP3BETA_SIDE': 4} - results: ROC_AUC: 0.056133±0.0025, PRECISION: 0.008704±0.0004, PRECISION_RECALL_MIN_DEN: 0.087037±0.0044, RECALL: 0.087037±0.0044, MAP: 0.037398±0.0020, MRR: 0.037398±0.0020, NDCG: 0.048978±0.0025, F1: 0.015825±0.0008, HIT_RATE: 0.087037±0.0044, ARHR: 0.037398±0.0020, RMSE: 0.980412±0.0005, NOVELTY: 0.006213±0.0000, AVERAGE_POPULARITY: 0.257869±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.980710±0.0000, DIVERSITY_HERFINDAHL: 0.998049±0.0000, COVERAGE_ITEM: 0.195004±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.240130±0.0007, SHANNON_ENTROPY: 10.004247±0.0049, 
CrossSearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'FUSION': 2, 'ItemDotCF': 12, 'ItemCBF_CF': 21, 'RP3BETA_SIDE': 7} - results: ROC_AUC: 0.055952±0.0026, PRECISION: 0.008640±0.0005, PRECISION_RECALL_MIN_DEN: 0.086405±0.0045, RECALL: 0.086405±0.0045, MAP: 0.037219±0.0020, MRR: 0.037219±0.0020, NDCG: 0.048702±0.0025, F1: 0.015710±0.0008, HIT_RATE: 0.086405±0.0045, ARHR: 0.037219±0.0020, RMSE: 0.969538±0.0007, NOVELTY: 0.006228±0.0000, AVERAGE_POPULARITY: 0.255952±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.980951±0.0000, DIVERSITY_HERFINDAHL: 0.998073±0.0000, COVERAGE_ITEM: 0.202995±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238595±0.0004, SHANNON_ENTROPY: 10.039322±0.0036, 
CrossSearchBayesianSkoptObject: New best config found. Config 2: {'FUSION': 12, 'ItemDotCF': 21, 'ItemCBF_CF': 22, 'RP3BETA_SIDE': 6} - results: ROC_AUC: 0.056298±0.0024, PRECISION: 0.008722±0.0005, PRECISION_RECALL_MIN_DEN: 0.087218±0.0046, RECALL: 0.087218±0.0046, MAP: 0.037522±0.0021, MRR: 0.037522±0.0021, NDCG: 0.049117±0.0026, F1: 0.015858±0.0008, HIT_RATE: 0.087218±0.0046, ARHR: 0.037522±0.0021, RMSE: 0.959606±0.0010, NOVELTY: 0.006191±0.0000, AVERAGE_POPULARITY: 0.260505±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.980291±0.0001, DIVERSITY_HERFINDAHL: 0.998007±0.0000, COVERAGE_ITEM: 0.184331±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.242595±0.0009, SHANNON_ENTROPY: 9.953230±0.0069, 
CrossSearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'FUSION': 8, 'ItemDotCF': 6, 'ItemCBF_CF': 17, 'RP3BETA_SIDE': 17} - results: ROC_AUC: 0.055581±0.0024, PRECISION: 0.008668±0.0004, PRECISION_RECALL_MIN_DEN: 0.086676±0.0044, RECALL: 0.086676±0.0044, MAP: 0.036993±0.0018, MRR: 0.036993±0.0018, NDCG: 0.048574±0.0023, F1: 0.015759±0.0008, HIT_RATE: 0.086676±0.0044, ARHR: 0.036993±0.0018, RMSE: 0.961377±0.0009, NOVELTY: 0.006171±0.0000, AVERAGE_POPULARITY: 0.268381±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.979512±0.0001, DIVERSITY_HERFINDAHL: 0.997929±0.0000, COVERAGE_ITEM: 0.192863±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236053±0.0008, SHANNON_ENTROPY: 9.947099±0.0025, 
CrossSearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'FUSION': 9, 'ItemDotCF': 16, 'ItemCBF_CF': 22, 'RP3BETA_SIDE': 17} - results: ROC_AUC: 0.056158±0.0025, PRECISION: 0.008690±0.0005, PRECISION_RECALL_MIN_DEN: 0.086902±0.0048, RECALL: 0.086902±0.0048, MAP: 0.037349±0.0019, MRR: 0.037349±0.0019, NDCG: 0.048914±0.0026, F1: 0.015800±0.0009, HIT_RATE: 0.086902±0.0048, ARHR: 0.037349±0.0019, RMSE: 0.954048±0.0011, NOVELTY: 0.006185±0.0000, AVERAGE_POPULARITY: 0.264324±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.979976±0.0000, DIVERSITY_HERFINDAHL: 0.997975±0.0000, COVERAGE_ITEM: 0.191068±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238430±0.0008, SHANNON_ENTROPY: 9.960129±0.0028, 
CrossSearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'FUSION': 3, 'ItemDotCF': 0, 'ItemCBF_CF': 13, 'RP3BETA_SIDE': 5} - results: ROC_AUC: 0.055300±0.0026, PRECISION: 0.008636±0.0004, PRECISION_RECALL_MIN_DEN: 0.086360±0.0044, RECALL: 0.086360±0.0044, MAP: 0.036603±0.0020, MRR: 0.036603±0.0020, NDCG: 0.048208±0.0026, F1: 0.015702±0.0008, HIT_RATE: 0.086360±0.0044, ARHR: 0.036603±0.0020, RMSE: 0.979774±0.0005, NOVELTY: 0.006210±0.0000, AVERAGE_POPULARITY: 0.260087±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.980150±0.0001, DIVERSITY_HERFINDAHL: 0.997993±0.0000, COVERAGE_ITEM: 0.204974±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.235557±0.0003, SHANNON_ENTROPY: 10.014759±0.0040, 
CrossSearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'FUSION': 1, 'ItemDotCF': 9, 'ItemCBF_CF': 18, 'RP3BETA_SIDE': 1} - results: ROC_AUC: 0.055882±0.0026, PRECISION: 0.008677±0.0004, PRECISION_RECALL_MIN_DEN: 0.086766±0.0041, RECALL: 0.086766±0.0041, MAP: 0.037233±0.0022, MRR: 0.037233±0.0022, NDCG: 0.048786±0.0026, F1: 0.015776±0.0007, HIT_RATE: 0.086766±0.0041, ARHR: 0.037233±0.0022, RMSE: 0.978024±0.0005, NOVELTY: 0.006235±0.0000, AVERAGE_POPULARITY: 0.254532±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.981270±0.0001, DIVERSITY_HERFINDAHL: 0.998105±0.0000, COVERAGE_ITEM: 0.204726±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239199±0.0006, SHANNON_ENTROPY: 10.057559±0.0059, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'FUSION': 8, 'ItemDotCF': 3, 'ItemCBF_CF': 3, 'RP3BETA_SIDE': 16} - results: ROC_AUC: 0.055330±0.0020, PRECISION: 0.008708±0.0005, PRECISION_RECALL_MIN_DEN: 0.087082±0.0046, RECALL: 0.087082±0.0046, MAP: 0.036836±0.0017, MRR: 0.036836±0.0017, NDCG: 0.048531±0.0023, F1: 0.015833±0.0008, HIT_RATE: 0.087082±0.0046, ARHR: 0.036836±0.0017, RMSE: 0.974313±0.0007, NOVELTY: 0.006098±0.0000, AVERAGE_POPULARITY: 0.286051±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.977959±0.0001, DIVERSITY_HERFINDAHL: 0.997774±0.0000, COVERAGE_ITEM: 0.179854±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.233412±0.0011, SHANNON_ENTROPY: 9.835679±0.0059, 
CrossSearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'FUSION': 17, 'ItemDotCF': 6, 'ItemCBF_CF': 7, 'RP3BETA_SIDE': 11} - results: ROC_AUC: 0.055696±0.0023, PRECISION: 0.008735±0.0005, PRECISION_RECALL_MIN_DEN: 0.087353±0.0050, RECALL: 0.087353±0.0050, MAP: 0.037033±0.0019, MRR: 0.037033±0.0019, NDCG: 0.048753±0.0025, F1: 0.015882±0.0009, HIT_RATE: 0.087353±0.0050, ARHR: 0.037033±0.0019, RMSE: 0.967544±0.0008, NOVELTY: 0.006109±0.0000, AVERAGE_POPULARITY: 0.279164±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.978117±0.0001, DIVERSITY_HERFINDAHL: 0.997790±0.0000, COVERAGE_ITEM: 0.173474±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236272±0.0007, SHANNON_ENTROPY: 9.819358±0.0053, 
CrossSearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'FUSION': 20, 'ItemDotCF': 23, 'ItemCBF_CF': 22, 'RP3BETA_SIDE': 2} - results: ROC_AUC: 0.056223±0.0024, PRECISION: 0.008749±0.0004, PRECISION_RECALL_MIN_DEN: 0.087489±0.0043, RECALL: 0.087489±0.0043, MAP: 0.037417±0.0020, MRR: 0.037417±0.0020, NDCG: 0.049096±0.0025, F1: 0.015907±0.0008, HIT_RATE: 0.087489±0.0043, ARHR: 0.037417±0.0020, RMSE: 0.955472±0.0012, NOVELTY: 0.006168±0.0000, AVERAGE_POPULARITY: 0.263460±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.979805±0.0001, DIVERSITY_HERFINDAHL: 0.997958±0.0000, COVERAGE_ITEM: 0.176502±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.243360±0.0016, SHANNON_ENTROPY: 9.904778±0.0045, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'FUSION': 19, 'ItemDotCF': 8, 'ItemCBF_CF': 7, 'RP3BETA_SIDE': 20} - results: ROC_AUC: 0.055641±0.0021, PRECISION: 0.008731±0.0005, PRECISION_RECALL_MIN_DEN: 0.087308±0.0049, RECALL: 0.087308±0.0049, MAP: 0.036951±0.0020, MRR: 0.036951±0.0020, NDCG: 0.048679±0.0025, F1: 0.015874±0.0009, HIT_RATE: 0.087308±0.0049, ARHR: 0.036951±0.0020, RMSE: 0.956984±0.0011, NOVELTY: 0.006099±0.0000, AVERAGE_POPULARITY: 0.283343±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.977930±0.0001, DIVERSITY_HERFINDAHL: 0.997771±0.0000, COVERAGE_ITEM: 0.174739±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.234981±0.0005, SHANNON_ENTROPY: 9.815888±0.0077, 
