CrossSearchBayesianSkoptObject: New best config found. Config 0: {'Fusion': 17, 'ItemDotCF': 19, 'ItemCBF_CF': 14, 'RP3betaSide': 17} - results: ROC_AUC: 0.056554±0.0028, PRECISION: 0.008771±0.0006, PRECISION_RECALL_MIN_DEN: 0.087715±0.0060, RECALL: 0.087715±0.0060, MAP: 0.037746±0.0021, MRR: 0.037746±0.0021, NDCG: 0.049401±0.0029, F1: 0.015948±0.0011, HIT_RATE: 0.087715±0.0060, ARHR: 0.037746±0.0021, RMSE: 0.985562±0.0003, NOVELTY: 0.006151±0.0000, AVERAGE_POPULARITY: 0.270470±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.979659±0.0001, DIVERSITY_HERFINDAHL: 0.997944±0.0000, COVERAGE_ITEM: 0.167786±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.247994±0.0013, SHANNON_ENTROPY: 9.872991±0.0051, 
CrossSearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'Fusion': 21, 'ItemDotCF': 4, 'ItemCBF_CF': 6, 'RP3betaSide': 18} - results: ROC_AUC: 0.055786±0.0022, PRECISION: 0.008695±0.0005, PRECISION_RECALL_MIN_DEN: 0.086947±0.0050, RECALL: 0.086947±0.0050, MAP: 0.037010±0.0020, MRR: 0.037010±0.0020, NDCG: 0.048651±0.0026, F1: 0.015808±0.0009, HIT_RATE: 0.086947±0.0050, ARHR: 0.037010±0.0020, RMSE: 0.988091±0.0002, NOVELTY: 0.006092±0.0000, AVERAGE_POPULARITY: 0.285011±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.977807±0.0001, DIVERSITY_HERFINDAHL: 0.997759±0.0000, COVERAGE_ITEM: 0.171809±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.235344±0.0008, SHANNON_ENTROPY: 9.798932±0.0047, 
CrossSearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'Fusion': 24, 'ItemDotCF': 5, 'ItemCBF_CF': 17, 'RP3betaSide': 17} - results: ROC_AUC: 0.055776±0.0026, PRECISION: 0.008744±0.0005, PRECISION_RECALL_MIN_DEN: 0.087444±0.0046, RECALL: 0.087444±0.0046, MAP: 0.037055±0.0021, MRR: 0.037055±0.0021, NDCG: 0.048794±0.0026, F1: 0.015899±0.0008, HIT_RATE: 0.087444±0.0046, ARHR: 0.037055±0.0021, RMSE: 0.985356±0.0003, NOVELTY: 0.006127±0.0000, AVERAGE_POPULARITY: 0.275768±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.978569±0.0001, DIVERSITY_HERFINDAHL: 0.997835±0.0000, COVERAGE_ITEM: 0.176415±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.237579±0.0013, SHANNON_ENTROPY: 9.850464±0.0050, 
CrossSearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'Fusion': 23, 'ItemDotCF': 19, 'ItemCBF_CF': 12, 'RP3betaSide': 1} - results: ROC_AUC: 0.056614±0.0026, PRECISION: 0.008744±0.0005, PRECISION_RECALL_MIN_DEN: 0.087444±0.0048, RECALL: 0.087444±0.0048, MAP: 0.037699±0.0022, MRR: 0.037699±0.0022, NDCG: 0.049313±0.0027, F1: 0.015899±0.0009, HIT_RATE: 0.087444±0.0048, ARHR: 0.037699±0.0022, RMSE: 0.988654±0.0002, NOVELTY: 0.006157±0.0000, AVERAGE_POPULARITY: 0.266381±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.979895±0.0001, DIVERSITY_HERFINDAHL: 0.997967±0.0000, COVERAGE_ITEM: 0.160227±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.254212±0.0015, SHANNON_ENTROPY: 9.860340±0.0056, 
CrossSearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'Fusion': 12, 'ItemDotCF': 3, 'ItemCBF_CF': 20, 'RP3betaSide': 22} - results: ROC_AUC: 0.055716±0.0024, PRECISION: 0.008731±0.0005, PRECISION_RECALL_MIN_DEN: 0.087308±0.0046, RECALL: 0.087308±0.0046, MAP: 0.037070±0.0018, MRR: 0.037070±0.0018, NDCG: 0.048772±0.0024, F1: 0.015874±0.0008, HIT_RATE: 0.087308±0.0046, ARHR: 0.037070±0.0018, RMSE: 0.986376±0.0002, NOVELTY: 0.006153±0.0000, AVERAGE_POPULARITY: 0.272919±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.979126±0.0001, DIVERSITY_HERFINDAHL: 0.997891±0.0000, COVERAGE_ITEM: 0.189489±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.235142±0.0008, SHANNON_ENTROPY: 9.918039±0.0033, 
CrossSearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'Fusion': 5, 'ItemDotCF': 0, 'ItemCBF_CF': 15, 'RP3betaSide': 10} - results: ROC_AUC: 0.055224±0.0023, PRECISION: 0.008622±0.0005, PRECISION_RECALL_MIN_DEN: 0.086224±0.0046, RECALL: 0.086224±0.0046, MAP: 0.036763±0.0019, MRR: 0.036763±0.0019, NDCG: 0.048291±0.0025, F1: 0.015677±0.0008, HIT_RATE: 0.086224±0.0046, ARHR: 0.036763±0.0019, RMSE: 0.992647±0.0001, NOVELTY: 0.006179±0.0000, AVERAGE_POPULARITY: 0.267700±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.979438±0.0001, DIVERSITY_HERFINDAHL: 0.997922±0.0000, COVERAGE_ITEM: 0.200357±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.233240±0.0009, SHANNON_ENTROPY: 9.966741±0.0022, 
CrossSearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'Fusion': 2, 'ItemDotCF': 9, 'ItemCBF_CF': 19, 'RP3betaSide': 8} - results: ROC_AUC: 0.056449±0.0026, PRECISION: 0.008735±0.0005, PRECISION_RECALL_MIN_DEN: 0.087353±0.0046, RECALL: 0.087353±0.0046, MAP: 0.037742±0.0020, MRR: 0.037742±0.0020, NDCG: 0.049316±0.0026, F1: 0.015882±0.0008, HIT_RATE: 0.087353±0.0046, ARHR: 0.037742±0.0020, RMSE: 0.991598±0.0001, NOVELTY: 0.006208±0.0000, AVERAGE_POPULARITY: 0.258994±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.980874±0.0000, DIVERSITY_HERFINDAHL: 0.998065±0.0000, COVERAGE_ITEM: 0.187218±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244271±0.0012, SHANNON_ENTROPY: 9.989025±0.0050, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'Fusion': 21, 'ItemDotCF': 5, 'ItemCBF_CF': 1, 'RP3betaSide': 21} - results: ROC_AUC: 0.055556±0.0022, PRECISION: 0.008713±0.0004, PRECISION_RECALL_MIN_DEN: 0.087127±0.0045, RECALL: 0.087127±0.0045, MAP: 0.036941±0.0019, MRR: 0.036941±0.0019, NDCG: 0.048628±0.0024, F1: 0.015841±0.0008, HIT_RATE: 0.087127±0.0045, ARHR: 0.036941±0.0019, RMSE: 0.988048±0.0002, NOVELTY: 0.006074±0.0000, AVERAGE_POPULARITY: 0.290459±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.977499±0.0001, DIVERSITY_HERFINDAHL: 0.997728±0.0000, COVERAGE_ITEM: 0.169408±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.234711±0.0012, SHANNON_ENTROPY: 9.776192±0.0051, 
CrossSearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'Fusion': 2, 'ItemDotCF': 8, 'ItemCBF_CF': 14, 'RP3betaSide': 10} - results: ROC_AUC: 0.056404±0.0028, PRECISION: 0.008708±0.0005, PRECISION_RECALL_MIN_DEN: 0.087082±0.0050, RECALL: 0.087082±0.0050, MAP: 0.037707±0.0021, MRR: 0.037707±0.0021, NDCG: 0.049228±0.0027, F1: 0.015833±0.0009, HIT_RATE: 0.087082±0.0050, ARHR: 0.037707±0.0021, RMSE: 0.992191±0.0001, NOVELTY: 0.006191±0.0000, AVERAGE_POPULARITY: 0.263339±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.980439±0.0001, DIVERSITY_HERFINDAHL: 0.998022±0.0000, COVERAGE_ITEM: 0.185769±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.242694±0.0011, SHANNON_ENTROPY: 9.964258±0.0052, 
CrossSearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'Fusion': 7, 'ItemDotCF': 13, 'ItemCBF_CF': 3, 'RP3betaSide': 14} - results: ROC_AUC: 0.056519±0.0027, PRECISION: 0.008780±0.0005, PRECISION_RECALL_MIN_DEN: 0.087805±0.0052, RECALL: 0.087805±0.0052, MAP: 0.037599±0.0020, MRR: 0.037599±0.0020, NDCG: 0.049309±0.0027, F1: 0.015965±0.0010, HIT_RATE: 0.087805±0.0052, ARHR: 0.037599±0.0020, RMSE: 0.991557±0.0002, NOVELTY: 0.006138±0.0000, AVERAGE_POPULARITY: 0.276135±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.979535±0.0001, DIVERSITY_HERFINDAHL: 0.997931±0.0000, COVERAGE_ITEM: 0.166802±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.248013±0.0013, SHANNON_ENTROPY: 9.864495±0.0017, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'Fusion': 13, 'ItemDotCF': 13, 'ItemCBF_CF': 7, 'RP3betaSide': 12} - results: ROC_AUC: 0.056584±0.0027, PRECISION: 0.008803±0.0006, PRECISION_RECALL_MIN_DEN: 0.088031±0.0057, RECALL: 0.088031±0.0057, MAP: 0.037686±0.0021, MRR: 0.037686±0.0021, NDCG: 0.049426±0.0028, F1: 0.016006±0.0010, HIT_RATE: 0.088031±0.0057, ARHR: 0.037686±0.0021, RMSE: 0.990191±0.0002, NOVELTY: 0.006139±0.0000, AVERAGE_POPULARITY: 0.273295±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.979378±0.0001, DIVERSITY_HERFINDAHL: 0.997916±0.0000, COVERAGE_ITEM: 0.165299±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.247758±0.0007, SHANNON_ENTROPY: 9.851462±0.0059, 
CrossSearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'Fusion': 9, 'ItemDotCF': 14, 'ItemCBF_CF': 1, 'RP3betaSide': 20} - results: ROC_AUC: 0.056163±0.0027, PRECISION: 0.008780±0.0005, PRECISION_RECALL_MIN_DEN: 0.087805±0.0049, RECALL: 0.087805±0.0049, MAP: 0.037324±0.0020, MRR: 0.037324±0.0020, NDCG: 0.049091±0.0026, F1: 0.015965±0.0009, HIT_RATE: 0.087805±0.0049, ARHR: 0.037324±0.0020, RMSE: 0.989696±0.0002, NOVELTY: 0.006117±0.0000, AVERAGE_POPULARITY: 0.282022±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.979002±0.0001, DIVERSITY_HERFINDAHL: 0.997878±0.0000, COVERAGE_ITEM: 0.167451±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244420±0.0011, SHANNON_ENTROPY: 9.840735±0.0043, 
CrossSearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'Fusion': 16, 'ItemDotCF': 18, 'ItemCBF_CF': 3, 'RP3betaSide': 21} - results: ROC_AUC: 0.056459±0.0026, PRECISION: 0.008780±0.0005, PRECISION_RECALL_MIN_DEN: 0.087805±0.0053, RECALL: 0.087805±0.0053, MAP: 0.037432±0.0021, MRR: 0.037432±0.0021, NDCG: 0.049187±0.0027, F1: 0.015965±0.0010, HIT_RATE: 0.087805±0.0053, ARHR: 0.037432±0.0021, RMSE: 0.987144±0.0002, NOVELTY: 0.006120±0.0000, AVERAGE_POPULARITY: 0.279662±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.979009±0.0001, DIVERSITY_HERFINDAHL: 0.997879±0.0000, COVERAGE_ITEM: 0.164434±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246274±0.0008, SHANNON_ENTROPY: 9.831681±0.0035, 
CrossSearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'Fusion': 13, 'ItemDotCF': 14, 'ItemCBF_CF': 18, 'RP3betaSide': 3} - results: ROC_AUC: 0.056449±0.0026, PRECISION: 0.008740±0.0005, PRECISION_RECALL_MIN_DEN: 0.087398±0.0048, RECALL: 0.087398±0.0048, MAP: 0.037670±0.0022, MRR: 0.037670±0.0022, NDCG: 0.049273±0.0028, F1: 0.015891±0.0009, HIT_RATE: 0.087398±0.0048, ARHR: 0.037670±0.0022, RMSE: 0.989882±0.0002, NOVELTY: 0.006179±0.0000, AVERAGE_POPULARITY: 0.261876±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.980383±0.0001, DIVERSITY_HERFINDAHL: 0.998016±0.0000, COVERAGE_ITEM: 0.168965±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.251531±0.0016, SHANNON_ENTROPY: 9.911563±0.0039, 
CrossSearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'Fusion': 3, 'ItemDotCF': 4, 'ItemCBF_CF': 17, 'RP3betaSide': 16} - results: ROC_AUC: 0.055942±0.0026, PRECISION: 0.008640±0.0005, PRECISION_RECALL_MIN_DEN: 0.086405±0.0047, RECALL: 0.086405±0.0047, MAP: 0.037357±0.0019, MRR: 0.037357±0.0019, NDCG: 0.048802±0.0025, F1: 0.015710±0.0008, HIT_RATE: 0.086405±0.0047, ARHR: 0.037357±0.0019, RMSE: 0.990431±0.0001, NOVELTY: 0.006178±0.0000, AVERAGE_POPULARITY: 0.268146±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.979821±0.0001, DIVERSITY_HERFINDAHL: 0.997960±0.0000, COVERAGE_ITEM: 0.194690±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236456±0.0008, SHANNON_ENTROPY: 9.964577±0.0028, 
