CrossSearchBayesianSkoptObject: New best config found. Config 0: {'Fusion': 8, 'ItemDotCF': 2, 'ItemCBF_CF': 19, 'ItemCF': 12, 'ItemCBF_FW': 21, 'RP3betaSide': 5} - results: ROC_AUC: 0.080339±0.0004, PRECISION: 0.010813±0.0000, PRECISION_RECALL_MIN_DEN: 0.108133±0.0003, RECALL: 0.108133±0.0003, MAP: 0.058101±0.0005, MRR: 0.058101±0.0005, NDCG: 0.069982±0.0004, F1: 0.019661±0.0001, HIT_RATE: 0.108133±0.0003, ARHR: 0.058101±0.0005, RMSE: 0.965423±0.0001, NOVELTY: 0.006010±0.0000, AVERAGE_POPULARITY: 0.212767±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.991728±0.0003, DIVERSITY_HERFINDAHL: 0.999167±0.0000, COVERAGE_ITEM: 0.743660±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244660±0.0011, SHANNON_ENTROPY: 11.735629±0.0168, 
CrossSearchBayesianSkoptObject: New best config found. Config 1: {'Fusion': 24, 'ItemDotCF': 13, 'ItemCBF_CF': 16, 'ItemCF': 12, 'ItemCBF_FW': 0, 'RP3betaSide': 16} - results: ROC_AUC: 0.086328±0.0004, PRECISION: 0.011718±0.0001, PRECISION_RECALL_MIN_DEN: 0.117177±0.0009, RECALL: 0.117177±0.0009, MAP: 0.062099±0.0006, MRR: 0.062099±0.0006, NDCG: 0.075156±0.0004, F1: 0.021305±0.0002, HIT_RATE: 0.117177±0.0009, ARHR: 0.062099±0.0006, RMSE: 0.955448±0.0002, NOVELTY: 0.006297±0.0000, AVERAGE_POPULARITY: 0.249103±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.989950±0.0001, DIVERSITY_HERFINDAHL: 0.998989±0.0000, COVERAGE_ITEM: 0.734155±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.221105±0.0006, SHANNON_ENTROPY: 11.468280±0.0056, 
CrossSearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'Fusion': 20, 'ItemDotCF': 0, 'ItemCBF_CF': 10, 'ItemCF': 10, 'ItemCBF_FW': 2, 'RP3betaSide': 14} - results: ROC_AUC: 0.086207±0.0004, PRECISION: 0.011706±0.0001, PRECISION_RECALL_MIN_DEN: 0.117063±0.0009, RECALL: 0.117063±0.0009, MAP: 0.061987±0.0005, MRR: 0.061987±0.0005, NDCG: 0.075044±0.0003, F1: 0.021284±0.0002, HIT_RATE: 0.117063±0.0009, ARHR: 0.061987±0.0005, RMSE: 0.964541±0.0002, NOVELTY: 0.006277±0.0000, AVERAGE_POPULARITY: 0.247846±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.989982±0.0001, DIVERSITY_HERFINDAHL: 0.998993±0.0000, COVERAGE_ITEM: 0.740600±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.220642±0.0006, SHANNON_ENTROPY: 11.474418±0.0070, 
CrossSearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'Fusion': 8, 'ItemDotCF': 6, 'ItemCBF_CF': 17, 'ItemCF': 23, 'ItemCBF_FW': 6, 'RP3betaSide': 12} - results: ROC_AUC: 0.085697±0.0005, PRECISION: 0.011592±0.0001, PRECISION_RECALL_MIN_DEN: 0.115924±0.0010, RECALL: 0.115924±0.0010, MAP: 0.061804±0.0005, MRR: 0.061804±0.0005, NDCG: 0.074643±0.0004, F1: 0.021077±0.0002, HIT_RATE: 0.115924±0.0010, ARHR: 0.061804±0.0005, RMSE: 0.960140±0.0002, NOVELTY: 0.006291±0.0000, AVERAGE_POPULARITY: 0.237477±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.990962±0.0001, DIVERSITY_HERFINDAHL: 0.999091±0.0000, COVERAGE_ITEM: 0.741768±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.227086±0.0002, SHANNON_ENTROPY: 11.574797±0.0049, 
CrossSearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'Fusion': 8, 'ItemDotCF': 17, 'ItemCBF_CF': 20, 'ItemCF': 1, 'ItemCBF_FW': 2, 'RP3betaSide': 3} - results: ROC_AUC: 0.086182±0.0004, PRECISION: 0.011665±0.0001, PRECISION_RECALL_MIN_DEN: 0.116653±0.0007, RECALL: 0.116653±0.0007, MAP: 0.062048±0.0006, MRR: 0.062048±0.0006, NDCG: 0.075002±0.0004, F1: 0.021210±0.0001, HIT_RATE: 0.116653±0.0007, ARHR: 0.062048±0.0006, RMSE: 0.973847±0.0001, NOVELTY: 0.006249±0.0000, AVERAGE_POPULARITY: 0.244793±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.990058±0.0001, DIVERSITY_HERFINDAHL: 0.999000±0.0000, COVERAGE_ITEM: 0.759254±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.226937±0.0005, SHANNON_ENTROPY: 11.528876±0.0068, 
CrossSearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'Fusion': 1, 'ItemDotCF': 22, 'ItemCBF_CF': 6, 'ItemCF': 11, 'ItemCBF_FW': 12, 'RP3betaSide': 6} - results: ROC_AUC: 0.082047±0.0004, PRECISION: 0.011048±0.0000, PRECISION_RECALL_MIN_DEN: 0.110480±0.0001, RECALL: 0.110480±0.0001, MAP: 0.059339±0.0004, MRR: 0.059339±0.0004, NDCG: 0.071483±0.0003, F1: 0.020087±0.0000, HIT_RATE: 0.110480±0.0001, ARHR: 0.059339±0.0004, RMSE: 0.975947±0.0001, NOVELTY: 0.006113±0.0000, AVERAGE_POPULARITY: 0.219209±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.991469±0.0002, DIVERSITY_HERFINDAHL: 0.999141±0.0000, COVERAGE_ITEM: 0.747748±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.242619±0.0007, SHANNON_ENTROPY: 11.711513±0.0169, 
CrossSearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'Fusion': 21, 'ItemDotCF': 6, 'ItemCBF_CF': 14, 'ItemCF': 17, 'ItemCBF_FW': 8, 'RP3betaSide': 19} - results: ROC_AUC: 0.086122±0.0004, PRECISION: 0.011647±0.0001, PRECISION_RECALL_MIN_DEN: 0.116471±0.0009, RECALL: 0.116471±0.0009, MAP: 0.061923±0.0005, MRR: 0.061923±0.0005, NDCG: 0.074867±0.0003, F1: 0.021177±0.0002, HIT_RATE: 0.116471±0.0009, ARHR: 0.061923±0.0005, RMSE: 0.951919±0.0002, NOVELTY: 0.006258±0.0000, AVERAGE_POPULARITY: 0.244324±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.990288±0.0001, DIVERSITY_HERFINDAHL: 0.999023±0.0000, COVERAGE_ITEM: 0.744450±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.225054±0.0003, SHANNON_ENTROPY: 11.524241±0.0056, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'Fusion': 22, 'ItemDotCF': 4, 'ItemCBF_CF': 23, 'ItemCF': 23, 'ItemCBF_FW': 24, 'RP3betaSide': 12} - results: ROC_AUC: 0.083585±0.0004, PRECISION: 0.011247±0.0000, PRECISION_RECALL_MIN_DEN: 0.112473±0.0003, RECALL: 0.112473±0.0003, MAP: 0.060255±0.0006, MRR: 0.060255±0.0006, NDCG: 0.072662±0.0005, F1: 0.020450±0.0001, HIT_RATE: 0.112473±0.0003, ARHR: 0.060255±0.0006, RMSE: 0.943107±0.0002, NOVELTY: 0.006125±0.0000, AVERAGE_POPULARITY: 0.221894±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.991587±0.0002, DIVERSITY_HERFINDAHL: 0.999153±0.0000, COVERAGE_ITEM: 0.750073±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.240247±0.0008, SHANNON_ENTROPY: 11.701364±0.0123, 
CrossSearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'Fusion': 4, 'ItemDotCF': 14, 'ItemCBF_CF': 17, 'ItemCF': 7, 'ItemCBF_FW': 21, 'RP3betaSide': 24} - results: ROC_AUC: 0.082259±0.0005, PRECISION: 0.011080±0.0000, PRECISION_RECALL_MIN_DEN: 0.110798±0.0004, RECALL: 0.110798±0.0004, MAP: 0.059176±0.0005, MRR: 0.059176±0.0005, NDCG: 0.071442±0.0003, F1: 0.020145±0.0001, HIT_RATE: 0.110798±0.0004, ARHR: 0.059176±0.0005, RMSE: 0.957560±0.0001, NOVELTY: 0.006060±0.0000, AVERAGE_POPULARITY: 0.235522±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.990129±0.0003, DIVERSITY_HERFINDAHL: 0.999007±0.0000, COVERAGE_ITEM: 0.745823±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.233720±0.0008, SHANNON_ENTROPY: 11.584762±0.0168, 
CrossSearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'Fusion': 10, 'ItemDotCF': 16, 'ItemCBF_CF': 3, 'ItemCF': 7, 'ItemCBF_FW': 19, 'RP3betaSide': 20} - results: ROC_AUC: 0.081366±0.0005, PRECISION: 0.010984±0.0001, PRECISION_RECALL_MIN_DEN: 0.109842±0.0005, RECALL: 0.109842±0.0005, MAP: 0.058659±0.0006, MRR: 0.058659±0.0006, NDCG: 0.070810±0.0005, F1: 0.019971±0.0001, HIT_RATE: 0.109842±0.0005, ARHR: 0.058659±0.0006, RMSE: 0.965023±0.0001, NOVELTY: 0.006028±0.0000, AVERAGE_POPULARITY: 0.232204±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.990244±0.0003, DIVERSITY_HERFINDAHL: 0.999019±0.0000, COVERAGE_ITEM: 0.741584±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.235285±0.0011, SHANNON_ENTROPY: 11.600517±0.0188, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'Fusion': 7, 'ItemDotCF': 14, 'ItemCBF_CF': 22, 'ItemCF': 4, 'ItemCBF_FW': 9, 'RP3betaSide': 8} - results: ROC_AUC: 0.085194±0.0005, PRECISION: 0.011529±0.0000, PRECISION_RECALL_MIN_DEN: 0.115286±0.0005, RECALL: 0.115286±0.0005, MAP: 0.061382±0.0006, MRR: 0.061382±0.0006, NDCG: 0.074170±0.0004, F1: 0.020961±0.0001, HIT_RATE: 0.115286±0.0005, ARHR: 0.061382±0.0006, RMSE: 0.968051±0.0001, NOVELTY: 0.006181±0.0000, AVERAGE_POPULARITY: 0.236390±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.990557±0.0001, DIVERSITY_HERFINDAHL: 0.999050±0.0000, COVERAGE_ITEM: 0.762001±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.233194±0.0005, SHANNON_ENTROPY: 11.604226±0.0099, 
