CrossSearchBayesianSkoptObject: New best config found. Config 0: {'ItemAvg': 24, 'NewUserCF': 11, 'NewPureSVD': 10, 'IALS': 22, 'SlimSide': 1} - results: ROC_AUC: 0.055666±0.0025, PRECISION: 0.008573±0.0003, PRECISION_RECALL_MIN_DEN: 0.085727±0.0033, RECALL: 0.085727±0.0033, MAP: 0.036817±0.0020, MRR: 0.036817±0.0020, NDCG: 0.048245±0.0023, F1: 0.015587±0.0006, HIT_RATE: 0.085727±0.0033, ARHR: 0.036817±0.0020, RMSE: 0.948461±0.0006, NOVELTY: 0.005931±0.0000, AVERAGE_POPULARITY: 0.319658±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.975139±0.0001, DIVERSITY_HERFINDAHL: 0.997492±0.0000, COVERAGE_ITEM: 0.122520±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.242102±0.0020, SHANNON_ENTROPY: 9.443744±0.0064, 
CrossSearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'ItemAvg': 17, 'NewUserCF': 22, 'NewPureSVD': 10, 'IALS': 16, 'SlimSide': 8} - results: ROC_AUC: 0.053814±0.0023, PRECISION: 0.008424±0.0004, PRECISION_RECALL_MIN_DEN: 0.084237±0.0037, RECALL: 0.084237±0.0037, MAP: 0.035557±0.0023, MRR: 0.035557±0.0023, NDCG: 0.046901±0.0025, F1: 0.015316±0.0007, HIT_RATE: 0.084237±0.0037, ARHR: 0.035557±0.0023, RMSE: 0.944376±0.0006, NOVELTY: 0.005732±0.0000, AVERAGE_POPULARITY: 0.390363±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.965443±0.0003, DIVERSITY_HERFINDAHL: 0.996523±0.0000, COVERAGE_ITEM: 0.093431±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.229388±0.0022, SHANNON_ENTROPY: 8.974573±0.0039, 
CrossSearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'ItemAvg': 15, 'NewUserCF': 2, 'NewPureSVD': 10, 'IALS': 6, 'SlimSide': 7} - results: ROC_AUC: 0.054160±0.0020, PRECISION: 0.008491±0.0004, PRECISION_RECALL_MIN_DEN: 0.084914±0.0042, RECALL: 0.084914±0.0042, MAP: 0.035866±0.0019, MRR: 0.035866±0.0019, NDCG: 0.047293±0.0024, F1: 0.015439±0.0008, HIT_RATE: 0.084914±0.0042, ARHR: 0.035866±0.0019, RMSE: 0.960916±0.0005, NOVELTY: 0.005847±0.0000, AVERAGE_POPULARITY: 0.345980±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.970926±0.0002, DIVERSITY_HERFINDAHL: 0.997071±0.0000, COVERAGE_ITEM: 0.106926±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236076±0.0018, SHANNON_ENTROPY: 9.215871±0.0051, 
CrossSearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'ItemAvg': 13, 'NewUserCF': 11, 'NewPureSVD': 21, 'IALS': 10, 'SlimSide': 4} - results: ROC_AUC: 0.054010±0.0020, PRECISION: 0.008293±0.0003, PRECISION_RECALL_MIN_DEN: 0.082927±0.0034, RECALL: 0.082927±0.0034, MAP: 0.036041±0.0021, MRR: 0.036041±0.0021, NDCG: 0.046990±0.0023, F1: 0.015078±0.0006, HIT_RATE: 0.082927±0.0034, ARHR: 0.036041±0.0021, RMSE: 0.931552±0.0006, NOVELTY: 0.005805±0.0000, AVERAGE_POPULARITY: 0.353572±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.972962±0.0000, DIVERSITY_HERFINDAHL: 0.997274±0.0000, COVERAGE_ITEM: 0.098200±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.253176±0.0018, SHANNON_ENTROPY: 9.227932±0.0038, 
CrossSearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'ItemAvg': 20, 'NewUserCF': 9, 'NewPureSVD': 2, 'IALS': 1, 'SlimSide': 20} - results: ROC_AUC: 0.051521±0.0018, PRECISION: 0.008184±0.0002, PRECISION_RECALL_MIN_DEN: 0.081843±0.0022, RECALL: 0.081843±0.0022, MAP: 0.033514±0.0014, MRR: 0.033514±0.0014, NDCG: 0.044769±0.0015, F1: 0.014881±0.0004, HIT_RATE: 0.081843±0.0022, ARHR: 0.033514±0.0014, RMSE: 0.966567±0.0006, NOVELTY: 0.005701±0.0000, AVERAGE_POPULARITY: 0.404847±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.960330±0.0004, DIVERSITY_HERFINDAHL: 0.996011±0.0000, COVERAGE_ITEM: 0.090284±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.215959±0.0012, SHANNON_ENTROPY: 8.817023±0.0052, 
CrossSearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'ItemAvg': 22, 'NewUserCF': 1, 'NewPureSVD': 3, 'IALS': 19, 'SlimSide': 23} - results: ROC_AUC: 0.051345±0.0017, PRECISION: 0.008139±0.0002, PRECISION_RECALL_MIN_DEN: 0.081391±0.0020, RECALL: 0.081391±0.0020, MAP: 0.033362±0.0015, MRR: 0.033362±0.0015, NDCG: 0.044551±0.0016, F1: 0.014798±0.0004, HIT_RATE: 0.081391±0.0020, ARHR: 0.033362±0.0015, RMSE: 0.961685±0.0007, NOVELTY: 0.005710±0.0000, AVERAGE_POPULARITY: 0.396766±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.961670±0.0003, DIVERSITY_HERFINDAHL: 0.996145±0.0000, COVERAGE_ITEM: 0.088759±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.219063±0.0014, SHANNON_ENTROPY: 8.829916±0.0042, 
CrossSearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'ItemAvg': 17, 'NewUserCF': 13, 'NewPureSVD': 6, 'IALS': 23, 'SlimSide': 14} - results: ROC_AUC: 0.052369±0.0019, PRECISION: 0.008257±0.0002, PRECISION_RECALL_MIN_DEN: 0.082565±0.0025, RECALL: 0.082565±0.0025, MAP: 0.034282±0.0017, MRR: 0.034282±0.0017, NDCG: 0.045532±0.0019, F1: 0.015012±0.0005, HIT_RATE: 0.082565±0.0025, ARHR: 0.034282±0.0017, RMSE: 0.952808±0.0006, NOVELTY: 0.005700±0.0000, AVERAGE_POPULARITY: 0.398975±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.962485±0.0003, DIVERSITY_HERFINDAHL: 0.996227±0.0000, COVERAGE_ITEM: 0.086672±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.224966±0.0015, SHANNON_ENTROPY: 8.842928±0.0059, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'ItemAvg': 13, 'NewUserCF': 17, 'NewPureSVD': 6, 'IALS': 15, 'SlimSide': 21} - results: ROC_AUC: 0.049945±0.0016, PRECISION: 0.007891±0.0002, PRECISION_RECALL_MIN_DEN: 0.078907±0.0020, RECALL: 0.078907±0.0020, MAP: 0.032568±0.0014, MRR: 0.032568±0.0014, NDCG: 0.043367±0.0015, F1: 0.014347±0.0004, HIT_RATE: 0.078907±0.0020, ARHR: 0.032568±0.0014, RMSE: 0.952053±0.0007, NOVELTY: 0.005608±0.0000, AVERAGE_POPULARITY: 0.435374±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.954938±0.0005, DIVERSITY_HERFINDAHL: 0.995472±0.0000, COVERAGE_ITEM: 0.076075±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.214601±0.0017, SHANNON_ENTROPY: 8.583139±0.0060, 
CrossSearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'ItemAvg': 16, 'NewUserCF': 22, 'NewPureSVD': 20, 'IALS': 23, 'SlimSide': 15} - results: ROC_AUC: 0.052374±0.0021, PRECISION: 0.008157±0.0003, PRECISION_RECALL_MIN_DEN: 0.081572±0.0030, RECALL: 0.081572±0.0030, MAP: 0.034328±0.0020, MRR: 0.034328±0.0020, NDCG: 0.045355±0.0021, F1: 0.014831±0.0006, HIT_RATE: 0.081572±0.0030, ARHR: 0.034328±0.0020, RMSE: 0.916395±0.0008, NOVELTY: 0.005685±0.0000, AVERAGE_POPULARITY: 0.401044±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.963836±0.0003, DIVERSITY_HERFINDAHL: 0.996362±0.0000, COVERAGE_ITEM: 0.081838±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236991±0.0020, SHANNON_ENTROPY: 8.854529±0.0043, 
CrossSearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'ItemAvg': 13, 'NewUserCF': 9, 'NewPureSVD': 22, 'IALS': 5, 'SlimSide': 4} - results: ROC_AUC: 0.053940±0.0022, PRECISION: 0.008320±0.0004, PRECISION_RECALL_MIN_DEN: 0.083198±0.0036, RECALL: 0.083198±0.0036, MAP: 0.036086±0.0022, MRR: 0.036086±0.0022, NDCG: 0.047077±0.0025, F1: 0.015127±0.0007, HIT_RATE: 0.083198±0.0036, ARHR: 0.036086±0.0022, RMSE: 0.932349±0.0006, NOVELTY: 0.005821±0.0000, AVERAGE_POPULARITY: 0.347836±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.973700±0.0001, DIVERSITY_HERFINDAHL: 0.997348±0.0000, COVERAGE_ITEM: 0.100925±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.253656±0.0019, SHANNON_ENTROPY: 9.269549±0.0041, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'ItemAvg': 23, 'NewUserCF': 22, 'NewPureSVD': 8, 'IALS': 13, 'SlimSide': 9} - results: ROC_AUC: 0.054326±0.0020, PRECISION: 0.008573±0.0004, PRECISION_RECALL_MIN_DEN: 0.085727±0.0038, RECALL: 0.085727±0.0038, MAP: 0.035943±0.0020, MRR: 0.035943±0.0020, NDCG: 0.047531±0.0023, F1: 0.015587±0.0007, HIT_RATE: 0.085727±0.0038, ARHR: 0.035943±0.0020, RMSE: 0.946545±0.0007, NOVELTY: 0.005778±0.0000, AVERAGE_POPULARITY: 0.376735±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.966943±0.0002, DIVERSITY_HERFINDAHL: 0.996672±0.0000, COVERAGE_ITEM: 0.100968±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.228447±0.0013, SHANNON_ENTROPY: 9.067849±0.0058, 
