CrossSearchBayesianSkoptObject: New best config found. Config 0: {'HybridAvg': 20, 'UserDotCF': 9, 'UserCBF_CF': 19, 'S_PureSVD': 23} - results: ROC_AUC: 0.086774±0.0005, PRECISION: 0.011813±0.0001, PRECISION_RECALL_MIN_DEN: 0.118134±0.0007, RECALL: 0.118134±0.0007, MAP: 0.062276±0.0005, MRR: 0.062276±0.0005, NDCG: 0.075514±0.0005, F1: 0.021479±0.0001, HIT_RATE: 0.118134±0.0007, ARHR: 0.062276±0.0005, RMSE: 0.928212±0.0001, NOVELTY: 0.006144±0.0000, AVERAGE_POPULARITY: 0.279349±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.987773±0.0001, DIVERSITY_HERFINDAHL: 0.998772±0.0000, COVERAGE_ITEM: 0.635015±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.186271±0.0006, SHANNON_ENTROPY: 11.059350±0.0092, 
CrossSearchBayesianSkoptObject: New best config found. Config 1: {'HybridAvg': 19, 'UserDotCF': 14, 'UserCBF_CF': 6, 'S_PureSVD': 8} - results: ROC_AUC: 0.086898±0.0005, PRECISION: 0.011868±0.0001, PRECISION_RECALL_MIN_DEN: 0.118681±0.0010, RECALL: 0.118681±0.0010, MAP: 0.062453±0.0003, MRR: 0.062453±0.0003, NDCG: 0.075768±0.0003, F1: 0.021578±0.0002, HIT_RATE: 0.118681±0.0010, ARHR: 0.062453±0.0003, RMSE: 0.959413±0.0001, NOVELTY: 0.006194±0.0000, AVERAGE_POPULARITY: 0.276284±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.987676±0.0001, DIVERSITY_HERFINDAHL: 0.998762±0.0000, COVERAGE_ITEM: 0.681828±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.196244±0.0005, SHANNON_ENTROPY: 11.169494±0.0074, 
CrossSearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'HybridAvg': 7, 'UserDotCF': 3, 'UserCBF_CF': 11, 'S_PureSVD': 8} - results: ROC_AUC: 0.086680±0.0004, PRECISION: 0.011841±0.0001, PRECISION_RECALL_MIN_DEN: 0.118408±0.0008, RECALL: 0.118408±0.0008, MAP: 0.062123±0.0004, MRR: 0.062123±0.0004, NDCG: 0.075455±0.0004, F1: 0.021529±0.0002, HIT_RATE: 0.118408±0.0008, ARHR: 0.062123±0.0004, RMSE: 0.971970±0.0000, NOVELTY: 0.006095±0.0000, AVERAGE_POPULARITY: 0.300142±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.985598±0.0001, DIVERSITY_HERFINDAHL: 0.998554±0.0000, COVERAGE_ITEM: 0.606142±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.177693±0.0006, SHANNON_ENTROPY: 10.883126±0.0085, 
CrossSearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'HybridAvg': 9, 'UserDotCF': 2, 'UserCBF_CF': 9, 'S_PureSVD': 17} - results: ROC_AUC: 0.086342±0.0005, PRECISION: 0.011710±0.0001, PRECISION_RECALL_MIN_DEN: 0.117098±0.0008, RECALL: 0.117098±0.0008, MAP: 0.062026±0.0005, MRR: 0.062026±0.0005, NDCG: 0.075086±0.0005, F1: 0.021290±0.0002, HIT_RATE: 0.117098±0.0008, ARHR: 0.062026±0.0005, RMSE: 0.956176±0.0001, NOVELTY: 0.006133±0.0000, AVERAGE_POPULARITY: 0.270375±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.988854±0.0001, DIVERSITY_HERFINDAHL: 0.998880±0.0000, COVERAGE_ITEM: 0.615464±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.185061±0.0005, SHANNON_ENTROPY: 11.074649±0.0075, 
CrossSearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'HybridAvg': 4, 'UserDotCF': 6, 'UserCBF_CF': 14, 'S_PureSVD': 11} - results: ROC_AUC: 0.085588±0.0005, PRECISION: 0.011688±0.0001, PRECISION_RECALL_MIN_DEN: 0.116881±0.0007, RECALL: 0.116881±0.0007, MAP: 0.061514±0.0005, MRR: 0.061514±0.0005, NDCG: 0.074622±0.0005, F1: 0.021251±0.0001, HIT_RATE: 0.116881±0.0007, ARHR: 0.061514±0.0005, RMSE: 0.966413±0.0000, NOVELTY: 0.005959±0.0000, AVERAGE_POPULARITY: 0.337683±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.981385±0.0001, DIVERSITY_HERFINDAHL: 0.998133±0.0000, COVERAGE_ITEM: 0.505888±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.158260±0.0005, SHANNON_ENTROPY: 10.478516±0.0064, 
CrossSearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'HybridAvg': 6, 'UserDotCF': 15, 'UserCBF_CF': 7, 'S_PureSVD': 21} - results: ROC_AUC: 0.085463±0.0006, PRECISION: 0.011611±0.0001, PRECISION_RECALL_MIN_DEN: 0.116107±0.0013, RECALL: 0.116107±0.0013, MAP: 0.061575±0.0005, MRR: 0.061575±0.0005, NDCG: 0.074497±0.0007, F1: 0.021110±0.0002, HIT_RATE: 0.116107±0.0013, ARHR: 0.061575±0.0005, RMSE: 0.947567±0.0001, NOVELTY: 0.006034±0.0000, AVERAGE_POPULARITY: 0.295344±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.986804±0.0001, DIVERSITY_HERFINDAHL: 0.998675±0.0000, COVERAGE_ITEM: 0.543412±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.170528±0.0006, SHANNON_ENTROPY: 10.798051±0.0058, 
CrossSearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'HybridAvg': 3, 'UserDotCF': 23, 'UserCBF_CF': 13, 'S_PureSVD': 14} - results: ROC_AUC: 0.084674±0.0006, PRECISION: 0.011515±0.0001, PRECISION_RECALL_MIN_DEN: 0.115150±0.0012, RECALL: 0.115150±0.0012, MAP: 0.061111±0.0005, MRR: 0.061111±0.0005, NDCG: 0.073908±0.0006, F1: 0.020936±0.0002, HIT_RATE: 0.115150±0.0012, ARHR: 0.061111±0.0005, RMSE: 0.955248±0.0001, NOVELTY: 0.005856±0.0000, AVERAGE_POPULARITY: 0.373363±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.975698±0.0002, DIVERSITY_HERFINDAHL: 0.997564±0.0000, COVERAGE_ITEM: 0.443569±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145000±0.0008, SHANNON_ENTROPY: 10.137573±0.0056, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'HybridAvg': 0, 'UserDotCF': 23, 'UserCBF_CF': 18, 'S_PureSVD': 12} - results: ROC_AUC: 0.079395±0.0010, PRECISION: 0.010764±0.0002, PRECISION_RECALL_MIN_DEN: 0.107643±0.0020, RECALL: 0.107643±0.0020, MAP: 0.057908±0.0008, MRR: 0.057908±0.0008, NDCG: 0.069679±0.0009, F1: 0.019571±0.0004, HIT_RATE: 0.107643±0.0020, ARHR: 0.057908±0.0008, RMSE: 0.960780±0.0000, NOVELTY: 0.005644±0.0000, AVERAGE_POPULARITY: 0.449532±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.959716±0.0002, DIVERSITY_HERFINDAHL: 0.995966±0.0000, COVERAGE_ITEM: 0.308808±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123556±0.0007, SHANNON_ENTROPY: 9.383409±0.0061, 
CrossSearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'HybridAvg': 9, 'UserDotCF': 2, 'UserCBF_CF': 18, 'S_PureSVD': 2} - results: ROC_AUC: 0.086068±0.0005, PRECISION: 0.011827±0.0001, PRECISION_RECALL_MIN_DEN: 0.118271±0.0012, RECALL: 0.118271±0.0012, MAP: 0.061870±0.0004, MRR: 0.061870±0.0004, NDCG: 0.075210±0.0005, F1: 0.021504±0.0002, HIT_RATE: 0.118271±0.0012, ARHR: 0.061870±0.0004, RMSE: 0.975760±0.0001, NOVELTY: 0.006069±0.0000, AVERAGE_POPULARITY: 0.325226±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.981923±0.0002, DIVERSITY_HERFINDAHL: 0.998187±0.0000, COVERAGE_ITEM: 0.608921±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.175430±0.0003, SHANNON_ENTROPY: 10.738902±0.0088, 
CrossSearchBayesianSkoptObject: New best config found. Config 9: {'HybridAvg': 19, 'UserDotCF': 15, 'UserCBF_CF': 0, 'S_PureSVD': 16} - results: ROC_AUC: 0.087006±0.0005, PRECISION: 0.011841±0.0001, PRECISION_RECALL_MIN_DEN: 0.118408±0.0012, RECALL: 0.118408±0.0012, MAP: 0.062468±0.0004, MRR: 0.062468±0.0004, NDCG: 0.075724±0.0005, F1: 0.021529±0.0002, HIT_RATE: 0.118408±0.0012, ARHR: 0.062468±0.0004, RMSE: 0.949593±0.0001, NOVELTY: 0.006212±0.0000, AVERAGE_POPULARITY: 0.258247±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.989490±0.0001, DIVERSITY_HERFINDAHL: 0.998943±0.0000, COVERAGE_ITEM: 0.687775±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.200203±0.0005, SHANNON_ENTROPY: 11.283662±0.0063, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'HybridAvg': 1, 'UserDotCF': 18, 'UserCBF_CF': 1, 'S_PureSVD': 4} - results: ROC_AUC: 0.084830±0.0005, PRECISION: 0.011584±0.0001, PRECISION_RECALL_MIN_DEN: 0.115845±0.0013, RECALL: 0.115845±0.0013, MAP: 0.061143±0.0003, MRR: 0.061143±0.0003, NDCG: 0.074090±0.0005, F1: 0.021063±0.0002, HIT_RATE: 0.115845±0.0013, ARHR: 0.061143±0.0003, RMSE: 0.981154±0.0000, NOVELTY: 0.005868±0.0000, AVERAGE_POPULARITY: 0.386188±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.971811±0.0002, DIVERSITY_HERFINDAHL: 0.997176±0.0000, COVERAGE_ITEM: 0.480573±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144938±0.0007, SHANNON_ENTROPY: 10.105587±0.0068, 
