CrossSearchBayesianSkoptObject: New best config found. Config 0: {'ItemAvg': 18, 'NewUserCF': 19, 'NewPureSVD': 1, 'IALS': 20} - results: ROC_AUC: 0.055591±0.0025, PRECISION: 0.008640±0.0004, PRECISION_RECALL_MIN_DEN: 0.086405±0.0039, RECALL: 0.086405±0.0039, MAP: 0.037101±0.0022, MRR: 0.037101±0.0022, NDCG: 0.048595±0.0025, F1: 0.015710±0.0007, HIT_RATE: 0.086405±0.0039, ARHR: 0.037101±0.0022, RMSE: 0.957581±0.0006, NOVELTY: 0.005846±0.0000, AVERAGE_POPULARITY: 0.356798±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.971302±0.0002, DIVERSITY_HERFINDAHL: 0.997108±0.0000, COVERAGE_ITEM: 0.115977±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.232797±0.0021, SHANNON_ENTROPY: 9.285515±0.0062, 
CrossSearchBayesianSkoptObject: New best config found. Config 1: {'ItemAvg': 11, 'NewUserCF': 8, 'NewPureSVD': 4, 'IALS': 10} - results: ROC_AUC: 0.055666±0.0029, PRECISION: 0.008604±0.0004, PRECISION_RECALL_MIN_DEN: 0.086043±0.0043, RECALL: 0.086043±0.0043, MAP: 0.037109±0.0024, MRR: 0.037109±0.0024, NDCG: 0.048530±0.0028, F1: 0.015644±0.0008, HIT_RATE: 0.086043±0.0043, ARHR: 0.037109±0.0024, RMSE: 0.968156±0.0003, NOVELTY: 0.005911±0.0000, AVERAGE_POPULARITY: 0.327568±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.975228±0.0001, DIVERSITY_HERFINDAHL: 0.997501±0.0000, COVERAGE_ITEM: 0.121265±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.243174±0.0022, SHANNON_ENTROPY: 9.438383±0.0075, 
CrossSearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'ItemAvg': 10, 'NewUserCF': 8, 'NewPureSVD': 17, 'IALS': 17} - results: ROC_AUC: 0.053222±0.0023, PRECISION: 0.008153±0.0003, PRECISION_RECALL_MIN_DEN: 0.081527±0.0034, RECALL: 0.081527±0.0034, MAP: 0.035985±0.0024, MRR: 0.035985±0.0024, NDCG: 0.046612±0.0026, F1: 0.014823±0.0006, HIT_RATE: 0.081527±0.0034, ARHR: 0.035985±0.0024, RMSE: 0.930422±0.0005, NOVELTY: 0.005842±0.0000, AVERAGE_POPULARITY: 0.334542±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.976921±0.0001, DIVERSITY_HERFINDAHL: 0.997670±0.0000, COVERAGE_ITEM: 0.103239±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.264826±0.0007, SHANNON_ENTROPY: 9.384465±0.0058, 
CrossSearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'ItemAvg': 15, 'NewUserCF': 20, 'NewPureSVD': 10, 'IALS': 16} - results: ROC_AUC: 0.054748±0.0025, PRECISION: 0.008478±0.0004, PRECISION_RECALL_MIN_DEN: 0.084779±0.0042, RECALL: 0.084779±0.0042, MAP: 0.036522±0.0023, MRR: 0.036522±0.0023, NDCG: 0.047783±0.0026, F1: 0.015414±0.0008, HIT_RATE: 0.084779±0.0042, ARHR: 0.036522±0.0023, RMSE: 0.937406±0.0006, NOVELTY: 0.005798±0.0000, AVERAGE_POPULARITY: 0.366600±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.971537±0.0002, DIVERSITY_HERFINDAHL: 0.997132±0.0000, COVERAGE_ITEM: 0.105034±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.240596±0.0024, SHANNON_ENTROPY: 9.223549±0.0048, 
CrossSearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'ItemAvg': 18, 'NewUserCF': 5, 'NewPureSVD': 21, 'IALS': 11} - results: ROC_AUC: 0.054472±0.0026, PRECISION: 0.008446±0.0004, PRECISION_RECALL_MIN_DEN: 0.084463±0.0036, RECALL: 0.084463±0.0036, MAP: 0.036842±0.0025, MRR: 0.036842±0.0025, NDCG: 0.047936±0.0027, F1: 0.015357±0.0007, HIT_RATE: 0.084463±0.0036, ARHR: 0.036842±0.0025, RMSE: 0.917762±0.0006, NOVELTY: 0.005950±0.0000, AVERAGE_POPULARITY: 0.304718±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.978776±0.0001, DIVERSITY_HERFINDAHL: 0.997856±0.0000, COVERAGE_ITEM: 0.123255±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.257484±0.0019, SHANNON_ENTROPY: 9.576036±0.0061, 
CrossSearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'ItemAvg': 9, 'NewUserCF': 5, 'NewPureSVD': 14, 'IALS': 13} - results: ROC_AUC: 0.053633±0.0023, PRECISION: 0.008252±0.0004, PRECISION_RECALL_MIN_DEN: 0.082520±0.0037, RECALL: 0.082520±0.0037, MAP: 0.036211±0.0025, MRR: 0.036211±0.0025, NDCG: 0.047013±0.0027, F1: 0.015004±0.0007, HIT_RATE: 0.082520±0.0037, ARHR: 0.036211±0.0025, RMSE: 0.941641±0.0004, NOVELTY: 0.005866±0.0000, AVERAGE_POPULARITY: 0.326987±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.977471±0.0000, DIVERSITY_HERFINDAHL: 0.997725±0.0000, COVERAGE_ITEM: 0.107305±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.263637±0.0012, SHANNON_ENTROPY: 9.430233±0.0030, 
CrossSearchBayesianSkoptObject: New best config found. Config 6: {'ItemAvg': 22, 'NewUserCF': 17, 'NewPureSVD': 5, 'IALS': 12} - results: ROC_AUC: 0.055977±0.0027, PRECISION: 0.008668±0.0004, PRECISION_RECALL_MIN_DEN: 0.086676±0.0042, RECALL: 0.086676±0.0042, MAP: 0.037261±0.0022, MRR: 0.037261±0.0022, NDCG: 0.048788±0.0026, F1: 0.015759±0.0008, HIT_RATE: 0.086676±0.0042, ARHR: 0.037261±0.0022, RMSE: 0.949740±0.0006, NOVELTY: 0.005925±0.0000, AVERAGE_POPULARITY: 0.329061±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.974749±0.0001, DIVERSITY_HERFINDAHL: 0.997453±0.0000, COVERAGE_ITEM: 0.126337±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239540±0.0018, SHANNON_ENTROPY: 9.456972±0.0059, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'ItemAvg': 15, 'NewUserCF': 14, 'NewPureSVD': 20, 'IALS': 3} - results: ROC_AUC: 0.054226±0.0027, PRECISION: 0.008351±0.0003, PRECISION_RECALL_MIN_DEN: 0.083514±0.0032, RECALL: 0.083514±0.0032, MAP: 0.036560±0.0026, MRR: 0.036560±0.0026, NDCG: 0.047514±0.0027, F1: 0.015184±0.0006, HIT_RATE: 0.083514±0.0032, ARHR: 0.036560±0.0026, RMSE: 0.917608±0.0006, NOVELTY: 0.005858±0.0000, AVERAGE_POPULARITY: 0.338479±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.976392±0.0000, DIVERSITY_HERFINDAHL: 0.997617±0.0000, COVERAGE_ITEM: 0.110235±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.256228±0.0015, SHANNON_ENTROPY: 9.412730±0.0032, 
CrossSearchBayesianSkoptObject: New best config found. Config 8: {'ItemAvg': 22, 'NewUserCF': 12, 'NewPureSVD': 10, 'IALS': 10} - results: ROC_AUC: 0.055736±0.0028, PRECISION: 0.008704±0.0004, PRECISION_RECALL_MIN_DEN: 0.087037±0.0042, RECALL: 0.087037±0.0042, MAP: 0.037269±0.0023, MRR: 0.037269±0.0023, NDCG: 0.048865±0.0027, F1: 0.015825±0.0008, HIT_RATE: 0.087037±0.0042, ARHR: 0.037269±0.0023, RMSE: 0.942000±0.0006, NOVELTY: 0.005969±0.0000, AVERAGE_POPULARITY: 0.310528±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.976926±0.0001, DIVERSITY_HERFINDAHL: 0.997671±0.0000, COVERAGE_ITEM: 0.130078±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246134±0.0018, SHANNON_ENTROPY: 9.552773±0.0047, 
CrossSearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'ItemAvg': 18, 'NewUserCF': 17, 'NewPureSVD': 5, 'IALS': 8} - results: ROC_AUC: 0.055756±0.0027, PRECISION: 0.008659±0.0005, PRECISION_RECALL_MIN_DEN: 0.086585±0.0045, RECALL: 0.086585±0.0045, MAP: 0.037123±0.0023, MRR: 0.037123±0.0023, NDCG: 0.048658±0.0027, F1: 0.015743±0.0008, HIT_RATE: 0.086585±0.0045, ARHR: 0.037123±0.0023, RMSE: 0.953733±0.0005, NOVELTY: 0.005891±0.0000, AVERAGE_POPULARITY: 0.341035±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.973655±0.0001, DIVERSITY_HERFINDAHL: 0.997343±0.0000, COVERAGE_ITEM: 0.121687±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238531±0.0022, SHANNON_ENTROPY: 9.396788±0.0057, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'ItemAvg': 21, 'NewUserCF': 10, 'NewPureSVD': 7, 'IALS': 16} - results: ROC_AUC: 0.055942±0.0030, PRECISION: 0.008663±0.0004, PRECISION_RECALL_MIN_DEN: 0.086631±0.0038, RECALL: 0.086631±0.0038, MAP: 0.037264±0.0025, MRR: 0.037264±0.0025, NDCG: 0.048782±0.0027, F1: 0.015751±0.0007, HIT_RATE: 0.086631±0.0038, ARHR: 0.037264±0.0025, RMSE: 0.950032±0.0006, NOVELTY: 0.005975±0.0000, AVERAGE_POPULARITY: 0.308185±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.976780±0.0001, DIVERSITY_HERFINDAHL: 0.997656±0.0000, COVERAGE_ITEM: 0.131365±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244252±0.0015, SHANNON_ENTROPY: 9.551777±0.0044, 
