CrossSearchBayesianSkoptObject: New best config found. Config 0: {'ItemAvgLT23': 0, 'ItemAvgOld': 9} - results: ROC_AUC: 0.055435±0.0024, PRECISION: 0.008722±0.0004, PRECISION_RECALL_MIN_DEN: 0.087218±0.0038, RECALL: 0.087218±0.0038, MAP: 0.036811±0.0022, MRR: 0.036811±0.0022, NDCG: 0.048546±0.0025, F1: 0.015858±0.0007, HIT_RATE: 0.087218±0.0038, ARHR: 0.036811±0.0022, RMSE: 0.929899±0.0053, NOVELTY: 0.006038±0.0000, AVERAGE_POPULARITY: 0.301215±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.975381±0.0001, DIVERSITY_HERFINDAHL: 0.997516±0.0000, COVERAGE_ITEM: 0.157859±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.229344±0.0012, SHANNON_ENTROPY: 9.642087±0.0016, 
CrossSearchBayesianSkoptObject: New best config found. Config 1: {'ItemAvgLT23': 8, 'ItemAvgOld': 11} - results: ROC_AUC: 0.056364±0.0025, PRECISION: 0.008803±0.0005, PRECISION_RECALL_MIN_DEN: 0.088031±0.0046, RECALL: 0.088031±0.0046, MAP: 0.037598±0.0021, MRR: 0.037598±0.0021, NDCG: 0.049345±0.0026, F1: 0.016006±0.0008, HIT_RATE: 0.088031±0.0046, ARHR: 0.037598±0.0021, RMSE: 1.143752±0.0139, NOVELTY: 0.006090±0.0000, AVERAGE_POPULARITY: 0.284312±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.977611±0.0001, DIVERSITY_HERFINDAHL: 0.997739±0.0000, COVERAGE_ITEM: 0.155458±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244436±0.0016, SHANNON_ENTROPY: 9.740823±0.0025, 
CrossSearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'ItemAvgLT23': 6, 'ItemAvgOld': 8} - results: ROC_AUC: 0.056364±0.0025, PRECISION: 0.008799±0.0005, PRECISION_RECALL_MIN_DEN: 0.087986±0.0046, RECALL: 0.087986±0.0046, MAP: 0.037565±0.0020, MRR: 0.037565±0.0020, NDCG: 0.049310±0.0025, F1: 0.015997±0.0008, HIT_RATE: 0.087986±0.0046, ARHR: 0.037565±0.0020, RMSE: 1.024062±0.0099, NOVELTY: 0.006091±0.0000, AVERAGE_POPULARITY: 0.283965±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.977661±0.0001, DIVERSITY_HERFINDAHL: 0.997744±0.0000, COVERAGE_ITEM: 0.155610±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.244558±0.0015, SHANNON_ENTROPY: 9.743320±0.0023, 
CrossSearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'ItemAvgLT23': 2, 'ItemAvgOld': 4} - results: ROC_AUC: 0.056133±0.0025, PRECISION: 0.008821±0.0004, PRECISION_RECALL_MIN_DEN: 0.088211±0.0040, RECALL: 0.088211±0.0040, MAP: 0.037461±0.0020, MRR: 0.037461±0.0020, NDCG: 0.049272±0.0024, F1: 0.016038±0.0007, HIT_RATE: 0.088211±0.0040, ARHR: 0.037461±0.0020, RMSE: 0.895420±0.0024, NOVELTY: 0.006077±0.0000, AVERAGE_POPULARITY: 0.288010±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.977107±0.0001, DIVERSITY_HERFINDAHL: 0.997689±0.0000, COVERAGE_ITEM: 0.154982±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.241789±0.0011, SHANNON_ENTROPY: 9.716142±0.0011, 
CrossSearchBayesianSkoptObject: New best config found. Config 4: {'ItemAvgLT23': 16, 'ItemAvgOld': 8} - results: ROC_AUC: 0.056574±0.0025, PRECISION: 0.008803±0.0004, PRECISION_RECALL_MIN_DEN: 0.088031±0.0039, RECALL: 0.088031±0.0039, MAP: 0.037764±0.0020, MRR: 0.037764±0.0020, NDCG: 0.049483±0.0024, F1: 0.016006±0.0007, HIT_RATE: 0.088031±0.0039, ARHR: 0.037764±0.0020, RMSE: 1.257731±0.0181, NOVELTY: 0.006129±0.0000, AVERAGE_POPULARITY: 0.273823±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.978933±0.0001, DIVERSITY_HERFINDAHL: 0.997871±0.0000, COVERAGE_ITEM: 0.159048±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.249953±0.0017, SHANNON_ENTROPY: 9.814469±0.0039, 
CrossSearchBayesianSkoptObject: New best config found. Config 5: {'ItemAvgLT23': 15, 'ItemAvgOld': 9} - results: ROC_AUC: 0.056619±0.0024, PRECISION: 0.008799±0.0004, PRECISION_RECALL_MIN_DEN: 0.087986±0.0040, RECALL: 0.087986±0.0040, MAP: 0.037816±0.0019, MRR: 0.037816±0.0019, NDCG: 0.049512±0.0023, F1: 0.015997±0.0007, HIT_RATE: 0.087986±0.0040, ARHR: 0.037816±0.0019, RMSE: 1.260491±0.0181, NOVELTY: 0.006122±0.0000, AVERAGE_POPULARITY: 0.275537±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.978698±0.0001, DIVERSITY_HERFINDAHL: 0.997848±0.0000, COVERAGE_ITEM: 0.158075±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.249369±0.0016, SHANNON_ENTROPY: 9.801045±0.0040, 
CrossSearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'ItemAvgLT23': 8, 'ItemAvgOld': 13} - results: ROC_AUC: 0.056258±0.0025, PRECISION: 0.008780±0.0004, PRECISION_RECALL_MIN_DEN: 0.087805±0.0042, RECALL: 0.087805±0.0042, MAP: 0.037515±0.0021, MRR: 0.037515±0.0021, NDCG: 0.049229±0.0025, F1: 0.015965±0.0008, HIT_RATE: 0.087805±0.0042, ARHR: 0.037515±0.0021, RMSE: 1.197928±0.0156, NOVELTY: 0.006084±0.0000, AVERAGE_POPULARITY: 0.286007±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.977379±0.0001, DIVERSITY_HERFINDAHL: 0.997716±0.0000, COVERAGE_ITEM: 0.155372±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.243051±0.0014, SHANNON_ENTROPY: 9.729604±0.0024, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'ItemAvgLT23': 3, 'ItemAvgOld': 15} - results: ROC_AUC: 0.055842±0.0025, PRECISION: 0.008830±0.0004, PRECISION_RECALL_MIN_DEN: 0.088302±0.0038, RECALL: 0.088302±0.0038, MAP: 0.037233±0.0022, MRR: 0.037233±0.0022, NDCG: 0.049109±0.0025, F1: 0.016055±0.0007, HIT_RATE: 0.088302±0.0038, ARHR: 0.037233±0.0022, RMSE: 1.131667±0.0131, NOVELTY: 0.006056±0.0000, AVERAGE_POPULARITY: 0.294677±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.976233±0.0001, DIVERSITY_HERFINDAHL: 0.997601±0.0000, COVERAGE_ITEM: 0.155707±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.235942±0.0012, SHANNON_ENTROPY: 9.676870±0.0020, 
CrossSearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'ItemAvgLT23': 14, 'ItemAvgOld': 7} - results: ROC_AUC: 0.056574±0.0025, PRECISION: 0.008803±0.0004, PRECISION_RECALL_MIN_DEN: 0.088031±0.0039, RECALL: 0.088031±0.0039, MAP: 0.037764±0.0020, MRR: 0.037764±0.0020, NDCG: 0.049483±0.0024, F1: 0.016006±0.0007, HIT_RATE: 0.088031±0.0039, ARHR: 0.037764±0.0020, RMSE: 1.181786±0.0155, NOVELTY: 0.006129±0.0000, AVERAGE_POPULARITY: 0.273823±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.978933±0.0001, DIVERSITY_HERFINDAHL: 0.997871±0.0000, COVERAGE_ITEM: 0.159048±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.249953±0.0017, SHANNON_ENTROPY: 9.814469±0.0039, 
CrossSearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'ItemAvgLT23': 3, 'ItemAvgOld': 18} - results: ROC_AUC: 0.055796±0.0025, PRECISION: 0.008808±0.0004, PRECISION_RECALL_MIN_DEN: 0.088076±0.0039, RECALL: 0.088076±0.0039, MAP: 0.037156±0.0022, MRR: 0.037156±0.0022, NDCG: 0.049002±0.0025, F1: 0.016014±0.0007, HIT_RATE: 0.088076±0.0039, ARHR: 0.037156±0.0022, RMSE: 1.215140±0.0155, NOVELTY: 0.006054±0.0000, AVERAGE_POPULARITY: 0.295640±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.976117±0.0001, DIVERSITY_HERFINDAHL: 0.997590±0.0000, COVERAGE_ITEM: 0.155880±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.235035±0.0014, SHANNON_ENTROPY: 9.671422±0.0029, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'ItemAvgLT23': 4, 'ItemAvgOld': 20} - results: ROC_AUC: 0.055842±0.0025, PRECISION: 0.008830±0.0004, PRECISION_RECALL_MIN_DEN: 0.088302±0.0038, RECALL: 0.088302±0.0038, MAP: 0.037233±0.0022, MRR: 0.037233±0.0022, NDCG: 0.049109±0.0025, F1: 0.016055±0.0007, HIT_RATE: 0.088302±0.0038, ARHR: 0.037233±0.0022, RMSE: 1.298926±0.0179, NOVELTY: 0.006056±0.0000, AVERAGE_POPULARITY: 0.294677±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.976233±0.0001, DIVERSITY_HERFINDAHL: 0.997601±0.0000, COVERAGE_ITEM: 0.155707±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.235942±0.0012, SHANNON_ENTROPY: 9.676870±0.0020, 
