SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 23, 'USER_CBF_CF': 0.33131559797277516, 'ITEM_CBF_CF': 0.24162854680785023, 'RP3BETA_SIDE': 0.7108171226316837, 'ITEM_CBF_FW': 0.019581417310003627, 'PURE_SVD_SIDE': 0.4193355473843263, 'IALS_SIDE': 0.651171693649568} - results: ROC_AUC: 0.0498458, PRECISION: 0.0076040, PRECISION_RECALL_MIN_DEN: 0.0760397, RECALL: 0.0760397, MAP: 0.0394008, MRR: 0.0394008, NDCG: 0.0477611, F1: 0.0138254, HIT_RATE: 0.0760397, ARHR: 0.0394008, RMSE: 0.0000000, NOVELTY: 0.0064313, AVERAGE_POPULARITY: 0.1871862, DIVERSITY_MEAN_INTER_LIST: 0.9935739, DIVERSITY_HERFINDAHL: 0.9993530, COVERAGE_ITEM: 0.8978102, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2971798, SHANNON_ENTROPY: 12.2420988, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 8, 'USER_CBF_CF': 0.29494816334837554, 'ITEM_CBF_CF': 0.158475685355045, 'RP3BETA_SIDE': 0.16144505083917318, 'ITEM_CBF_FW': 0.5621572329860338, 'PURE_SVD_SIDE': 0.9478759465232129, 'IALS_SIDE': 0.017211213875701906} - results: ROC_AUC: 0.0419832, PRECISION: 0.0058171, PRECISION_RECALL_MIN_DEN: 0.0581715, RECALL: 0.0581715, MAP: 0.0348455, MRR: 0.0348455, NDCG: 0.0402086, F1: 0.0105766, HIT_RATE: 0.0581715, ARHR: 0.0348455, RMSE: 0.0000000, NOVELTY: 0.0065373, AVERAGE_POPULARITY: 0.1596348, DIVERSITY_MEAN_INTER_LIST: 0.9948250, DIVERSITY_HERFINDAHL: 0.9994781, COVERAGE_ITEM: 0.8875372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2923794, SHANNON_ENTROPY: 12.3068578, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 9, 'USER_CBF_CF': 0.31188055515866336, 'ITEM_CBF_CF': 0.752415760202946, 'RP3BETA_SIDE': 0.5145498983153084, 'ITEM_CBF_FW': 0.1993441225782297, 'PURE_SVD_SIDE': 0.6764756515186439, 'IALS_SIDE': 0.5115826844029198} - results: ROC_AUC: 0.0288394, PRECISION: 0.0052984, PRECISION_RECALL_MIN_DEN: 0.0529839, RECALL: 0.0529839, MAP: 0.0233379, MRR: 0.0233379, NDCG: 0.0299452, F1: 0.0096334, HIT_RATE: 0.0529839, ARHR: 0.0233379, RMSE: 0.0000000, NOVELTY: 0.0065427, AVERAGE_POPULARITY: 0.1586711, DIVERSITY_MEAN_INTER_LIST: 0.9948713, DIVERSITY_HERFINDAHL: 0.9994827, COVERAGE_ITEM: 0.9021898, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3041408, SHANNON_ENTROPY: 12.3780397, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 45, 'USER_CBF_CF': 0.7882345490649824, 'ITEM_CBF_CF': 0.3875248392858929, 'RP3BETA_SIDE': 0.2696644040099358, 'ITEM_CBF_FW': 0.47242907220478303, 'PURE_SVD_SIDE': 0.39141544571501674, 'IALS_SIDE': 0.12803624584391785} - results: ROC_AUC: 0.0544373, PRECISION: 0.0079454, PRECISION_RECALL_MIN_DEN: 0.0794538, RECALL: 0.0794538, MAP: 0.0423347, MRR: 0.0423347, NDCG: 0.0508930, F1: 0.0144461, HIT_RATE: 0.0794538, ARHR: 0.0423347, RMSE: 0.0000000, NOVELTY: 0.0064598, AVERAGE_POPULARITY: 0.1781269, DIVERSITY_MEAN_INTER_LIST: 0.9940793, DIVERSITY_HERFINDAHL: 0.9994035, COVERAGE_ITEM: 0.8867802, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2934949, SHANNON_ENTROPY: 12.2498962, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 17, 'USER_CBF_CF': 0.2634750382221805, 'ITEM_CBF_CF': 0.5993277473468152, 'RP3BETA_SIDE': 0.6069133929469198, 'ITEM_CBF_FW': 0.505817851228304, 'PURE_SVD_SIDE': 0.829421946073667, 'IALS_SIDE': 0.6972353544012576} - results: ROC_AUC: 0.0457667, PRECISION: 0.0072714, PRECISION_RECALL_MIN_DEN: 0.0727144, RECALL: 0.0727144, MAP: 0.0352270, MRR: 0.0352270, NDCG: 0.0437577, F1: 0.0132208, HIT_RATE: 0.0727144, ARHR: 0.0352270, RMSE: 0.0000000, NOVELTY: 0.0064539, AVERAGE_POPULARITY: 0.1893858, DIVERSITY_MEAN_INTER_LIST: 0.9937900, DIVERSITY_HERFINDAHL: 0.9993746, COVERAGE_ITEM: 0.8919167, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2906020, SHANNON_ENTROPY: 12.2306655, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 35, 'USER_CBF_CF': 0.36012807169760513, 'ITEM_CBF_CF': 0.6171356750561935, 'RP3BETA_SIDE': 0.7361866112676995, 'ITEM_CBF_FW': 0.22470374987993652, 'PURE_SVD_SIDE': 0.28342263956309593, 'IALS_SIDE': 0.7009311354418372} - results: ROC_AUC: 0.0533140, PRECISION: 0.0079276, PRECISION_RECALL_MIN_DEN: 0.0792764, RECALL: 0.0792764, MAP: 0.0404017, MRR: 0.0404017, NDCG: 0.0493741, F1: 0.0144139, HIT_RATE: 0.0792764, ARHR: 0.0404017, RMSE: 0.0000000, NOVELTY: 0.0063757, AVERAGE_POPULARITY: 0.2004297, DIVERSITY_MEAN_INTER_LIST: 0.9927099, DIVERSITY_HERFINDAHL: 0.9992666, COVERAGE_ITEM: 0.8957556, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2909038, SHANNON_ENTROPY: 12.1421022, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 10, 'USER_CBF_CF': 0.23490308250942887, 'ITEM_CBF_CF': 0.46761687135000884, 'RP3BETA_SIDE': 0.4941711778958452, 'ITEM_CBF_FW': 0.9490818536182313, 'PURE_SVD_SIDE': 0.5187791331487354, 'IALS_SIDE': 0.24138071279797052} - results: ROC_AUC: 0.0396875, PRECISION: 0.0062162, PRECISION_RECALL_MIN_DEN: 0.0621619, RECALL: 0.0621619, MAP: 0.0331573, MRR: 0.0331573, NDCG: 0.0396917, F1: 0.0113022, HIT_RATE: 0.0621619, ARHR: 0.0331573, RMSE: 0.0000000, NOVELTY: 0.0064877, AVERAGE_POPULARITY: 0.1717944, DIVERSITY_MEAN_INTER_LIST: 0.9946359, DIVERSITY_HERFINDAHL: 0.9994592, COVERAGE_ITEM: 0.8926196, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2911832, SHANNON_ENTROPY: 12.2889910, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 40, 'USER_CBF_CF': 0.0016975405817841742, 'ITEM_CBF_CF': 0.15066343899980097, 'RP3BETA_SIDE': 0.038246214808092656, 'ITEM_CBF_FW': 0.03082006312374131, 'PURE_SVD_SIDE': 0.9165282462653503, 'IALS_SIDE': 1.4890661769073613e-05} - results: ROC_AUC: 0.0499443, PRECISION: 0.0074089, PRECISION_RECALL_MIN_DEN: 0.0740889, RECALL: 0.0740889, MAP: 0.0378290, MRR: 0.0378290, NDCG: 0.0462094, F1: 0.0134707, HIT_RATE: 0.0740889, ARHR: 0.0378290, RMSE: 0.0000000, NOVELTY: 0.0064270, AVERAGE_POPULARITY: 0.2066199, DIVERSITY_MEAN_INTER_LIST: 0.9923461, DIVERSITY_HERFINDAHL: 0.9992302, COVERAGE_ITEM: 0.8486077, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2596278, SHANNON_ENTROPY: 11.9625717, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 7, 'USER_CBF_CF': 0.22158269374465173, 'ITEM_CBF_CF': 0.969255017839799, 'RP3BETA_SIDE': 0.3154670593356889, 'ITEM_CBF_FW': 0.7970150603280789, 'PURE_SVD_SIDE': 0.021511961580711118, 'IALS_SIDE': 0.007510910310220666} - results: ROC_AUC: 0.0459884, PRECISION: 0.0061098, PRECISION_RECALL_MIN_DEN: 0.0610978, RECALL: 0.0610978, MAP: 0.0374224, MRR: 0.0374224, NDCG: 0.0429357, F1: 0.0111087, HIT_RATE: 0.0610978, ARHR: 0.0374224, RMSE: 0.0000000, NOVELTY: 0.0065057, AVERAGE_POPULARITY: 0.1654395, DIVERSITY_MEAN_INTER_LIST: 0.9945458, DIVERSITY_HERFINDAHL: 0.9994502, COVERAGE_ITEM: 0.8816978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2811189, SHANNON_ENTROPY: 12.2178907, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 5, 'USER_CBF_CF': 0.31668944355582956, 'ITEM_CBF_CF': 0.9836164174023099, 'RP3BETA_SIDE': 0.6769072469670175, 'ITEM_CBF_FW': 0.444836504319325, 'PURE_SVD_SIDE': 0.09736408375803565, 'IALS_SIDE': 0.8669784540122589} - results: ROC_AUC: 0.0296572, PRECISION: 0.0043983, PRECISION_RECALL_MIN_DEN: 0.0439833, RECALL: 0.0439833, MAP: 0.0244063, MRR: 0.0244063, NDCG: 0.0288507, F1: 0.0079970, HIT_RATE: 0.0439833, ARHR: 0.0244063, RMSE: 0.0000000, NOVELTY: 0.0065645, AVERAGE_POPULARITY: 0.1593820, DIVERSITY_MEAN_INTER_LIST: 0.9941423, DIVERSITY_HERFINDAHL: 0.9994098, COVERAGE_ITEM: 0.8964585, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2924481, SHANNON_ENTROPY: 12.2640448, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 8, 'USER_CBF_CF': 0.5140139961307999, 'ITEM_CBF_CF': 0.5321818096069294, 'RP3BETA_SIDE': 0.7781612425723672, 'ITEM_CBF_FW': 0.6116926056456212, 'PURE_SVD_SIDE': 0.6834089664410067, 'IALS_SIDE': 0.8865247703102662} - results: ROC_AUC: 0.0377267, PRECISION: 0.0055777, PRECISION_RECALL_MIN_DEN: 0.0557772, RECALL: 0.0557772, MAP: 0.0319229, MRR: 0.0319229, NDCG: 0.0373223, F1: 0.0101413, HIT_RATE: 0.0557772, ARHR: 0.0319229, RMSE: 0.0000000, NOVELTY: 0.0065402, AVERAGE_POPULARITY: 0.1598702, DIVERSITY_MEAN_INTER_LIST: 0.9947989, DIVERSITY_HERFINDAHL: 0.9994755, COVERAGE_ITEM: 0.8928900, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2998139, SHANNON_ENTROPY: 12.3417735, 
