SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 23, 'USER_CBF_CF': 0.33131559797277516, 'ITEM_CBF_CF': 0.24162854680785023, 'RP3BETA_SIDE': 0.7108171226316837, 'ITEM_CBF_FW': 0.019581417310003627, 'PURE_SVD_SIDE': 0.4193355473843263, 'IALS_SIDE': 0.651171693649568} - results: ROC_AUC: 0.0747194, PRECISION: 0.0106367, PRECISION_RECALL_MIN_DEN: 0.1063669, RECALL: 0.1063669, MAP: 0.0529935, MRR: 0.0529935, NDCG: 0.0655362, F1: 0.0193394, HIT_RATE: 0.1063669, ARHR: 0.0529935, RMSE: 0.0000000, NOVELTY: 0.0062023, AVERAGE_POPULARITY: 0.2564849, DIVERSITY_MEAN_INTER_LIST: 0.9873650, DIVERSITY_HERFINDAHL: 0.9987321, COVERAGE_ITEM: 0.6819140, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1633649, SHANNON_ENTROPY: 10.9116698, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 8, 'USER_CBF_CF': 0.29494816334837554, 'ITEM_CBF_CF': 0.158475685355045, 'RP3BETA_SIDE': 0.16144505083917318, 'ITEM_CBF_FW': 0.5621572329860338, 'PURE_SVD_SIDE': 0.9478759465232129, 'IALS_SIDE': 0.017211213875701906} - results: ROC_AUC: 0.0717734, PRECISION: 0.0105791, PRECISION_RECALL_MIN_DEN: 0.1057905, RECALL: 0.1057905, MAP: 0.0489249, MRR: 0.0489249, NDCG: 0.0622705, F1: 0.0192346, HIT_RATE: 0.1057905, ARHR: 0.0489249, RMSE: 0.0000000, NOVELTY: 0.0062056, AVERAGE_POPULARITY: 0.2607302, DIVERSITY_MEAN_INTER_LIST: 0.9862607, DIVERSITY_HERFINDAHL: 0.9986217, COVERAGE_ITEM: 0.7465261, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1782166, SHANNON_ENTROPY: 11.0287880, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 9, 'USER_CBF_CF': 0.31188055515866336, 'ITEM_CBF_CF': 0.752415760202946, 'RP3BETA_SIDE': 0.5145498983153084, 'ITEM_CBF_FW': 0.1993441225782297, 'PURE_SVD_SIDE': 0.6764756515186439, 'IALS_SIDE': 0.5115826844029198} - results: ROC_AUC: 0.0746111, PRECISION: 0.0107564, PRECISION_RECALL_MIN_DEN: 0.1075641, RECALL: 0.1075641, MAP: 0.0511944, MRR: 0.0511944, NDCG: 0.0644639, F1: 0.0195571, HIT_RATE: 0.1075641, ARHR: 0.0511944, RMSE: 0.0000000, NOVELTY: 0.0062194, AVERAGE_POPULARITY: 0.2628703, DIVERSITY_MEAN_INTER_LIST: 0.9860969, DIVERSITY_HERFINDAHL: 0.9986053, COVERAGE_ITEM: 0.7290619, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1716113, SHANNON_ENTROPY: 10.9622995, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 45, 'USER_CBF_CF': 0.7882345490649824, 'ITEM_CBF_CF': 0.3875248392858929, 'RP3BETA_SIDE': 0.2696644040099358, 'ITEM_CBF_FW': 0.47242907220478303, 'PURE_SVD_SIDE': 0.39141544571501674, 'IALS_SIDE': 0.12803624584391785} - results: ROC_AUC: 0.0724139, PRECISION: 0.0104106, PRECISION_RECALL_MIN_DEN: 0.1041057, RECALL: 0.1041057, MAP: 0.0499061, MRR: 0.0499061, NDCG: 0.0626708, F1: 0.0189283, HIT_RATE: 0.1041057, ARHR: 0.0499061, RMSE: 0.0000000, NOVELTY: 0.0061527, AVERAGE_POPULARITY: 0.2715447, DIVERSITY_MEAN_INTER_LIST: 0.9859262, DIVERSITY_HERFINDAHL: 0.9985883, COVERAGE_ITEM: 0.6796431, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1611503, SHANNON_ENTROPY: 10.8297212, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 17, 'USER_CBF_CF': 0.2634750382221805, 'ITEM_CBF_CF': 0.5993277473468152, 'RP3BETA_SIDE': 0.6069133929469198, 'ITEM_CBF_FW': 0.505817851228304, 'PURE_SVD_SIDE': 0.829421946073667, 'IALS_SIDE': 0.6972353544012576} - results: ROC_AUC: 0.0732366, PRECISION: 0.0106367, PRECISION_RECALL_MIN_DEN: 0.1063669, RECALL: 0.1063669, MAP: 0.0507104, MRR: 0.0507104, NDCG: 0.0637863, F1: 0.0193394, HIT_RATE: 0.1063669, ARHR: 0.0507104, RMSE: 0.0000000, NOVELTY: 0.0062230, AVERAGE_POPULARITY: 0.2492746, DIVERSITY_MEAN_INTER_LIST: 0.9871239, DIVERSITY_HERFINDAHL: 0.9987080, COVERAGE_ITEM: 0.7099216, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1669133, SHANNON_ENTROPY: 10.9487159, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 35, 'USER_CBF_CF': 0.36012807169760513, 'ITEM_CBF_CF': 0.6171356750561935, 'RP3BETA_SIDE': 0.7361866112676995, 'ITEM_CBF_FW': 0.22470374987993652, 'PURE_SVD_SIDE': 0.28342263956309593, 'IALS_SIDE': 0.7009311354418372} - results: ROC_AUC: 0.0723597, PRECISION: 0.0105613, PRECISION_RECALL_MIN_DEN: 0.1056132, RECALL: 0.1056132, MAP: 0.0495752, MRR: 0.0495752, NDCG: 0.0627389, F1: 0.0192024, HIT_RATE: 0.1056132, ARHR: 0.0495752, RMSE: 0.0000000, NOVELTY: 0.0062437, AVERAGE_POPULARITY: 0.2498015, DIVERSITY_MEAN_INTER_LIST: 0.9874550, DIVERSITY_HERFINDAHL: 0.9987411, COVERAGE_ITEM: 0.6753177, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1617269, SHANNON_ENTROPY: 10.9064644, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 10, 'USER_CBF_CF': 0.23490308250942887, 'ITEM_CBF_CF': 0.46761687135000884, 'RP3BETA_SIDE': 0.4941711778958452, 'ITEM_CBF_FW': 0.9490818536182313, 'PURE_SVD_SIDE': 0.5187791331487354, 'IALS_SIDE': 0.24138071279797052} - results: ROC_AUC: 0.0732711, PRECISION: 0.0107298, PRECISION_RECALL_MIN_DEN: 0.1072980, RECALL: 0.1072980, MAP: 0.0497890, MRR: 0.0497890, NDCG: 0.0633069, F1: 0.0195087, HIT_RATE: 0.1072980, ARHR: 0.0497890, RMSE: 0.0000000, NOVELTY: 0.0062408, AVERAGE_POPULARITY: 0.2523174, DIVERSITY_MEAN_INTER_LIST: 0.9863621, DIVERSITY_HERFINDAHL: 0.9986318, COVERAGE_ITEM: 0.7486888, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1787285, SHANNON_ENTROPY: 11.0423518, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 40, 'USER_CBF_CF': 0.0016975405817841742, 'ITEM_CBF_CF': 0.15066343899980097, 'RP3BETA_SIDE': 0.038246214808092656, 'ITEM_CBF_FW': 0.03082006312374131, 'PURE_SVD_SIDE': 0.9165282462653503, 'IALS_SIDE': 1.4890661769073613e-05} - results: ROC_AUC: 0.0681229, PRECISION: 0.0101135, PRECISION_RECALL_MIN_DEN: 0.1011351, RECALL: 0.1011351, MAP: 0.0470777, MRR: 0.0470777, NDCG: 0.0597305, F1: 0.0183882, HIT_RATE: 0.1011351, ARHR: 0.0470777, RMSE: 0.0000000, NOVELTY: 0.0062239, AVERAGE_POPULARITY: 0.2427453, DIVERSITY_MEAN_INTER_LIST: 0.9878956, DIVERSITY_HERFINDAHL: 0.9987852, COVERAGE_ITEM: 0.7386321, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1698980, SHANNON_ENTROPY: 11.0126879, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 7, 'USER_CBF_CF': 0.22158269374465173, 'ITEM_CBF_CF': 0.969255017839799, 'RP3BETA_SIDE': 0.3154670593356889, 'ITEM_CBF_FW': 0.7970150603280789, 'PURE_SVD_SIDE': 0.021511961580711118, 'IALS_SIDE': 0.007510910310220666} - results: ROC_AUC: 0.0741628, PRECISION: 0.0106012, PRECISION_RECALL_MIN_DEN: 0.1060122, RECALL: 0.1060122, MAP: 0.0498179, MRR: 0.0498179, NDCG: 0.0631066, F1: 0.0192750, HIT_RATE: 0.1060122, ARHR: 0.0498179, RMSE: 0.0000000, NOVELTY: 0.0062333, AVERAGE_POPULARITY: 0.2591450, DIVERSITY_MEAN_INTER_LIST: 0.9862598, DIVERSITY_HERFINDAHL: 0.9986216, COVERAGE_ITEM: 0.7523655, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1826290, SHANNON_ENTROPY: 11.0770733, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 5, 'USER_CBF_CF': 0.31668944355582956, 'ITEM_CBF_CF': 0.9836164174023099, 'RP3BETA_SIDE': 0.6769072469670175, 'ITEM_CBF_FW': 0.444836504319325, 'PURE_SVD_SIDE': 0.09736408375803565, 'IALS_SIDE': 0.8669784540122589} - results: ROC_AUC: 0.0756210, PRECISION: 0.0103707, PRECISION_RECALL_MIN_DEN: 0.1037067, RECALL: 0.1037067, MAP: 0.0520959, MRR: 0.0520959, NDCG: 0.0643789, F1: 0.0188558, HIT_RATE: 0.1037067, ARHR: 0.0520959, RMSE: 0.0000000, NOVELTY: 0.0062305, AVERAGE_POPULARITY: 0.2525541, DIVERSITY_MEAN_INTER_LIST: 0.9876658, DIVERSITY_HERFINDAHL: 0.9987622, COVERAGE_ITEM: 0.7925385, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1916731, SHANNON_ENTROPY: 11.2264717, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'voting', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 8, 'USER_CBF_CF': 0.5140139961307999, 'ITEM_CBF_CF': 0.5321818096069294, 'RP3BETA_SIDE': 0.7781612425723672, 'ITEM_CBF_FW': 0.6116926056456212, 'PURE_SVD_SIDE': 0.6834089664410067, 'IALS_SIDE': 0.8865247703102662} - results: ROC_AUC: 0.0752072, PRECISION: 0.0107387, PRECISION_RECALL_MIN_DEN: 0.1073867, RECALL: 0.1073867, MAP: 0.0516875, MRR: 0.0516875, NDCG: 0.0648251, F1: 0.0195249, HIT_RATE: 0.1073867, ARHR: 0.0516875, RMSE: 0.0000000, NOVELTY: 0.0062096, AVERAGE_POPULARITY: 0.2603834, DIVERSITY_MEAN_INTER_LIST: 0.9864016, DIVERSITY_HERFINDAHL: 0.9986358, COVERAGE_ITEM: 0.7366315, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1742693, SHANNON_ENTROPY: 11.0028419, 
