SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 23, 'USER_CBF_CF': 0.33131559797277516, 'ITEM_CBF_CF': 0.24162854680785023, 'RP3BETA_SIDE': 0.7108171226316837, 'ITEM_CBF_FW': 0.019581417310003627, 'PURE_SVD_SIDE': 0.4193355473843263, 'IALS_SIDE': 0.651171693649568} - results: ROC_AUC: 0.0754584, PRECISION: 0.0106500, PRECISION_RECALL_MIN_DEN: 0.1065000, RECALL: 0.1065000, MAP: 0.0538215, MRR: 0.0538215, NDCG: 0.0662156, F1: 0.0193636, HIT_RATE: 0.1065000, ARHR: 0.0538215, RMSE: 0.0000000, NOVELTY: 0.0061262, AVERAGE_POPULARITY: 0.2848622, DIVERSITY_MEAN_INTER_LIST: 0.9853159, DIVERSITY_HERFINDAHL: 0.9985272, COVERAGE_ITEM: 0.7139227, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1713218, SHANNON_ENTROPY: 10.9217852, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 8, 'USER_CBF_CF': 0.29494816334837554, 'ITEM_CBF_CF': 0.158475685355045, 'RP3BETA_SIDE': 0.16144505083917318, 'ITEM_CBF_FW': 0.5621572329860338, 'PURE_SVD_SIDE': 0.9478759465232129, 'IALS_SIDE': 0.017211213875701906} - results: ROC_AUC: 0.0748771, PRECISION: 0.0107697, PRECISION_RECALL_MIN_DEN: 0.1076971, RECALL: 0.1076971, MAP: 0.0529702, MRR: 0.0529702, NDCG: 0.0658092, F1: 0.0195813, HIT_RATE: 0.1076971, ARHR: 0.0529702, RMSE: 0.0000000, NOVELTY: 0.0061392, AVERAGE_POPULARITY: 0.2746929, DIVERSITY_MEAN_INTER_LIST: 0.9863221, DIVERSITY_HERFINDAHL: 0.9986278, COVERAGE_ITEM: 0.7467424, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1791919, SHANNON_ENTROPY: 11.0421780, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 9, 'USER_CBF_CF': 0.31188055515866336, 'ITEM_CBF_CF': 0.752415760202946, 'RP3BETA_SIDE': 0.5145498983153084, 'ITEM_CBF_FW': 0.1993441225782297, 'PURE_SVD_SIDE': 0.6764756515186439, 'IALS_SIDE': 0.5115826844029198} - results: ROC_AUC: 0.0753155, PRECISION: 0.0107165, PRECISION_RECALL_MIN_DEN: 0.1071650, RECALL: 0.1071650, MAP: 0.0533783, MRR: 0.0533783, NDCG: 0.0660163, F1: 0.0194846, HIT_RATE: 0.1071650, ARHR: 0.0533783, RMSE: 0.0000000, NOVELTY: 0.0061433, AVERAGE_POPULARITY: 0.2772176, DIVERSITY_MEAN_INTER_LIST: 0.9857218, DIVERSITY_HERFINDAHL: 0.9985678, COVERAGE_ITEM: 0.7344147, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1725522, SHANNON_ENTROPY: 10.9594444, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 45, 'USER_CBF_CF': 0.7882345490649824, 'ITEM_CBF_CF': 0.3875248392858929, 'RP3BETA_SIDE': 0.2696644040099358, 'ITEM_CBF_FW': 0.47242907220478303, 'PURE_SVD_SIDE': 0.39141544571501674, 'IALS_SIDE': 0.12803624584391785} - results: ROC_AUC: 0.0740297, PRECISION: 0.0105081, PRECISION_RECALL_MIN_DEN: 0.1050811, RECALL: 0.1050811, MAP: 0.0529215, MRR: 0.0529215, NDCG: 0.0651781, F1: 0.0191057, HIT_RATE: 0.1050811, ARHR: 0.0529215, RMSE: 0.0000000, NOVELTY: 0.0060867, AVERAGE_POPULARITY: 0.2961207, DIVERSITY_MEAN_INTER_LIST: 0.9843999, DIVERSITY_HERFINDAHL: 0.9984356, COVERAGE_ITEM: 0.6879697, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1627048, SHANNON_ENTROPY: 10.8023129, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 17, 'USER_CBF_CF': 0.2634750382221805, 'ITEM_CBF_CF': 0.5993277473468152, 'RP3BETA_SIDE': 0.6069133929469198, 'ITEM_CBF_FW': 0.505817851228304, 'PURE_SVD_SIDE': 0.829421946073667, 'IALS_SIDE': 0.6972353544012576} - results: ROC_AUC: 0.0755422, PRECISION: 0.0107564, PRECISION_RECALL_MIN_DEN: 0.1075641, RECALL: 0.1075641, MAP: 0.0537020, MRR: 0.0537020, NDCG: 0.0663599, F1: 0.0195571, HIT_RATE: 0.1075641, ARHR: 0.0537020, RMSE: 0.0000000, NOVELTY: 0.0061334, AVERAGE_POPULARITY: 0.2804669, DIVERSITY_MEAN_INTER_LIST: 0.9857134, DIVERSITY_HERFINDAHL: 0.9985670, COVERAGE_ITEM: 0.7232225, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1734079, SHANNON_ENTROPY: 10.9570653, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 35, 'USER_CBF_CF': 0.36012807169760513, 'ITEM_CBF_CF': 0.6171356750561935, 'RP3BETA_SIDE': 0.7361866112676995, 'ITEM_CBF_FW': 0.22470374987993652, 'PURE_SVD_SIDE': 0.28342263956309593, 'IALS_SIDE': 0.7009311354418372} - results: ROC_AUC: 0.0751480, PRECISION: 0.0106057, PRECISION_RECALL_MIN_DEN: 0.1060566, RECALL: 0.1060566, MAP: 0.0537382, MRR: 0.0537382, NDCG: 0.0660461, F1: 0.0192830, HIT_RATE: 0.1060566, ARHR: 0.0537382, RMSE: 0.0000000, NOVELTY: 0.0061151, AVERAGE_POPULARITY: 0.2887350, DIVERSITY_MEAN_INTER_LIST: 0.9849014, DIVERSITY_HERFINDAHL: 0.9984858, COVERAGE_ITEM: 0.6873750, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1660647, SHANNON_ENTROPY: 10.8412238, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 10, 'USER_CBF_CF': 0.23490308250942887, 'ITEM_CBF_CF': 0.46761687135000884, 'RP3BETA_SIDE': 0.4941711778958452, 'ITEM_CBF_FW': 0.9490818536182313, 'PURE_SVD_SIDE': 0.5187791331487354, 'IALS_SIDE': 0.24138071279797052} - results: ROC_AUC: 0.0757195, PRECISION: 0.0107697, PRECISION_RECALL_MIN_DEN: 0.1076971, RECALL: 0.1076971, MAP: 0.0536527, MRR: 0.0536527, NDCG: 0.0663567, F1: 0.0195813, HIT_RATE: 0.1076971, ARHR: 0.0536527, RMSE: 0.0000000, NOVELTY: 0.0061454, AVERAGE_POPULARITY: 0.2766893, DIVERSITY_MEAN_INTER_LIST: 0.9859959, DIVERSITY_HERFINDAHL: 0.9985952, COVERAGE_ITEM: 0.7389024, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1782107, SHANNON_ENTROPY: 11.0172930, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 40, 'USER_CBF_CF': 0.0016975405817841742, 'ITEM_CBF_CF': 0.15066343899980097, 'RP3BETA_SIDE': 0.038246214808092656, 'ITEM_CBF_FW': 0.03082006312374131, 'PURE_SVD_SIDE': 0.9165282462653503, 'IALS_SIDE': 1.4890661769073613e-05} - results: ROC_AUC: 0.0711478, PRECISION: 0.0104460, PRECISION_RECALL_MIN_DEN: 0.1044604, RECALL: 0.1044604, MAP: 0.0503368, MRR: 0.0503368, NDCG: 0.0629933, F1: 0.0189928, HIT_RATE: 0.1044604, ARHR: 0.0503368, RMSE: 0.0000000, NOVELTY: 0.0061400, AVERAGE_POPULARITY: 0.2595986, DIVERSITY_MEAN_INTER_LIST: 0.9875063, DIVERSITY_HERFINDAHL: 0.9987462, COVERAGE_ITEM: 0.7336037, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1707028, SHANNON_ENTROPY: 10.9878392, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 7, 'USER_CBF_CF': 0.22158269374465173, 'ITEM_CBF_CF': 0.969255017839799, 'RP3BETA_SIDE': 0.3154670593356889, 'ITEM_CBF_FW': 0.7970150603280789, 'PURE_SVD_SIDE': 0.021511961580711118, 'IALS_SIDE': 0.007510910310220666} - results: ROC_AUC: 0.0758328, PRECISION: 0.0108007, PRECISION_RECALL_MIN_DEN: 0.1080074, RECALL: 0.1080074, MAP: 0.0537630, MRR: 0.0537630, NDCG: 0.0665099, F1: 0.0196377, HIT_RATE: 0.1080074, ARHR: 0.0537630, RMSE: 0.0000000, NOVELTY: 0.0061664, AVERAGE_POPULARITY: 0.2707081, DIVERSITY_MEAN_INTER_LIST: 0.9865917, DIVERSITY_HERFINDAHL: 0.9986548, COVERAGE_ITEM: 0.7467964, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1834303, SHANNON_ENTROPY: 11.0949599, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 5, 'USER_CBF_CF': 0.31668944355582956, 'ITEM_CBF_CF': 0.9836164174023099, 'RP3BETA_SIDE': 0.6769072469670175, 'ITEM_CBF_FW': 0.444836504319325, 'PURE_SVD_SIDE': 0.09736408375803565, 'IALS_SIDE': 0.8669784540122589} - results: ROC_AUC: 0.0758870, PRECISION: 0.0103574, PRECISION_RECALL_MIN_DEN: 0.1035736, RECALL: 0.1035736, MAP: 0.0536691, MRR: 0.0536691, NDCG: 0.0654989, F1: 0.0188316, HIT_RATE: 0.1035736, ARHR: 0.0536691, RMSE: 0.0000000, NOVELTY: 0.0061989, AVERAGE_POPULARITY: 0.2546462, DIVERSITY_MEAN_INTER_LIST: 0.9879030, DIVERSITY_HERFINDAHL: 0.9987859, COVERAGE_ITEM: 0.7923763, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1908712, SHANNON_ENTROPY: 11.2255302, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 8, 'USER_CBF_CF': 0.5140139961307999, 'ITEM_CBF_CF': 0.5321818096069294, 'RP3BETA_SIDE': 0.7781612425723672, 'ITEM_CBF_FW': 0.6116926056456212, 'PURE_SVD_SIDE': 0.6834089664410067, 'IALS_SIDE': 0.8865247703102662} - results: ROC_AUC: 0.0754633, PRECISION: 0.0107874, PRECISION_RECALL_MIN_DEN: 0.1078744, RECALL: 0.1078744, MAP: 0.0534841, MRR: 0.0534841, NDCG: 0.0662555, F1: 0.0196135, HIT_RATE: 0.1078744, ARHR: 0.0534841, RMSE: 0.0000000, NOVELTY: 0.0061347, AVERAGE_POPULARITY: 0.2761726, DIVERSITY_MEAN_INTER_LIST: 0.9862105, DIVERSITY_HERFINDAHL: 0.9986167, COVERAGE_ITEM: 0.7361990, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1761720, SHANNON_ENTROPY: 11.0133525, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 25, 'USER_CBF_CF': 0.3543446899412876, 'ITEM_CBF_CF': 0.6436266183168203, 'RP3BETA_SIDE': 0.134440468868007, 'ITEM_CBF_FW': 0.44878477392817995, 'PURE_SVD_SIDE': 0.9727154623666201, 'IALS_SIDE': 0.23355074768798573} - results: ROC_AUC: 0.0742416, PRECISION: 0.0105613, PRECISION_RECALL_MIN_DEN: 0.1056132, RECALL: 0.1056132, MAP: 0.0530502, MRR: 0.0530502, NDCG: 0.0653974, F1: 0.0192024, HIT_RATE: 0.1056132, ARHR: 0.0530502, RMSE: 0.0000000, NOVELTY: 0.0060893, AVERAGE_POPULARITY: 0.2902474, DIVERSITY_MEAN_INTER_LIST: 0.9850236, DIVERSITY_HERFINDAHL: 0.9984980, COVERAGE_ITEM: 0.7058124, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1644926, SHANNON_ENTROPY: 10.8497063, 
SearchBayesianSkoptObject: New best config found. Config 12: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 37, 'USER_CBF_CF': 0.13430412066147893, 'ITEM_CBF_CF': 0.204062696313227, 'RP3BETA_SIDE': 0.9917201550826866, 'ITEM_CBF_FW': 0.7612763733935605, 'PURE_SVD_SIDE': 0.2648378500647363, 'IALS_SIDE': 0.547618154759298} - results: ROC_AUC: 0.0757047, PRECISION: 0.0106456, PRECISION_RECALL_MIN_DEN: 0.1064556, RECALL: 0.1064556, MAP: 0.0539585, MRR: 0.0539585, NDCG: 0.0663222, F1: 0.0193556, HIT_RATE: 0.1064556, ARHR: 0.0539585, RMSE: 0.0000000, NOVELTY: 0.0061782, AVERAGE_POPULARITY: 0.2695136, DIVERSITY_MEAN_INTER_LIST: 0.9865503, DIVERSITY_HERFINDAHL: 0.9986507, COVERAGE_ITEM: 0.7047310, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1768463, SHANNON_ENTROPY: 11.0010220, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 44, 'USER_CBF_CF': 0.6063347840696135, 'ITEM_CBF_CF': 0.8073692058559112, 'RP3BETA_SIDE': 0.6975622145641909, 'ITEM_CBF_FW': 0.7247838803323872, 'PURE_SVD_SIDE': 0.9580502294765336, 'IALS_SIDE': 0.808897571522188} - results: ROC_AUC: 0.0748623, PRECISION: 0.0105081, PRECISION_RECALL_MIN_DEN: 0.1050811, RECALL: 0.1050811, MAP: 0.0535195, MRR: 0.0535195, NDCG: 0.0656580, F1: 0.0191057, HIT_RATE: 0.1050811, ARHR: 0.0535195, RMSE: 0.0000000, NOVELTY: 0.0060908, AVERAGE_POPULARITY: 0.2933630, DIVERSITY_MEAN_INTER_LIST: 0.9845719, DIVERSITY_HERFINDAHL: 0.9984528, COVERAGE_ITEM: 0.6761287, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1606742, SHANNON_ENTROPY: 10.7783774, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': True, 'sub_cutoff': 12, 'USER_CBF_CF': 0.43449218978686466, 'ITEM_CBF_CF': 0.3254383426179021, 'RP3BETA_SIDE': 0.015233770720969656, 'ITEM_CBF_FW': 0.5953262831284819, 'PURE_SVD_SIDE': 0.8194460475334993, 'IALS_SIDE': 0.9283587748288027} - results: ROC_AUC: 0.0740889, PRECISION: 0.0106278, PRECISION_RECALL_MIN_DEN: 0.1062783, RECALL: 0.1062783, MAP: 0.0526244, MRR: 0.0526244, NDCG: 0.0652116, F1: 0.0193233, HIT_RATE: 0.1062783, ARHR: 0.0526244, RMSE: 0.0000000, NOVELTY: 0.0061108, AVERAGE_POPULARITY: 0.2777173, DIVERSITY_MEAN_INTER_LIST: 0.9864002, DIVERSITY_HERFINDAHL: 0.9986356, COVERAGE_ITEM: 0.7190051, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1693586, SHANNON_ENTROPY: 10.9583530, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'weighted_avg', 'main_cutoff': 20, 'bias': False, 'sub_cutoff': 5, 'USER_CBF_CF': 0.6957409528059434, 'ITEM_CBF_CF': 0.8785638936324704, 'RP3BETA_SIDE': 0.8651181403751512, 'ITEM_CBF_FW': 0.892834252980261, 'PURE_SVD_SIDE': 0.9265440678848722, 'IALS_SIDE': 0.22815125659241814} - results: ROC_AUC: 0.0749756, PRECISION: 0.0103441, PRECISION_RECALL_MIN_DEN: 0.1034406, RECALL: 0.1034406, MAP: 0.0529598, MRR: 0.0529598, NDCG: 0.0648972, F1: 0.0188074, HIT_RATE: 0.1034406, ARHR: 0.0529598, RMSE: 0.0000000, NOVELTY: 0.0061968, AVERAGE_POPULARITY: 0.2548777, DIVERSITY_MEAN_INTER_LIST: 0.9878775, DIVERSITY_HERFINDAHL: 0.9987834, COVERAGE_ITEM: 0.7931333, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1909992, SHANNON_ENTROPY: 11.2241548, 
