SearchBayesianSkoptObject: New best config found. Config 0: {'ITEM_CBF_CF': 0.9309202625900331, 'USER_CF': 0.5076659486029171, 'SLIM_BPR': 0.42252492243287276, 'P3ALPHA': 0.06998794863546355, 'RP3BETA': 0.6429792790258351, 'IALS': 0.8431631612135885, 'USER_ITEM_ALL': 0.24503413418825543} - results: ROC_AUC: 0.1340780, PRECISION: 0.0218879, PRECISION_RECALL_MIN_DEN: 0.0729598, RECALL: 0.0729598, MAP: 0.0351670, MRR: 0.0949176, NDCG: 0.0600684, F1: 0.0336737, HIT_RATE: 0.2188793, ARHR: 0.1000960, RMSE: 0.8365335, NOVELTY: 0.0060304, AVERAGE_POPULARITY: 0.3153395, DIVERSITY_MEAN_INTER_LIST: 0.9821540, DIVERSITY_HERFINDAHL: 0.9982093, COVERAGE_ITEM: 0.5094350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1706385, SHANNON_ENTROPY: 10.5489408, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'ITEM_CBF_CF': 0.021652142464223537, 'USER_CF': 0.49430005376332775, 'SLIM_BPR': 0.16832537564573039, 'P3ALPHA': 0.37151239045686385, 'RP3BETA': 0.9443936914854661, 'IALS': 0.8710138864691954, 'USER_ITEM_ALL': 0.7646353996780505} - results: ROC_AUC: 0.1326971, PRECISION: 0.0219065, PRECISION_RECALL_MIN_DEN: 0.0730216, RECALL: 0.0730216, MAP: 0.0349417, MRR: 0.0941080, NDCG: 0.0598054, F1: 0.0337023, HIT_RATE: 0.2190647, ARHR: 0.0993548, RMSE: 0.8281176, NOVELTY: 0.0059900, AVERAGE_POPULARITY: 0.3355009, DIVERSITY_MEAN_INTER_LIST: 0.9789862, DIVERSITY_HERFINDAHL: 0.9978926, COVERAGE_ITEM: 0.4618546, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1649463, SHANNON_ENTROPY: 10.3445577, 
SearchBayesianSkoptObject: New best config found. Config 2: {'ITEM_CBF_CF': 0.9260873803137868, 'USER_CF': 0.3524422408227568, 'SLIM_BPR': 0.1321256944662619, 'P3ALPHA': 0.15114677813619495, 'RP3BETA': 0.9090225165855806, 'IALS': 0.6812831834396649, 'USER_ITEM_ALL': 0.6052200527880031} - results: ROC_AUC: 0.1347694, PRECISION: 0.0218818, PRECISION_RECALL_MIN_DEN: 0.0729392, RECALL: 0.0729392, MAP: 0.0352463, MRR: 0.0950613, NDCG: 0.0601463, F1: 0.0336642, HIT_RATE: 0.2188176, ARHR: 0.1002834, RMSE: 0.8763074, NOVELTY: 0.0060513, AVERAGE_POPULARITY: 0.3103391, DIVERSITY_MEAN_INTER_LIST: 0.9818477, DIVERSITY_HERFINDAHL: 0.9981787, COVERAGE_ITEM: 0.5372263, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1741432, SHANNON_ENTROPY: 10.6112121, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'ITEM_CBF_CF': 0.5354326512047418, 'USER_CF': 0.513297572627556, 'SLIM_BPR': 0.47818353481416187, 'P3ALPHA': 0.9977810275062581, 'RP3BETA': 0.42231428401761884, 'IALS': 0.1422575592268083, 'USER_ITEM_ALL': 0.8752518422523632} - results: ROC_AUC: 0.1321741, PRECISION: 0.0212207, PRECISION_RECALL_MIN_DEN: 0.0707358, RECALL: 0.0707358, MAP: 0.0349187, MRR: 0.0944746, NDCG: 0.0591428, F1: 0.0326473, HIT_RATE: 0.2122073, ARHR: 0.0995066, RMSE: 0.9637835, NOVELTY: 0.0061949, AVERAGE_POPULARITY: 0.2784342, DIVERSITY_MEAN_INTER_LIST: 0.9844847, DIVERSITY_HERFINDAHL: 0.9984424, COVERAGE_ITEM: 0.5339822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2009379, SHANNON_ENTROPY: 10.8814459, 
SearchBayesianSkoptObject: New best config found. Config 4: {'ITEM_CBF_CF': 0.8208385902005565, 'USER_CF': 0.5549969746248229, 'SLIM_BPR': 0.12933242128062064, 'P3ALPHA': 0.4099630035249965, 'RP3BETA': 0.2397563261557784, 'IALS': 0.6246118945391615, 'USER_ITEM_ALL': 0.18530114389817812} - results: ROC_AUC: 0.1347932, PRECISION: 0.0217582, PRECISION_RECALL_MIN_DEN: 0.0725273, RECALL: 0.0725273, MAP: 0.0354496, MRR: 0.0957677, NDCG: 0.0602513, F1: 0.0334742, HIT_RATE: 0.2175820, ARHR: 0.1009411, RMSE: 0.8462477, NOVELTY: 0.0061117, AVERAGE_POPULARITY: 0.2895659, DIVERSITY_MEAN_INTER_LIST: 0.9847632, DIVERSITY_HERFINDAHL: 0.9984702, COVERAGE_ITEM: 0.5158151, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1830727, SHANNON_ENTROPY: 10.7429298, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'ITEM_CBF_CF': 0.27316203348372564, 'USER_CF': 0.05746154032654695, 'SLIM_BPR': 0.9982521609727801, 'P3ALPHA': 0.9570555016141784, 'RP3BETA': 0.9177932483114877, 'IALS': 0.04400800547930129, 'USER_ITEM_ALL': 0.05326929065503751} - results: ROC_AUC: 0.1256008, PRECISION: 0.0199914, PRECISION_RECALL_MIN_DEN: 0.0666378, RECALL: 0.0666378, MAP: 0.0330246, MRR: 0.0898735, NDCG: 0.0559546, F1: 0.0307559, HIT_RATE: 0.1999135, ARHR: 0.0943814, RMSE: 0.9837515, NOVELTY: 0.0061495, AVERAGE_POPULARITY: 0.2934076, DIVERSITY_MEAN_INTER_LIST: 0.9839563, DIVERSITY_HERFINDAHL: 0.9983895, COVERAGE_ITEM: 0.4588267, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2055988, SHANNON_ENTROPY: 10.7472655, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'ITEM_CBF_CF': 0.04294793675490983, 'USER_CF': 0.7414162549981326, 'SLIM_BPR': 0.9325503662101253, 'P3ALPHA': 0.030047502350762152, 'RP3BETA': 0.006990046030441068, 'IALS': 0.1630618136821115, 'USER_ITEM_ALL': 0.9895826428297989} - results: ROC_AUC: 0.1281635, PRECISION: 0.0206030, PRECISION_RECALL_MIN_DEN: 0.0686765, RECALL: 0.0686765, MAP: 0.0337439, MRR: 0.0914567, NDCG: 0.0572876, F1: 0.0316969, HIT_RATE: 0.2060295, ARHR: 0.0962539, RMSE: 0.9195434, NOVELTY: 0.0061164, AVERAGE_POPULARITY: 0.3081891, DIVERSITY_MEAN_INTER_LIST: 0.9791300, DIVERSITY_HERFINDAHL: 0.9979070, COVERAGE_ITEM: 0.5105704, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1887583, SHANNON_ENTROPY: 10.6273667, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 0.0} - results: ROC_AUC: 0.1338154, PRECISION: 0.0213072, PRECISION_RECALL_MIN_DEN: 0.0710241, RECALL: 0.0710241, MAP: 0.0351404, MRR: 0.0952801, NDCG: 0.0595202, F1: 0.0327803, HIT_RATE: 0.2130722, ARHR: 0.1002417, RMSE: 0.7963633, NOVELTY: 0.0060923, AVERAGE_POPULARITY: 0.2904626, DIVERSITY_MEAN_INTER_LIST: 0.9851636, DIVERSITY_HERFINDAHL: 0.9985103, COVERAGE_ITEM: 0.4676399, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1825982, SHANNON_ENTROPY: 10.6776663, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'ITEM_CBF_CF': 0.030080037160562408, 'USER_CF': 0.9579644442119696, 'SLIM_BPR': 0.9039066624016637, 'P3ALPHA': 0.041866901702864785, 'RP3BETA': 0.028268933315934948, 'IALS': 0.07229413096678196, 'USER_ITEM_ALL': 0.008906076537640641} - results: ROC_AUC: 0.1155700, PRECISION: 0.0185643, PRECISION_RECALL_MIN_DEN: 0.0618809, RECALL: 0.0618809, MAP: 0.0303609, MRR: 0.0829783, NDCG: 0.0516786, F1: 0.0285604, HIT_RATE: 0.1856428, ARHR: 0.0869542, RMSE: 0.9324138, NOVELTY: 0.0059571, AVERAGE_POPULARITY: 0.3660577, DIVERSITY_MEAN_INTER_LIST: 0.9741820, DIVERSITY_HERFINDAHL: 0.9974122, COVERAGE_ITEM: 0.3556096, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1822205, SHANNON_ENTROPY: 10.1356982, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'ITEM_CBF_CF': 0.8234316669160443, 'USER_CF': 0.007640986198995671, 'SLIM_BPR': 0.7666876196314668, 'P3ALPHA': 0.9465706611295754, 'RP3BETA': 0.6764843846636385, 'IALS': 0.9966811443361909, 'USER_ITEM_ALL': 0.9958369260481649} - results: ROC_AUC: 0.1326277, PRECISION: 0.0213566, PRECISION_RECALL_MIN_DEN: 0.0711888, RECALL: 0.0711888, MAP: 0.0349861, MRR: 0.0944775, NDCG: 0.0593264, F1: 0.0328564, HIT_RATE: 0.2135664, ARHR: 0.0996008, RMSE: 0.9105613, NOVELTY: 0.0061663, AVERAGE_POPULARITY: 0.2798129, DIVERSITY_MEAN_INTER_LIST: 0.9850591, DIVERSITY_HERFINDAHL: 0.9984998, COVERAGE_ITEM: 0.5218167, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1945915, SHANNON_ENTROPY: 10.8363459, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'ITEM_CBF_CF': 0.05280464541155007, 'USER_CF': 0.8416274206875295, 'SLIM_BPR': 0.04951688916611087, 'P3ALPHA': 0.9432463616524454, 'RP3BETA': 0.9494424368926291, 'IALS': 0.0005264276748288, 'USER_ITEM_ALL': 0.02694236178196275} - results: ROC_AUC: 0.1285091, PRECISION: 0.0207018, PRECISION_RECALL_MIN_DEN: 0.0690060, RECALL: 0.0690060, MAP: 0.0340118, MRR: 0.0922262, NDCG: 0.0576700, F1: 0.0318489, HIT_RATE: 0.2070180, ARHR: 0.0970318, RMSE: 0.9448316, NOVELTY: 0.0059548, AVERAGE_POPULARITY: 0.3479369, DIVERSITY_MEAN_INTER_LIST: 0.9779027, DIVERSITY_HERFINDAHL: 0.9977842, COVERAGE_ITEM: 0.4083806, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1697856, SHANNON_ENTROPY: 10.2424769, 
