SearchBayesianSkoptObject: New best config found. Config 0: {'ITEM_CBF_CF': 0.012601075148680144, 'ITEM_CF': 0.7521018211553344, 'ITEM_CBF_ALL': 0.9672196165314887} - results: ROC_AUC: 0.1117350, PRECISION: 0.0178662, PRECISION_RECALL_MIN_DEN: 0.0595540, RECALL: 0.0595540, MAP: 0.0286499, MRR: 0.0784185, NDCG: 0.0492021, F1: 0.0274864, HIT_RATE: 0.1786619, ARHR: 0.0821289, RMSE: 0.9601088, NOVELTY: 0.0064099, AVERAGE_POPULARITY: 0.2065863, DIVERSITY_MEAN_INTER_LIST: 0.9917442, DIVERSITY_HERFINDAHL: 0.9991683, COVERAGE_ITEM: 0.8103271, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2604692, SHANNON_ENTROPY: 11.7953577, 
SearchBayesianSkoptObject: New best config found. Config 1: {'ITEM_CBF_CF': 0.7949441963016439, 'ITEM_CF': 0.3974456069130454, 'ITEM_CBF_ALL': 0.06510071980933953} - results: ROC_AUC: 0.1341212, PRECISION: 0.0211219, PRECISION_RECALL_MIN_DEN: 0.0704063, RECALL: 0.0704063, MAP: 0.0349437, MRR: 0.0956339, NDCG: 0.0592876, F1: 0.0324952, HIT_RATE: 0.2112189, ARHR: 0.1001544, RMSE: 0.9540756, NOVELTY: 0.0063932, AVERAGE_POPULARITY: 0.2198711, DIVERSITY_MEAN_INTER_LIST: 0.9898698, DIVERSITY_HERFINDAHL: 0.9989809, COVERAGE_ITEM: 0.6445526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2184783, SHANNON_ENTROPY: 11.3327363, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'ITEM_CBF_CF': 0.5382225954691611, 'ITEM_CF': 0.11042482084971686, 'ITEM_CBF_ALL': 0.5551311853597637} - results: ROC_AUC: 0.1229897, PRECISION: 0.0192747, PRECISION_RECALL_MIN_DEN: 0.0642491, RECALL: 0.0642491, MAP: 0.0317647, MRR: 0.0872577, NDCG: 0.0540332, F1: 0.0296534, HIT_RATE: 0.1927473, ARHR: 0.0912057, RMSE: 0.9670012, NOVELTY: 0.0063485, AVERAGE_POPULARITY: 0.2057390, DIVERSITY_MEAN_INTER_LIST: 0.9916946, DIVERSITY_HERFINDAHL: 0.9991633, COVERAGE_ITEM: 0.8341714, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2668068, SHANNON_ENTROPY: 11.8603881, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'ITEM_CBF_CF': 0.722253617094717, 'ITEM_CF': 0.7293773279955881, 'ITEM_CBF_ALL': 0.582178758390812} - results: ROC_AUC: 0.1311006, PRECISION: 0.0204176, PRECISION_RECALL_MIN_DEN: 0.0680587, RECALL: 0.0680587, MAP: 0.0344829, MRR: 0.0947446, NDCG: 0.0581079, F1: 0.0314117, HIT_RATE: 0.2041762, ARHR: 0.0990281, RMSE: 0.9498080, NOVELTY: 0.0064171, AVERAGE_POPULARITY: 0.2103931, DIVERSITY_MEAN_INTER_LIST: 0.9907760, DIVERSITY_HERFINDAHL: 0.9990715, COVERAGE_ITEM: 0.7559340, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2341124, SHANNON_ENTROPY: 11.5800011, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'ITEM_CBF_CF': 0.3540176685225885, 'ITEM_CF': 0.07648208851716055, 'ITEM_CBF_ALL': 0.201430675300809} - results: ROC_AUC: 0.1300334, PRECISION: 0.0202199, PRECISION_RECALL_MIN_DEN: 0.0673998, RECALL: 0.0673998, MAP: 0.0341517, MRR: 0.0938711, NDCG: 0.0575485, F1: 0.0311076, HIT_RATE: 0.2021993, ARHR: 0.0980886, RMSE: 0.9770301, NOVELTY: 0.0063368, AVERAGE_POPULARITY: 0.2150323, DIVERSITY_MEAN_INTER_LIST: 0.9906563, DIVERSITY_HERFINDAHL: 0.9990595, COVERAGE_ITEM: 0.7881590, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2406615, SHANNON_ENTROPY: 11.6343874, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'ITEM_CBF_CF': 0.41567870225756076, 'ITEM_CF': 0.10985406086759866, 'ITEM_CBF_ALL': 0.8355655941703327} - results: ROC_AUC: 0.1136572, PRECISION: 0.0181627, PRECISION_RECALL_MIN_DEN: 0.0605424, RECALL: 0.0605424, MAP: 0.0292143, MRR: 0.0798860, NDCG: 0.0500894, F1: 0.0279427, HIT_RATE: 0.1816272, ARHR: 0.0836947, RMSE: 0.9709030, NOVELTY: 0.0063815, AVERAGE_POPULARITY: 0.1960245, DIVERSITY_MEAN_INTER_LIST: 0.9926885, DIVERSITY_HERFINDAHL: 0.9992627, COVERAGE_ITEM: 0.8583942, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2902392, SHANNON_ENTROPY: 12.0495112, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'ITEM_CBF_CF': 0.9132110576637357, 'ITEM_CF': 0.5136680291128093, 'ITEM_CBF_ALL': 0.7364426056944194} - results: ROC_AUC: 0.1291275, PRECISION: 0.0201149, PRECISION_RECALL_MIN_DEN: 0.0670497, RECALL: 0.0670497, MAP: 0.0339031, MRR: 0.0930818, NDCG: 0.0571628, F1: 0.0309460, HIT_RATE: 0.2011491, ARHR: 0.0973265, RMSE: 0.9510411, NOVELTY: 0.0063934, AVERAGE_POPULARITY: 0.2089366, DIVERSITY_MEAN_INTER_LIST: 0.9910490, DIVERSITY_HERFINDAHL: 0.9990988, COVERAGE_ITEM: 0.7909705, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2446628, SHANNON_ENTROPY: 11.6827521, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'ITEM_CBF_CF': 0.938841829285369, 'ITEM_CF': 0.12019310736143765, 'ITEM_CBF_ALL': 0.27214324647851945} - results: ROC_AUC: 0.1327485, PRECISION: 0.0208315, PRECISION_RECALL_MIN_DEN: 0.0694384, RECALL: 0.0694384, MAP: 0.0347739, MRR: 0.0954380, NDCG: 0.0588317, F1: 0.0320485, HIT_RATE: 0.2083153, ARHR: 0.0998031, RMSE: 0.9572112, NOVELTY: 0.0063126, AVERAGE_POPULARITY: 0.2227168, DIVERSITY_MEAN_INTER_LIST: 0.9898934, DIVERSITY_HERFINDAHL: 0.9989832, COVERAGE_ITEM: 0.7261963, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2241801, SHANNON_ENTROPY: 11.4511978, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'ITEM_CBF_CF': 0.3576394847580418, 'ITEM_CF': 0.7598467471356295, 'ITEM_CBF_ALL': 0.8624159833454792} - results: ROC_AUC: 0.1236716, PRECISION: 0.0193489, PRECISION_RECALL_MIN_DEN: 0.0644962, RECALL: 0.0644962, MAP: 0.0324810, MRR: 0.0893084, NDCG: 0.0548623, F1: 0.0297675, HIT_RATE: 0.1934886, ARHR: 0.0933147, RMSE: 0.9522501, NOVELTY: 0.0064358, AVERAGE_POPULARITY: 0.2028890, DIVERSITY_MEAN_INTER_LIST: 0.9917173, DIVERSITY_HERFINDAHL: 0.9991656, COVERAGE_ITEM: 0.8021087, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2570439, SHANNON_ENTROPY: 11.7845468, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'ITEM_CBF_CF': 0.5451852581851981, 'ITEM_CF': 0.11623704199939358, 'ITEM_CBF_ALL': 0.5722761553635937} - results: ROC_AUC: 0.1227083, PRECISION: 0.0192438, PRECISION_RECALL_MIN_DEN: 0.0641461, RECALL: 0.0641461, MAP: 0.0316623, MRR: 0.0869535, NDCG: 0.0538901, F1: 0.0296059, HIT_RATE: 0.1924384, ARHR: 0.0909000, RMSE: 0.9664979, NOVELTY: 0.0063512, AVERAGE_POPULARITY: 0.2054446, DIVERSITY_MEAN_INTER_LIST: 0.9917215, DIVERSITY_HERFINDAHL: 0.9991660, COVERAGE_ITEM: 0.8343877, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2674488, SHANNON_ENTROPY: 11.8648024, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'ITEM_CBF_CF': 1.0, 'ITEM_CF': 1.0, 'ITEM_CBF_ALL': 0.0} - results: ROC_AUC: 0.1333624, PRECISION: 0.0210230, PRECISION_RECALL_MIN_DEN: 0.0700768, RECALL: 0.0700768, MAP: 0.0349410, MRR: 0.0957177, NDCG: 0.0591833, F1: 0.0323431, HIT_RATE: 0.2102304, ARHR: 0.1001952, RMSE: 0.9547371, NOVELTY: 0.0064320, AVERAGE_POPULARITY: 0.2169621, DIVERSITY_MEAN_INTER_LIST: 0.9900124, DIVERSITY_HERFINDAHL: 0.9989951, COVERAGE_ITEM: 0.6184915, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2206706, SHANNON_ENTROPY: 11.3151399, 
