SearchBayesianSkoptObject: New best config found. Config 0: {'USER_CF': 0.3379450263858365, 'USER_CBF_CF': 0.508208521029398} - results: ROC_AUC: 0.0932285, PRECISION: 0.0152777, PRECISION_RECALL_MIN_DEN: 0.0509256, RECALL: 0.0509256, MAP: 0.0236815, MRR: 0.0662151, NDCG: 0.0413944, F1: 0.0235041, HIT_RATE: 0.1527769, ARHR: 0.0686020, RMSE: 0.9618116, NOVELTY: 0.0050946, AVERAGE_POPULARITY: 0.6992874, DIVERSITY_MEAN_INTER_LIST: 0.7789417, DIVERSITY_HERFINDAHL: 0.9778894, COVERAGE_ITEM: 0.1131657, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0501589, SHANNON_ENTROPY: 6.4945566, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'USER_CF': 0.11501612315238244, 'USER_CBF_CF': 0.8233787115002279} - results: ROC_AUC: 0.0915253, PRECISION: 0.0151541, PRECISION_RECALL_MIN_DEN: 0.0505138, RECALL: 0.0505138, MAP: 0.0233384, MRR: 0.0651663, NDCG: 0.0408692, F1: 0.0233141, HIT_RATE: 0.1515414, ARHR: 0.0675562, RMSE: 0.9512564, NOVELTY: 0.0050843, AVERAGE_POPULARITY: 0.7048729, DIVERSITY_MEAN_INTER_LIST: 0.7716013, DIVERSITY_HERFINDAHL: 0.9771554, COVERAGE_ITEM: 0.1034334, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0506495, SHANNON_ENTROPY: 6.4252260, 
SearchBayesianSkoptObject: New best config found. Config 2: {'USER_CF': 0.8122740845698089, 'USER_CBF_CF': 0.7875052373988831} - results: ROC_AUC: 0.0937726, PRECISION: 0.0153889, PRECISION_RECALL_MIN_DEN: 0.0512963, RECALL: 0.0512963, MAP: 0.0237985, MRR: 0.0665462, NDCG: 0.0416420, F1: 0.0236752, HIT_RATE: 0.1538889, ARHR: 0.0689431, RMSE: 0.9341531, NOVELTY: 0.0051004, AVERAGE_POPULARITY: 0.6959624, DIVERSITY_MEAN_INTER_LIST: 0.7835531, DIVERSITY_HERFINDAHL: 0.9783505, COVERAGE_ITEM: 0.1184644, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0499875, SHANNON_ENTROPY: 6.5349977, 
SearchBayesianSkoptObject: New best config found. Config 3: {'USER_CF': 0.6259854664891406, 'USER_CBF_CF': 0.15693449095778592} - results: ROC_AUC: 0.0949724, PRECISION: 0.0155619, PRECISION_RECALL_MIN_DEN: 0.0518729, RECALL: 0.0518729, MAP: 0.0241501, MRR: 0.0676433, NDCG: 0.0422237, F1: 0.0239413, HIT_RATE: 0.1556187, ARHR: 0.0700255, RMSE: 0.9726664, NOVELTY: 0.0051254, AVERAGE_POPULARITY: 0.6807784, DIVERSITY_MEAN_INTER_LIST: 0.8048035, DIVERSITY_HERFINDAHL: 0.9804754, COVERAGE_ITEM: 0.1341984, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0514259, SHANNON_ENTROPY: 6.7142459, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'USER_CF': 0.6130637799115287, 'USER_CBF_CF': 0.4542455686634934} - results: ROC_AUC: 0.0939697, PRECISION: 0.0154445, PRECISION_RECALL_MIN_DEN: 0.0514816, RECALL: 0.0514816, MAP: 0.0238943, MRR: 0.0668222, NDCG: 0.0418045, F1: 0.0237608, HIT_RATE: 0.1544449, ARHR: 0.0692260, RMSE: 0.9569367, NOVELTY: 0.0051048, AVERAGE_POPULARITY: 0.6933437, DIVERSITY_MEAN_INTER_LIST: 0.7871432, DIVERSITY_HERFINDAHL: 0.9787095, COVERAGE_ITEM: 0.1218167, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0501326, SHANNON_ENTROPY: 6.5670250, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'USER_CF': 0.2006987981466944, 'USER_CBF_CF': 0.15155036126111512} - results: ROC_AUC: 0.0939114, PRECISION: 0.0154260, PRECISION_RECALL_MIN_DEN: 0.0514199, RECALL: 0.0514199, MAP: 0.0238554, MRR: 0.0667308, NDCG: 0.0417471, F1: 0.0237322, HIT_RATE: 0.1542596, ARHR: 0.0691219, RMSE: 0.9854162, NOVELTY: 0.0051046, AVERAGE_POPULARITY: 0.6935019, DIVERSITY_MEAN_INTER_LIST: 0.7868996, DIVERSITY_HERFINDAHL: 0.9786851, COVERAGE_ITEM: 0.1219248, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0500532, SHANNON_ENTROPY: 6.5652167, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'USER_CF': 0.2704676679111983, 'USER_CBF_CF': 0.1437607892562485} - results: ROC_AUC: 0.0943299, PRECISION: 0.0154445, PRECISION_RECALL_MIN_DEN: 0.0514816, RECALL: 0.0514816, MAP: 0.0239842, MRR: 0.0672130, NDCG: 0.0419257, F1: 0.0237608, HIT_RATE: 0.1544449, ARHR: 0.0695646, RMSE: 0.9837870, NOVELTY: 0.0051112, AVERAGE_POPULARITY: 0.6895508, DIVERSITY_MEAN_INTER_LIST: 0.7924167, DIVERSITY_HERFINDAHL: 0.9792368, COVERAGE_ITEM: 0.1261963, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0504493, SHANNON_ENTROPY: 6.6128521, 
SearchBayesianSkoptObject: New best config found. Config 7: {'USER_CF': 0.7542648609454381, 'USER_CBF_CF': 0.043528644627882536} - results: ROC_AUC: 0.0952656, PRECISION: 0.0156175, PRECISION_RECALL_MIN_DEN: 0.0520582, RECALL: 0.0520582, MAP: 0.0242779, MRR: 0.0681013, NDCG: 0.0424252, F1: 0.0240269, HIT_RATE: 0.1561747, ARHR: 0.0704472, RMSE: 0.9751885, NOVELTY: 0.0051468, AVERAGE_POPULARITY: 0.6671294, DIVERSITY_MEAN_INTER_LIST: 0.8231367, DIVERSITY_HERFINDAHL: 0.9823086, COVERAGE_ITEM: 0.1440930, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0532590, SHANNON_ENTROPY: 6.8671007, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'USER_CF': 0.3446089006570558, 'USER_CBF_CF': 0.6526098370684875} - results: ROC_AUC: 0.0930722, PRECISION: 0.0152097, PRECISION_RECALL_MIN_DEN: 0.0506991, RECALL: 0.0506991, MAP: 0.0236064, MRR: 0.0659841, NDCG: 0.0412424, F1: 0.0233996, HIT_RATE: 0.1520974, ARHR: 0.0683699, RMSE: 0.9538926, NOVELTY: 0.0050921, AVERAGE_POPULARITY: 0.7006447, DIVERSITY_MEAN_INTER_LIST: 0.7771077, DIVERSITY_HERFINDAHL: 0.9777060, COVERAGE_ITEM: 0.1107867, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0502636, SHANNON_ENTROPY: 6.4775061, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'USER_CF': 0.9036769427274572, 'USER_CBF_CF': 0.9892785943657698} - results: ROC_AUC: 0.0935564, PRECISION: 0.0153889, PRECISION_RECALL_MIN_DEN: 0.0512963, RECALL: 0.0512963, MAP: 0.0237346, MRR: 0.0663740, NDCG: 0.0415723, F1: 0.0236752, HIT_RATE: 0.1538889, ARHR: 0.0687612, RMSE: 0.9217396, NOVELTY: 0.0050986, AVERAGE_POPULARITY: 0.6970083, DIVERSITY_MEAN_INTER_LIST: 0.7821271, DIVERSITY_HERFINDAHL: 0.9782079, COVERAGE_ITEM: 0.1168965, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0500052, SHANNON_ENTROPY: 6.5221888, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'USER_CF': 1.0, 'USER_CBF_CF': 0.0} - results: ROC_AUC: 0.0953631, PRECISION: 0.0155804, PRECISION_RECALL_MIN_DEN: 0.0519347, RECALL: 0.0519347, MAP: 0.0242259, MRR: 0.0679743, NDCG: 0.0423427, F1: 0.0239699, HIT_RATE: 0.1558040, ARHR: 0.0703061, RMSE: 0.9704976, NOVELTY: 0.0051614, AVERAGE_POPULARITY: 0.6597331, DIVERSITY_MEAN_INTER_LIST: 0.8317526, DIVERSITY_HERFINDAHL: 0.9831701, COVERAGE_ITEM: 0.1563666, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0534773, SHANNON_ENTROPY: 6.9519893, 
