SearchBayesianSkoptObject: New best config found. Config 0: {'MIXED_ITEM': 0.37883163150906485, 'MIXED_USER': 0.8122360749268136} - results: ROC_AUC: 0.1331340, PRECISION: 0.0216532, PRECISION_RECALL_MIN_DEN: 0.0721773, RECALL: 0.0721773, MAP: 0.0347759, MRR: 0.0950859, NDCG: 0.0596194, F1: 0.0333126, HIT_RATE: 0.2165318, ARHR: 0.0996267, RMSE: 0.9567065, NOVELTY: 0.0061004, AVERAGE_POPULARITY: 0.3071542, DIVERSITY_MEAN_INTER_LIST: 0.9819850, DIVERSITY_HERFINDAHL: 0.9981924, COVERAGE_ITEM: 0.5466342, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1773999, SHANNON_ENTROPY: 10.6403244, 
SearchBayesianSkoptObject: New best config found. Config 1: {'MIXED_ITEM': 0.6620914059449481, 'MIXED_USER': 0.8887527965241467} - results: ROC_AUC: 0.1337614, PRECISION: 0.0215605, PRECISION_RECALL_MIN_DEN: 0.0718684, RECALL: 0.0718684, MAP: 0.0350598, MRR: 0.0958595, NDCG: 0.0598215, F1: 0.0331700, HIT_RATE: 0.2156051, ARHR: 0.1004364, RMSE: 0.9441134, NOVELTY: 0.0062079, AVERAGE_POPULARITY: 0.2724516, DIVERSITY_MEAN_INTER_LIST: 0.9859656, DIVERSITY_HERFINDAHL: 0.9985905, COVERAGE_ITEM: 0.5843742, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1934330, SHANNON_ENTROPY: 10.9313081, 
SearchBayesianSkoptObject: New best config found. Config 2: {'MIXED_ITEM': 0.9648835348373623, 'MIXED_USER': 0.7466015119219446} - results: ROC_AUC: 0.1338764, PRECISION: 0.0214493, PRECISION_RECALL_MIN_DEN: 0.0714977, RECALL: 0.0714977, MAP: 0.0350998, MRR: 0.0959647, NDCG: 0.0597529, F1: 0.0329989, HIT_RATE: 0.2144931, ARHR: 0.1005518, RMSE: 0.9400115, NOVELTY: 0.0062792, AVERAGE_POPULARITY: 0.2511082, DIVERSITY_MEAN_INTER_LIST: 0.9877941, DIVERSITY_HERFINDAHL: 0.9987733, COVERAGE_ITEM: 0.6061638, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2045874, SHANNON_ENTROPY: 11.1040026, 
SearchBayesianSkoptObject: New best config found. Config 3: {'MIXED_ITEM': 0.7368546466889976, 'MIXED_USER': 0.46110507538034085} - results: ROC_AUC: 0.1339158, PRECISION: 0.0214184, PRECISION_RECALL_MIN_DEN: 0.0713947, RECALL: 0.0713947, MAP: 0.0351157, MRR: 0.0959947, NDCG: 0.0597376, F1: 0.0329514, HIT_RATE: 0.2141842, ARHR: 0.1005907, RMSE: 0.9527067, NOVELTY: 0.0062962, AVERAGE_POPULARITY: 0.2462972, DIVERSITY_MEAN_INTER_LIST: 0.9881655, DIVERSITY_HERFINDAHL: 0.9988104, COVERAGE_ITEM: 0.6122195, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2070495, SHANNON_ENTROPY: 11.1433518, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'MIXED_ITEM': 0.017605530822288887, 'MIXED_USER': 0.3349781713127517} - results: ROC_AUC: 0.1125369, PRECISION: 0.0181009, PRECISION_RECALL_MIN_DEN: 0.0603365, RECALL: 0.0603365, MAP: 0.0290305, MRR: 0.0805538, NDCG: 0.0499989, F1: 0.0278476, HIT_RATE: 0.1810095, ARHR: 0.0837888, RMSE: 0.9887180, NOVELTY: 0.0053220, AVERAGE_POPULARITY: 0.5807162, DIVERSITY_MEAN_INTER_LIST: 0.8928491, DIVERSITY_HERFINDAHL: 0.9892794, COVERAGE_ITEM: 0.2125980, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0752009, SHANNON_ENTROPY: 7.8590788, 
SearchBayesianSkoptObject: New best config found. Config 5: {'MIXED_ITEM': 0.6515404811184863, 'MIXED_USER': 0.3099994288455658} - results: ROC_AUC: 0.1341341, PRECISION: 0.0213690, PRECISION_RECALL_MIN_DEN: 0.0712300, RECALL: 0.0712300, MAP: 0.0351427, MRR: 0.0961533, NDCG: 0.0597315, F1: 0.0328754, HIT_RATE: 0.2136900, ARHR: 0.1007136, RMSE: 0.9595710, NOVELTY: 0.0063120, AVERAGE_POPULARITY: 0.2416495, DIVERSITY_MEAN_INTER_LIST: 0.9885164, DIVERSITY_HERFINDAHL: 0.9988455, COVERAGE_ITEM: 0.6183293, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2092880, SHANNON_ENTROPY: 11.1810581, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'MIXED_ITEM': 0.2610398452949337, 'MIXED_USER': 0.4185577722494501} - results: ROC_AUC: 0.1336007, PRECISION: 0.0216717, PRECISION_RECALL_MIN_DEN: 0.0722390, RECALL: 0.0722390, MAP: 0.0349526, MRR: 0.0954873, NDCG: 0.0598130, F1: 0.0333411, HIT_RATE: 0.2167171, ARHR: 0.1000929, RMSE: 0.9733125, NOVELTY: 0.0061744, AVERAGE_POPULARITY: 0.2832983, DIVERSITY_MEAN_INTER_LIST: 0.9848670, DIVERSITY_HERFINDAHL: 0.9984806, COVERAGE_ITEM: 0.5713977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1885965, SHANNON_ENTROPY: 10.8417477, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'MIXED_ITEM': 0.8985158412832279, 'MIXED_USER': 0.20837595175332196} - results: ROC_AUC: 0.1342073, PRECISION: 0.0213134, PRECISION_RECALL_MIN_DEN: 0.0710447, RECALL: 0.0710447, MAP: 0.0351202, MRR: 0.0960946, NDCG: 0.0596559, F1: 0.0327898, HIT_RATE: 0.2131340, ARHR: 0.1006498, RMSE: 0.9545244, NOVELTY: 0.0063394, AVERAGE_POPULARITY: 0.2342680, DIVERSITY_MEAN_INTER_LIST: 0.9890740, DIVERSITY_HERFINDAHL: 0.9989013, COVERAGE_ITEM: 0.6266018, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2128225, SHANNON_ENTROPY: 11.2398522, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'MIXED_ITEM': 0.16193880940498953, 'MIXED_USER': 0.947198909369452} - results: ROC_AUC: 0.1282416, PRECISION: 0.0207574, PRECISION_RECALL_MIN_DEN: 0.0691913, RECALL: 0.0691913, MAP: 0.0335061, MRR: 0.0922158, NDCG: 0.0574215, F1: 0.0319345, HIT_RATE: 0.2075740, ARHR: 0.0962979, RMSE: 0.9629955, NOVELTY: 0.0056896, AVERAGE_POPULARITY: 0.4452074, DIVERSITY_MEAN_INTER_LIST: 0.9505586, DIVERSITY_HERFINDAHL: 0.9950500, COVERAGE_ITEM: 0.3945931, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1217077, SHANNON_ENTROPY: 9.3479826, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'MIXED_ITEM': 0.41558807478999105, 'MIXED_USER': 0.37105304836781855} - results: ROC_AUC: 0.1338433, PRECISION: 0.0215049, PRECISION_RECALL_MIN_DEN: 0.0716830, RECALL: 0.0716830, MAP: 0.0350713, MRR: 0.0959006, NDCG: 0.0597819, F1: 0.0330845, HIT_RATE: 0.2150491, ARHR: 0.1004798, RMSE: 0.9674139, NOVELTY: 0.0062653, AVERAGE_POPULARITY: 0.2551910, DIVERSITY_MEAN_INTER_LIST: 0.9874629, DIVERSITY_HERFINDAHL: 0.9987402, COVERAGE_ITEM: 0.6015680, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2024970, SHANNON_ENTROPY: 11.0706792, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'MIXED_ITEM': 1.0, 'MIXED_USER': 1.0} - results: ROC_AUC: 0.1338952, PRECISION: 0.0215358, PRECISION_RECALL_MIN_DEN: 0.0717860, RECALL: 0.0717860, MAP: 0.0350950, MRR: 0.0959319, NDCG: 0.0598338, F1: 0.0331320, HIT_RATE: 0.2153580, ARHR: 0.1005310, RMSE: 0.9337220, NOVELTY: 0.0062516, AVERAGE_POPULARITY: 0.2591971, DIVERSITY_MEAN_INTER_LIST: 0.9871355, DIVERSITY_HERFINDAHL: 0.9987075, COVERAGE_ITEM: 0.5971344, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2004608, SHANNON_ENTROPY: 11.0384396, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'MIXED_ITEM': 0.9931465099317031, 'MIXED_USER': 0.0038691276363482805} - results: ROC_AUC: 0.1341375, PRECISION: 0.0212084, PRECISION_RECALL_MIN_DEN: 0.0706946, RECALL: 0.0706946, MAP: 0.0350558, MRR: 0.0959987, NDCG: 0.0594955, F1: 0.0326283, HIT_RATE: 0.2120838, ARHR: 0.1005049, RMSE: 0.9573262, NOVELTY: 0.0063644, AVERAGE_POPULARITY: 0.2276962, DIVERSITY_MEAN_INTER_LIST: 0.9895492, DIVERSITY_HERFINDAHL: 0.9989488, COVERAGE_ITEM: 0.6347662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2163716, SHANNON_ENTROPY: 11.2943875, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'MIXED_ITEM': 1.0, 'MIXED_USER': 1.0} - results: ROC_AUC: 0.1338952, PRECISION: 0.0215358, PRECISION_RECALL_MIN_DEN: 0.0717860, RECALL: 0.0717860, MAP: 0.0350950, MRR: 0.0959319, NDCG: 0.0598338, F1: 0.0331320, HIT_RATE: 0.2153580, ARHR: 0.1005310, RMSE: 0.9337220, NOVELTY: 0.0062516, AVERAGE_POPULARITY: 0.2591971, DIVERSITY_MEAN_INTER_LIST: 0.9871355, DIVERSITY_HERFINDAHL: 0.9987075, COVERAGE_ITEM: 0.5971344, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2004608, SHANNON_ENTROPY: 11.0384396, 
