SearchBayesianSkoptObject: New best config found. Config 0: {'FUSION_ITEM_CBF_CF': 0.9496131036265055, 'FUSION_P3ALPHA': 0.3288446485455527, 'USERCBFCF': 0.48036760161305725, 'ITEM_CBF': 0.14639776314002065, 'IALS': 0.8442219034441614, 'RP3BETA': 0.23753853025556787, 'SSLIM_BPR': 0.6151115155827777} - results: ROC_AUC: 0.1350096, PRECISION: 0.0223266, PRECISION_RECALL_MIN_DEN: 0.0744219, RECALL: 0.0744219, MAP: 0.0356233, MRR: 0.0959286, NDCG: 0.0609510, F1: 0.0343486, HIT_RATE: 0.2232656, ARHR: 0.1012759, RMSE: 0.9554342, NOVELTY: 0.0060233, AVERAGE_POPULARITY: 0.3150640, DIVERSITY_MEAN_INTER_LIST: 0.9825562, DIVERSITY_HERFINDAHL: 0.9982496, COVERAGE_ITEM: 0.4513652, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1706660, SHANNON_ENTROPY: 10.4775950, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.6297485341559237, 'FUSION_P3ALPHA': 0.6946228394944245, 'USERCBFCF': 0.8701862828201105, 'ITEM_CBF': 0.707741242829513, 'IALS': 0.5446962849242386, 'RP3BETA': 0.1013912462523249, 'SSLIM_BPR': 0.03484347912304487} - results: ROC_AUC: 0.1332689, PRECISION: 0.0214431, PRECISION_RECALL_MIN_DEN: 0.0714771, RECALL: 0.0714771, MAP: 0.0348002, MRR: 0.0944530, NDCG: 0.0593202, F1: 0.0329894, HIT_RATE: 0.2144313, ARHR: 0.0993360, RMSE: 0.9629960, NOVELTY: 0.0060267, AVERAGE_POPULARITY: 0.2789381, DIVERSITY_MEAN_INTER_LIST: 0.9864109, DIVERSITY_HERFINDAHL: 0.9986350, COVERAGE_ITEM: 0.4927278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1929187, SHANNON_ENTROPY: 10.8377641, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.33311631571748995, 'FUSION_P3ALPHA': 0.1113134925277676, 'USERCBFCF': 0.26013055031927074, 'ITEM_CBF': 0.11546827513456595, 'IALS': 0.5486077248836264, 'RP3BETA': 0.4710556908133825, 'SSLIM_BPR': 0.279582249102661} - results: ROC_AUC: 0.1338091, PRECISION: 0.0222462, PRECISION_RECALL_MIN_DEN: 0.0741542, RECALL: 0.0741542, MAP: 0.0350504, MRR: 0.0944654, NDCG: 0.0602835, F1: 0.0342250, HIT_RATE: 0.2224625, ARHR: 0.0996856, RMSE: 0.9730754, NOVELTY: 0.0059389, AVERAGE_POPULARITY: 0.3421467, DIVERSITY_MEAN_INTER_LIST: 0.9794735, DIVERSITY_HERFINDAHL: 0.9979413, COVERAGE_ITEM: 0.4158962, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1612640, SHANNON_ENTROPY: 10.2505294, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.735767558352502, 'FUSION_P3ALPHA': 0.6376121315751577, 'USERCBFCF': 0.6934234569729826, 'ITEM_CBF': 0.6370669777843091, 'IALS': 0.3201370141716477, 'RP3BETA': 0.48332819051757825, 'SSLIM_BPR': 0.4944253478844681} - results: ROC_AUC: 0.1345491, PRECISION: 0.0219188, PRECISION_RECALL_MIN_DEN: 0.0730627, RECALL: 0.0730627, MAP: 0.0354144, MRR: 0.0957991, NDCG: 0.0603946, F1: 0.0337213, HIT_RATE: 0.2191882, ARHR: 0.1009131, RMSE: 0.9658352, NOVELTY: 0.0060283, AVERAGE_POPULARITY: 0.2954152, DIVERSITY_MEAN_INTER_LIST: 0.9844326, DIVERSITY_HERFINDAHL: 0.9984372, COVERAGE_ITEM: 0.5058124, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1844923, SHANNON_ENTROPY: 10.7235156, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.9293396998594583, 'FUSION_P3ALPHA': 0.593811759131958, 'USERCBFCF': 0.06599107664283034, 'ITEM_CBF': 0.9250711644686864, 'IALS': 0.4375373249610478, 'RP3BETA': 0.8412180898968457, 'SSLIM_BPR': 0.7162687745602316} - results: ROC_AUC: 0.1329685, PRECISION: 0.0216161, PRECISION_RECALL_MIN_DEN: 0.0720537, RECALL: 0.0720537, MAP: 0.0349354, MRR: 0.0946155, NDCG: 0.0595953, F1: 0.0332556, HIT_RATE: 0.2161611, ARHR: 0.0996157, RMSE: 0.9616885, NOVELTY: 0.0059958, AVERAGE_POPULARITY: 0.2888852, DIVERSITY_MEAN_INTER_LIST: 0.9849984, DIVERSITY_HERFINDAHL: 0.9984938, COVERAGE_ITEM: 0.5230603, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1878103, SHANNON_ENTROPY: 10.7915155, 
SearchBayesianSkoptObject: New best config found. Config 5: {'FUSION_ITEM_CBF_CF': 0.9764958838650069, 'FUSION_P3ALPHA': 0.9423607569903691, 'USERCBFCF': 0.219548954004179, 'ITEM_CBF': 0.33515288642793856, 'IALS': 0.09963473193964925, 'RP3BETA': 0.6217938930629225, 'SSLIM_BPR': 0.04079813121046139} - results: ROC_AUC: 0.1365785, PRECISION: 0.0221350, PRECISION_RECALL_MIN_DEN: 0.0737835, RECALL: 0.0737835, MAP: 0.0359585, MRR: 0.0970586, NDCG: 0.0611681, F1: 0.0340539, HIT_RATE: 0.2213505, ARHR: 0.1023522, RMSE: 0.9749215, NOVELTY: 0.0061099, AVERAGE_POPULARITY: 0.2836226, DIVERSITY_MEAN_INTER_LIST: 0.9857229, DIVERSITY_HERFINDAHL: 0.9985662, COVERAGE_ITEM: 0.5089484, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1879665, SHANNON_ENTROPY: 10.8045038, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.33359659781959133, 'FUSION_P3ALPHA': 0.5845417797586886, 'USERCBFCF': 0.7440149889783171, 'ITEM_CBF': 0.17503319146502364, 'IALS': 0.3204762438161944, 'RP3BETA': 0.14769153555325124, 'SSLIM_BPR': 0.5386886782207002} - results: ROC_AUC: 0.1331068, PRECISION: 0.0217150, PRECISION_RECALL_MIN_DEN: 0.0723832, RECALL: 0.0723832, MAP: 0.0351205, MRR: 0.0948090, NDCG: 0.0598320, F1: 0.0334076, HIT_RATE: 0.2171496, ARHR: 0.0999691, RMSE: 0.9727014, NOVELTY: 0.0060504, AVERAGE_POPULARITY: 0.3151627, DIVERSITY_MEAN_INTER_LIST: 0.9822998, DIVERSITY_HERFINDAHL: 0.9982239, COVERAGE_ITEM: 0.4391457, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1813406, SHANNON_ENTROPY: 10.5101906, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.48517670543670843, 'FUSION_P3ALPHA': 0.4801872301066388, 'USERCBFCF': 0.9163617459635851, 'ITEM_CBF': 0.3773371752884349, 'IALS': 0.6367772016049207, 'RP3BETA': 0.8580304855421734, 'SSLIM_BPR': 0.2752015615654308} - results: ROC_AUC: 0.1347134, PRECISION: 0.0222524, PRECISION_RECALL_MIN_DEN: 0.0741747, RECALL: 0.0741747, MAP: 0.0352952, MRR: 0.0952739, NDCG: 0.0605812, F1: 0.0342345, HIT_RATE: 0.2225242, ARHR: 0.1004645, RMSE: 0.9587677, NOVELTY: 0.0059611, AVERAGE_POPULARITY: 0.3315128, DIVERSITY_MEAN_INTER_LIST: 0.9806649, DIVERSITY_HERFINDAHL: 0.9980604, COVERAGE_ITEM: 0.4407137, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1685663, SHANNON_ENTROPY: 10.3834063, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.7606085682441396, 'FUSION_P3ALPHA': 0.8514421903209052, 'USERCBFCF': 0.7372665322759621, 'ITEM_CBF': 0.4131370868566343, 'IALS': 0.17610453379784455, 'RP3BETA': 0.423921824109205, 'SSLIM_BPR': 0.5643080747291834} - results: ROC_AUC: 0.1350237, PRECISION: 0.0219126, PRECISION_RECALL_MIN_DEN: 0.0730422, RECALL: 0.0730422, MAP: 0.0355227, MRR: 0.0959689, NDCG: 0.0604909, F1: 0.0337118, HIT_RATE: 0.2191265, ARHR: 0.1011542, RMSE: 0.9689619, NOVELTY: 0.0060817, AVERAGE_POPULARITY: 0.2971913, DIVERSITY_MEAN_INTER_LIST: 0.9841912, DIVERSITY_HERFINDAHL: 0.9984130, COVERAGE_ITEM: 0.4911598, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1849597, SHANNON_ENTROPY: 10.6940495, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.46618693098082187, 'FUSION_P3ALPHA': 0.45868270433762326, 'USERCBFCF': 0.7755653216079809, 'ITEM_CBF': 0.9374380052208896, 'IALS': 0.5034923309014426, 'RP3BETA': 0.3914045363639682, 'SSLIM_BPR': 0.9203141582664615} - results: ROC_AUC: 0.1297633, PRECISION: 0.0210725, PRECISION_RECALL_MIN_DEN: 0.0702416, RECALL: 0.0702416, MAP: 0.0340481, MRR: 0.0924470, NDCG: 0.0581266, F1: 0.0324192, HIT_RATE: 0.2107247, ARHR: 0.0972020, RMSE: 0.9601021, NOVELTY: 0.0059682, AVERAGE_POPULARITY: 0.2988140, DIVERSITY_MEAN_INTER_LIST: 0.9839464, DIVERSITY_HERFINDAHL: 0.9983886, COVERAGE_ITEM: 0.5032712, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1844241, SHANNON_ENTROPY: 10.7010698, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.1935908273184233, 'FUSION_P3ALPHA': 0.4642055928768134, 'USERCBFCF': 0.7928497142472251, 'ITEM_CBF': 0.1598169313859689, 'IALS': 0.02900005687356711, 'RP3BETA': 0.5307596776990948, 'SSLIM_BPR': 0.5513740393261221} - results: ROC_AUC: 0.1307101, PRECISION: 0.0213752, PRECISION_RECALL_MIN_DEN: 0.0712506, RECALL: 0.0712506, MAP: 0.0345065, MRR: 0.0930840, NDCG: 0.0588144, F1: 0.0328849, HIT_RATE: 0.2137518, ARHR: 0.0981899, RMSE: 0.9805883, NOVELTY: 0.0060183, AVERAGE_POPULARITY: 0.3323799, DIVERSITY_MEAN_INTER_LIST: 0.9799399, DIVERSITY_HERFINDAHL: 0.9979879, COVERAGE_ITEM: 0.4444985, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1787718, SHANNON_ENTROPY: 10.4174186, 
