SearchBayesianSkoptObject: New best config found. Config 0: {'FUSION_ITEM_CBF_CF': 0.3006616528729538, 'RP3BETA': 0.7867553022472812, 'USERCBFCF': 0.5498045161751377, 'ITEM_CBF': 0.19564925915473969} - results: ROC_AUC: 0.1345954, PRECISION: 0.0223142, PRECISION_RECALL_MIN_DEN: 0.0743807, RECALL: 0.0743807, MAP: 0.0347638, MRR: 0.0951985, NDCG: 0.0603207, F1: 0.0343295, HIT_RATE: 0.2231420, ARHR: 0.0996658, RMSE: 0.9488954, NOVELTY: 0.0059011, AVERAGE_POPULARITY: 0.3611658, DIVERSITY_MEAN_INTER_LIST: 0.9742076, DIVERSITY_HERFINDAHL: 0.9974147, COVERAGE_ITEM: 0.4668829, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1477616, SHANNON_ENTROPY: 10.0914436, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.15703133325876253, 'RP3BETA': 0.8542244653225196, 'USERCBFCF': 0.5599654824006056, 'ITEM_CBF': 0.13459348511784378} - results: ROC_AUC: 0.1345427, PRECISION: 0.0222833, PRECISION_RECALL_MIN_DEN: 0.0742777, RECALL: 0.0742777, MAP: 0.0347225, MRR: 0.0950896, NDCG: 0.0602471, F1: 0.0342820, HIT_RATE: 0.2228331, ARHR: 0.0995494, RMSE: 0.9590635, NOVELTY: 0.0059035, AVERAGE_POPULARITY: 0.3604542, DIVERSITY_MEAN_INTER_LIST: 0.9743170, DIVERSITY_HERFINDAHL: 0.9974257, COVERAGE_ITEM: 0.4687213, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1480816, SHANNON_ENTROPY: 10.0992332, 
SearchBayesianSkoptObject: New best config found. Config 2: {'FUSION_ITEM_CBF_CF': 0.560572669016685, 'RP3BETA': 0.852351381210052, 'USERCBFCF': 0.1488994758833251, 'ITEM_CBF': 0.39245210813624176} - results: ROC_AUC: 0.1352660, PRECISION: 0.0224625, PRECISION_RECALL_MIN_DEN: 0.0748749, RECALL: 0.0748749, MAP: 0.0349736, MRR: 0.0956272, NDCG: 0.0606759, F1: 0.0345576, HIT_RATE: 0.2246247, ARHR: 0.1001896, RMSE: 0.9875374, NOVELTY: 0.0059448, AVERAGE_POPULARITY: 0.3468054, DIVERSITY_MEAN_INTER_LIST: 0.9764419, DIVERSITY_HERFINDAHL: 0.9976382, COVERAGE_ITEM: 0.4956475, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1527906, SHANNON_ENTROPY: 10.2255304, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.9559162392018412, 'RP3BETA': 0.8954232528828134, 'USERCBFCF': 0.6055204120984707, 'ITEM_CBF': 0.9601075021224394} - results: ROC_AUC: 0.1347190, PRECISION: 0.0223266, PRECISION_RECALL_MIN_DEN: 0.0744219, RECALL: 0.0744219, MAP: 0.0348407, MRR: 0.0953976, NDCG: 0.0604108, F1: 0.0343486, HIT_RATE: 0.2232656, ARHR: 0.0998807, RMSE: 0.9671459, NOVELTY: 0.0059077, AVERAGE_POPULARITY: 0.3589460, DIVERSITY_MEAN_INTER_LIST: 0.9745990, DIVERSITY_HERFINDAHL: 0.9974539, COVERAGE_ITEM: 0.4692079, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1485987, SHANNON_ENTROPY: 10.1112726, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.6421717140171394, 'RP3BETA': 0.26260458217054955, 'USERCBFCF': 0.8503800894818014, 'ITEM_CBF': 0.5670235982134435} - results: ROC_AUC: 0.1304499, PRECISION: 0.0214987, PRECISION_RECALL_MIN_DEN: 0.0716624, RECALL: 0.0716624, MAP: 0.0336062, MRR: 0.0919644, NDCG: 0.0582368, F1: 0.0330750, HIT_RATE: 0.2149873, ARHR: 0.0963159, RMSE: 0.8601167, NOVELTY: 0.0057004, AVERAGE_POPULARITY: 0.4349547, DIVERSITY_MEAN_INTER_LIST: 0.9559598, DIVERSITY_HERFINDAHL: 0.9955901, COVERAGE_ITEM: 0.3555556, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1237768, SHANNON_ENTROPY: 9.3626703, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.6056211193220893, 'RP3BETA': 0.8669728656770563, 'USERCBFCF': 0.5010538750304449, 'ITEM_CBF': 0.835459301493601} - results: ROC_AUC: 0.1348275, PRECISION: 0.0223018, PRECISION_RECALL_MIN_DEN: 0.0743395, RECALL: 0.0743395, MAP: 0.0348626, MRR: 0.0954598, NDCG: 0.0604126, F1: 0.0343105, HIT_RATE: 0.2230185, ARHR: 0.0999478, RMSE: 0.9657357, NOVELTY: 0.0059127, AVERAGE_POPULARITY: 0.3572101, DIVERSITY_MEAN_INTER_LIST: 0.9748689, DIVERSITY_HERFINDAHL: 0.9974809, COVERAGE_ITEM: 0.4732630, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1494408, SHANNON_ENTROPY: 10.1289434, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.9240014448338802, 'RP3BETA': 0.46963464438062985, 'USERCBFCF': 0.6714385299957085, 'ITEM_CBF': 0.06739883034467754} - results: ROC_AUC: 0.1337700, PRECISION: 0.0221474, PRECISION_RECALL_MIN_DEN: 0.0738247, RECALL: 0.0738247, MAP: 0.0344695, MRR: 0.0943588, NDCG: 0.0598345, F1: 0.0340729, HIT_RATE: 0.2214740, ARHR: 0.0988084, RMSE: 0.8970688, NOVELTY: 0.0058354, AVERAGE_POPULARITY: 0.3835441, DIVERSITY_MEAN_INTER_LIST: 0.9698347, DIVERSITY_HERFINDAHL: 0.9969775, COVERAGE_ITEM: 0.4215193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1396854, SHANNON_ENTROPY: 9.8605082, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.1060776081973396, 'RP3BETA': 0.9341245771660954, 'USERCBFCF': 0.3998047963143857, 'ITEM_CBF': 0.0421069943953697} - results: ROC_AUC: 0.1349043, PRECISION: 0.0223204, PRECISION_RECALL_MIN_DEN: 0.0744013, RECALL: 0.0744013, MAP: 0.0348952, MRR: 0.0954371, NDCG: 0.0604481, F1: 0.0343390, HIT_RATE: 0.2232038, ARHR: 0.0999774, RMSE: 0.9808250, NOVELTY: 0.0059183, AVERAGE_POPULARITY: 0.3554144, DIVERSITY_MEAN_INTER_LIST: 0.9751112, DIVERSITY_HERFINDAHL: 0.9975051, COVERAGE_ITEM: 0.4791025, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1496664, SHANNON_ENTROPY: 10.1451194, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.427811852312987, 'RP3BETA': 0.8293342243134941, 'USERCBFCF': 0.9289633153514276, 'ITEM_CBF': 0.37467022051152493} - results: ROC_AUC: 0.1338104, PRECISION: 0.0222339, PRECISION_RECALL_MIN_DEN: 0.0741130, RECALL: 0.0741130, MAP: 0.0345921, MRR: 0.0946822, NDCG: 0.0600420, F1: 0.0342060, HIT_RATE: 0.2223389, ARHR: 0.0991496, RMSE: 0.9440395, NOVELTY: 0.0058616, AVERAGE_POPULARITY: 0.3745659, DIVERSITY_MEAN_INTER_LIST: 0.9717492, DIVERSITY_HERFINDAHL: 0.9971689, COVERAGE_ITEM: 0.4402812, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1428099, SHANNON_ENTROPY: 9.9557304, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.9093371475956517, 'RP3BETA': 0.2938871224631146, 'USERCBFCF': 0.8407337333370488, 'ITEM_CBF': 0.3364332829811409} - results: ROC_AUC: 0.1310834, PRECISION: 0.0217520, PRECISION_RECALL_MIN_DEN: 0.0725067, RECALL: 0.0725067, MAP: 0.0337250, MRR: 0.0922395, NDCG: 0.0586209, F1: 0.0334647, HIT_RATE: 0.2175202, ARHR: 0.0966347, RMSE: 0.8646574, NOVELTY: 0.0057243, AVERAGE_POPULARITY: 0.4255247, DIVERSITY_MEAN_INTER_LIST: 0.9588869, DIVERSITY_HERFINDAHL: 0.9958828, COVERAGE_ITEM: 0.3635036, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1268600, SHANNON_ENTROPY: 9.4511864, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.908718750345109, 'RP3BETA': 0.8584218834653372, 'USERCBFCF': 0.9284763670077087, 'ITEM_CBF': 0.9682756064897092} - results: ROC_AUC: 0.1339836, PRECISION: 0.0222957, PRECISION_RECALL_MIN_DEN: 0.0743189, RECALL: 0.0743189, MAP: 0.0346563, MRR: 0.0948701, NDCG: 0.0601747, F1: 0.0343010, HIT_RATE: 0.2229567, ARHR: 0.0993396, RMSE: 0.9516809, NOVELTY: 0.0058689, AVERAGE_POPULARITY: 0.3719532, DIVERSITY_MEAN_INTER_LIST: 0.9722753, DIVERSITY_HERFINDAHL: 0.9972215, COVERAGE_ITEM: 0.4434171, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1438551, SHANNON_ENTROPY: 9.9806837, 
