SearchBayesianSkoptObject: New best config found. Config 0: {'FUSION_ITEM_CBF_CF': 0.7074592965168941, 'RP3BETA': 0.08532201348842662, 'ITEM_CF': 0.18101945652432352, 'ITEM_CBF': 0.32137447071868713} - results: ROC_AUC: 0.1361004, PRECISION: 0.0220980, PRECISION_RECALL_MIN_DEN: 0.0736599, RECALL: 0.0736599, MAP: 0.0361671, MRR: 0.0976512, NDCG: 0.0613344, F1: 0.0339969, HIT_RATE: 0.2209798, ARHR: 0.1029754, RMSE: 0.9866840, NOVELTY: 0.0062633, AVERAGE_POPULARITY: 0.2678243, DIVERSITY_MEAN_INTER_LIST: 0.9872057, DIVERSITY_HERFINDAHL: 0.9987145, COVERAGE_ITEM: 0.6426061, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1988682, SHANNON_ENTROPY: 11.0936996, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.14977568479633777, 'RP3BETA': 0.9161766183011264, 'ITEM_CF': 0.07757329361588207, 'ITEM_CBF': 0.18361870846457698} - results: ROC_AUC: 0.1324323, PRECISION: 0.0215482, PRECISION_RECALL_MIN_DEN: 0.0718272, RECALL: 0.0718272, MAP: 0.0352629, MRR: 0.0953284, NDCG: 0.0598069, F1: 0.0331510, HIT_RATE: 0.2154816, ARHR: 0.1004540, RMSE: 0.9618862, NOVELTY: 0.0061327, AVERAGE_POPULARITY: 0.3070063, DIVERSITY_MEAN_INTER_LIST: 0.9827515, DIVERSITY_HERFINDAHL: 0.9982691, COVERAGE_ITEM: 0.6649905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1929050, SHANNON_ENTROPY: 10.8737809, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.8180550583535267, 'RP3BETA': 0.29891816248931985, 'ITEM_CF': 0.9862871317600878, 'ITEM_CBF': 0.2986915440294448} - results: ROC_AUC: 0.1340636, PRECISION: 0.0216594, PRECISION_RECALL_MIN_DEN: 0.0721979, RECALL: 0.0721979, MAP: 0.0357636, MRR: 0.0965981, NDCG: 0.0604482, F1: 0.0333221, HIT_RATE: 0.2165936, ARHR: 0.1018331, RMSE: 0.9642426, NOVELTY: 0.0063805, AVERAGE_POPULARITY: 0.2571307, DIVERSITY_MEAN_INTER_LIST: 0.9879992, DIVERSITY_HERFINDAHL: 0.9987938, COVERAGE_ITEM: 0.6659097, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2150445, SHANNON_ENTROPY: 11.2384383, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.2635586253064737, 'RP3BETA': 0.38219564558342844, 'ITEM_CF': 0.25223569688433795, 'ITEM_CBF': 0.17397709093226357} - results: ROC_AUC: 0.1342452, PRECISION: 0.0218879, PRECISION_RECALL_MIN_DEN: 0.0729598, RECALL: 0.0729598, MAP: 0.0358267, MRR: 0.0966862, NDCG: 0.0607315, F1: 0.0336737, HIT_RATE: 0.2188793, ARHR: 0.1019806, RMSE: 0.9710210, NOVELTY: 0.0061763, AVERAGE_POPULARITY: 0.2938613, DIVERSITY_MEAN_INTER_LIST: 0.9844684, DIVERSITY_HERFINDAHL: 0.9984408, COVERAGE_ITEM: 0.6533117, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1931709, SHANNON_ENTROPY: 10.9397614, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.28999104492135236, 'RP3BETA': 0.1909616816680672, 'ITEM_CF': 0.928433228566504, 'ITEM_CBF': 0.13498571695500064} - results: ROC_AUC: 0.1323847, PRECISION: 0.0210972, PRECISION_RECALL_MIN_DEN: 0.0703239, RECALL: 0.0703239, MAP: 0.0352377, MRR: 0.0953070, NDCG: 0.0593352, F1: 0.0324572, HIT_RATE: 0.2109718, ARHR: 0.1003979, RMSE: 0.9700939, NOVELTY: 0.0064685, AVERAGE_POPULARITY: 0.2421977, DIVERSITY_MEAN_INTER_LIST: 0.9892262, DIVERSITY_HERFINDAHL: 0.9989165, COVERAGE_ITEM: 0.6674777, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2307588, SHANNON_ENTROPY: 11.3815142, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.8694439937680517, 'RP3BETA': 0.26319219166628144, 'ITEM_CF': 0.5882533136927602, 'ITEM_CBF': 0.54968396982404} - results: ROC_AUC: 0.1353279, PRECISION: 0.0219991, PRECISION_RECALL_MIN_DEN: 0.0733305, RECALL: 0.0733305, MAP: 0.0359796, MRR: 0.0971043, NDCG: 0.0610247, F1: 0.0338448, HIT_RATE: 0.2199914, ARHR: 0.1024144, RMSE: 0.9697294, NOVELTY: 0.0062822, AVERAGE_POPULARITY: 0.2703267, DIVERSITY_MEAN_INTER_LIST: 0.9869434, DIVERSITY_HERFINDAHL: 0.9986882, COVERAGE_ITEM: 0.6567180, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2001283, SHANNON_ENTROPY: 11.1012439, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.5158103258707216, 'RP3BETA': 0.8799911832182605, 'ITEM_CF': 0.5532251697553631, 'ITEM_CBF': 0.9078327420778897} - results: ROC_AUC: 0.1341015, PRECISION: 0.0219065, PRECISION_RECALL_MIN_DEN: 0.0730216, RECALL: 0.0730216, MAP: 0.0357694, MRR: 0.0965272, NDCG: 0.0606897, F1: 0.0337023, HIT_RATE: 0.2190647, ARHR: 0.1018153, RMSE: 0.9609220, NOVELTY: 0.0061737, AVERAGE_POPULARITY: 0.2946916, DIVERSITY_MEAN_INTER_LIST: 0.9843636, DIVERSITY_HERFINDAHL: 0.9984303, COVERAGE_ITEM: 0.6540146, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1930522, SHANNON_ENTROPY: 10.9348774, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.8990409675365678, 'RP3BETA': 0.9870501399938137, 'ITEM_CF': 0.53550813937822, 'ITEM_CBF': 0.4440943291720475} - results: ROC_AUC: 0.1339631, PRECISION: 0.0218879, PRECISION_RECALL_MIN_DEN: 0.0729598, RECALL: 0.0729598, MAP: 0.0357904, MRR: 0.0966399, NDCG: 0.0606968, F1: 0.0336737, HIT_RATE: 0.2188793, ARHR: 0.1019000, RMSE: 0.9621446, NOVELTY: 0.0061696, AVERAGE_POPULARITY: 0.2951361, DIVERSITY_MEAN_INTER_LIST: 0.9843146, DIVERSITY_HERFINDAHL: 0.9984254, COVERAGE_ITEM: 0.6546094, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1931147, SHANNON_ENTROPY: 10.9327608, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.12974312626661347, 'RP3BETA': 0.5018177325295843, 'ITEM_CF': 0.06279569600294234, 'ITEM_CBF': 0.9493602097916256} - results: ROC_AUC: 0.1326010, PRECISION: 0.0215667, PRECISION_RECALL_MIN_DEN: 0.0718890, RECALL: 0.0718890, MAP: 0.0353444, MRR: 0.0954811, NDCG: 0.0599003, F1: 0.0331795, HIT_RATE: 0.2156669, ARHR: 0.1006502, RMSE: 0.9691920, NOVELTY: 0.0061364, AVERAGE_POPULARITY: 0.3058284, DIVERSITY_MEAN_INTER_LIST: 0.9829234, DIVERSITY_HERFINDAHL: 0.9982863, COVERAGE_ITEM: 0.6641254, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1927193, SHANNON_ENTROPY: 10.8790678, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.3354756539759362, 'RP3BETA': 0.04827922293258914, 'ITEM_CF': 0.6410125406842361, 'ITEM_CBF': 0.3082451814522155} - results: ROC_AUC: 0.1300710, PRECISION: 0.0205041, PRECISION_RECALL_MIN_DEN: 0.0683470, RECALL: 0.0683470, MAP: 0.0347287, MRR: 0.0939643, NDCG: 0.0581809, F1: 0.0315448, HIT_RATE: 0.2050411, ARHR: 0.0989628, RMSE: 0.9819377, NOVELTY: 0.0066224, AVERAGE_POPULARITY: 0.2136509, DIVERSITY_MEAN_INTER_LIST: 0.9912275, DIVERSITY_HERFINDAHL: 0.9991166, COVERAGE_ITEM: 0.6875372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2584823, SHANNON_ENTROPY: 11.6445173, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'FUSION_ITEM_CBF_CF': 0.7074115435265208, 'RP3BETA': 0.2358512275022065, 'ITEM_CF': 0.7739259529333188, 'ITEM_CBF': 0.03444402087068899} - results: ROC_AUC: 0.1341618, PRECISION: 0.0216470, PRECISION_RECALL_MIN_DEN: 0.0721567, RECALL: 0.0721567, MAP: 0.0357663, MRR: 0.0966063, NDCG: 0.0604406, F1: 0.0333031, HIT_RATE: 0.2164700, ARHR: 0.1018414, RMSE: 0.9689652, NOVELTY: 0.0063777, AVERAGE_POPULARITY: 0.2572263, DIVERSITY_MEAN_INTER_LIST: 0.9879981, DIVERSITY_HERFINDAHL: 0.9987937, COVERAGE_ITEM: 0.6654772, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2145249, SHANNON_ENTROPY: 11.2352885, 
