SearchBayesianSkoptObject: New best config found. Config 0: {'USER_CBF_CF': 0.19111785057141845, 'USER_CF': 0.0905156828151379, 'TOP_POP': 0.02482076978069104} - results: ROC_AUC: 0.0417154, PRECISION: 0.0082529, PRECISION_RECALL_MIN_DEN: 0.0275095, RECALL: 0.0275095, MAP: 0.0084563, MRR: 0.0245678, NDCG: 0.0179187, F1: 0.0126967, HIT_RATE: 0.0825285, ARHR: 0.0249683, RMSE: 1.0902336, NOVELTY: 0.0048754, AVERAGE_POPULARITY: 0.8916446, DIVERSITY_MEAN_INTER_LIST: 0.1189960, DIVERSITY_HERFINDAHL: 0.9118970, COVERAGE_ITEM: 0.0009732, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6068597, SHANNON_ENTROPY: 3.6419601, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'USER_CBF_CF': 0.4568221747850517, 'USER_CF': 0.561418394488523, 'TOP_POP': 0.9700554548790189} - results: ROC_AUC: 0.0396775, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0079930, MRR: 0.0234842, NDCG: 0.0166392, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0237317, RMSE: 47.0909257, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'USER_CBF_CF': 0.5976911896233457, 'USER_CF': 0.7438367200216268, 'TOP_POP': 0.9124548220628134} - results: ROC_AUC: 0.0397507, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080113, MRR: 0.0235391, NDCG: 0.0166606, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0237865, RMSE: 44.4368390, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'USER_CBF_CF': 0.7588494483976091, 'USER_CF': 0.714992004388979, 'TOP_POP': 0.6026055681963877} - results: ROC_AUC: 0.0400815, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080848, MRR: 0.0237594, NDCG: 0.0167470, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0240068, RMSE: 29.4889461, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'USER_CBF_CF': 0.686049926543016, 'USER_CF': 0.9393328141348106, 'TOP_POP': 0.3725870341069874} - results: ROC_AUC: 0.0401897, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080764, MRR: 0.0237421, NDCG: 0.0167406, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0239856, RMSE: 18.1826281, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'USER_CBF_CF': 0.05654003392822872, 'USER_CF': 0.5969999070003329, 'TOP_POP': 0.7397631625977664} - results: ROC_AUC: 0.0396150, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0079747, MRR: 0.0234293, NDCG: 0.0166177, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0236768, RMSE: 35.3934511, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: New best config found. Config 6: {'USER_CBF_CF': 0.562254870131964, 'USER_CF': 0.3558568735815237, 'TOP_POP': 0.023493970059161547} - results: ROC_AUC: 0.0457410, PRECISION: 0.0088455, PRECISION_RECALL_MIN_DEN: 0.0294849, RECALL: 0.0294849, MAP: 0.0093186, MRR: 0.0267536, NDCG: 0.0194477, F1: 0.0136084, HIT_RATE: 0.0884548, ARHR: 0.0273547, RMSE: 1.3407395, NOVELTY: 0.0048924, AVERAGE_POPULARITY: 0.8739223, DIVERSITY_MEAN_INTER_LIST: 0.3099023, DIVERSITY_HERFINDAHL: 0.9309834, COVERAGE_ITEM: 0.0015680, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4759087, SHANNON_ENTROPY: 4.1185617, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'USER_CBF_CF': 0.31528923139711545, 'USER_CF': 0.7647577266039212, 'TOP_POP': 0.5302124957727659} - results: ROC_AUC: 0.0397751, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080174, MRR: 0.0235574, NDCG: 0.0166677, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238048, RMSE: 25.4551031, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'USER_CBF_CF': 0.48511638672615087, 'USER_CF': 0.7167614510192504, 'TOP_POP': 0.22339545709930025} - results: ROC_AUC: 0.0402628, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080779, MRR: 0.0237466, NDCG: 0.0167433, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0239902, RMSE: 10.6913828, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'USER_CBF_CF': 0.629169930954362, 'USER_CF': 0.6430613687490372, 'TOP_POP': 0.7061065149958875} - results: ROC_AUC: 0.0399214, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080503, MRR: 0.0236561, NDCG: 0.0167066, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0239036, RMSE: 34.3958562, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'USER_CBF_CF': 0.1932491900960091, 'USER_CF': 0.5003217744082088, 'TOP_POP': 0.7704292628188942} - results: ROC_AUC: 0.0396150, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0079747, MRR: 0.0234293, NDCG: 0.0166177, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0236768, RMSE: 37.0449629, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'USER_CBF_CF': 0.8464544706327267, 'USER_CF': 0.9339237002875481, 'TOP_POP': 0.2488833305964337} - results: ROC_AUC: 0.0404503, PRECISION: 0.0075944, PRECISION_RECALL_MIN_DEN: 0.0253146, RECALL: 0.0253146, MAP: 0.0081461, MRR: 0.0238853, NDCG: 0.0169416, F1: 0.0116837, HIT_RATE: 0.0759438, ARHR: 0.0241618, RMSE: 12.3362572, NOVELTY: 0.0048702, AVERAGE_POPULARITY: 0.8970264, DIVERSITY_MEAN_INTER_LIST: 0.0161658, DIVERSITY_HERFINDAHL: 0.9016162, COVERAGE_ITEM: 0.0005948, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.9181446, SHANNON_ENTROPY: 3.3651310, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'USER_CBF_CF': 0.8852235762351517, 'USER_CF': 0.5095276536661747, 'TOP_POP': 0.953175892606644} - results: ROC_AUC: 0.0398970, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080443, MRR: 0.0236379, NDCG: 0.0166994, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238853, RMSE: 46.7501068, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'USER_CBF_CF': 0.9459789425792744, 'USER_CF': 0.1792892724595925, 'TOP_POP': 0.7100107003316969} - results: ROC_AUC: 0.0401302, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080874, MRR: 0.0237672, NDCG: 0.0167507, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0240146, RMSE: 34.9440773, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'USER_CBF_CF': 0.49048973507302995, 'USER_CF': 0.9274936649003119, 'TOP_POP': 0.48473054890295453} - results: ROC_AUC: 0.0398970, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080479, MRR: 0.0236488, NDCG: 0.0167034, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238963, RMSE: 23.4329183, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'USER_CBF_CF': 0.03134671996887329, 'USER_CF': 0.7662598037079035, 'TOP_POP': 0.03883222088089989} - results: ROC_AUC: 0.0398239, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080296, MRR: 0.0235940, NDCG: 0.0166820, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238414, RMSE: 1.4876336, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
