SearchBayesianSkoptObject: New best config found. Config 0: {'ITEM_CF': 44, 'USER_CF': 68, 'ITEM_CBF_NUM': 86, 'ITEM_CBF_CAT': 39} - results: ROC_AUC: 0.0770343, PRECISION: 0.0121921, PRECISION_RECALL_MIN_DEN: 0.0406402, RECALL: 0.0406402, MAP: 0.0200019, MRR: 0.0553818, NDCG: 0.0341305, F1: 0.0187570, HIT_RATE: 0.1219206, ARHR: 0.0576574, RMSE: nan, NOVELTY: 0.0058930, AVERAGE_POPULARITY: 0.2692257, DIVERSITY_MEAN_INTER_LIST: 0.9396159, DIVERSITY_HERFINDAHL: 0.9939571, COVERAGE_ITEM: 0.4380643, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1281062, SHANNON_ENTROPY: 9.4965141, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'ITEM_CF': 39, 'USER_CF': 73, 'ITEM_CBF_NUM': 41, 'ITEM_CBF_CAT': 92} - results: ROC_AUC: 0.0575333, PRECISION: 0.0094441, PRECISION_RECALL_MIN_DEN: 0.0314805, RECALL: 0.0314805, MAP: 0.0147837, MRR: 0.0411304, NDCG: 0.0257026, F1: 0.0145295, HIT_RATE: 0.0944415, ARHR: 0.0427177, RMSE: nan, NOVELTY: 0.0063976, AVERAGE_POPULARITY: 0.1739909, DIVERSITY_MEAN_INTER_LIST: 0.9458770, DIVERSITY_HERFINDAHL: 0.9945831, COVERAGE_ITEM: 0.5806434, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1883037, SHANNON_ENTROPY: 10.3761650, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'ITEM_CF': 36, 'USER_CF': 17, 'ITEM_CBF_NUM': 96, 'ITEM_CBF_CAT': 8} - results: ROC_AUC: 0.0716923, PRECISION: 0.0107844, PRECISION_RECALL_MIN_DEN: 0.0359479, RECALL: 0.0359479, MAP: 0.0187526, MRR: 0.0523390, NDCG: 0.0313987, F1: 0.0165913, HIT_RATE: 0.1078436, ARHR: 0.0542682, RMSE: nan, NOVELTY: 0.0059083, AVERAGE_POPULARITY: 0.2647725, DIVERSITY_MEAN_INTER_LIST: 0.9394168, DIVERSITY_HERFINDAHL: 0.9939371, COVERAGE_ITEM: 0.4603947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1324844, SHANNON_ENTROPY: 9.5392384, 
SearchBayesianSkoptObject: New best config found. Config 3: {'ITEM_CF': 44, 'USER_CF': 59, 'ITEM_CBF_NUM': 32, 'ITEM_CBF_CAT': 51} - results: ROC_AUC: 0.0787250, PRECISION: 0.0128525, PRECISION_RECALL_MIN_DEN: 0.0428418, RECALL: 0.0428418, MAP: 0.0204627, MRR: 0.0562336, NDCG: 0.0352399, F1: 0.0197731, HIT_RATE: 0.1285253, ARHR: 0.0587783, RMSE: nan, NOVELTY: 0.0061937, AVERAGE_POPULARITY: 0.2105413, DIVERSITY_MEAN_INTER_LIST: 0.9439562, DIVERSITY_HERFINDAHL: 0.9943911, COVERAGE_ITEM: 0.5632874, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1613774, SHANNON_ENTROPY: 10.0860401, 
SearchBayesianSkoptObject: New best config found. Config 4: {'ITEM_CF': 77, 'USER_CF': 55, 'ITEM_CBF_NUM': 42, 'ITEM_CBF_CAT': 10} - results: ROC_AUC: 0.0956712, PRECISION: 0.0151232, PRECISION_RECALL_MIN_DEN: 0.0504106, RECALL: 0.0504106, MAP: 0.0252627, MRR: 0.0689695, NDCG: 0.0426529, F1: 0.0232664, HIT_RATE: 0.1512317, ARHR: 0.0723186, RMSE: nan, NOVELTY: 0.0059806, AVERAGE_POPULARITY: 0.2535949, DIVERSITY_MEAN_INTER_LIST: 0.9411365, DIVERSITY_HERFINDAHL: 0.9941091, COVERAGE_ITEM: 0.5103541, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1313417, SHANNON_ENTROPY: 9.6744097, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'ITEM_CF': 100, 'USER_CF': 0, 'ITEM_CBF_NUM': 100, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0888117, PRECISION: 0.0134985, PRECISION_RECALL_MIN_DEN: 0.0449951, RECALL: 0.0449951, MAP: 0.0232024, MRR: 0.0640174, NDCG: 0.0389014, F1: 0.0207670, HIT_RATE: 0.1349853, ARHR: 0.0667605, RMSE: nan, NOVELTY: 0.0059545, AVERAGE_POPULARITY: 0.2544507, DIVERSITY_MEAN_INTER_LIST: 0.9410109, DIVERSITY_HERFINDAHL: 0.9940966, COVERAGE_ITEM: 0.4899703, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1340590, SHANNON_ENTROPY: 9.6545764, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'ITEM_CF': 100, 'USER_CF': 28, 'ITEM_CBF_NUM': 98, 'ITEM_CBF_CAT': 99} - results: ROC_AUC: 0.0786409, PRECISION: 0.0129152, PRECISION_RECALL_MIN_DEN: 0.0430507, RECALL: 0.0430507, MAP: 0.0202742, MRR: 0.0557940, NDCG: 0.0351296, F1: 0.0198695, HIT_RATE: 0.1291520, ARHR: 0.0582774, RMSE: nan, NOVELTY: 0.0060626, AVERAGE_POPULARITY: 0.2282900, DIVERSITY_MEAN_INTER_LIST: 0.9429929, DIVERSITY_HERFINDAHL: 0.9942947, COVERAGE_ITEM: 0.5118681, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1464949, SHANNON_ENTROPY: 9.8807058, 
SearchBayesianSkoptObject: New best config found. Config 7: {'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0996161, PRECISION: 0.0160343, PRECISION_RECALL_MIN_DEN: 0.0534477, RECALL: 0.0534477, MAP: 0.0264017, MRR: 0.0715866, NDCG: 0.0447233, F1: 0.0246682, HIT_RATE: 0.1603432, ARHR: 0.0753086, RMSE: nan, NOVELTY: 0.0061355, AVERAGE_POPULARITY: 0.2252812, DIVERSITY_MEAN_INTER_LIST: 0.9429933, DIVERSITY_HERFINDAHL: 0.9942948, COVERAGE_ITEM: 0.5247905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1481550, SHANNON_ENTROPY: 9.9039597, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0996161, PRECISION: 0.0160343, PRECISION_RECALL_MIN_DEN: 0.0534477, RECALL: 0.0534477, MAP: 0.0264017, MRR: 0.0715866, NDCG: 0.0447233, F1: 0.0246682, HIT_RATE: 0.1603432, ARHR: 0.0753086, RMSE: nan, NOVELTY: 0.0061355, AVERAGE_POPULARITY: 0.2252812, DIVERSITY_MEAN_INTER_LIST: 0.9429933, DIVERSITY_HERFINDAHL: 0.9942948, COVERAGE_ITEM: 0.5247905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1481550, SHANNON_ENTROPY: 9.9039597, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0996161, PRECISION: 0.0160343, PRECISION_RECALL_MIN_DEN: 0.0534477, RECALL: 0.0534477, MAP: 0.0264017, MRR: 0.0715866, NDCG: 0.0447233, F1: 0.0246682, HIT_RATE: 0.1603432, ARHR: 0.0753086, RMSE: nan, NOVELTY: 0.0061355, AVERAGE_POPULARITY: 0.2252812, DIVERSITY_MEAN_INTER_LIST: 0.9429933, DIVERSITY_HERFINDAHL: 0.9942948, COVERAGE_ITEM: 0.5247905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1481550, SHANNON_ENTROPY: 9.9039597, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'ITEM_CF': 1, 'USER_CF': 98, 'ITEM_CBF_NUM': 98, 'ITEM_CBF_CAT': 1} - results: ROC_AUC: 0.0530543, PRECISION: 0.0078050, PRECISION_RECALL_MIN_DEN: 0.0260168, RECALL: 0.0260168, MAP: 0.0141990, MRR: 0.0399075, NDCG: 0.0234192, F1: 0.0120078, HIT_RATE: 0.0780504, ARHR: 0.0412304, RMSE: nan, NOVELTY: 0.0058530, AVERAGE_POPULARITY: 0.2778945, DIVERSITY_MEAN_INTER_LIST: 0.9355998, DIVERSITY_HERFINDAHL: 0.9935555, COVERAGE_ITEM: 0.4157340, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1264892, SHANNON_ENTROPY: 9.3249760, 
