SearchBayesianSkoptObject: New best config found. Config 0: {'ITEM_CF': 0.12377542181416004, 'USER_CF': 0.9585303583229452, 'ITEM_CBF_NUM': 0.6145912506669166, 'ITEM_CBF_CAT': 0.4433736128963852, 'SLIM_BPR': 0.4966624830541494, 'P3ALPHA': 0.02317219214312805, 'RP3BETA': 0.6846555237623259} - results: ROC_AUC: 0.0925180, PRECISION: 0.0145977, PRECISION_RECALL_MIN_DEN: 0.0486590, RECALL: 0.0486590, MAP: 0.0241151, MRR: 0.0659738, NDCG: 0.0409297, F1: 0.0224580, HIT_RATE: 0.1459770, ARHR: 0.0691182, RMSE: nan, NOVELTY: 0.0058526, AVERAGE_POPULARITY: 0.2905405, DIVERSITY_MEAN_INTER_LIST: 0.9372666, DIVERSITY_HERFINDAHL: 0.9937221, COVERAGE_ITEM: 0.4219519, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1206000, SHANNON_ENTROPY: 9.3480255, 
SearchBayesianSkoptObject: New best config found. Config 1: {'ITEM_CF': 0.514353086194005, 'USER_CF': 0.6921583852046801, 'ITEM_CBF_NUM': 0.04961844843232245, 'ITEM_CBF_CAT': 0.9933720384902383, 'SLIM_BPR': 0.26005842766079107, 'P3ALPHA': 0.8415576142283993, 'RP3BETA': 0.3412673622131231} - results: ROC_AUC: 0.0931248, PRECISION: 0.0142265, PRECISION_RECALL_MIN_DEN: 0.0474216, RECALL: 0.0474216, MAP: 0.0245981, MRR: 0.0671645, NDCG: 0.0410376, F1: 0.0218869, HIT_RATE: 0.1422649, ARHR: 0.0704308, RMSE: nan, NOVELTY: 0.0064317, AVERAGE_POPULARITY: 0.1766176, DIVERSITY_MEAN_INTER_LIST: 0.9457046, DIVERSITY_HERFINDAHL: 0.9945659, COVERAGE_ITEM: 0.6122195, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1957108, SHANNON_ENTROPY: 10.4449021, 
SearchBayesianSkoptObject: New best config found. Config 2: {'ITEM_CF': 0.7245544723289465, 'USER_CF': 0.05259564825216724, 'ITEM_CBF_NUM': 0.5059392742819567, 'ITEM_CBF_CAT': 0.1387143131143768, 'SLIM_BPR': 0.21436198124152178, 'P3ALPHA': 0.26999493289208915, 'RP3BETA': 0.5960670388715014} - results: ROC_AUC: 0.0986775, PRECISION: 0.0157595, PRECISION_RECALL_MIN_DEN: 0.0525318, RECALL: 0.0525318, MAP: 0.0258883, MRR: 0.0703748, NDCG: 0.0439498, F1: 0.0242454, HIT_RATE: 0.1575953, ARHR: 0.0739514, RMSE: nan, NOVELTY: 0.0059585, AVERAGE_POPULARITY: 0.2623180, DIVERSITY_MEAN_INTER_LIST: 0.9401536, DIVERSITY_HERFINDAHL: 0.9940108, COVERAGE_ITEM: 0.4935388, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1296883, SHANNON_ENTROPY: 9.6089434, 
SearchBayesianSkoptObject: New best config found. Config 3: {'ITEM_CF': 0.31443579138440086, 'USER_CF': 0.7975699103358087, 'ITEM_CBF_NUM': 0.2834002143509406, 'ITEM_CBF_CAT': 0.1560466116356969, 'SLIM_BPR': 0.5027065754231503, 'P3ALPHA': 0.7189657933566694, 'RP3BETA': 0.5212119581985548} - results: ROC_AUC: 0.0989054, PRECISION: 0.0159090, PRECISION_RECALL_MIN_DEN: 0.0530299, RECALL: 0.0530299, MAP: 0.0259672, MRR: 0.0705381, NDCG: 0.0441745, F1: 0.0244754, HIT_RATE: 0.1590898, ARHR: 0.0741540, RMSE: nan, NOVELTY: 0.0059561, AVERAGE_POPULARITY: 0.2606479, DIVERSITY_MEAN_INTER_LIST: 0.9401033, DIVERSITY_HERFINDAHL: 0.9940058, COVERAGE_ITEM: 0.4364964, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1348684, SHANNON_ENTROPY: 9.5810164, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'ITEM_CF': 0.7721439945338322, 'USER_CF': 0.5796360876752514, 'ITEM_CBF_NUM': 0.091001965541902, 'ITEM_CBF_CAT': 0.8585537210642283, 'SLIM_BPR': 0.9605740806505935, 'P3ALPHA': 0.10116883444941663, 'RP3BETA': 0.9580463375027126} - results: ROC_AUC: 0.0961817, PRECISION: 0.0152919, PRECISION_RECALL_MIN_DEN: 0.0509730, RECALL: 0.0509730, MAP: 0.0252855, MRR: 0.0685450, NDCG: 0.0427885, F1: 0.0235260, HIT_RATE: 0.1529191, ARHR: 0.0721360, RMSE: nan, NOVELTY: 0.0062360, AVERAGE_POPULARITY: 0.2163491, DIVERSITY_MEAN_INTER_LIST: 0.9432292, DIVERSITY_HERFINDAHL: 0.9943184, COVERAGE_ITEM: 0.5909705, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1715208, SHANNON_ENTROPY: 10.1361867, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'ITEM_CF': 0.0, 'USER_CF': 0.0, 'ITEM_CBF_NUM': 1.0, 'ITEM_CBF_CAT': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0} - results: ROC_AUC: 0.0879553, PRECISION: 0.0133828, PRECISION_RECALL_MIN_DEN: 0.0446094, RECALL: 0.0446094, MAP: 0.0230488, MRR: 0.0637696, NDCG: 0.0386388, F1: 0.0205890, HIT_RATE: 0.1338283, ARHR: 0.0664160, RMSE: nan, NOVELTY: 0.0059401, AVERAGE_POPULARITY: 0.2546510, DIVERSITY_MEAN_INTER_LIST: 0.9406373, DIVERSITY_HERFINDAHL: 0.9940592, COVERAGE_ITEM: 0.4398486, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1339273, SHANNON_ENTROPY: 9.5981773, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'ITEM_CF': 1.0, 'USER_CF': 1.0, 'ITEM_CBF_NUM': 1.0, 'ITEM_CBF_CAT': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0979639, PRECISION: 0.0158849, PRECISION_RECALL_MIN_DEN: 0.0529496, RECALL: 0.0529496, MAP: 0.0258058, MRR: 0.0700103, NDCG: 0.0439626, F1: 0.0244383, HIT_RATE: 0.1588488, ARHR: 0.0736611, RMSE: nan, NOVELTY: 0.0059481, AVERAGE_POPULARITY: 0.2608348, DIVERSITY_MEAN_INTER_LIST: 0.9402923, DIVERSITY_HERFINDAHL: 0.9940247, COVERAGE_ITEM: 0.4647743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1294048, SHANNON_ENTROPY: 9.5903158, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'ITEM_CF': 1.0, 'USER_CF': 0.0, 'ITEM_CBF_NUM': 0.0, 'ITEM_CBF_CAT': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0} - results: ROC_AUC: 0.0671703, PRECISION: 0.0107313, PRECISION_RECALL_MIN_DEN: 0.0357711, RECALL: 0.0357711, MAP: 0.0171147, MRR: 0.0475083, NDCG: 0.0295439, F1: 0.0165097, HIT_RATE: 0.1073133, ARHR: 0.0493816, RMSE: nan, NOVELTY: 0.0067910, AVERAGE_POPULARITY: 0.1234936, DIVERSITY_MEAN_INTER_LIST: 0.9476813, DIVERSITY_HERFINDAHL: 0.9947636, COVERAGE_ITEM: 0.6517978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2301930, SHANNON_ENTROPY: 10.7883106, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'ITEM_CF': 0.0, 'USER_CF': 0.0, 'ITEM_CBF_NUM': 1.0, 'ITEM_CBF_CAT': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0938853, PRECISION: 0.0147134, PRECISION_RECALL_MIN_DEN: 0.0490447, RECALL: 0.0490447, MAP: 0.0245662, MRR: 0.0674251, NDCG: 0.0415573, F1: 0.0226360, HIT_RATE: 0.1471340, ARHR: 0.0705103, RMSE: nan, NOVELTY: 0.0059006, AVERAGE_POPULARITY: 0.2719365, DIVERSITY_MEAN_INTER_LIST: 0.9391693, DIVERSITY_HERFINDAHL: 0.9939124, COVERAGE_ITEM: 0.4275210, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1272449, SHANNON_ENTROPY: 9.4726895, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'ITEM_CF': 0.008569747334134738, 'USER_CF': 0.9688072893708641, 'ITEM_CBF_NUM': 0.055306321703073605, 'ITEM_CBF_CAT': 0.5126402979307202, 'SLIM_BPR': 0.0384248225992927, 'P3ALPHA': 0.05495977054836422, 'RP3BETA': 0.9659094639381268} - results: ROC_AUC: 0.0921564, PRECISION: 0.0146363, PRECISION_RECALL_MIN_DEN: 0.0487875, RECALL: 0.0487875, MAP: 0.0241365, MRR: 0.0655891, NDCG: 0.0409190, F1: 0.0225173, HIT_RATE: 0.1463626, ARHR: 0.0689656, RMSE: nan, NOVELTY: 0.0060680, AVERAGE_POPULARITY: 0.2720407, DIVERSITY_MEAN_INTER_LIST: 0.9375019, DIVERSITY_HERFINDAHL: 0.9937457, COVERAGE_ITEM: 0.5195999, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1424886, SHANNON_ENTROPY: 9.6541575, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'ITEM_CF': 0.02399851921014385, 'USER_CF': 0.995613124550752, 'ITEM_CBF_NUM': 0.8636193164616657, 'ITEM_CBF_CAT': 0.10308004253312511, 'SLIM_BPR': 0.9522503143313082, 'P3ALPHA': 0.9420121673691644, 'RP3BETA': 0.007818163669961577} - results: ROC_AUC: 0.0902936, PRECISION: 0.0140819, PRECISION_RECALL_MIN_DEN: 0.0469395, RECALL: 0.0469395, MAP: 0.0236711, MRR: 0.0650764, NDCG: 0.0399625, F1: 0.0216644, HIT_RATE: 0.1408186, ARHR: 0.0679990, RMSE: nan, NOVELTY: 0.0059052, AVERAGE_POPULARITY: 0.2656040, DIVERSITY_MEAN_INTER_LIST: 0.9397190, DIVERSITY_HERFINDAHL: 0.9939674, COVERAGE_ITEM: 0.4089213, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1312759, SHANNON_ENTROPY: 9.4982906, 
