SearchBayesianSkoptObject: New best config found. Config 0: {'MIXED_ITEM': 0.2664414860379482, 'MIXED_USER': 0.8554569812015337} - results: ROC_AUC: 0.1017084, PRECISION: 0.0165936, PRECISION_RECALL_MIN_DEN: 0.0553119, RECALL: 0.0553119, MAP: 0.0262223, MRR: 0.0730410, NDCG: 0.0454501, F1: 0.0255286, HIT_RATE: 0.1659356, ARHR: 0.0758331, RMSE: 0.8723504, NOVELTY: 0.0052224, AVERAGE_POPULARITY: 0.6233071, DIVERSITY_MEAN_INTER_LIST: 0.8673195, DIVERSITY_HERFINDAHL: 0.9867266, COVERAGE_ITEM: 0.1610706, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0625181, SHANNON_ENTROPY: 7.3482275, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'MIXED_ITEM': 0.06384147057664348, 'MIXED_USER': 0.7723626456886371} - results: ROC_AUC: 0.0981849, PRECISION: 0.0159634, PRECISION_RECALL_MIN_DEN: 0.0532114, RECALL: 0.0532114, MAP: 0.0251045, MRR: 0.0701733, NDCG: 0.0436409, F1: 0.0245591, HIT_RATE: 0.1596343, ARHR: 0.0727212, RMSE: 0.8758586, NOVELTY: 0.0051991, AVERAGE_POPULARITY: 0.6336843, DIVERSITY_MEAN_INTER_LIST: 0.8607519, DIVERSITY_HERFINDAHL: 0.9860699, COVERAGE_ITEM: 0.1507975, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0604989, SHANNON_ENTROPY: 7.2344913, 
SearchBayesianSkoptObject: New best config found. Config 2: {'MIXED_ITEM': 0.7973604849788732, 'MIXED_USER': 0.5961903520859073} - results: ROC_AUC: 0.1171023, PRECISION: 0.0191265, PRECISION_RECALL_MIN_DEN: 0.0637549, RECALL: 0.0637549, MAP: 0.0302338, MRR: 0.0837545, NDCG: 0.0523241, F1: 0.0294253, HIT_RATE: 0.1912646, ARHR: 0.0871960, RMSE: 0.8865494, NOVELTY: 0.0053480, AVERAGE_POPULARITY: 0.5708799, DIVERSITY_MEAN_INTER_LIST: 0.8967106, DIVERSITY_HERFINDAHL: 0.9896655, COVERAGE_ITEM: 0.2198432, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0744787, SHANNON_ENTROPY: 7.9177733, 
SearchBayesianSkoptObject: New best config found. Config 3: {'MIXED_ITEM': 0.5940596104857461, 'MIXED_USER': 0.31520966513718646} - results: ROC_AUC: 0.1221471, PRECISION: 0.0198307, PRECISION_RECALL_MIN_DEN: 0.0661024, RECALL: 0.0661024, MAP: 0.0315617, MRR: 0.0872389, NDCG: 0.0544524, F1: 0.0305088, HIT_RATE: 0.1983073, ARHR: 0.0909130, RMSE: 0.9203620, NOVELTY: 0.0054157, AVERAGE_POPULARITY: 0.5436475, DIVERSITY_MEAN_INTER_LIST: 0.9103732, DIVERSITY_HERFINDAHL: 0.9910317, COVERAGE_ITEM: 0.2510408, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0814514, SHANNON_ENTROPY: 8.2059652, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'MIXED_ITEM': 0.3230755805622331, 'MIXED_USER': 0.19765076242384444} - results: ROC_AUC: 0.1199530, PRECISION: 0.0196083, PRECISION_RECALL_MIN_DEN: 0.0653611, RECALL: 0.0653611, MAP: 0.0310100, MRR: 0.0857113, NDCG: 0.0536245, F1: 0.0301667, HIT_RATE: 0.1960833, ARHR: 0.0893270, RMSE: 0.9451328, NOVELTY: 0.0053850, AVERAGE_POPULARITY: 0.5558735, DIVERSITY_MEAN_INTER_LIST: 0.9043994, DIVERSITY_HERFINDAHL: 0.9904344, COVERAGE_ITEM: 0.2370911, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0782349, SHANNON_ENTROPY: 8.0771727, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'MIXED_ITEM': 0.18707130006626896, 'MIXED_USER': 0.40961147946991394} - results: ROC_AUC: 0.1042052, PRECISION: 0.0170198, PRECISION_RECALL_MIN_DEN: 0.0567328, RECALL: 0.0567328, MAP: 0.0268586, MRR: 0.0747616, NDCG: 0.0465712, F1: 0.0261844, HIT_RATE: 0.1701983, ARHR: 0.0776479, RMSE: 0.9103823, NOVELTY: 0.0052395, AVERAGE_POPULARITY: 0.6159907, DIVERSITY_MEAN_INTER_LIST: 0.8717032, DIVERSITY_HERFINDAHL: 0.9871649, COVERAGE_ITEM: 0.1693971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0639592, SHANNON_ENTROPY: 7.4292178, 
SearchBayesianSkoptObject: New best config found. Config 6: {'MIXED_ITEM': 0.8834325684866531, 'MIXED_USER': 0.04231455932167128} - results: ROC_AUC: 0.1363653, PRECISION: 0.0219991, PRECISION_RECALL_MIN_DEN: 0.0733305, RECALL: 0.0733305, MAP: 0.0354681, MRR: 0.0969914, NDCG: 0.0607291, F1: 0.0338448, HIT_RATE: 0.2199914, ARHR: 0.1016113, RMSE: 0.9693937, NOVELTY: 0.0061222, AVERAGE_POPULARITY: 0.2947447, DIVERSITY_MEAN_INTER_LIST: 0.9833187, DIVERSITY_HERFINDAHL: 0.9983258, COVERAGE_ITEM: 0.5413896, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1751986, SHANNON_ENTROPY: 10.6737626, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'MIXED_ITEM': 0.9643415610117972, 'MIXED_USER': 0.9921150068225676} - results: ROC_AUC: 0.1125616, PRECISION: 0.0183110, PRECISION_RECALL_MIN_DEN: 0.0610366, RECALL: 0.0610366, MAP: 0.0291114, MRR: 0.0808065, NDCG: 0.0502927, F1: 0.0281708, HIT_RATE: 0.1831099, ARHR: 0.0840416, RMSE: 0.8745825, NOVELTY: 0.0053017, AVERAGE_POPULARITY: 0.5898933, DIVERSITY_MEAN_INTER_LIST: 0.8865613, DIVERSITY_HERFINDAHL: 0.9886507, COVERAGE_ITEM: 0.1983239, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0698789, SHANNON_ENTROPY: 7.7138354, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'MIXED_ITEM': 0.4757545391215474, 'MIXED_USER': 0.7207867518380651} - results: ROC_AUC: 0.1074644, PRECISION: 0.0175944, PRECISION_RECALL_MIN_DEN: 0.0586479, RECALL: 0.0586479, MAP: 0.0278376, MRR: 0.0773702, NDCG: 0.0481909, F1: 0.0270683, HIT_RATE: 0.1759437, ARHR: 0.0804176, RMSE: 0.8782387, NOVELTY: 0.0052633, AVERAGE_POPULARITY: 0.6059676, DIVERSITY_MEAN_INTER_LIST: 0.8775211, DIVERSITY_HERFINDAHL: 0.9877467, COVERAGE_ITEM: 0.1811300, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0659536, SHANNON_ENTROPY: 7.5390640, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'MIXED_ITEM': 0.8318841682193545, 'MIXED_USER': 0.15724500713959247} - results: ROC_AUC: 0.1334161, PRECISION: 0.0220053, PRECISION_RECALL_MIN_DEN: 0.0733510, RECALL: 0.0733510, MAP: 0.0345153, MRR: 0.0946754, NDCG: 0.0597570, F1: 0.0338543, HIT_RATE: 0.2200531, ARHR: 0.0990292, RMSE: 0.9454623, NOVELTY: 0.0057083, AVERAGE_POPULARITY: 0.4313697, DIVERSITY_MEAN_INTER_LIST: 0.9544429, DIVERSITY_HERFINDAHL: 0.9954384, COVERAGE_ITEM: 0.3715599, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1165808, SHANNON_ENTROPY: 9.3445022, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'MIXED_ITEM': 1.0, 'MIXED_USER': 0.0} - results: ROC_AUC: 0.1340629, PRECISION: 0.0211590, PRECISION_RECALL_MIN_DEN: 0.0705298, RECALL: 0.0705298, MAP: 0.0350310, MRR: 0.0959133, NDCG: 0.0594169, F1: 0.0325522, HIT_RATE: 0.2115895, ARHR: 0.1004250, RMSE: 0.9775507, NOVELTY: 0.0063983, AVERAGE_POPULARITY: 0.2208572, DIVERSITY_MEAN_INTER_LIST: 0.9898026, DIVERSITY_HERFINDAHL: 0.9989741, COVERAGE_ITEM: 0.6368208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2168636, SHANNON_ENTROPY: 11.3116191, 
