SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8231119707341297, 'USER_CF': 0.7776933436581236, 'SLIM_BPR': 0.5336779598431284, 'P3ALPHA': 0.9509557077657007, 'RP3BETA': 0.24180630651460971, 'IALS': 0.16186784219781028, 'USER_ITEM_ALL': 0.26784003853788924} - results: ROC_AUC: 0.1317878, PRECISION: 0.0213937, PRECISION_RECALL_MIN_DEN: 0.0713124, RECALL: 0.0713124, MAP: 0.0346428, MRR: 0.0938292, NDCG: 0.0590525, F1: 0.0329134, HIT_RATE: 0.2139371, ARHR: 0.0987780, RMSE: 0.9818791, NOVELTY: 0.0059744, AVERAGE_POPULARITY: 0.3552927, DIVERSITY_MEAN_INTER_LIST: 0.9758543, DIVERSITY_HERFINDAHL: 0.9975794, COVERAGE_ITEM: 0.4632603, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1686121, SHANNON_ENTROPY: 10.2909688, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'ITEM_CBF_CF': 0.9406051495608685, 'USER_CF': 0.19966960401988282, 'SLIM_BPR': 0.4574341915425396, 'P3ALPHA': 0.8109965053482969, 'RP3BETA': 0.3451777133560498, 'IALS': 0.7474248882954128, 'USER_ITEM_ALL': 0.09073439812956376} - results: ROC_AUC: 0.1337888, PRECISION: 0.0214493, PRECISION_RECALL_MIN_DEN: 0.0714977, RECALL: 0.0714977, MAP: 0.0350417, MRR: 0.0948400, NDCG: 0.0595364, F1: 0.0329989, HIT_RATE: 0.2144931, ARHR: 0.0998674, RMSE: 0.9818791, NOVELTY: 0.0060216, AVERAGE_POPULARITY: 0.3217759, DIVERSITY_MEAN_INTER_LIST: 0.9822789, DIVERSITY_HERFINDAHL: 0.9982218, COVERAGE_ITEM: 0.4629359, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1719473, SHANNON_ENTROPY: 10.4815893, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.9701668834761263, 'USER_CF': 0.20709044109375513, 'SLIM_BPR': 0.7822933704933718, 'P3ALPHA': 0.6562694567936875, 'RP3BETA': 0.662767114265554, 'IALS': 0.33350479494188584, 'USER_ITEM_ALL': 0.46889070412646716} - results: ROC_AUC: 0.1326111, PRECISION: 0.0213690, PRECISION_RECALL_MIN_DEN: 0.0712300, RECALL: 0.0712300, MAP: 0.0349714, MRR: 0.0944554, NDCG: 0.0593261, F1: 0.0328754, HIT_RATE: 0.2136900, ARHR: 0.0995700, RMSE: 0.9818791, NOVELTY: 0.0061145, AVERAGE_POPULARITY: 0.3008115, DIVERSITY_MEAN_INTER_LIST: 0.9836657, DIVERSITY_HERFINDAHL: 0.9983605, COVERAGE_ITEM: 0.5121925, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1888572, SHANNON_ENTROPY: 10.7194381, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 3, 'ITEM_CBF_CF': 0.8219601694964955, 'USER_CF': 0.8779285672264927, 'SLIM_BPR': 0.14096822503669018, 'P3ALPHA': 0.23865443024231298, 'RP3BETA': 0.07726918108703042, 'IALS': 0.4926652260082346, 'USER_ITEM_ALL': 0.8301373146215894} - results: ROC_AUC: 0.1342365, PRECISION: 0.0221721, PRECISION_RECALL_MIN_DEN: 0.0739070, RECALL: 0.0739070, MAP: 0.0354581, MRR: 0.0958782, NDCG: 0.0606813, F1: 0.0341109, HIT_RATE: 0.2217211, ARHR: 0.1010203, RMSE: 0.9818791, NOVELTY: 0.0058047, AVERAGE_POPULARITY: 0.4145864, DIVERSITY_MEAN_INTER_LIST: 0.9620872, DIVERSITY_HERFINDAHL: 0.9962028, COVERAGE_ITEM: 0.4706137, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1389563, SHANNON_ENTROPY: 9.8123816, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.08982946090521117, 'USER_CF': 0.5031524903920446, 'SLIM_BPR': 0.23814594378454285, 'P3ALPHA': 0.9217822158035932, 'RP3BETA': 0.9964052759817066, 'IALS': 0.09479284021802173, 'USER_ITEM_ALL': 0.5447239998117461} - results: ROC_AUC: 0.1313379, PRECISION: 0.0211837, PRECISION_RECALL_MIN_DEN: 0.0706122, RECALL: 0.0706122, MAP: 0.0345048, MRR: 0.0933184, NDCG: 0.0586744, F1: 0.0325903, HIT_RATE: 0.2118367, ARHR: 0.0983118, RMSE: 0.9818791, NOVELTY: 0.0059527, AVERAGE_POPULARITY: 0.3619496, DIVERSITY_MEAN_INTER_LIST: 0.9749744, DIVERSITY_HERFINDAHL: 0.9974914, COVERAGE_ITEM: 0.4403893, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1656233, SHANNON_ENTROPY: 10.1992957, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1271753, PRECISION: 0.0205288, PRECISION_RECALL_MIN_DEN: 0.0684294, RECALL: 0.0684294, MAP: 0.0336057, MRR: 0.0910252, NDCG: 0.0570393, F1: 0.0315828, HIT_RATE: 0.2052882, ARHR: 0.0958048, RMSE: 0.9818791, NOVELTY: 0.0059531, AVERAGE_POPULARITY: 0.3428624, DIVERSITY_MEAN_INTER_LIST: 0.9804215, DIVERSITY_HERFINDAHL: 0.9980361, COVERAGE_ITEM: 0.4380643, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1628817, SHANNON_ENTROPY: 10.3242648, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'ITEM_CBF_CF': 0.05516161269428056, 'USER_CF': 0.8320739284580391, 'SLIM_BPR': 0.016707178667948245, 'P3ALPHA': 0.024703475946597615, 'RP3BETA': 0.8867526482630474, 'IALS': 0.08606697384730223, 'USER_ITEM_ALL': 0.08739659064539941} - results: ROC_AUC: 0.1206279, PRECISION: 0.0200284, PRECISION_RECALL_MIN_DEN: 0.0667614, RECALL: 0.0667614, MAP: 0.0314648, MRR: 0.0860116, NDCG: 0.0543667, F1: 0.0308130, HIT_RATE: 0.2002842, ARHR: 0.0901245, RMSE: 0.9818791, NOVELTY: 0.0053792, AVERAGE_POPULARITY: 0.5781715, DIVERSITY_MEAN_INTER_LIST: 0.9038819, DIVERSITY_HERFINDAHL: 0.9903826, COVERAGE_ITEM: 0.2176264, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0828054, SHANNON_ENTROPY: 8.0694794, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.005684978188674862, 'USER_CF': 0.062056714780164404, 'SLIM_BPR': 0.9831899526136101, 'P3ALPHA': 0.9706328101568268, 'RP3BETA': 0.8547037278475555, 'IALS': 0.946266240558582, 'USER_ITEM_ALL': 0.8928289904428037} - results: ROC_AUC: 0.1311098, PRECISION: 0.0211590, PRECISION_RECALL_MIN_DEN: 0.0705298, RECALL: 0.0705298, MAP: 0.0343473, MRR: 0.0927954, NDCG: 0.0584665, F1: 0.0325522, HIT_RATE: 0.2115895, ARHR: 0.0978090, RMSE: 0.9818791, NOVELTY: 0.0060331, AVERAGE_POPULARITY: 0.3206548, DIVERSITY_MEAN_INTER_LIST: 0.9821572, DIVERSITY_HERFINDAHL: 0.9982097, COVERAGE_ITEM: 0.4267640, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1785238, SHANNON_ENTROPY: 10.4544629, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.8806416968388605, 'USER_CF': 0.9845905717920598, 'SLIM_BPR': 0.9684251259994339, 'P3ALPHA': 0.0020469624304839677, 'RP3BETA': 0.09655891386339191, 'IALS': 0.9348445303973513, 'USER_ITEM_ALL': 0.48442584360427277} - results: ROC_AUC: 0.1317095, PRECISION: 0.0216161, PRECISION_RECALL_MIN_DEN: 0.0720537, RECALL: 0.0720537, MAP: 0.0343002, MRR: 0.0927321, NDCG: 0.0589077, F1: 0.0332556, HIT_RATE: 0.2161611, ARHR: 0.0977138, RMSE: 0.9818791, NOVELTY: 0.0056959, AVERAGE_POPULARITY: 0.4369037, DIVERSITY_MEAN_INTER_LIST: 0.9620595, DIVERSITY_HERFINDAHL: 0.9962000, COVERAGE_ITEM: 0.3515545, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1214999, SHANNON_ENTROPY: 9.4387818, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1342238, PRECISION: 0.0212331, PRECISION_RECALL_MIN_DEN: 0.0707770, RECALL: 0.0707770, MAP: 0.0353590, MRR: 0.0957203, NDCG: 0.0596477, F1: 0.0326663, HIT_RATE: 0.2123309, ARHR: 0.1007853, RMSE: 0.9818791, NOVELTY: 0.0059515, AVERAGE_POPULARITY: 0.3328936, DIVERSITY_MEAN_INTER_LIST: 0.9816535, DIVERSITY_HERFINDAHL: 0.9981593, COVERAGE_ITEM: 0.4691538, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1609930, SHANNON_ENTROPY: 10.3977666, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 1.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1315937, PRECISION: 0.0210972, PRECISION_RECALL_MIN_DEN: 0.0703239, RECALL: 0.0703239, MAP: 0.0345682, MRR: 0.0937790, NDCG: 0.0586995, F1: 0.0324572, HIT_RATE: 0.2109718, ARHR: 0.0986465, RMSE: 0.9818791, NOVELTY: 0.0058331, AVERAGE_POPULARITY: 0.4121100, DIVERSITY_MEAN_INTER_LIST: 0.9608501, DIVERSITY_HERFINDAHL: 0.9960791, COVERAGE_ITEM: 0.4562314, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1509071, SHANNON_ENTROPY: 9.8729814, 
