SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8231119707341297, 'USER_CF': 0.7776933436581236, 'SLIM_BPR': 0.5336779598431284, 'P3ALPHA': 0.9509557077657007, 'RP3BETA': 0.24180630651460971, 'IALS': 0.16186784219781028, 'USER_ITEM_ALL': 0.26784003853788924} - results: ROC_AUC: 0.1117372, PRECISION: 0.0180701, PRECISION_RECALL_MIN_DEN: 0.0602335, RECALL: 0.0602335, MAP: 0.0293596, MRR: 0.0808107, NDCG: 0.0501645, F1: 0.0278001, HIT_RATE: 0.1807006, ARHR: 0.0843711, RMSE: 0.9818791, NOVELTY: 0.0052355, AVERAGE_POPULARITY: 0.6451937, DIVERSITY_MEAN_INTER_LIST: 0.8625290, DIVERSITY_HERFINDAHL: 0.9862476, COVERAGE_ITEM: 0.1714517, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0633783, SHANNON_ENTROPY: 7.3741255, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_avg', 'multiplier_cutoff': 6, 'ITEM_CBF_CF': 0.9406051495608685, 'USER_CF': 0.19966960401988282, 'SLIM_BPR': 0.4574341915425396, 'P3ALPHA': 0.8109965053482969, 'RP3BETA': 0.3451777133560498, 'IALS': 0.7474248882954128, 'USER_ITEM_ALL': 0.09073439812956376} - results: ROC_AUC: 0.1241786, PRECISION: 0.0201582, PRECISION_RECALL_MIN_DEN: 0.0671938, RECALL: 0.0671938, MAP: 0.0323577, MRR: 0.0884981, NDCG: 0.0554859, F1: 0.0310125, HIT_RATE: 0.2015815, ARHR: 0.0927135, RMSE: 0.9818791, NOVELTY: 0.0054185, AVERAGE_POPULARITY: 0.5450190, DIVERSITY_MEAN_INTER_LIST: 0.9277261, DIVERSITY_HERFINDAHL: 0.9927669, COVERAGE_ITEM: 0.2062720, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0889209, SHANNON_ENTROPY: 8.3140603, 
SearchBayesianSkoptObject: New best config found. Config 2: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.9701668834761263, 'USER_CF': 0.20709044109375513, 'SLIM_BPR': 0.7822933704933718, 'P3ALPHA': 0.6562694567936875, 'RP3BETA': 0.662767114265554, 'IALS': 0.33350479494188584, 'USER_ITEM_ALL': 0.46889070412646716} - results: ROC_AUC: 0.1263577, PRECISION: 0.0206894, PRECISION_RECALL_MIN_DEN: 0.0689648, RECALL: 0.0689648, MAP: 0.0328079, MRR: 0.0895097, NDCG: 0.0564814, F1: 0.0318299, HIT_RATE: 0.2068944, ARHR: 0.0938882, RMSE: 0.9818791, NOVELTY: 0.0055048, AVERAGE_POPULARITY: 0.5178842, DIVERSITY_MEAN_INTER_LIST: 0.9349280, DIVERSITY_HERFINDAHL: 0.9934870, COVERAGE_ITEM: 0.2719113, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0946968, SHANNON_ENTROPY: 8.6284688, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 3, 'ITEM_CBF_CF': 0.8219601694964955, 'USER_CF': 0.8779285672264927, 'SLIM_BPR': 0.14096822503669018, 'P3ALPHA': 0.23865443024231298, 'RP3BETA': 0.07726918108703042, 'IALS': 0.4926652260082346, 'USER_ITEM_ALL': 0.8301373146215894} - results: ROC_AUC: 0.1082323, PRECISION: 0.0173473, PRECISION_RECALL_MIN_DEN: 0.0578242, RECALL: 0.0578242, MAP: 0.0283894, MRR: 0.0782809, NDCG: 0.0484071, F1: 0.0266881, HIT_RATE: 0.1734725, ARHR: 0.0816525, RMSE: 0.9818791, NOVELTY: 0.0052050, AVERAGE_POPULARITY: 0.6586893, DIVERSITY_MEAN_INTER_LIST: 0.8554567, DIVERSITY_HERFINDAHL: 0.9855404, COVERAGE_ITEM: 0.1580968, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0604055, SHANNON_ENTROPY: 7.2389318, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.08982946090521117, 'USER_CF': 0.5031524903920446, 'SLIM_BPR': 0.23814594378454285, 'P3ALPHA': 0.9217822158035932, 'RP3BETA': 0.9964052759817066, 'IALS': 0.09479284021802173, 'USER_ITEM_ALL': 0.5447239998117461} - results: ROC_AUC: 0.1202224, PRECISION: 0.0195280, PRECISION_RECALL_MIN_DEN: 0.0650934, RECALL: 0.0650934, MAP: 0.0311240, MRR: 0.0852283, NDCG: 0.0535319, F1: 0.0300431, HIT_RATE: 0.1952802, ARHR: 0.0892252, RMSE: 0.9818791, NOVELTY: 0.0053531, AVERAGE_POPULARITY: 0.5819038, DIVERSITY_MEAN_INTER_LIST: 0.9065195, DIVERSITY_HERFINDAHL: 0.9906464, COVERAGE_ITEM: 0.2004866, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0771309, SHANNON_ENTROPY: 7.9694261, 
SearchBayesianSkoptObject: New best config found. Config 5: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 0.0} - results: ROC_AUC: 0.1251850, PRECISION: 0.0204547, PRECISION_RECALL_MIN_DEN: 0.0681823, RECALL: 0.0681823, MAP: 0.0328653, MRR: 0.0892656, NDCG: 0.0562233, F1: 0.0314687, HIT_RATE: 0.2045469, ARHR: 0.0938476, RMSE: 0.9818791, NOVELTY: 0.0057073, AVERAGE_POPULARITY: 0.4127202, DIVERSITY_MEAN_INTER_LIST: 0.9692708, DIVERSITY_HERFINDAHL: 0.9969211, COVERAGE_ITEM: 0.2531495, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1455018, SHANNON_ENTROPY: 9.5056525, 
SearchBayesianSkoptObject: New best config found. Config 6: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1322245, PRECISION: 0.0213690, PRECISION_RECALL_MIN_DEN: 0.0712300, RECALL: 0.0712300, MAP: 0.0346094, MRR: 0.0937543, NDCG: 0.0590052, F1: 0.0328754, HIT_RATE: 0.2136900, ARHR: 0.0986791, RMSE: 0.9818791, NOVELTY: 0.0057850, AVERAGE_POPULARITY: 0.3627725, DIVERSITY_MEAN_INTER_LIST: 0.9787394, DIVERSITY_HERFINDAHL: 0.9978679, COVERAGE_ITEM: 0.2231955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1693207, SHANNON_ENTROPY: 9.7573597, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 3, 'ITEM_CBF_CF': 0.9482223959918679, 'USER_CF': 0.01835435602844249, 'SLIM_BPR': 0.14705974849167616, 'P3ALPHA': 0.1802655775184944, 'RP3BETA': 0.6899882306003351, 'IALS': 0.04903519724955942, 'USER_ITEM_ALL': 0.9807222815139184} - results: ROC_AUC: 0.1288717, PRECISION: 0.0214555, PRECISION_RECALL_MIN_DEN: 0.0715183, RECALL: 0.0715183, MAP: 0.0338788, MRR: 0.0917137, NDCG: 0.0582787, F1: 0.0330084, HIT_RATE: 0.2145549, ARHR: 0.0965720, RMSE: 0.9818791, NOVELTY: 0.0058992, AVERAGE_POPULARITY: 0.3790927, DIVERSITY_MEAN_INTER_LIST: 0.9705694, DIVERSITY_HERFINDAHL: 0.9970509, COVERAGE_ITEM: 0.5294945, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1543068, SHANNON_ENTROPY: 10.1270383, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.14923301327501806, 'USER_CF': 0.9598081765345524, 'SLIM_BPR': 0.870021927352886, 'P3ALPHA': 0.049115264269719475, 'RP3BETA': 0.9308872634839979, 'IALS': 0.9285365282601484, 'USER_ITEM_ALL': 0.9959165184964665} - results: ROC_AUC: 0.1170010, PRECISION: 0.0190338, PRECISION_RECALL_MIN_DEN: 0.0634460, RECALL: 0.0634460, MAP: 0.0304774, MRR: 0.0835894, NDCG: 0.0523380, F1: 0.0292828, HIT_RATE: 0.1903379, ARHR: 0.0874407, RMSE: 0.9818791, NOVELTY: 0.0052886, AVERAGE_POPULARITY: 0.6093427, DIVERSITY_MEAN_INTER_LIST: 0.8925361, DIVERSITY_HERFINDAHL: 0.9892481, COVERAGE_ITEM: 0.1566369, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0749758, SHANNON_ENTROPY: 7.6823964, 
SearchBayesianSkoptObject: New best config found. Config 9: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1329976, PRECISION: 0.0213134, PRECISION_RECALL_MIN_DEN: 0.0710447, RECALL: 0.0710447, MAP: 0.0351646, MRR: 0.0948195, NDCG: 0.0594522, F1: 0.0327898, HIT_RATE: 0.2131340, ARHR: 0.1000406, RMSE: 0.9818791, NOVELTY: 0.0062014, AVERAGE_POPULARITY: 0.2711275, DIVERSITY_MEAN_INTER_LIST: 0.9825634, DIVERSITY_HERFINDAHL: 0.9982503, COVERAGE_ITEM: 0.5577724, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1991115, SHANNON_ENTROPY: 10.8860581, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1246107, PRECISION: 0.0205844, PRECISION_RECALL_MIN_DEN: 0.0686147, RECALL: 0.0686147, MAP: 0.0326828, MRR: 0.0886556, NDCG: 0.0561418, F1: 0.0316683, HIT_RATE: 0.2058442, ARHR: 0.0932556, RMSE: 0.9818791, NOVELTY: 0.0058767, AVERAGE_POPULARITY: 0.3867987, DIVERSITY_MEAN_INTER_LIST: 0.9624647, DIVERSITY_HERFINDAHL: 0.9962405, COVERAGE_ITEM: 0.5112192, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1531898, SHANNON_ENTROPY: 9.9594294, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.9059521114025282, 'USER_CF': 0.021362762278759332, 'SLIM_BPR': 0.03252335253127981, 'P3ALPHA': 0.9664938708861042, 'RP3BETA': 0.9403204863392477, 'IALS': 0.9207782362452417, 'USER_ITEM_ALL': 0.6496552596364383} - results: ROC_AUC: 0.1290125, PRECISION: 0.0215667, PRECISION_RECALL_MIN_DEN: 0.0718890, RECALL: 0.0718890, MAP: 0.0339416, MRR: 0.0920084, NDCG: 0.0584773, F1: 0.0331795, HIT_RATE: 0.2156669, ARHR: 0.0968274, RMSE: 0.9818791, NOVELTY: 0.0057739, AVERAGE_POPULARITY: 0.4025694, DIVERSITY_MEAN_INTER_LIST: 0.9696463, DIVERSITY_HERFINDAHL: 0.9969586, COVERAGE_ITEM: 0.3571235, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1348246, SHANNON_ENTROPY: 9.6990784, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1258350, PRECISION: 0.0195033, PRECISION_RECALL_MIN_DEN: 0.0650110, RECALL: 0.0650110, MAP: 0.0332368, MRR: 0.0906108, NDCG: 0.0557051, F1: 0.0300051, HIT_RATE: 0.1950331, ARHR: 0.0950650, RMSE: 0.9818791, NOVELTY: 0.0056941, AVERAGE_POPULARITY: 0.3949326, DIVERSITY_MEAN_INTER_LIST: 0.9760946, DIVERSITY_HERFINDAHL: 0.9976034, COVERAGE_ITEM: 0.2379562, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1401740, SHANNON_ENTROPY: 9.5508825, 
SearchBayesianSkoptObject: Config 13 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 0.0} - results: ROC_AUC: 0.1081124, PRECISION: 0.0169086, PRECISION_RECALL_MIN_DEN: 0.0563621, RECALL: 0.0563621, MAP: 0.0285315, MRR: 0.0783781, NDCG: 0.0480745, F1: 0.0260133, HIT_RATE: 0.1690863, ARHR: 0.0819202, RMSE: 0.9818791, NOVELTY: 0.0060431, AVERAGE_POPULARITY: 0.3404247, DIVERSITY_MEAN_INTER_LIST: 0.9782924, DIVERSITY_HERFINDAHL: 0.9978232, COVERAGE_ITEM: 0.3676129, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1917238, SHANNON_ENTROPY: 10.3180479, 
