SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8231119707341297, 'USER_CF': 0.7776933436581236, 'SLIM_BPR': 0.5336779598431284, 'P3ALPHA': 0.9509557077657007, 'RP3BETA': 0.24180630651460971, 'IALS': 0.16186784219781028, 'USER_ITEM_ALL': 0.26784003853788924} - results: ROC_AUC: 0.1179503, PRECISION: 0.0184840, PRECISION_RECALL_MIN_DEN: 0.0616132, RECALL: 0.0616132, MAP: 0.0314193, MRR: 0.0857933, NDCG: 0.0526936, F1: 0.0284369, HIT_RATE: 0.1848397, ARHR: 0.0899414, RMSE: 0.9818791, NOVELTY: 0.0064119, AVERAGE_POPULARITY: 0.2323368, DIVERSITY_MEAN_INTER_LIST: 0.9799040, DIVERSITY_HERFINDAHL: 0.9979843, COVERAGE_ITEM: 0.4362260, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1642952, SHANNON_ENTROPY: 10.2607207, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_count', 'multiplier_cutoff': 6, 'ITEM_CBF_CF': 0.9406051495608685, 'USER_CF': 0.19966960401988282, 'SLIM_BPR': 0.4574341915425396, 'P3ALPHA': 0.8109965053482969, 'RP3BETA': 0.3451777133560498, 'IALS': 0.7474248882954128, 'USER_ITEM_ALL': 0.09073439812956376} - results: ROC_AUC: 0.1221397, PRECISION: 0.0194601, PRECISION_RECALL_MIN_DEN: 0.0648669, RECALL: 0.0648669, MAP: 0.0323528, MRR: 0.0878984, NDCG: 0.0546455, F1: 0.0299386, HIT_RATE: 0.1946006, ARHR: 0.0923947, RMSE: 0.9818791, NOVELTY: 0.0064277, AVERAGE_POPULARITY: 0.2250601, DIVERSITY_MEAN_INTER_LIST: 0.9797944, DIVERSITY_HERFINDAHL: 0.9979734, COVERAGE_ITEM: 0.4442282, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1744251, SHANNON_ENTROPY: 10.4076023, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.9701668834761263, 'USER_CF': 0.20709044109375513, 'SLIM_BPR': 0.7822933704933718, 'P3ALPHA': 0.6562694567936875, 'RP3BETA': 0.662767114265554, 'IALS': 0.33350479494188584, 'USER_ITEM_ALL': 0.46889070412646716} - results: ROC_AUC: 0.1178517, PRECISION: 0.0183913, PRECISION_RECALL_MIN_DEN: 0.0613043, RECALL: 0.0613043, MAP: 0.0315824, MRR: 0.0859594, NDCG: 0.0527347, F1: 0.0282943, HIT_RATE: 0.1839130, ARHR: 0.0902817, RMSE: 0.9818791, NOVELTY: 0.0066629, AVERAGE_POPULARITY: 0.1920677, DIVERSITY_MEAN_INTER_LIST: 0.9759243, DIVERSITY_HERFINDAHL: 0.9975864, COVERAGE_ITEM: 0.3569073, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1675331, SHANNON_ENTROPY: 10.0475688, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'weighted_count', 'multiplier_cutoff': 3, 'ITEM_CBF_CF': 0.8219601694964955, 'USER_CF': 0.8779285672264927, 'SLIM_BPR': 0.14096822503669018, 'P3ALPHA': 0.23865443024231298, 'RP3BETA': 0.07726918108703042, 'IALS': 0.4926652260082346, 'USER_ITEM_ALL': 0.8301373146215894} - results: ROC_AUC: 0.1247633, PRECISION: 0.0209242, PRECISION_RECALL_MIN_DEN: 0.0697473, RECALL: 0.0697473, MAP: 0.0328084, MRR: 0.0888798, NDCG: 0.0565992, F1: 0.0321911, HIT_RATE: 0.2092420, ARHR: 0.0935655, RMSE: 0.9818791, NOVELTY: 0.0059591, AVERAGE_POPULARITY: 0.3570658, DIVERSITY_MEAN_INTER_LIST: 0.9652515, DIVERSITY_HERFINDAHL: 0.9965192, COVERAGE_ITEM: 0.4859151, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1639686, SHANNON_ENTROPY: 10.1739619, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.08982946090521117, 'USER_CF': 0.5031524903920446, 'SLIM_BPR': 0.23814594378454285, 'P3ALPHA': 0.9217822158035932, 'RP3BETA': 0.9964052759817066, 'IALS': 0.09479284021802173, 'USER_ITEM_ALL': 0.5447239998117461} - results: ROC_AUC: 0.1179246, PRECISION: 0.0186817, PRECISION_RECALL_MIN_DEN: 0.0622722, RECALL: 0.0622722, MAP: 0.0315682, MRR: 0.0860703, NDCG: 0.0530304, F1: 0.0287410, HIT_RATE: 0.1868166, ARHR: 0.0903090, RMSE: 0.9818791, NOVELTY: 0.0064731, AVERAGE_POPULARITY: 0.2341053, DIVERSITY_MEAN_INTER_LIST: 0.9788085, DIVERSITY_HERFINDAHL: 0.9978748, COVERAGE_ITEM: 0.3909165, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1609769, SHANNON_ENTROPY: 10.1401677, 
SearchBayesianSkoptObject: New best config found. Config 5: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1245847, PRECISION: 0.0206215, PRECISION_RECALL_MIN_DEN: 0.0687383, RECALL: 0.0687383, MAP: 0.0334714, MRR: 0.0904746, NDCG: 0.0569187, F1: 0.0317254, HIT_RATE: 0.2062149, ARHR: 0.0953411, RMSE: 0.9818791, NOVELTY: 0.0061130, AVERAGE_POPULARITY: 0.2993455, DIVERSITY_MEAN_INTER_LIST: 0.9771867, DIVERSITY_HERFINDAHL: 0.9977126, COVERAGE_ITEM: 0.4669370, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1619975, SHANNON_ENTROPY: 10.3005413, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.0, 'USER_CF': 1.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 0.0} - results: ROC_AUC: 0.1204713, PRECISION: 0.0195651, PRECISION_RECALL_MIN_DEN: 0.0652169, RECALL: 0.0652169, MAP: 0.0316690, MRR: 0.0860499, NDCG: 0.0540372, F1: 0.0301001, HIT_RATE: 0.1956508, ARHR: 0.0904443, RMSE: 0.9818791, NOVELTY: 0.0057937, AVERAGE_POPULARITY: 0.4202863, DIVERSITY_MEAN_INTER_LIST: 0.9417734, DIVERSITY_HERFINDAHL: 0.9941715, COVERAGE_ITEM: 0.2539605, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1070867, SHANNON_ENTROPY: 8.7783187, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.09669028154661244, 'USER_CF': 0.9994890677616616, 'SLIM_BPR': 0.03135042504964359, 'P3ALPHA': 0.044335726931784676, 'RP3BETA': 0.05434818176453805, 'IALS': 0.09791016253204146, 'USER_ITEM_ALL': 0.8557204433657543} - results: ROC_AUC: 0.1186071, PRECISION: 0.0183789, PRECISION_RECALL_MIN_DEN: 0.0612632, RECALL: 0.0612632, MAP: 0.0314424, MRR: 0.0862842, NDCG: 0.0526864, F1: 0.0282753, HIT_RATE: 0.1837895, ARHR: 0.0902340, RMSE: 0.9818791, NOVELTY: 0.0055356, AVERAGE_POPULARITY: 0.4641484, DIVERSITY_MEAN_INTER_LIST: 0.9426355, DIVERSITY_HERFINDAHL: 0.9942577, COVERAGE_ITEM: 0.2110841, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0898706, SHANNON_ENTROPY: 8.4653330, 
SearchBayesianSkoptObject: New best config found. Config 8: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.6808149763856369, 'USER_CF': 0.0008074191492006835, 'SLIM_BPR': 0.01809413161501994, 'P3ALPHA': 0.966424831062568, 'RP3BETA': 0.9839267402725457, 'IALS': 0.2154941991600448, 'USER_ITEM_ALL': 0.37949192833818757} - results: ROC_AUC: 0.1291119, PRECISION: 0.0210539, PRECISION_RECALL_MIN_DEN: 0.0701798, RECALL: 0.0701798, MAP: 0.0339603, MRR: 0.0917442, NDCG: 0.0579334, F1: 0.0323907, HIT_RATE: 0.2105393, ARHR: 0.0967060, RMSE: 0.9818791, NOVELTY: 0.0061746, AVERAGE_POPULARITY: 0.2727576, DIVERSITY_MEAN_INTER_LIST: 0.9748976, DIVERSITY_HERFINDAHL: 0.9974837, COVERAGE_ITEM: 0.4907813, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1633421, SHANNON_ENTROPY: 10.3234090, 
SearchBayesianSkoptObject: New best config found. Config 9: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1320487, PRECISION: 0.0214493, PRECISION_RECALL_MIN_DEN: 0.0714977, RECALL: 0.0714977, MAP: 0.0348391, MRR: 0.0941956, NDCG: 0.0592879, F1: 0.0329989, HIT_RATE: 0.2144931, ARHR: 0.0992514, RMSE: 0.9818791, NOVELTY: 0.0061645, AVERAGE_POPULARITY: 0.2705216, DIVERSITY_MEAN_INTER_LIST: 0.9787040, DIVERSITY_HERFINDAHL: 0.9978644, COVERAGE_ITEM: 0.5159232, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1701513, SHANNON_ENTROPY: 10.4892476, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 5.551115123125783e-17, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1307118, PRECISION: 0.0210230, PRECISION_RECALL_MIN_DEN: 0.0700768, RECALL: 0.0700768, MAP: 0.0346450, MRR: 0.0937011, NDCG: 0.0586436, F1: 0.0323431, HIT_RATE: 0.2102304, ARHR: 0.0987142, RMSE: 0.9818791, NOVELTY: 0.0060617, AVERAGE_POPULARITY: 0.3075846, DIVERSITY_MEAN_INTER_LIST: 0.9779254, DIVERSITY_HERFINDAHL: 0.9977865, COVERAGE_ITEM: 0.4406596, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1572288, SHANNON_ENTROPY: 10.2294119, 
