SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CBF_CF': 0.8231119707341297, 'USER_CF': 0.7776933436581236, 'SLIM_BPR': 0.5336779598431284, 'P3ALPHA': 0.9509557077657007, 'RP3BETA': 0.24180630651460971, 'IALS': 0.16186784219781028, 'USER_ITEM_ALL': 0.26784003853788924} - results: ROC_AUC: 0.1248695, PRECISION: 0.0201273, PRECISION_RECALL_MIN_DEN: 0.0670909, RECALL: 0.0670909, MAP: 0.0326564, MRR: 0.0885498, NDCG: 0.0556582, F1: 0.0309650, HIT_RATE: 0.2012726, ARHR: 0.0931655, RMSE: 0.9818791, NOVELTY: 0.0064219, AVERAGE_POPULARITY: 0.2545893, DIVERSITY_MEAN_INTER_LIST: 0.9762030, DIVERSITY_HERFINDAHL: 0.9976143, COVERAGE_ITEM: 0.4554745, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1764946, SHANNON_ENTROPY: 10.3576391, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_rank', 'multiplier_cutoff': 6, 'ITEM_CBF_CF': 0.9406051495608685, 'USER_CF': 0.19966960401988282, 'SLIM_BPR': 0.4574341915425396, 'P3ALPHA': 0.8109965053482969, 'RP3BETA': 0.3451777133560498, 'IALS': 0.7474248882954128, 'USER_ITEM_ALL': 0.09073439812956376} - results: ROC_AUC: 0.1285995, PRECISION: 0.0204485, PRECISION_RECALL_MIN_DEN: 0.0681617, RECALL: 0.0681617, MAP: 0.0336427, MRR: 0.0909941, NDCG: 0.0570202, F1: 0.0314592, HIT_RATE: 0.2044851, ARHR: 0.0958662, RMSE: 0.9818791, NOVELTY: 0.0062941, AVERAGE_POPULARITY: 0.2500943, DIVERSITY_MEAN_INTER_LIST: 0.9819032, DIVERSITY_HERFINDAHL: 0.9981843, COVERAGE_ITEM: 0.4390916, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1780994, SHANNON_ENTROPY: 10.4865546, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.9701668834761263, 'USER_CF': 0.20709044109375513, 'SLIM_BPR': 0.7822933704933718, 'P3ALPHA': 0.6562694567936875, 'RP3BETA': 0.662767114265554, 'IALS': 0.33350479494188584, 'USER_ITEM_ALL': 0.46889070412646716} - results: ROC_AUC: 0.1249937, PRECISION: 0.0198987, PRECISION_RECALL_MIN_DEN: 0.0663289, RECALL: 0.0663289, MAP: 0.0328636, MRR: 0.0889377, NDCG: 0.0556114, F1: 0.0306134, HIT_RATE: 0.1989868, ARHR: 0.0936667, RMSE: 0.9818791, NOVELTY: 0.0064633, AVERAGE_POPULARITY: 0.2217436, DIVERSITY_MEAN_INTER_LIST: 0.9621621, DIVERSITY_HERFINDAHL: 0.9962103, COVERAGE_ITEM: 0.4058394, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1681071, SHANNON_ENTROPY: 10.0271918, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'weighted_rank', 'multiplier_cutoff': 3, 'ITEM_CBF_CF': 0.8219601694964955, 'USER_CF': 0.8779285672264927, 'SLIM_BPR': 0.14096822503669018, 'P3ALPHA': 0.23865443024231298, 'RP3BETA': 0.07726918108703042, 'IALS': 0.4926652260082346, 'USER_ITEM_ALL': 0.8301373146215894} - results: ROC_AUC: 0.1327345, PRECISION: 0.0220486, PRECISION_RECALL_MIN_DEN: 0.0734952, RECALL: 0.0734952, MAP: 0.0342136, MRR: 0.0923712, NDCG: 0.0592622, F1: 0.0339209, HIT_RATE: 0.2204856, ARHR: 0.0973972, RMSE: 0.9818791, NOVELTY: 0.0060028, AVERAGE_POPULARITY: 0.3417828, DIVERSITY_MEAN_INTER_LIST: 0.9760478, DIVERSITY_HERFINDAHL: 0.9975987, COVERAGE_ITEM: 0.4936469, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1632283, SHANNON_ENTROPY: 10.3352658, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 8, 'ITEM_CBF_CF': 0.08982946090521117, 'USER_CF': 0.5031524903920446, 'SLIM_BPR': 0.23814594378454285, 'P3ALPHA': 0.9217822158035932, 'RP3BETA': 0.9964052759817066, 'IALS': 0.09479284021802173, 'USER_ITEM_ALL': 0.5447239998117461} - results: ROC_AUC: 0.1252906, PRECISION: 0.0201334, PRECISION_RECALL_MIN_DEN: 0.0671115, RECALL: 0.0671115, MAP: 0.0326790, MRR: 0.0884547, NDCG: 0.0556710, F1: 0.0309745, HIT_RATE: 0.2013344, ARHR: 0.0931514, RMSE: 0.9818791, NOVELTY: 0.0062901, AVERAGE_POPULARITY: 0.2688158, DIVERSITY_MEAN_INTER_LIST: 0.9717680, DIVERSITY_HERFINDAHL: 0.9971708, COVERAGE_ITEM: 0.4077859, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1624439, SHANNON_ENTROPY: 10.0867562, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1283745, PRECISION: 0.0205906, PRECISION_RECALL_MIN_DEN: 0.0686353, RECALL: 0.0686353, MAP: 0.0336359, MRR: 0.0910962, NDCG: 0.0571653, F1: 0.0316778, HIT_RATE: 0.2059060, ARHR: 0.0958989, RMSE: 0.9818791, NOVELTY: 0.0059255, AVERAGE_POPULARITY: 0.3376066, DIVERSITY_MEAN_INTER_LIST: 0.9793722, DIVERSITY_HERFINDAHL: 0.9979312, COVERAGE_ITEM: 0.4181671, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1583375, SHANNON_ENTROPY: 10.2285176, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.0, 'USER_CF': 1.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 0.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 0.0} - results: ROC_AUC: 0.1216206, PRECISION: 0.0194477, PRECISION_RECALL_MIN_DEN: 0.0648257, RECALL: 0.0648257, MAP: 0.0316828, MRR: 0.0861932, NDCG: 0.0539783, F1: 0.0299195, HIT_RATE: 0.1944770, ARHR: 0.0905394, RMSE: 0.9818791, NOVELTY: 0.0056666, AVERAGE_POPULARITY: 0.4478030, DIVERSITY_MEAN_INTER_LIST: 0.9462340, DIVERSITY_HERFINDAHL: 0.9946176, COVERAGE_ITEM: 0.2680184, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1135874, SHANNON_ENTROPY: 8.9422086, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CBF_CF': 0.09669028154661244, 'USER_CF': 0.9994890677616616, 'SLIM_BPR': 0.03135042504964359, 'P3ALPHA': 0.044335726931784676, 'RP3BETA': 0.05434818176453805, 'IALS': 0.09791016253204146, 'USER_ITEM_ALL': 0.8557204433657543} - results: ROC_AUC: 0.1141114, PRECISION: 0.0184407, PRECISION_RECALL_MIN_DEN: 0.0614691, RECALL: 0.0614691, MAP: 0.0302221, MRR: 0.0826666, NDCG: 0.0513918, F1: 0.0283703, HIT_RATE: 0.1844072, ARHR: 0.0865952, RMSE: 0.9818791, NOVELTY: 0.0053849, AVERAGE_POPULARITY: 0.5617403, DIVERSITY_MEAN_INTER_LIST: 0.8590033, DIVERSITY_HERFINDAHL: 0.9858950, COVERAGE_ITEM: 0.2024872, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0767909, SHANNON_ENTROPY: 7.7623387, 
SearchBayesianSkoptObject: New best config found. Config 8: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 0.6808149763856369, 'USER_CF': 0.0008074191492006835, 'SLIM_BPR': 0.01809413161501994, 'P3ALPHA': 0.966424831062568, 'RP3BETA': 0.9839267402725457, 'IALS': 0.2154941991600448, 'USER_ITEM_ALL': 0.37949192833818757} - results: ROC_AUC: 0.1313460, PRECISION: 0.0205597, PRECISION_RECALL_MIN_DEN: 0.0685324, RECALL: 0.0685324, MAP: 0.0346254, MRR: 0.0939067, NDCG: 0.0582068, F1: 0.0316303, HIT_RATE: 0.2055971, ARHR: 0.0987916, RMSE: 0.9818791, NOVELTY: 0.0059911, AVERAGE_POPULARITY: 0.3158913, DIVERSITY_MEAN_INTER_LIST: 0.9729165, DIVERSITY_HERFINDAHL: 0.9972856, COVERAGE_ITEM: 0.4214653, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1526793, SHANNON_ENTROPY: 10.0429654, 
SearchBayesianSkoptObject: New best config found. Config 9: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1312744, PRECISION: 0.0208254, PRECISION_RECALL_MIN_DEN: 0.0694178, RECALL: 0.0694178, MAP: 0.0346602, MRR: 0.0937661, NDCG: 0.0584688, F1: 0.0320390, HIT_RATE: 0.2082535, ARHR: 0.0987616, RMSE: 0.9818791, NOVELTY: 0.0060680, AVERAGE_POPULARITY: 0.3023279, DIVERSITY_MEAN_INTER_LIST: 0.9770463, DIVERSITY_HERFINDAHL: 0.9976986, COVERAGE_ITEM: 0.4545012, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1622914, SHANNON_ENTROPY: 10.2708184, 
SearchBayesianSkoptObject: New best config found. Config 10: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CBF_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1345029, PRECISION: 0.0213505, PRECISION_RECALL_MIN_DEN: 0.0711682, RECALL: 0.0711682, MAP: 0.0352268, MRR: 0.0951714, NDCG: 0.0596120, F1: 0.0328469, HIT_RATE: 0.2135047, ARHR: 0.1003115, RMSE: 0.9818791, NOVELTY: 0.0059946, AVERAGE_POPULARITY: 0.3145936, DIVERSITY_MEAN_INTER_LIST: 0.9823416, DIVERSITY_HERFINDAHL: 0.9982281, COVERAGE_ITEM: 0.4712084, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1646222, SHANNON_ENTROPY: 10.4549319, 
