SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 3, 'MIXED': 0.6506203027469757, 'SLIM_BPR': 0.9083284645324079, 'P3ALPHA': 0.7168235015046401, 'RP3BETA': 0.5316730078761002, 'IALS': 0.6401186448600454, 'USER_ITEM_ALL': 0.5174011386405366} - results: ROC_AUC: 0.1316132, PRECISION: 0.0211713, PRECISION_RECALL_MIN_DEN: 0.0705710, RECALL: 0.0705710, MAP: 0.0342215, MRR: 0.0935492, NDCG: 0.0585425, F1: 0.0325712, HIT_RATE: 0.2117131, ARHR: 0.0980248, RMSE: 0.9820259, NOVELTY: 0.0060146, AVERAGE_POPULARITY: 0.3216400, DIVERSITY_MEAN_INTER_LIST: 0.9804594, DIVERSITY_HERFINDAHL: 0.9980399, COVERAGE_ITEM: 0.4442282, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1725120, SHANNON_ENTROPY: 10.3913533, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'MIXED': 0.5396965227974526, 'SLIM_BPR': 0.5523903288724673, 'P3ALPHA': 0.30444234999140335, 'RP3BETA': 0.03502048180257767, 'IALS': 0.24307372837350022, 'USER_ITEM_ALL': 0.1841328424756339} - results: ROC_AUC: 0.1313185, PRECISION: 0.0211590, PRECISION_RECALL_MIN_DEN: 0.0705298, RECALL: 0.0705298, MAP: 0.0341708, MRR: 0.0936833, NDCG: 0.0585134, F1: 0.0325522, HIT_RATE: 0.2115895, ARHR: 0.0980221, RMSE: 0.9820259, NOVELTY: 0.0060655, AVERAGE_POPULARITY: 0.3086457, DIVERSITY_MEAN_INTER_LIST: 0.9818540, DIVERSITY_HERFINDAHL: 0.9981793, COVERAGE_ITEM: 0.4568262, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1786953, SHANNON_ENTROPY: 10.4985343, 
SearchBayesianSkoptObject: New best config found. Config 2: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.3058885055636145, 'SLIM_BPR': 0.22387655672742252, 'P3ALPHA': 0.7811823441719434, 'RP3BETA': 0.6366541492260755, 'IALS': 0.8196184870973832, 'USER_ITEM_ALL': 0.840319450838101} - results: ROC_AUC: 0.1343112, PRECISION: 0.0218509, PRECISION_RECALL_MIN_DEN: 0.0728362, RECALL: 0.0728362, MAP: 0.0349898, MRR: 0.0954640, NDCG: 0.0600274, F1: 0.0336167, HIT_RATE: 0.2185087, ARHR: 0.1001335, RMSE: 0.9820259, NOVELTY: 0.0060060, AVERAGE_POPULARITY: 0.3152803, DIVERSITY_MEAN_INTER_LIST: 0.9814304, DIVERSITY_HERFINDAHL: 0.9981370, COVERAGE_ITEM: 0.4464991, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1646930, SHANNON_ENTROPY: 10.3831778, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'MIXED': 0.5329747302403597, 'SLIM_BPR': 0.198112714198234, 'P3ALPHA': 0.7792479241454588, 'RP3BETA': 0.2283427509972747, 'IALS': 0.21889904966162993, 'USER_ITEM_ALL': 0.25723076899491853} - results: ROC_AUC: 0.1329343, PRECISION: 0.0211713, PRECISION_RECALL_MIN_DEN: 0.0705710, RECALL: 0.0705710, MAP: 0.0345492, MRR: 0.0945108, NDCG: 0.0589067, F1: 0.0325712, HIT_RATE: 0.2117131, ARHR: 0.0989977, RMSE: 0.9820259, NOVELTY: 0.0060933, AVERAGE_POPULARITY: 0.2979995, DIVERSITY_MEAN_INTER_LIST: 0.9830848, DIVERSITY_HERFINDAHL: 0.9983024, COVERAGE_ITEM: 0.4773723, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1827430, SHANNON_ENTROPY: 10.6049314, 
SearchBayesianSkoptObject: New best config found. Config 4: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'MIXED': 0.9499899858886492, 'SLIM_BPR': 0.5940988883589438, 'P3ALPHA': 0.06453973738011178, 'RP3BETA': 0.8613436685968328, 'IALS': 0.4522969070494155, 'USER_ITEM_ALL': 0.8641372413600856} - results: ROC_AUC: 0.1344820, PRECISION: 0.0220424, PRECISION_RECALL_MIN_DEN: 0.0734746, RECALL: 0.0734746, MAP: 0.0350441, MRR: 0.0956525, NDCG: 0.0602832, F1: 0.0339114, HIT_RATE: 0.2204238, ARHR: 0.1003099, RMSE: 0.9820259, NOVELTY: 0.0060022, AVERAGE_POPULARITY: 0.3276803, DIVERSITY_MEAN_INTER_LIST: 0.9789527, DIVERSITY_HERFINDAHL: 0.9978892, COVERAGE_ITEM: 0.4869965, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1624368, SHANNON_ENTROPY: 10.3535350, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.1893499336430659, 'SLIM_BPR': 0.9351119040109978, 'P3ALPHA': 0.027466758225298656, 'RP3BETA': 0.9754049977946816, 'IALS': 0.8577463028494651, 'USER_ITEM_ALL': 0.03662773349976057} - results: ROC_AUC: 0.1246107, PRECISION: 0.0197998, PRECISION_RECALL_MIN_DEN: 0.0659995, RECALL: 0.0659995, MAP: 0.0322970, MRR: 0.0888089, NDCG: 0.0551622, F1: 0.0304613, HIT_RATE: 0.1979984, ARHR: 0.0927909, RMSE: 0.9820259, NOVELTY: 0.0058111, AVERAGE_POPULARITY: 0.3787457, DIVERSITY_MEAN_INTER_LIST: 0.9731563, DIVERSITY_HERFINDAHL: 0.9973096, COVERAGE_ITEM: 0.3555015, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1472206, SHANNON_ENTROPY: 9.8499893, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.9730361373343468, 'SLIM_BPR': 0.030776723810606706, 'P3ALPHA': 0.8986678913207891, 'RP3BETA': 0.025257431830759687, 'IALS': 0.7816626252584973, 'USER_ITEM_ALL': 0.025588555591761104} - results: ROC_AUC: 0.1344289, PRECISION: 0.0216964, PRECISION_RECALL_MIN_DEN: 0.0723214, RECALL: 0.0723214, MAP: 0.0349358, MRR: 0.0956414, NDCG: 0.0598689, F1: 0.0333791, HIT_RATE: 0.2169642, ARHR: 0.1001430, RMSE: 0.9820259, NOVELTY: 0.0059331, AVERAGE_POPULARITY: 0.3319080, DIVERSITY_MEAN_INTER_LIST: 0.9800758, DIVERSITY_HERFINDAHL: 0.9980015, COVERAGE_ITEM: 0.4090835, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1522278, SHANNON_ENTROPY: 10.1882080, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.9960739211283979, 'SLIM_BPR': 0.23265617720638615, 'P3ALPHA': 0.9042333342316439, 'RP3BETA': 0.9871494320248432, 'IALS': 0.061107429691506746, 'USER_ITEM_ALL': 0.9551443507764324} - results: ROC_AUC: 0.1337806, PRECISION: 0.0213443, PRECISION_RECALL_MIN_DEN: 0.0711476, RECALL: 0.0711476, MAP: 0.0347126, MRR: 0.0949565, NDCG: 0.0592630, F1: 0.0328374, HIT_RATE: 0.2134429, ARHR: 0.0994566, RMSE: 0.9820259, NOVELTY: 0.0059822, AVERAGE_POPULARITY: 0.3375898, DIVERSITY_MEAN_INTER_LIST: 0.9769954, DIVERSITY_HERFINDAHL: 0.9976935, COVERAGE_ITEM: 0.4945661, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1650161, SHANNON_ENTROPY: 10.3374744, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.040892276066738405, 'SLIM_BPR': 0.9969737588099212, 'P3ALPHA': 0.0558413231514432, 'RP3BETA': 0.025318795092447728, 'IALS': 0.7822252791662397, 'USER_ITEM_ALL': 0.9802579843331983} - results: ROC_AUC: 0.1278082, PRECISION: 0.0205721, PRECISION_RECALL_MIN_DEN: 0.0685735, RECALL: 0.0685735, MAP: 0.0335160, MRR: 0.0918488, NDCG: 0.0571832, F1: 0.0316493, HIT_RATE: 0.2057206, ARHR: 0.0961318, RMSE: 0.9820259, NOVELTY: 0.0059526, AVERAGE_POPULARITY: 0.3342514, DIVERSITY_MEAN_INTER_LIST: 0.9796783, DIVERSITY_HERFINDAHL: 0.9979618, COVERAGE_ITEM: 0.4409300, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1613758, SHANNON_ENTROPY: 10.2961554, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.07905995299171044, 'SLIM_BPR': 0.1771855979707371, 'P3ALPHA': 0.0037075917014984814, 'RP3BETA': 0.9740503021837934, 'IALS': 0.04166849802882822, 'USER_ITEM_ALL': 0.9571735673278831} - results: ROC_AUC: 0.1324883, PRECISION: 0.0215111, PRECISION_RECALL_MIN_DEN: 0.0717036, RECALL: 0.0717036, MAP: 0.0344380, MRR: 0.0939457, NDCG: 0.0590945, F1: 0.0330940, HIT_RATE: 0.2151109, ARHR: 0.0985559, RMSE: 0.9820259, NOVELTY: 0.0060515, AVERAGE_POPULARITY: 0.3171151, DIVERSITY_MEAN_INTER_LIST: 0.9767765, DIVERSITY_HERFINDAHL: 0.9976716, COVERAGE_ITEM: 0.5420925, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1771225, SHANNON_ENTROPY: 10.5018981, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.8742942730010194, 'SLIM_BPR': 0.9573048064779994, 'P3ALPHA': 0.9686093530459727, 'RP3BETA': 0.31813877553808007, 'IALS': 0.9925576130227719, 'USER_ITEM_ALL': 0.04673850976241579} - results: ROC_AUC: 0.1309393, PRECISION: 0.0211837, PRECISION_RECALL_MIN_DEN: 0.0706122, RECALL: 0.0706122, MAP: 0.0340873, MRR: 0.0933882, NDCG: 0.0584352, F1: 0.0325903, HIT_RATE: 0.2118367, ARHR: 0.0977475, RMSE: 0.9820259, NOVELTY: 0.0059824, AVERAGE_POPULARITY: 0.3238582, DIVERSITY_MEAN_INTER_LIST: 0.9806602, DIVERSITY_HERFINDAHL: 0.9980600, COVERAGE_ITEM: 0.4152474, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1666064, SHANNON_ENTROPY: 10.3028565, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'MIXED': 0.049614169922906695, 'SLIM_BPR': 0.32984812024307936, 'P3ALPHA': 0.9635869668407266, 'RP3BETA': 0.905796535942999, 'IALS': 0.0630730022322057, 'USER_ITEM_ALL': 0.00894343464147185} - results: ROC_AUC: 0.1279416, PRECISION: 0.0203373, PRECISION_RECALL_MIN_DEN: 0.0677910, RECALL: 0.0677910, MAP: 0.0332886, MRR: 0.0911845, NDCG: 0.0567086, F1: 0.0312882, HIT_RATE: 0.2033731, ARHR: 0.0954405, RMSE: 0.9820259, NOVELTY: 0.0059912, AVERAGE_POPULARITY: 0.3319837, DIVERSITY_MEAN_INTER_LIST: 0.9788467, DIVERSITY_HERFINDAHL: 0.9978786, COVERAGE_ITEM: 0.4298459, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1778991, SHANNON_ENTROPY: 10.3471236, 
SearchBayesianSkoptObject: Config 12 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'MIXED': 0.931889297520147, 'SLIM_BPR': 0.965949140952052, 'P3ALPHA': 0.1543821953993562, 'RP3BETA': 0.03341558275452084, 'IALS': 0.0074625781030142075, 'USER_ITEM_ALL': 0.9735418840904208} - results: ROC_AUC: 0.1318211, PRECISION: 0.0212084, PRECISION_RECALL_MIN_DEN: 0.0706946, RECALL: 0.0706946, MAP: 0.0343623, MRR: 0.0940032, NDCG: 0.0587354, F1: 0.0326283, HIT_RATE: 0.2120838, ARHR: 0.0984639, RMSE: 0.9820259, NOVELTY: 0.0061453, AVERAGE_POPULARITY: 0.2915771, DIVERSITY_MEAN_INTER_LIST: 0.9827150, DIVERSITY_HERFINDAHL: 0.9982654, COVERAGE_ITEM: 0.5200324, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1864952, SHANNON_ENTROPY: 10.6958343, 
SearchBayesianSkoptObject: New best config found. Config 13: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1359387, PRECISION: 0.0220856, PRECISION_RECALL_MIN_DEN: 0.0736187, RECALL: 0.0736187, MAP: 0.0354566, MRR: 0.0969613, NDCG: 0.0607975, F1: 0.0339779, HIT_RATE: 0.2208562, ARHR: 0.1015798, RMSE: 0.9820259, NOVELTY: 0.0060186, AVERAGE_POPULARITY: 0.3102413, DIVERSITY_MEAN_INTER_LIST: 0.9821978, DIVERSITY_HERFINDAHL: 0.9982137, COVERAGE_ITEM: 0.4496350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1643123, SHANNON_ENTROPY: 10.4154586, 
SearchBayesianSkoptObject: Config 14 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1314123, PRECISION: 0.0206030, PRECISION_RECALL_MIN_DEN: 0.0686765, RECALL: 0.0686765, MAP: 0.0344825, MRR: 0.0942739, NDCG: 0.0582244, F1: 0.0316969, HIT_RATE: 0.2060295, ARHR: 0.0987746, RMSE: 0.9820259, NOVELTY: 0.0062316, AVERAGE_POPULARITY: 0.2599975, DIVERSITY_MEAN_INTER_LIST: 0.9844648, DIVERSITY_HERFINDAHL: 0.9984404, COVERAGE_ITEM: 0.5199784, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2063918, SHANNON_ENTROPY: 10.9146700, 
SearchBayesianSkoptObject: Config 15 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1343896, PRECISION: 0.0217644, PRECISION_RECALL_MIN_DEN: 0.0725479, RECALL: 0.0725479, MAP: 0.0350254, MRR: 0.0957413, NDCG: 0.0600005, F1: 0.0334837, HIT_RATE: 0.2176438, ARHR: 0.1003241, RMSE: 0.9820259, NOVELTY: 0.0058852, AVERAGE_POPULARITY: 0.3473650, DIVERSITY_MEAN_INTER_LIST: 0.9782644, DIVERSITY_HERFINDAHL: 0.9978204, COVERAGE_ITEM: 0.4331982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1434959, SHANNON_ENTROPY: 10.1169916, 
SearchBayesianSkoptObject: Config 16 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.8204827628573899, 'SLIM_BPR': 0.03527142296470243, 'P3ALPHA': 0.09416414824303657, 'RP3BETA': 0.8884776987562598, 'IALS': 0.11038500913383323, 'USER_ITEM_ALL': 0.06144224448161807} - results: ROC_AUC: 0.1344308, PRECISION: 0.0221845, PRECISION_RECALL_MIN_DEN: 0.0739482, RECALL: 0.0739482, MAP: 0.0347846, MRR: 0.0950422, NDCG: 0.0601800, F1: 0.0341300, HIT_RATE: 0.2218447, ARHR: 0.0996127, RMSE: 0.9820259, NOVELTY: 0.0058982, AVERAGE_POPULARITY: 0.3637437, DIVERSITY_MEAN_INTER_LIST: 0.9727976, DIVERSITY_HERFINDAHL: 0.9972737, COVERAGE_ITEM: 0.4597459, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1454803, SHANNON_ENTROPY: 10.0309205, 
SearchBayesianSkoptObject: Config 17 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.13026061129883207, 'SLIM_BPR': 0.9689651351499294, 'P3ALPHA': 0.0290049177079792, 'RP3BETA': 0.8105753606077332, 'IALS': 0.9519750959339213, 'USER_ITEM_ALL': 0.997188027610621} - results: ROC_AUC: 0.1325317, PRECISION: 0.0214987, PRECISION_RECALL_MIN_DEN: 0.0716624, RECALL: 0.0716624, MAP: 0.0344806, MRR: 0.0941866, NDCG: 0.0591396, F1: 0.0330750, HIT_RATE: 0.2149873, ARHR: 0.0987380, RMSE: 0.9820259, NOVELTY: 0.0059443, AVERAGE_POPULARITY: 0.3337802, DIVERSITY_MEAN_INTER_LIST: 0.9790955, DIVERSITY_HERFINDAHL: 0.9979035, COVERAGE_ITEM: 0.4204920, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1568680, SHANNON_ENTROPY: 10.2073649, 
SearchBayesianSkoptObject: Config 18 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'MIXED': 0.0009535134789511181, 'SLIM_BPR': 0.016192809816597546, 'P3ALPHA': 0.03113559630891572, 'RP3BETA': 0.02416625516036542, 'IALS': 0.7064590459158969, 'USER_ITEM_ALL': 0.004697833889428461} - results: ROC_AUC: 0.1162599, PRECISION: 0.0184716, PRECISION_RECALL_MIN_DEN: 0.0615720, RECALL: 0.0615720, MAP: 0.0301388, MRR: 0.0830139, NDCG: 0.0514734, F1: 0.0284179, HIT_RATE: 0.1847161, ARHR: 0.0866606, RMSE: 0.9820259, NOVELTY: 0.0056458, AVERAGE_POPULARITY: 0.3880867, DIVERSITY_MEAN_INTER_LIST: 0.9752804, DIVERSITY_HERFINDAHL: 0.9975220, COVERAGE_ITEM: 0.1163558, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2343247, SHANNON_ENTROPY: 9.3656114, 
SearchBayesianSkoptObject: Config 19 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.9915164901461619, 'SLIM_BPR': 0.8646674265421637, 'P3ALPHA': 0.9391444868619212, 'RP3BETA': 0.0814409673133666, 'IALS': 0.007738968454510832, 'USER_ITEM_ALL': 0.44417412556965685} - results: ROC_AUC: 0.1296374, PRECISION: 0.0204979, PRECISION_RECALL_MIN_DEN: 0.0683264, RECALL: 0.0683264, MAP: 0.0336745, MRR: 0.0924798, NDCG: 0.0573329, F1: 0.0315353, HIT_RATE: 0.2049793, ARHR: 0.0966690, RMSE: 0.9820259, NOVELTY: 0.0060412, AVERAGE_POPULARITY: 0.3179020, DIVERSITY_MEAN_INTER_LIST: 0.9803369, DIVERSITY_HERFINDAHL: 0.9980276, COVERAGE_ITEM: 0.4510949, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1786814, SHANNON_ENTROPY: 10.4629466, 
SearchBayesianSkoptObject: Config 20 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 1.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1337523, PRECISION: 0.0216470, PRECISION_RECALL_MIN_DEN: 0.0721567, RECALL: 0.0721567, MAP: 0.0347589, MRR: 0.0949496, NDCG: 0.0595975, F1: 0.0333031, HIT_RATE: 0.2164700, ARHR: 0.0995287, RMSE: 0.9820259, NOVELTY: 0.0060310, AVERAGE_POPULARITY: 0.3149462, DIVERSITY_MEAN_INTER_LIST: 0.9811402, DIVERSITY_HERFINDAHL: 0.9981080, COVERAGE_ITEM: 0.4557989, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1710997, SHANNON_ENTROPY: 10.4248382, 
