SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'MIXED': 0.7089534609050244, 'SLIM_BPR': 0.6437109539837411, 'P3ALPHA': 0.6857912870800358, 'RP3BETA': 0.41987766155131, 'IALS': 0.42273078255078655, 'USER_ITEM_ALL': 0.43056819996234785} - results: ROC_AUC: 0.1298891, PRECISION: 0.0214740, PRECISION_RECALL_MIN_DEN: 0.0715801, RECALL: 0.0715801, MAP: 0.0334968, MRR: 0.0915052, NDCG: 0.0580720, F1: 0.0330370, HIT_RATE: 0.2147402, ARHR: 0.0959198, RMSE: 0.9820259, NOVELTY: 0.0058183, AVERAGE_POPULARITY: 0.3674672, DIVERSITY_MEAN_INTER_LIST: 0.9739277, DIVERSITY_HERFINDAHL: 0.9973868, COVERAGE_ITEM: 0.3353339, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1488263, SHANNON_ENTROPY: 9.8530519, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'MIXED': 0.9318658662208458, 'SLIM_BPR': 0.2180547241628758, 'P3ALPHA': 0.17640269574254933, 'RP3BETA': 0.9481484097343281, 'IALS': 0.4449313683061914, 'USER_ITEM_ALL': 0.7918565155432026} - results: ROC_AUC: 0.1278177, PRECISION: 0.0213814, PRECISION_RECALL_MIN_DEN: 0.0712712, RECALL: 0.0712712, MAP: 0.0329173, MRR: 0.0900533, NDCG: 0.0573737, F1: 0.0328944, HIT_RATE: 0.2138136, ARHR: 0.0943374, RMSE: 0.9820259, NOVELTY: 0.0058204, AVERAGE_POPULARITY: 0.3735832, DIVERSITY_MEAN_INTER_LIST: 0.9721155, DIVERSITY_HERFINDAHL: 0.9972055, COVERAGE_ITEM: 0.4021627, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1391583, SHANNON_ENTROPY: 9.8682253, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 5, 'MIXED': 0.24657447235233304, 'SLIM_BPR': 0.3135847341630415, 'P3ALPHA': 0.22397351152495343, 'RP3BETA': 0.7781207568552122, 'IALS': 0.733619852977981, 'USER_ITEM_ALL': 0.22842777344162074} - results: ROC_AUC: 0.1280659, PRECISION: 0.0211960, PRECISION_RECALL_MIN_DEN: 0.0706534, RECALL: 0.0706534, MAP: 0.0327647, MRR: 0.0897417, NDCG: 0.0570570, F1: 0.0326093, HIT_RATE: 0.2119602, ARHR: 0.0939525, RMSE: 0.9820259, NOVELTY: 0.0057425, AVERAGE_POPULARITY: 0.3864905, DIVERSITY_MEAN_INTER_LIST: 0.9713702, DIVERSITY_HERFINDAHL: 0.9971310, COVERAGE_ITEM: 0.2689376, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1492016, SHANNON_ENTROPY: 9.6189101, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'MIXED': 0.7253068046364607, 'SLIM_BPR': 0.823316855947997, 'P3ALPHA': 0.5698320698038206, 'RP3BETA': 0.9586284898972258, 'IALS': 0.30126440757779366, 'USER_ITEM_ALL': 0.3401046476388571} - results: ROC_AUC: 0.1270125, PRECISION: 0.0212146, PRECISION_RECALL_MIN_DEN: 0.0707152, RECALL: 0.0707152, MAP: 0.0326689, MRR: 0.0892983, NDCG: 0.0569285, F1: 0.0326378, HIT_RATE: 0.2121455, ARHR: 0.0935843, RMSE: 0.9820259, NOVELTY: 0.0058130, AVERAGE_POPULARITY: 0.3732076, DIVERSITY_MEAN_INTER_LIST: 0.9725300, DIVERSITY_HERFINDAHL: 0.9972470, COVERAGE_ITEM: 0.3503650, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1471407, SHANNON_ENTROPY: 9.8401221, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'MIXED': 0.6145947201813746, 'SLIM_BPR': 0.5387942479086085, 'P3ALPHA': 0.6619584300693663, 'RP3BETA': 0.7198780798459015, 'IALS': 0.45359426075037856, 'USER_ITEM_ALL': 0.5150097432533516} - results: ROC_AUC: 0.1286080, PRECISION: 0.0213690, PRECISION_RECALL_MIN_DEN: 0.0712300, RECALL: 0.0712300, MAP: 0.0330707, MRR: 0.0904491, NDCG: 0.0575299, F1: 0.0328754, HIT_RATE: 0.2136900, ARHR: 0.0947609, RMSE: 0.9820259, NOVELTY: 0.0058127, AVERAGE_POPULARITY: 0.3713186, DIVERSITY_MEAN_INTER_LIST: 0.9730585, DIVERSITY_HERFINDAHL: 0.9972998, COVERAGE_ITEM: 0.3457691, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1464054, SHANNON_ENTROPY: 9.8381948, 
SearchBayesianSkoptObject: New best config found. Config 5: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.06975774511874462, 'SLIM_BPR': 0.9579037220408092, 'P3ALPHA': 0.060731763930497756, 'RP3BETA': 0.025101395605992484, 'IALS': 0.6636140871266886, 'USER_ITEM_ALL': 0.8797506987188346} - results: ROC_AUC: 0.1284886, PRECISION: 0.0201520, PRECISION_RECALL_MIN_DEN: 0.0671732, RECALL: 0.0671732, MAP: 0.0336297, MRR: 0.0922424, NDCG: 0.0568982, F1: 0.0310030, HIT_RATE: 0.2015197, ARHR: 0.0964979, RMSE: 0.9820259, NOVELTY: 0.0057186, AVERAGE_POPULARITY: 0.3766707, DIVERSITY_MEAN_INTER_LIST: 0.9759166, DIVERSITY_HERFINDAHL: 0.9975856, COVERAGE_ITEM: 0.2775885, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1323080, SHANNON_ENTROPY: 9.6210680, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 0.0, 'USER_ITEM_ALL': 0.0} - results: ROC_AUC: 0.1210873, PRECISION: 0.0188608, PRECISION_RECALL_MIN_DEN: 0.0628694, RECALL: 0.0628694, MAP: 0.0318293, MRR: 0.0874290, NDCG: 0.0536364, F1: 0.0290166, HIT_RATE: 0.1886081, ARHR: 0.0913809, RMSE: 0.9820259, NOVELTY: 0.0061912, AVERAGE_POPULARITY: 0.2678356, DIVERSITY_MEAN_INTER_LIST: 0.9861066, DIVERSITY_HERFINDAHL: 0.9986046, COVERAGE_ITEM: 0.4384428, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2110957, SHANNON_ENTROPY: 10.8221878, 
SearchBayesianSkoptObject: New best config found. Config 7: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.8606241535611435, 'SLIM_BPR': 0.9458119611991205, 'P3ALPHA': 0.8073075955437775, 'RP3BETA': 0.20137875411096967, 'IALS': 0.9970261719564244, 'USER_ITEM_ALL': 0.9733741672782757} - results: ROC_AUC: 0.1336550, PRECISION: 0.0219188, PRECISION_RECALL_MIN_DEN: 0.0730627, RECALL: 0.0730627, MAP: 0.0347525, MRR: 0.0947785, NDCG: 0.0598436, F1: 0.0337213, HIT_RATE: 0.2191882, ARHR: 0.0994410, RMSE: 0.9820259, NOVELTY: 0.0057921, AVERAGE_POPULARITY: 0.3613620, DIVERSITY_MEAN_INTER_LIST: 0.9760978, DIVERSITY_HERFINDAHL: 0.9976038, COVERAGE_ITEM: 0.2785618, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1502623, SHANNON_ENTROPY: 9.7733644, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 1.0} - results: ROC_AUC: 0.1260684, PRECISION: 0.0193921, PRECISION_RECALL_MIN_DEN: 0.0646403, RECALL: 0.0646403, MAP: 0.0331353, MRR: 0.0910599, NDCG: 0.0556103, F1: 0.0298340, HIT_RATE: 0.1939210, ARHR: 0.0951690, RMSE: 0.9820259, NOVELTY: 0.0056983, AVERAGE_POPULARITY: 0.3797764, DIVERSITY_MEAN_INTER_LIST: 0.9761281, DIVERSITY_HERFINDAHL: 0.9976068, COVERAGE_ITEM: 0.2436875, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1389346, SHANNON_ENTROPY: 9.5638853, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.012303029892017151, 'SLIM_BPR': 0.08561796418614588, 'P3ALPHA': 0.9628594746840449, 'RP3BETA': 0.932676727374299, 'IALS': 0.9104909229981826, 'USER_ITEM_ALL': 0.03077804438807797} - results: ROC_AUC: 0.1275116, PRECISION: 0.0211404, PRECISION_RECALL_MIN_DEN: 0.0704681, RECALL: 0.0704681, MAP: 0.0326369, MRR: 0.0893742, NDCG: 0.0568584, F1: 0.0325237, HIT_RATE: 0.2114042, ARHR: 0.0935808, RMSE: 0.9820259, NOVELTY: 0.0057504, AVERAGE_POPULARITY: 0.3836311, DIVERSITY_MEAN_INTER_LIST: 0.9718264, DIVERSITY_HERFINDAHL: 0.9971766, COVERAGE_ITEM: 0.2692079, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1521157, SHANNON_ENTROPY: 9.6489424, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.9710601560220196, 'SLIM_BPR': 0.9447336318670408, 'P3ALPHA': 0.07403211558572277, 'RP3BETA': 0.08697169123628003, 'IALS': 0.9889756779923085, 'USER_ITEM_ALL': 0.14571776269450135} - results: ROC_AUC: 0.1215458, PRECISION: 0.0183975, PRECISION_RECALL_MIN_DEN: 0.0613249, RECALL: 0.0613249, MAP: 0.0318084, MRR: 0.0876968, NDCG: 0.0532211, F1: 0.0283038, HIT_RATE: 0.1839748, ARHR: 0.0915072, RMSE: 0.9820259, NOVELTY: 0.0056384, AVERAGE_POPULARITY: 0.3923902, DIVERSITY_MEAN_INTER_LIST: 0.9745808, DIVERSITY_HERFINDAHL: 0.9974521, COVERAGE_ITEM: 0.1291700, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2099115, SHANNON_ENTROPY: 9.3497489, 
