SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_count', 'multiplier_cutoff': 4, 'MIXED': 0.07911700639683784, 'SLIM_BPR': 0.1850166475109243, 'P3ALPHA': 0.0761089981446046, 'RP3BETA': 0.4018500392337361, 'IALS': 0.44624491093557983, 'USER_ITEM_ALL': 0.8224667741488352} - results: ROC_AUC: 0.1277226, PRECISION: 0.0208439, PRECISION_RECALL_MIN_DEN: 0.0694796, RECALL: 0.0694796, MAP: 0.0336352, MRR: 0.0923891, NDCG: 0.0575862, F1: 0.0320675, HIT_RATE: 0.2084389, ARHR: 0.0965671, RMSE: 0.9820259, NOVELTY: 0.0060063, AVERAGE_POPULARITY: 0.3274370, DIVERSITY_MEAN_INTER_LIST: 0.9697548, DIVERSITY_HERFINDAHL: 0.9969695, COVERAGE_ITEM: 0.4669370, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1604740, SHANNON_ENTROPY: 10.1510271, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'MIXED': 0.540605082575789, 'SLIM_BPR': 0.03823080301775773, 'P3ALPHA': 0.7416927442203707, 'RP3BETA': 0.9754949193223452, 'IALS': 0.6596916669664644, 'USER_ITEM_ALL': 0.3705232848255982} - results: ROC_AUC: 0.1236595, PRECISION: 0.0196763, PRECISION_RECALL_MIN_DEN: 0.0655876, RECALL: 0.0655876, MAP: 0.0327344, MRR: 0.0901222, NDCG: 0.0554486, F1: 0.0302712, HIT_RATE: 0.1967628, ARHR: 0.0940954, RMSE: 0.9820259, NOVELTY: 0.0062677, AVERAGE_POPULARITY: 0.2477271, DIVERSITY_MEAN_INTER_LIST: 0.9859845, DIVERSITY_HERFINDAHL: 0.9985924, COVERAGE_ITEM: 0.3532306, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1965976, SHANNON_ENTROPY: 10.5269319, 
SearchBayesianSkoptObject: New best config found. Config 2: {'strategy': 'weighted_count', 'multiplier_cutoff': 3, 'MIXED': 0.6754201448249728, 'SLIM_BPR': 0.5625815668011476, 'P3ALPHA': 0.02687011865263956, 'RP3BETA': 0.16316465940965622, 'IALS': 0.7644021337973051, 'USER_ITEM_ALL': 0.5787139046411757} - results: ROC_AUC: 0.1275441, PRECISION: 0.0213196, PRECISION_RECALL_MIN_DEN: 0.0710653, RECALL: 0.0710653, MAP: 0.0337078, MRR: 0.0925586, NDCG: 0.0581244, F1: 0.0327993, HIT_RATE: 0.2131958, ARHR: 0.0967558, RMSE: 0.9820259, NOVELTY: 0.0058960, AVERAGE_POPULARITY: 0.3420639, DIVERSITY_MEAN_INTER_LIST: 0.9783518, DIVERSITY_HERFINDAHL: 0.9978291, COVERAGE_ITEM: 0.3591241, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1519540, SHANNON_ENTROPY: 10.0369485, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 6, 'MIXED': 0.5487067766928351, 'SLIM_BPR': 0.426760302061877, 'P3ALPHA': 0.06818212231206967, 'RP3BETA': 0.4644853771924631, 'IALS': 0.6499144248045919, 'USER_ITEM_ALL': 0.03877633663166336} - results: ROC_AUC: 0.1253458, PRECISION: 0.0205226, PRECISION_RECALL_MIN_DEN: 0.0684088, RECALL: 0.0684088, MAP: 0.0331130, MRR: 0.0911902, NDCG: 0.0567278, F1: 0.0315733, HIT_RATE: 0.2052264, ARHR: 0.0952084, RMSE: 0.9820259, NOVELTY: 0.0058480, AVERAGE_POPULARITY: 0.3470453, DIVERSITY_MEAN_INTER_LIST: 0.9768273, DIVERSITY_HERFINDAHL: 0.9976767, COVERAGE_ITEM: 0.2751554, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1679039, SHANNON_ENTROPY: 9.8849528, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'MIXED': 0.19757236734326072, 'SLIM_BPR': 0.3648885289463964, 'P3ALPHA': 0.04610979407653593, 'RP3BETA': 0.5807370115658459, 'IALS': 0.8853780944227483, 'USER_ITEM_ALL': 0.7300501802981527} - results: ROC_AUC: 0.1235979, PRECISION: 0.0201520, PRECISION_RECALL_MIN_DEN: 0.0671732, RECALL: 0.0671732, MAP: 0.0329022, MRR: 0.0907359, NDCG: 0.0561184, F1: 0.0310030, HIT_RATE: 0.2015197, ARHR: 0.0946671, RMSE: 0.9820259, NOVELTY: 0.0058638, AVERAGE_POPULARITY: 0.3465358, DIVERSITY_MEAN_INTER_LIST: 0.9714035, DIVERSITY_HERFINDAHL: 0.9971344, COVERAGE_ITEM: 0.2992160, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1535722, SHANNON_ENTROPY: 9.7444920, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'MIXED': 0.59040396923208, 'SLIM_BPR': 0.8998624100448659, 'P3ALPHA': 0.996099622079394, 'RP3BETA': 0.9747897132789459, 'IALS': 0.03777062369498756, 'USER_ITEM_ALL': 0.8617200742126565} - results: ROC_AUC: 0.1256020, PRECISION: 0.0197010, PRECISION_RECALL_MIN_DEN: 0.0656700, RECALL: 0.0656700, MAP: 0.0329451, MRR: 0.0904111, NDCG: 0.0556912, F1: 0.0303092, HIT_RATE: 0.1970099, ARHR: 0.0945605, RMSE: 0.9820259, NOVELTY: 0.0063188, AVERAGE_POPULARITY: 0.2386819, DIVERSITY_MEAN_INTER_LIST: 0.9811850, DIVERSITY_HERFINDAHL: 0.9981124, COVERAGE_ITEM: 0.4706137, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1904349, SHANNON_ENTROPY: 10.5848019, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'MIXED': 0.8864863111923776, 'SLIM_BPR': 0.8870946292068626, 'P3ALPHA': 0.9794714052553325, 'RP3BETA': 0.07845018817188244, 'IALS': 0.0015597602996835218, 'USER_ITEM_ALL': 0.9332742220230842} - results: ROC_AUC: 0.1200341, PRECISION: 0.0191573, PRECISION_RECALL_MIN_DEN: 0.0638578, RECALL: 0.0638578, MAP: 0.0319819, MRR: 0.0882317, NDCG: 0.0541171, F1: 0.0294728, HIT_RATE: 0.1915735, ARHR: 0.0920328, RMSE: 0.9820259, NOVELTY: 0.0065308, AVERAGE_POPULARITY: 0.2086901, DIVERSITY_MEAN_INTER_LIST: 0.9874585, DIVERSITY_HERFINDAHL: 0.9987397, COVERAGE_ITEM: 0.5167343, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2193827, SHANNON_ENTROPY: 11.0140422, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 0.06429934310530884, 'SLIM_BPR': 0.16162944633540757, 'P3ALPHA': 0.9819433570102771, 'RP3BETA': 0.04397170597274492, 'IALS': 0.9280546288583592, 'USER_ITEM_ALL': 0.053291311669368194} - results: ROC_AUC: 0.1253514, PRECISION: 0.0200470, PRECISION_RECALL_MIN_DEN: 0.0668232, RECALL: 0.0668232, MAP: 0.0326230, MRR: 0.0892962, NDCG: 0.0556611, F1: 0.0308415, HIT_RATE: 0.2004695, ARHR: 0.0934966, RMSE: 0.9820259, NOVELTY: 0.0061365, AVERAGE_POPULARITY: 0.2883839, DIVERSITY_MEAN_INTER_LIST: 0.9837146, DIVERSITY_HERFINDAHL: 0.9983654, COVERAGE_ITEM: 0.4177345, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1884523, SHANNON_ENTROPY: 10.5485024, 
SearchBayesianSkoptObject: New best config found. Config 8: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'MIXED': 0.9282630207485869, 'SLIM_BPR': 0.25991255933220775, 'P3ALPHA': 0.030097235428599774, 'RP3BETA': 0.9612416833108236, 'IALS': 0.0357419280182022, 'USER_ITEM_ALL': 0.041402199657087364} - results: ROC_AUC: 0.1297347, PRECISION: 0.0212269, PRECISION_RECALL_MIN_DEN: 0.0707564, RECALL: 0.0707564, MAP: 0.0339513, MRR: 0.0925757, NDCG: 0.0582439, F1: 0.0326568, HIT_RATE: 0.2122691, ARHR: 0.0971400, RMSE: 0.9820259, NOVELTY: 0.0062034, AVERAGE_POPULARITY: 0.3048337, DIVERSITY_MEAN_INTER_LIST: 0.9668448, DIVERSITY_HERFINDAHL: 0.9966785, COVERAGE_ITEM: 0.3995134, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1410795, SHANNON_ENTROPY: 9.8136240, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'MIXED': 0.0732206962229668, 'SLIM_BPR': 0.8672537990854288, 'P3ALPHA': 0.9828268151637946, 'RP3BETA': 0.9574908600542775, 'IALS': 0.905816348116015, 'USER_ITEM_ALL': 0.0449769584069959} - results: ROC_AUC: 0.1181067, PRECISION: 0.0186013, PRECISION_RECALL_MIN_DEN: 0.0620045, RECALL: 0.0620045, MAP: 0.0314992, MRR: 0.0870358, NDCG: 0.0530429, F1: 0.0286175, HIT_RATE: 0.1860135, ARHR: 0.0907079, RMSE: 0.9820259, NOVELTY: 0.0064619, AVERAGE_POPULARITY: 0.2130581, DIVERSITY_MEAN_INTER_LIST: 0.9815778, DIVERSITY_HERFINDAHL: 0.9981517, COVERAGE_ITEM: 0.3539876, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1679204, SHANNON_ENTROPY: 10.2162191, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 10, 'MIXED': 0.15484172104064778, 'SLIM_BPR': 0.9645760049231797, 'P3ALPHA': 0.11312072831479472, 'RP3BETA': 0.11275385991239353, 'IALS': 0.037913416838528564, 'USER_ITEM_ALL': 0.022635121134707895} - results: ROC_AUC: 0.1141202, PRECISION: 0.0175820, PRECISION_RECALL_MIN_DEN: 0.0586067, RECALL: 0.0586067, MAP: 0.0305462, MRR: 0.0845615, NDCG: 0.0509916, F1: 0.0270492, HIT_RATE: 0.1758201, ARHR: 0.0880509, RMSE: 0.9820259, NOVELTY: 0.0065915, AVERAGE_POPULARITY: 0.2053343, DIVERSITY_MEAN_INTER_LIST: 0.9838853, DIVERSITY_HERFINDAHL: 0.9983825, COVERAGE_ITEM: 0.4806705, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1873451, SHANNON_ENTROPY: 10.6302751, 
