SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 6, 'MIXED': 0.29110685385617535, 'SLIM_BPR': 0.3626428846069812, 'P3ALPHA': 0.17202046197074952, 'RP3BETA': 0.2949682114473828, 'IALS': 0.3902522153792254, 'USER_ITEM_ALL': 0.4840818748063199} - results: ROC_AUC: 0.1322080, PRECISION: 0.0214061, PRECISION_RECALL_MIN_DEN: 0.0713536, RECALL: 0.0713536, MAP: 0.0345755, MRR: 0.0945037, NDCG: 0.0591407, F1: 0.0329324, HIT_RATE: 0.2140607, ARHR: 0.0990367, RMSE: 0.9820259, NOVELTY: 0.0060919, AVERAGE_POPULARITY: 0.3031668, DIVERSITY_MEAN_INTER_LIST: 0.9793347, DIVERSITY_HERFINDAHL: 0.9979274, COVERAGE_ITEM: 0.4733171, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1684996, SHANNON_ENTROPY: 10.4074396, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'MIXED': 0.7949665507597239, 'SLIM_BPR': 0.7422114463325109, 'P3ALPHA': 0.5763330075060313, 'RP3BETA': 0.39428716578259726, 'IALS': 0.5253297613262526, 'USER_ITEM_ALL': 0.4386707390095561} - results: ROC_AUC: 0.1320667, PRECISION: 0.0212949, PRECISION_RECALL_MIN_DEN: 0.0709829, RECALL: 0.0709829, MAP: 0.0344496, MRR: 0.0941428, NDCG: 0.0588964, F1: 0.0327613, HIT_RATE: 0.2129487, ARHR: 0.0986665, RMSE: 0.9820259, NOVELTY: 0.0060828, AVERAGE_POPULARITY: 0.2880811, DIVERSITY_MEAN_INTER_LIST: 0.9816627, DIVERSITY_HERFINDAHL: 0.9981602, COVERAGE_ITEM: 0.4600162, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1741618, SHANNON_ENTROPY: 10.4647546, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'MIXED': 0.06587026046303569, 'SLIM_BPR': 0.607170290128201, 'P3ALPHA': 0.30418881751114707, 'RP3BETA': 0.7874224026235933, 'IALS': 0.44247672851257036, 'USER_ITEM_ALL': 0.5744128494739472} - results: ROC_AUC: 0.1286205, PRECISION: 0.0201890, PRECISION_RECALL_MIN_DEN: 0.0672968, RECALL: 0.0672968, MAP: 0.0334699, MRR: 0.0917268, NDCG: 0.0567688, F1: 0.0310601, HIT_RATE: 0.2018904, ARHR: 0.0960040, RMSE: 0.9820259, NOVELTY: 0.0060444, AVERAGE_POPULARITY: 0.2561546, DIVERSITY_MEAN_INTER_LIST: 0.9600251, DIVERSITY_HERFINDAHL: 0.9959966, COVERAGE_ITEM: 0.3710733, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1511446, SHANNON_ENTROPY: 9.8022815, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 8, 'MIXED': 0.15280901409341577, 'SLIM_BPR': 0.711125828397448, 'P3ALPHA': 0.9382976397523164, 'RP3BETA': 0.5355585071460682, 'IALS': 0.016726241024882408, 'USER_ITEM_ALL': 0.3226108056558649} - results: ROC_AUC: 0.1245491, PRECISION: 0.0191079, PRECISION_RECALL_MIN_DEN: 0.0636931, RECALL: 0.0636931, MAP: 0.0325282, MRR: 0.0893334, NDCG: 0.0546749, F1: 0.0293968, HIT_RATE: 0.1910793, ARHR: 0.0933966, RMSE: 0.9820259, NOVELTY: 0.0064852, AVERAGE_POPULARITY: 0.2225233, DIVERSITY_MEAN_INTER_LIST: 0.9808376, DIVERSITY_HERFINDAHL: 0.9980777, COVERAGE_ITEM: 0.4853204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2020432, SHANNON_ENTROPY: 10.6821659, 
SearchBayesianSkoptObject: New best config found. Config 4: {'strategy': 'weighted_rank', 'multiplier_cutoff': 6, 'MIXED': 0.8841403926701575, 'SLIM_BPR': 0.3491422100100627, 'P3ALPHA': 0.3423412154837962, 'RP3BETA': 0.908646790149508, 'IALS': 0.9304064623942762, 'USER_ITEM_ALL': 0.11907333822810598} - results: ROC_AUC: 0.1338659, PRECISION: 0.0220177, PRECISION_RECALL_MIN_DEN: 0.0733922, RECALL: 0.0733922, MAP: 0.0347442, MRR: 0.0948982, NDCG: 0.0599475, F1: 0.0338733, HIT_RATE: 0.2201767, ARHR: 0.0994805, RMSE: 0.9820259, NOVELTY: 0.0058794, AVERAGE_POPULARITY: 0.3501197, DIVERSITY_MEAN_INTER_LIST: 0.9768490, DIVERSITY_HERFINDAHL: 0.9976789, COVERAGE_ITEM: 0.3401460, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1512631, SHANNON_ENTROPY: 9.9449899, 
SearchBayesianSkoptObject: New best config found. Config 5: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.8965460506867935, 'SLIM_BPR': 0.08505554159003505, 'P3ALPHA': 0.8753888194419872, 'RP3BETA': 0.8900003076163876, 'IALS': 0.9130537526221262, 'USER_ITEM_ALL': 0.9817461529027666} - results: ROC_AUC: 0.1354996, PRECISION: 0.0218941, PRECISION_RECALL_MIN_DEN: 0.0729804, RECALL: 0.0729804, MAP: 0.0353255, MRR: 0.0964214, NDCG: 0.0604369, F1: 0.0336833, HIT_RATE: 0.2189411, ARHR: 0.1011162, RMSE: 0.9820259, NOVELTY: 0.0060008, AVERAGE_POPULARITY: 0.3355082, DIVERSITY_MEAN_INTER_LIST: 0.9770075, DIVERSITY_HERFINDAHL: 0.9976947, COVERAGE_ITEM: 0.4188159, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1491540, SHANNON_ENTROPY: 10.0994818, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'MIXED': 0.7618319324582226, 'SLIM_BPR': 0.025788156418091297, 'P3ALPHA': 0.08387336790686774, 'RP3BETA': 0.07888413773137161, 'IALS': 0.02981244714111398, 'USER_ITEM_ALL': 0.951416930899781} - results: ROC_AUC: 0.1334834, PRECISION: 0.0214308, PRECISION_RECALL_MIN_DEN: 0.0714359, RECALL: 0.0714359, MAP: 0.0349421, MRR: 0.0952917, NDCG: 0.0595270, F1: 0.0329704, HIT_RATE: 0.2143078, ARHR: 0.0999766, RMSE: 0.9820259, NOVELTY: 0.0060550, AVERAGE_POPULARITY: 0.3186262, DIVERSITY_MEAN_INTER_LIST: 0.9671680, DIVERSITY_HERFINDAHL: 0.9967108, COVERAGE_ITEM: 0.4851041, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1689343, SHANNON_ENTROPY: 10.2714820, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 1.0, 'SLIM_BPR': 0.0, 'P3ALPHA': 0.0, 'RP3BETA': 0.0, 'IALS': 1.0, 'USER_ITEM_ALL': 0.0} - results: ROC_AUC: 0.1302125, PRECISION: 0.0215605, PRECISION_RECALL_MIN_DEN: 0.0718684, RECALL: 0.0718684, MAP: 0.0338856, MRR: 0.0927156, NDCG: 0.0585721, F1: 0.0331700, HIT_RATE: 0.2156051, ARHR: 0.0971074, RMSE: 0.9820259, NOVELTY: 0.0057734, AVERAGE_POPULARITY: 0.3755857, DIVERSITY_MEAN_INTER_LIST: 0.9747689, DIVERSITY_HERFINDAHL: 0.9974709, COVERAGE_ITEM: 0.3266829, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1345365, SHANNON_ENTROPY: 9.7569201, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'MIXED': 0.3097069142749786, 'SLIM_BPR': 0.9131843196711483, 'P3ALPHA': 0.9504173528559421, 'RP3BETA': 0.047896496201849895, 'IALS': 0.9585551244024582, 'USER_ITEM_ALL': 0.9725016868400673} - results: ROC_AUC: 0.1298744, PRECISION: 0.0207821, PRECISION_RECALL_MIN_DEN: 0.0692737, RECALL: 0.0692737, MAP: 0.0338585, MRR: 0.0925708, NDCG: 0.0577415, F1: 0.0319725, HIT_RATE: 0.2078211, ARHR: 0.0969942, RMSE: 0.9820259, NOVELTY: 0.0062123, AVERAGE_POPULARITY: 0.2721514, DIVERSITY_MEAN_INTER_LIST: 0.9833688, DIVERSITY_HERFINDAHL: 0.9983308, COVERAGE_ITEM: 0.4699649, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1866941, SHANNON_ENTROPY: 10.6306984, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.8618741580721743, 'SLIM_BPR': 0.9281901087661854, 'P3ALPHA': 0.910751445076643, 'RP3BETA': 0.957032949257849, 'IALS': 0.009173787340609476, 'USER_ITEM_ALL': 0.987650026033246} - results: ROC_AUC: 0.1320900, PRECISION: 0.0210663, PRECISION_RECALL_MIN_DEN: 0.0702210, RECALL: 0.0702210, MAP: 0.0343707, MRR: 0.0940802, NDCG: 0.0586122, F1: 0.0324097, HIT_RATE: 0.2106629, ARHR: 0.0985124, RMSE: 0.9820259, NOVELTY: 0.0061446, AVERAGE_POPULARITY: 0.3084565, DIVERSITY_MEAN_INTER_LIST: 0.9778583, DIVERSITY_HERFINDAHL: 0.9977798, COVERAGE_ITEM: 0.4499594, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1653830, SHANNON_ENTROPY: 10.2879335, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'MIXED': 0.9716221093338792, 'SLIM_BPR': 0.8686620836017136, 'P3ALPHA': 0.0882148310362101, 'RP3BETA': 0.9514013370176038, 'IALS': 0.09289371662878655, 'USER_ITEM_ALL': 0.08911369720733332} - results: ROC_AUC: 0.1274842, PRECISION: 0.0198863, PRECISION_RECALL_MIN_DEN: 0.0662878, RECALL: 0.0662878, MAP: 0.0330838, MRR: 0.0906890, NDCG: 0.0560637, F1: 0.0305944, HIT_RATE: 0.1988633, ARHR: 0.0949140, RMSE: 0.9820259, NOVELTY: 0.0062837, AVERAGE_POPULARITY: 0.2652943, DIVERSITY_MEAN_INTER_LIST: 0.9641081, DIVERSITY_HERFINDAHL: 0.9964049, COVERAGE_ITEM: 0.4097324, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1466795, SHANNON_ENTROPY: 9.8448812, 
