SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 3, 'MIXED': 0.44950183431403457, 'S_SLIM_BPR': 0.09481255461592311, 'S_PURE_SVD': 0.8586568026407955, 'S_IALS': 0.8425157297821123, 'USER_CBF_CF': 0.9655296704184204} - results: ROC_AUC: 0.1286189, PRECISION: 0.0209674, PRECISION_RECALL_MIN_DEN: 0.0698915, RECALL: 0.0698915, MAP: 0.0335340, MRR: 0.0910016, NDCG: 0.0574749, F1: 0.0322576, HIT_RATE: 0.2096744, ARHR: 0.0957087, RMSE: 1.3760441, NOVELTY: 0.0056245, AVERAGE_POPULARITY: 0.4361678, DIVERSITY_MEAN_INTER_LIST: 0.9666189, DIVERSITY_HERFINDAHL: 0.9966559, COVERAGE_ITEM: 0.2805082, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1181312, SHANNON_ENTROPY: 9.3385764, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'MIXED': 0.05278168723552014, 'S_SLIM_BPR': 0.21696885811217453, 'S_PURE_SVD': 0.7457742664736723, 'S_IALS': 0.19373839609887417, 'USER_CBF_CF': 0.20012632067606534} - results: ROC_AUC: 0.1179166, PRECISION: 0.0190585, PRECISION_RECALL_MIN_DEN: 0.0635283, RECALL: 0.0635283, MAP: 0.0307112, MRR: 0.0835058, NDCG: 0.0525147, F1: 0.0293208, HIT_RATE: 0.1905850, ARHR: 0.0877297, RMSE: 1.3760441, NOVELTY: 0.0056054, AVERAGE_POPULARITY: 0.4060934, DIVERSITY_MEAN_INTER_LIST: 0.9733146, DIVERSITY_HERFINDAHL: 0.9973254, COVERAGE_ITEM: 0.2978102, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1053845, SHANNON_ENTROPY: 9.3200421, 
SearchBayesianSkoptObject: New best config found. Config 2: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'MIXED': 0.4157107392481294, 'S_SLIM_BPR': 0.3872921355386405, 'S_PURE_SVD': 0.41383275049440904, 'S_IALS': 0.5725982102344666, 'USER_CBF_CF': 0.1749336061652588} - results: ROC_AUC: 0.1334808, PRECISION: 0.0216655, PRECISION_RECALL_MIN_DEN: 0.0722184, RECALL: 0.0722184, MAP: 0.0349313, MRR: 0.0946967, NDCG: 0.0596636, F1: 0.0333316, HIT_RATE: 0.2166553, ARHR: 0.0996392, RMSE: 1.3760441, NOVELTY: 0.0057991, AVERAGE_POPULARITY: 0.3638366, DIVERSITY_MEAN_INTER_LIST: 0.9789465, DIVERSITY_HERFINDAHL: 0.9978886, COVERAGE_ITEM: 0.3573939, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1328341, SHANNON_ENTROPY: 9.8940413, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'MIXED': 0.156462077787253, 'S_SLIM_BPR': 0.41751033395283277, 'S_PURE_SVD': 0.549680940910984, 'S_IALS': 0.989264667062165, 'USER_CBF_CF': 0.2176083383052823} - results: ROC_AUC: 0.1276810, PRECISION: 0.0203682, PRECISION_RECALL_MIN_DEN: 0.0678940, RECALL: 0.0678940, MAP: 0.0333709, MRR: 0.0906982, NDCG: 0.0567052, F1: 0.0313357, HIT_RATE: 0.2036820, ARHR: 0.0953135, RMSE: 1.3760441, NOVELTY: 0.0057438, AVERAGE_POPULARITY: 0.3729584, DIVERSITY_MEAN_INTER_LIST: 0.9788052, DIVERSITY_HERFINDAHL: 0.9978745, COVERAGE_ITEM: 0.2546634, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1462042, SHANNON_ENTROPY: 9.7116846, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'MIXED': 0.1439244230973982, 'S_SLIM_BPR': 0.3774312567926895, 'S_PURE_SVD': 0.9471304083850097, 'S_IALS': 0.7352311862185096, 'USER_CBF_CF': 0.3978738708613735} - results: ROC_AUC: 0.1249230, PRECISION: 0.0200655, PRECISION_RECALL_MIN_DEN: 0.0668849, RECALL: 0.0668849, MAP: 0.0324319, MRR: 0.0882083, NDCG: 0.0554126, F1: 0.0308700, HIT_RATE: 0.2006548, ARHR: 0.0926637, RMSE: 1.3760441, NOVELTY: 0.0056573, AVERAGE_POPULARITY: 0.3999188, DIVERSITY_MEAN_INTER_LIST: 0.9746801, DIVERSITY_HERFINDAHL: 0.9974620, COVERAGE_ITEM: 0.2795891, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1198995, SHANNON_ENTROPY: 9.4732040, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.5957490350596497, 'S_SLIM_BPR': 0.9051447943268027, 'S_PURE_SVD': 0.04747635686365238, 'S_IALS': 0.2561342655832109, 'USER_CBF_CF': 0.24855608993519313} - results: ROC_AUC: 0.1314948, PRECISION: 0.0212269, PRECISION_RECALL_MIN_DEN: 0.0707564, RECALL: 0.0707564, MAP: 0.0346281, MRR: 0.0936112, NDCG: 0.0588289, F1: 0.0326568, HIT_RATE: 0.2122691, ARHR: 0.0986371, RMSE: 1.3760441, NOVELTY: 0.0059485, AVERAGE_POPULARITY: 0.3425569, DIVERSITY_MEAN_INTER_LIST: 0.9788901, DIVERSITY_HERFINDAHL: 0.9978830, COVERAGE_ITEM: 0.4976480, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1610634, SHANNON_ENTROPY: 10.3542169, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'MIXED': 0.5347407545874886, 'S_SLIM_BPR': 0.21220526413234236, 'S_PURE_SVD': 0.6932521030121791, 'S_IALS': 0.2675334954274426, 'USER_CBF_CF': 0.2859378272808731} - results: ROC_AUC: 0.1313680, PRECISION: 0.0212393, PRECISION_RECALL_MIN_DEN: 0.0707976, RECALL: 0.0707976, MAP: 0.0341851, MRR: 0.0925829, NDCG: 0.0584298, F1: 0.0326758, HIT_RATE: 0.2123927, ARHR: 0.0974682, RMSE: 1.3760441, NOVELTY: 0.0057278, AVERAGE_POPULARITY: 0.3838190, DIVERSITY_MEAN_INTER_LIST: 0.9760778, DIVERSITY_HERFINDAHL: 0.9976018, COVERAGE_ITEM: 0.3756150, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1185398, SHANNON_ENTROPY: 9.7038106, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'MIXED': 0.7785128385906479, 'S_SLIM_BPR': 0.9330286281515819, 'S_PURE_SVD': 0.18122654245606998, 'S_IALS': 0.0106591130845225, 'USER_CBF_CF': 0.9463028379238114} - results: ROC_AUC: 0.1319256, PRECISION: 0.0215173, PRECISION_RECALL_MIN_DEN: 0.0717242, RECALL: 0.0717242, MAP: 0.0348034, MRR: 0.0941413, NDCG: 0.0593175, F1: 0.0331035, HIT_RATE: 0.2151727, ARHR: 0.0991766, RMSE: 1.3760441, NOVELTY: 0.0057776, AVERAGE_POPULARITY: 0.4159286, DIVERSITY_MEAN_INTER_LIST: 0.9647294, DIVERSITY_HERFINDAHL: 0.9964670, COVERAGE_ITEM: 0.4674236, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1363021, SHANNON_ENTROPY: 9.7883567, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'MIXED': 0.025591612443308216, 'S_SLIM_BPR': 0.6616644561521502, 'S_PURE_SVD': 0.8348381824258824, 'S_IALS': 0.546021313161955, 'USER_CBF_CF': 0.943441645075832} - results: ROC_AUC: 0.1267585, PRECISION: 0.0207698, PRECISION_RECALL_MIN_DEN: 0.0692325, RECALL: 0.0692325, MAP: 0.0331733, MRR: 0.0900150, NDCG: 0.0568694, F1: 0.0319535, HIT_RATE: 0.2076975, ARHR: 0.0946802, RMSE: 1.3760441, NOVELTY: 0.0055920, AVERAGE_POPULARITY: 0.4554272, DIVERSITY_MEAN_INTER_LIST: 0.9616816, DIVERSITY_HERFINDAHL: 0.9961622, COVERAGE_ITEM: 0.3133820, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1049013, SHANNON_ENTROPY: 9.1861196, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'MIXED': 0.4814170724591367, 'S_SLIM_BPR': 0.15381774405915685, 'S_PURE_SVD': 0.05455275284077622, 'S_IALS': 0.45513892620470386, 'USER_CBF_CF': 0.8276958203722773} - results: ROC_AUC: 0.1319470, PRECISION: 0.0218014, PRECISION_RECALL_MIN_DEN: 0.0726715, RECALL: 0.0726715, MAP: 0.0348319, MRR: 0.0942760, NDCG: 0.0596396, F1: 0.0335407, HIT_RATE: 0.2180145, ARHR: 0.0992855, RMSE: 1.3760441, NOVELTY: 0.0056485, AVERAGE_POPULARITY: 0.4540202, DIVERSITY_MEAN_INTER_LIST: 0.9580834, DIVERSITY_HERFINDAHL: 0.9958024, COVERAGE_ITEM: 0.3207894, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1191906, SHANNON_ENTROPY: 9.3169274, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'MIXED': 0.8334335474849571, 'S_SLIM_BPR': 0.8106194805724325, 'S_PURE_SVD': 0.8548589959946824, 'S_IALS': 0.46728554986124005, 'USER_CBF_CF': 0.2358052538176239} - results: ROC_AUC: 0.1333752, PRECISION: 0.0214926, PRECISION_RECALL_MIN_DEN: 0.0716419, RECALL: 0.0716419, MAP: 0.0347711, MRR: 0.0941286, NDCG: 0.0593047, F1: 0.0330655, HIT_RATE: 0.2149256, ARHR: 0.0991173, RMSE: 1.3760441, NOVELTY: 0.0058266, AVERAGE_POPULARITY: 0.3598177, DIVERSITY_MEAN_INTER_LIST: 0.9786192, DIVERSITY_HERFINDAHL: 0.9978559, COVERAGE_ITEM: 0.4496891, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1333775, SHANNON_ENTROPY: 10.0292644, 
