SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.7198948220069731, 'S_SLIM_BPR': 0.07238668667094973, 'S_PURE_SVD': 0.6862674995408534, 'S_IALS': 0.8614298426302839, 'USER_CBF_CF': 0.22260717932791557} - results: ROC_AUC: 0.1210525, PRECISION: 0.0191017, PRECISION_RECALL_MIN_DEN: 0.0636725, RECALL: 0.0636725, MAP: 0.0317192, MRR: 0.0865269, NDCG: 0.0536875, F1: 0.0293873, HIT_RATE: 0.1910175, ARHR: 0.0907720, RMSE: 1.3760441, NOVELTY: 0.0054228, AVERAGE_POPULARITY: 0.5695940, DIVERSITY_MEAN_INTER_LIST: 0.9079435, DIVERSITY_HERFINDAHL: 0.9907887, COVERAGE_ITEM: 0.2686131, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0885324, SHANNON_ENTROPY: 8.2806551, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_avg', 'multiplier_cutoff': 6, 'MIXED': 0.8839087834360992, 'S_SLIM_BPR': 0.47552510632077305, 'S_PURE_SVD': 0.1318175853654208, 'S_IALS': 0.9034001020379547, 'USER_CBF_CF': 0.2485330680186541} - results: ROC_AUC: 0.1257590, PRECISION: 0.0206400, PRECISION_RECALL_MIN_DEN: 0.0688001, RECALL: 0.0688001, MAP: 0.0331341, MRR: 0.0899573, NDCG: 0.0566795, F1: 0.0317539, HIT_RATE: 0.2064002, ARHR: 0.0945869, RMSE: 1.3760441, NOVELTY: 0.0055415, AVERAGE_POPULARITY: 0.4985008, DIVERSITY_MEAN_INTER_LIST: 0.9459041, DIVERSITY_HERFINDAHL: 0.9945846, COVERAGE_ITEM: 0.2655312, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1064820, SHANNON_ENTROPY: 8.8719405, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'MIXED': 0.11759560498973934, 'S_SLIM_BPR': 0.6989837478193366, 'S_PURE_SVD': 0.8794836917948717, 'S_IALS': 0.21092758946389428, 'USER_CBF_CF': 0.57382672336123} - results: ROC_AUC: 0.1189145, PRECISION: 0.0189658, PRECISION_RECALL_MIN_DEN: 0.0632195, RECALL: 0.0632195, MAP: 0.0311004, MRR: 0.0849299, NDCG: 0.0528933, F1: 0.0291782, HIT_RATE: 0.1896584, ARHR: 0.0890478, RMSE: 1.3760441, NOVELTY: 0.0054112, AVERAGE_POPULARITY: 0.5765943, DIVERSITY_MEAN_INTER_LIST: 0.9037674, DIVERSITY_HERFINDAHL: 0.9903712, COVERAGE_ITEM: 0.2681806, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0870711, SHANNON_ENTROPY: 8.2166542, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'MIXED': 0.15620723573521814, 'S_SLIM_BPR': 0.9799412171792208, 'S_PURE_SVD': 0.01636289159044924, 'S_IALS': 0.41983112360845365, 'USER_CBF_CF': 0.22272945555135243} - results: ROC_AUC: 0.1196791, PRECISION: 0.0196639, PRECISION_RECALL_MIN_DEN: 0.0655464, RECALL: 0.0655464, MAP: 0.0314204, MRR: 0.0856145, NDCG: 0.0539019, F1: 0.0302522, HIT_RATE: 0.1966393, ARHR: 0.0898703, RMSE: 1.3760441, NOVELTY: 0.0054576, AVERAGE_POPULARITY: 0.5464395, DIVERSITY_MEAN_INTER_LIST: 0.9231933, DIVERSITY_HERFINDAHL: 0.9923136, COVERAGE_ITEM: 0.2610976, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0946572, SHANNON_ENTROPY: 8.4791078, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 4, 'MIXED': 0.33242405051447527, 'S_SLIM_BPR': 0.8358520013211727, 'S_PURE_SVD': 0.33355928694742937, 'S_IALS': 0.4678144675780478, 'USER_CBF_CF': 0.6200093627485678} - results: ROC_AUC: 0.1196726, PRECISION: 0.0196763, PRECISION_RECALL_MIN_DEN: 0.0655876, RECALL: 0.0655876, MAP: 0.0315310, MRR: 0.0858703, NDCG: 0.0540207, F1: 0.0302712, HIT_RATE: 0.1967628, ARHR: 0.0901642, RMSE: 1.3760441, NOVELTY: 0.0054508, AVERAGE_POPULARITY: 0.5501175, DIVERSITY_MEAN_INTER_LIST: 0.9213080, DIVERSITY_HERFINDAHL: 0.9921251, COVERAGE_ITEM: 0.2643958, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0919574, SHANNON_ENTROPY: 8.4388710, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 7, 'MIXED': 0.7519367556883063, 'S_SLIM_BPR': 0.5940849294006484, 'S_PURE_SVD': 0.9981488613041763, 'S_IALS': 0.0863924077754017, 'USER_CBF_CF': 0.5205905787354068} - results: ROC_AUC: 0.1217912, PRECISION: 0.0199975, PRECISION_RECALL_MIN_DEN: 0.0666584, RECALL: 0.0666584, MAP: 0.0318964, MRR: 0.0868289, NDCG: 0.0547482, F1: 0.0307654, HIT_RATE: 0.1999753, ARHR: 0.0911823, RMSE: 1.3760441, NOVELTY: 0.0054934, AVERAGE_POPULARITY: 0.5185255, DIVERSITY_MEAN_INTER_LIST: 0.9401674, DIVERSITY_HERFINDAHL: 0.9940109, COVERAGE_ITEM: 0.2630441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0948869, SHANNON_ENTROPY: 8.6590868, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'MIXED': 0.42667234198280923, 'S_SLIM_BPR': 0.9737431822117786, 'S_PURE_SVD': 0.793117857159657, 'S_IALS': 0.0704934354887148, 'USER_CBF_CF': 0.5295640103832538} - results: ROC_AUC: 0.1207480, PRECISION: 0.0198246, PRECISION_RECALL_MIN_DEN: 0.0660818, RECALL: 0.0660818, MAP: 0.0316442, MRR: 0.0861923, NDCG: 0.0543069, F1: 0.0304993, HIT_RATE: 0.1982455, ARHR: 0.0904909, RMSE: 1.3760441, NOVELTY: 0.0054733, AVERAGE_POPULARITY: 0.5319249, DIVERSITY_MEAN_INTER_LIST: 0.9333653, DIVERSITY_HERFINDAHL: 0.9933308, COVERAGE_ITEM: 0.2628819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0928000, SHANNON_ENTROPY: 8.5616015, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 5, 'MIXED': 0.42493629026418167, 'S_SLIM_BPR': 0.25779720615034635, 'S_PURE_SVD': 0.8175070786087668, 'S_IALS': 0.10215915005693912, 'USER_CBF_CF': 0.4103577370439607} - results: ROC_AUC: 0.1210265, PRECISION: 0.0199234, PRECISION_RECALL_MIN_DEN: 0.0664113, RECALL: 0.0664113, MAP: 0.0317460, MRR: 0.0863988, NDCG: 0.0545046, F1: 0.0306514, HIT_RATE: 0.1992340, ARHR: 0.0907477, RMSE: 1.3760441, NOVELTY: 0.0054911, AVERAGE_POPULARITY: 0.5185189, DIVERSITY_MEAN_INTER_LIST: 0.9405961, DIVERSITY_HERFINDAHL: 0.9940538, COVERAGE_ITEM: 0.2611517, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0944406, SHANNON_ENTROPY: 8.6530941, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'MIXED': 0.013518786097661665, 'S_SLIM_BPR': 0.4957967558780161, 'S_PURE_SVD': 0.7835716059427918, 'S_IALS': 0.854738203978088, 'USER_CBF_CF': 0.45345021128893126} - results: ROC_AUC: 0.1201933, PRECISION: 0.0197751, PRECISION_RECALL_MIN_DEN: 0.0659171, RECALL: 0.0659171, MAP: 0.0315780, MRR: 0.0858764, NDCG: 0.0541605, F1: 0.0304233, HIT_RATE: 0.1977513, ARHR: 0.0902304, RMSE: 1.3760441, NOVELTY: 0.0054895, AVERAGE_POPULARITY: 0.5162179, DIVERSITY_MEAN_INTER_LIST: 0.9419827, DIVERSITY_HERFINDAHL: 0.9941924, COVERAGE_ITEM: 0.2472019, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0969266, SHANNON_ENTROPY: 8.6658910, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 4, 'MIXED': 0.7699485776343326, 'S_SLIM_BPR': 0.9196193914611718, 'S_PURE_SVD': 0.4025820457049465, 'S_IALS': 0.6747291596126099, 'USER_CBF_CF': 0.5433104944663524} - results: ROC_AUC: 0.1221282, PRECISION: 0.0200037, PRECISION_RECALL_MIN_DEN: 0.0666790, RECALL: 0.0666790, MAP: 0.0320145, MRR: 0.0871772, NDCG: 0.0548878, F1: 0.0307749, HIT_RATE: 0.2000371, ARHR: 0.0915410, RMSE: 1.3760441, NOVELTY: 0.0054794, AVERAGE_POPULARITY: 0.5329106, DIVERSITY_MEAN_INTER_LIST: 0.9307434, DIVERSITY_HERFINDAHL: 0.9930686, COVERAGE_ITEM: 0.2650446, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0958270, SHANNON_ENTROPY: 8.5818027, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 4, 'MIXED': 0.719518031424669, 'S_SLIM_BPR': 0.2919045490513628, 'S_PURE_SVD': 0.39108534769465353, 'S_IALS': 0.48588187647023173, 'USER_CBF_CF': 0.1724603828579119} - results: ROC_AUC: 0.1259660, PRECISION: 0.0206030, PRECISION_RECALL_MIN_DEN: 0.0686765, RECALL: 0.0686765, MAP: 0.0329039, MRR: 0.0894332, NDCG: 0.0564433, F1: 0.0316969, HIT_RATE: 0.2060295, ARHR: 0.0939986, RMSE: 1.3760441, NOVELTY: 0.0055536, AVERAGE_POPULARITY: 0.4839455, DIVERSITY_MEAN_INTER_LIST: 0.9535477, DIVERSITY_HERFINDAHL: 0.9953489, COVERAGE_ITEM: 0.2641795, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1049638, SHANNON_ENTROPY: 8.9362259, 
