SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_count', 'multiplier_cutoff': 7, 'MIXED': 0.9088641344044127, 'S_SLIM_BPR': 0.9830457991185346, 'S_PURE_SVD': 0.7705737224862649, 'S_IALS': 0.16795469151512435, 'USER_CBF_CF': 0.38799643596750044} - results: ROC_AUC: 0.1192432, PRECISION: 0.0198369, PRECISION_RECALL_MIN_DEN: 0.0661230, RECALL: 0.0661230, MAP: 0.0317166, MRR: 0.0871853, NDCG: 0.0544734, F1: 0.0305183, HIT_RATE: 0.1983691, ARHR: 0.0911047, RMSE: 1.3760441, NOVELTY: 0.0060079, AVERAGE_POPULARITY: 0.3148977, DIVERSITY_MEAN_INTER_LIST: 0.9828755, DIVERSITY_HERFINDAHL: 0.9982815, COVERAGE_ITEM: 0.4574750, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1451055, SHANNON_ENTROPY: 10.2643313, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_count', 'multiplier_cutoff': 4, 'MIXED': 0.44597829733918537, 'S_SLIM_BPR': 0.9019123371445092, 'S_PURE_SVD': 0.13768256356589395, 'S_IALS': 0.23506171317909713, 'USER_CBF_CF': 0.7515960689563402} - results: ROC_AUC: 0.1222572, PRECISION: 0.0203373, PRECISION_RECALL_MIN_DEN: 0.0677910, RECALL: 0.0677910, MAP: 0.0324570, MRR: 0.0884868, NDCG: 0.0556791, F1: 0.0312882, HIT_RATE: 0.2033731, ARHR: 0.0928467, RMSE: 1.3760441, NOVELTY: 0.0058735, AVERAGE_POPULARITY: 0.3702191, DIVERSITY_MEAN_INTER_LIST: 0.9757194, DIVERSITY_HERFINDAHL: 0.9975659, COVERAGE_ITEM: 0.4651527, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1412784, SHANNON_ENTROPY: 10.0590788, 
SearchBayesianSkoptObject: New best config found. Config 2: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'MIXED': 0.5695280462942728, 'S_SLIM_BPR': 0.033170510281674066, 'S_PURE_SVD': 0.5327290145754282, 'S_IALS': 0.3514398440973236, 'USER_CBF_CF': 0.8752663915122413} - results: ROC_AUC: 0.1243358, PRECISION: 0.0206338, PRECISION_RECALL_MIN_DEN: 0.0687795, RECALL: 0.0687795, MAP: 0.0328266, MRR: 0.0893516, NDCG: 0.0563663, F1: 0.0317444, HIT_RATE: 0.2063384, ARHR: 0.0938136, RMSE: 1.3760441, NOVELTY: 0.0056779, AVERAGE_POPULARITY: 0.4266564, DIVERSITY_MEAN_INTER_LIST: 0.9677116, DIVERSITY_HERFINDAHL: 0.9967652, COVERAGE_ITEM: 0.3225737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1177337, SHANNON_ENTROPY: 9.4260589, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'MIXED': 0.30930433810172825, 'S_SLIM_BPR': 0.409620420404495, 'S_PURE_SVD': 0.004855983163941869, 'S_IALS': 0.041752075062155954, 'USER_CBF_CF': 0.5178530759017067} - results: ROC_AUC: 0.1256598, PRECISION: 0.0210230, PRECISION_RECALL_MIN_DEN: 0.0700768, RECALL: 0.0700768, MAP: 0.0334752, MRR: 0.0906211, NDCG: 0.0573659, F1: 0.0323431, HIT_RATE: 0.2102304, ARHR: 0.0954227, RMSE: 1.3760441, NOVELTY: 0.0057926, AVERAGE_POPULARITY: 0.4030525, DIVERSITY_MEAN_INTER_LIST: 0.9685064, DIVERSITY_HERFINDAHL: 0.9968447, COVERAGE_ITEM: 0.4715869, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1336197, SHANNON_ENTROPY: 9.8422096, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 3, 'MIXED': 0.07502144032520931, 'S_SLIM_BPR': 0.6974471264616978, 'S_PURE_SVD': 0.9692734685526572, 'S_IALS': 0.5051256998540442, 'USER_CBF_CF': 0.7388714234081943} - results: ROC_AUC: 0.1197494, PRECISION: 0.0194353, PRECISION_RECALL_MIN_DEN: 0.0647845, RECALL: 0.0647845, MAP: 0.0317234, MRR: 0.0866589, NDCG: 0.0540033, F1: 0.0299005, HIT_RATE: 0.1943535, ARHR: 0.0908313, RMSE: 1.3760441, NOVELTY: 0.0056616, AVERAGE_POPULARITY: 0.4183647, DIVERSITY_MEAN_INTER_LIST: 0.9703462, DIVERSITY_HERFINDAHL: 0.9970286, COVERAGE_ITEM: 0.3087862, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1089658, SHANNON_ENTROPY: 9.3384993, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 5, 'MIXED': 0.5833163572774144, 'S_SLIM_BPR': 0.2819119381314042, 'S_PURE_SVD': 0.10253313141316303, 'S_IALS': 0.6338151292125305, 'USER_CBF_CF': 0.6444896388388818} - results: ROC_AUC: 0.1234484, PRECISION: 0.0205782, PRECISION_RECALL_MIN_DEN: 0.0685941, RECALL: 0.0685941, MAP: 0.0325426, MRR: 0.0892473, NDCG: 0.0561016, F1: 0.0316588, HIT_RATE: 0.2057824, ARHR: 0.0933565, RMSE: 1.3760441, NOVELTY: 0.0058172, AVERAGE_POPULARITY: 0.3657907, DIVERSITY_MEAN_INTER_LIST: 0.9784769, DIVERSITY_HERFINDAHL: 0.9978416, COVERAGE_ITEM: 0.3334415, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1419961, SHANNON_ENTROPY: 9.8931773, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 6, 'MIXED': 0.046279872155057585, 'S_SLIM_BPR': 0.6718071279844787, 'S_PURE_SVD': 0.22503913369987744, 'S_IALS': 0.31856126491250597, 'USER_CBF_CF': 0.8415852575831493} - results: ROC_AUC: 0.1192166, PRECISION: 0.0196145, PRECISION_RECALL_MIN_DEN: 0.0653817, RECALL: 0.0653817, MAP: 0.0317197, MRR: 0.0870841, NDCG: 0.0542187, F1: 0.0301762, HIT_RATE: 0.1961451, ARHR: 0.0910400, RMSE: 1.3760441, NOVELTY: 0.0057802, AVERAGE_POPULARITY: 0.3893651, DIVERSITY_MEAN_INTER_LIST: 0.9746315, DIVERSITY_HERFINDAHL: 0.9974571, COVERAGE_ITEM: 0.3656664, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1288835, SHANNON_ENTROPY: 9.7320682, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 7, 'MIXED': 0.6625421560614102, 'S_SLIM_BPR': 0.08771617985271753, 'S_PURE_SVD': 0.18338488810318446, 'S_IALS': 0.216192700335807, 'USER_CBF_CF': 0.2514744922679169} - results: ROC_AUC: 0.1186828, PRECISION: 0.0199049, PRECISION_RECALL_MIN_DEN: 0.0663495, RECALL: 0.0663495, MAP: 0.0315655, MRR: 0.0870971, NDCG: 0.0544146, F1: 0.0306229, HIT_RATE: 0.1990486, ARHR: 0.0908396, RMSE: 1.3760441, NOVELTY: 0.0058954, AVERAGE_POPULARITY: 0.3319728, DIVERSITY_MEAN_INTER_LIST: 0.9826510, DIVERSITY_HERFINDAHL: 0.9982590, COVERAGE_ITEM: 0.3651257, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1526171, SHANNON_ENTROPY: 10.1639367, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 6, 'MIXED': 0.474582441768012, 'S_SLIM_BPR': 0.10201654789917727, 'S_PURE_SVD': 0.17207728473308984, 'S_IALS': 0.5299568171909524, 'USER_CBF_CF': 0.2836821376979332} - results: ROC_AUC: 0.1207213, PRECISION: 0.0201087, PRECISION_RECALL_MIN_DEN: 0.0670291, RECALL: 0.0670291, MAP: 0.0321107, MRR: 0.0880537, NDCG: 0.0551270, F1: 0.0309365, HIT_RATE: 0.2010873, ARHR: 0.0921092, RMSE: 1.3760441, NOVELTY: 0.0058811, AVERAGE_POPULARITY: 0.3312135, DIVERSITY_MEAN_INTER_LIST: 0.9830389, DIVERSITY_HERFINDAHL: 0.9982978, COVERAGE_ITEM: 0.3021898, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1689530, SHANNON_ENTROPY: 10.1303503, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 3, 'MIXED': 0.010697842762638634, 'S_SLIM_BPR': 0.5833176428711164, 'S_PURE_SVD': 0.38514635037195066, 'S_IALS': 0.049607214109427825, 'USER_CBF_CF': 0.20010086996073012} - results: ROC_AUC: 0.1214232, PRECISION: 0.0200408, PRECISION_RECALL_MIN_DEN: 0.0668026, RECALL: 0.0668026, MAP: 0.0320665, MRR: 0.0875575, NDCG: 0.0549866, F1: 0.0308320, HIT_RATE: 0.2004077, ARHR: 0.0917982, RMSE: 1.3760441, NOVELTY: 0.0057837, AVERAGE_POPULARITY: 0.3894741, DIVERSITY_MEAN_INTER_LIST: 0.9732179, DIVERSITY_HERFINDAHL: 0.9973158, COVERAGE_ITEM: 0.4269262, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1206254, SHANNON_ENTROPY: 9.7311519, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 8, 'MIXED': 0.05205937879679913, 'S_SLIM_BPR': 0.02621810562362093, 'S_PURE_SVD': 0.05978053135457807, 'S_IALS': 0.9683209320123959, 'USER_CBF_CF': 0.06602792337665066} - results: ROC_AUC: 0.1161382, PRECISION: 0.0191821, PRECISION_RECALL_MIN_DEN: 0.0639402, RECALL: 0.0639402, MAP: 0.0311049, MRR: 0.0858849, NDCG: 0.0531779, F1: 0.0295109, HIT_RATE: 0.1918206, ARHR: 0.0895503, RMSE: 1.3760441, NOVELTY: 0.0057572, AVERAGE_POPULARITY: 0.3667013, DIVERSITY_MEAN_INTER_LIST: 0.9790006, DIVERSITY_HERFINDAHL: 0.9978940, COVERAGE_ITEM: 0.2548797, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1443869, SHANNON_ENTROPY: 9.6903914, 
