SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 1, 'MIXED': 0.3039854118443646, 'S_SLIM_BPR': 0.5573289597873805, 'S_PURE_SVD': 0.12031167807808155, 'S_IALS': 0.6780115982039939, 'USER_CBF_CF': 0.4395980653337691} - results: ROC_AUC: 0.1306966, PRECISION: 0.0212454, PRECISION_RECALL_MIN_DEN: 0.0708181, RECALL: 0.0708181, MAP: 0.0340209, MRR: 0.0924312, NDCG: 0.0582935, F1: 0.0326853, HIT_RATE: 0.2124544, ARHR: 0.0971506, RMSE: 1.3760441, NOVELTY: 0.0057924, AVERAGE_POPULARITY: 0.3794213, DIVERSITY_MEAN_INTER_LIST: 0.9758307, DIVERSITY_HERFINDAHL: 0.9975770, COVERAGE_ITEM: 0.3655583, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1371661, SHANNON_ENTROPY: 9.9015454, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 3, 'MIXED': 0.5627926528542408, 'S_SLIM_BPR': 0.4369503434403158, 'S_PURE_SVD': 0.7219315536320162, 'S_IALS': 0.26904584671409065, 'USER_CBF_CF': 0.5190753855662139} - results: ROC_AUC: 0.1266320, PRECISION: 0.0208748, PRECISION_RECALL_MIN_DEN: 0.0695826, RECALL: 0.0695826, MAP: 0.0333638, MRR: 0.0909439, NDCG: 0.0572222, F1: 0.0321150, HIT_RATE: 0.2087478, ARHR: 0.0954183, RMSE: 1.3760441, NOVELTY: 0.0057491, AVERAGE_POPULARITY: 0.3891204, DIVERSITY_MEAN_INTER_LIST: 0.9748093, DIVERSITY_HERFINDAHL: 0.9974749, COVERAGE_ITEM: 0.3737767, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1210981, SHANNON_ENTROPY: 9.6963976, 
SearchBayesianSkoptObject: New best config found. Config 2: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 1, 'MIXED': 0.9539928538022554, 'S_SLIM_BPR': 0.22720237695029838, 'S_PURE_SVD': 0.4667673760723866, 'S_IALS': 0.20337459078269232, 'USER_CBF_CF': 0.22000176115041842} - results: ROC_AUC: 0.1335422, PRECISION: 0.0225119, PRECISION_RECALL_MIN_DEN: 0.0750396, RECALL: 0.0750396, MAP: 0.0356603, MRR: 0.0967678, NDCG: 0.0612502, F1: 0.0346337, HIT_RATE: 0.2251189, ARHR: 0.1017551, RMSE: 1.3760441, NOVELTY: 0.0060934, AVERAGE_POPULARITY: 0.2857383, DIVERSITY_MEAN_INTER_LIST: 0.9859683, DIVERSITY_HERFINDAHL: 0.9985907, COVERAGE_ITEM: 0.5826440, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1790814, SHANNON_ENTROPY: 10.8460133, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 6, 'MIXED': 0.895749288965347, 'S_SLIM_BPR': 0.14589512847321065, 'S_PURE_SVD': 0.8542092047341122, 'S_IALS': 0.5631029385261792, 'USER_CBF_CF': 0.7270524176758497} - results: ROC_AUC: 0.1254280, PRECISION: 0.0204856, PRECISION_RECALL_MIN_DEN: 0.0682852, RECALL: 0.0682852, MAP: 0.0331959, MRR: 0.0915187, NDCG: 0.0567889, F1: 0.0315163, HIT_RATE: 0.2048557, ARHR: 0.0954795, RMSE: 1.3760441, NOVELTY: 0.0057979, AVERAGE_POPULARITY: 0.3589831, DIVERSITY_MEAN_INTER_LIST: 0.9798678, DIVERSITY_HERFINDAHL: 0.9979807, COVERAGE_ITEM: 0.3103001, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1428826, SHANNON_ENTROPY: 9.8751708, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 2, 'MIXED': 0.5341875912798845, 'S_SLIM_BPR': 0.9004651748563361, 'S_PURE_SVD': 0.05573396301412038, 'S_IALS': 0.6186208237073549, 'USER_CBF_CF': 0.4746307786664449} - results: ROC_AUC: 0.1298414, PRECISION: 0.0215234, PRECISION_RECALL_MIN_DEN: 0.0717448, RECALL: 0.0717448, MAP: 0.0342262, MRR: 0.0926099, NDCG: 0.0587076, F1: 0.0331130, HIT_RATE: 0.2152344, ARHR: 0.0975322, RMSE: 1.3760441, NOVELTY: 0.0058997, AVERAGE_POPULARITY: 0.3489122, DIVERSITY_MEAN_INTER_LIST: 0.9788480, DIVERSITY_HERFINDAHL: 0.9978788, COVERAGE_ITEM: 0.4832657, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1475013, SHANNON_ENTROPY: 10.2324919, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 6, 'MIXED': 0.8358679011160617, 'S_SLIM_BPR': 0.5432638936726075, 'S_PURE_SVD': 0.9275989319836485, 'S_IALS': 0.5743307021515831, 'USER_CBF_CF': 0.5181358536642234} - results: ROC_AUC: 0.1256609, PRECISION: 0.0203126, PRECISION_RECALL_MIN_DEN: 0.0677087, RECALL: 0.0677087, MAP: 0.0329706, MRR: 0.0905358, NDCG: 0.0563457, F1: 0.0312501, HIT_RATE: 0.2031260, ARHR: 0.0946420, RMSE: 1.3760441, NOVELTY: 0.0057906, AVERAGE_POPULARITY: 0.3596749, DIVERSITY_MEAN_INTER_LIST: 0.9795887, DIVERSITY_HERFINDAHL: 0.9979528, COVERAGE_ITEM: 0.3246283, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1334707, SHANNON_ENTROPY: 9.8275615, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 5, 'MIXED': 0.5288761503359887, 'S_SLIM_BPR': 0.47775654824009706, 'S_PURE_SVD': 0.2349459989884905, 'S_IALS': 0.9620360793865015, 'USER_CBF_CF': 0.9615848617054986} - results: ROC_AUC: 0.1273538, PRECISION: 0.0206462, PRECISION_RECALL_MIN_DEN: 0.0688207, RECALL: 0.0688207, MAP: 0.0332381, MRR: 0.0910088, NDCG: 0.0569443, F1: 0.0317634, HIT_RATE: 0.2064620, ARHR: 0.0952788, RMSE: 1.3760441, NOVELTY: 0.0057534, AVERAGE_POPULARITY: 0.3839035, DIVERSITY_MEAN_INTER_LIST: 0.9764159, DIVERSITY_HERFINDAHL: 0.9976356, COVERAGE_ITEM: 0.2852663, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1402741, SHANNON_ENTROPY: 9.7043790, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 8, 'MIXED': 0.8598731102577635, 'S_SLIM_BPR': 0.8205988311134348, 'S_PURE_SVD': 0.5390572923917806, 'S_IALS': 0.5091709657578681, 'USER_CBF_CF': 0.7363148011666075} - results: ROC_AUC: 0.1239819, PRECISION: 0.0203744, PRECISION_RECALL_MIN_DEN: 0.0679146, RECALL: 0.0679146, MAP: 0.0329736, MRR: 0.0905958, NDCG: 0.0563774, F1: 0.0313452, HIT_RATE: 0.2037437, ARHR: 0.0946766, RMSE: 1.3760441, NOVELTY: 0.0058771, AVERAGE_POPULARITY: 0.3456720, DIVERSITY_MEAN_INTER_LIST: 0.9809998, DIVERSITY_HERFINDAHL: 0.9980939, COVERAGE_ITEM: 0.3896188, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1442049, SHANNON_ENTROPY: 10.0950989, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 6, 'MIXED': 0.9397806234732045, 'S_SLIM_BPR': 0.42545439720463574, 'S_PURE_SVD': 0.4518046144725818, 'S_IALS': 0.9775240212837341, 'USER_CBF_CF': 0.28611787932020966} - results: ROC_AUC: 0.1265774, PRECISION: 0.0205535, PRECISION_RECALL_MIN_DEN: 0.0685118, RECALL: 0.0685118, MAP: 0.0333642, MRR: 0.0916110, NDCG: 0.0570014, F1: 0.0316208, HIT_RATE: 0.2055353, ARHR: 0.0957746, RMSE: 1.3760441, NOVELTY: 0.0058959, AVERAGE_POPULARITY: 0.3254505, DIVERSITY_MEAN_INTER_LIST: 0.9835940, DIVERSITY_HERFINDAHL: 0.9983533, COVERAGE_ITEM: 0.3325223, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1600418, SHANNON_ENTROPY: 10.1733390, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 2, 'MIXED': 0.5276029527204055, 'S_SLIM_BPR': 0.28083539796583984, 'S_PURE_SVD': 0.818585927760427, 'S_IALS': 0.8590254641753294, 'USER_CBF_CF': 0.3403348351075873} - results: ROC_AUC: 0.1251807, PRECISION: 0.0202261, PRECISION_RECALL_MIN_DEN: 0.0674204, RECALL: 0.0674204, MAP: 0.0328501, MRR: 0.0897710, NDCG: 0.0560614, F1: 0.0311171, HIT_RATE: 0.2022611, ARHR: 0.0940681, RMSE: 1.3760441, NOVELTY: 0.0057586, AVERAGE_POPULARITY: 0.3684958, DIVERSITY_MEAN_INTER_LIST: 0.9792012, DIVERSITY_HERFINDAHL: 0.9979141, COVERAGE_ITEM: 0.2863477, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1392263, SHANNON_ENTROPY: 9.7658992, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_count_rank_3', 'multiplier_cutoff': 9, 'MIXED': 0.7076998317628044, 'S_SLIM_BPR': 0.6158947666891287, 'S_PURE_SVD': 0.5888852942475089, 'S_IALS': 0.28150312117331505, 'USER_CBF_CF': 0.014834330013484113} - results: ROC_AUC: 0.1227802, PRECISION: 0.0199790, PRECISION_RECALL_MIN_DEN: 0.0665967, RECALL: 0.0665967, MAP: 0.0326165, MRR: 0.0896853, NDCG: 0.0556033, F1: 0.0307369, HIT_RATE: 0.1997900, ARHR: 0.0936901, RMSE: 1.3760441, NOVELTY: 0.0059522, AVERAGE_POPULARITY: 0.3136555, DIVERSITY_MEAN_INTER_LIST: 0.9841739, DIVERSITY_HERFINDAHL: 0.9984113, COVERAGE_ITEM: 0.4175723, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1495921, SHANNON_ENTROPY: 10.3022032, 
