SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 8, 'MIXED': 0.10148310153164022, 'S_SLIM_BPR': 0.9609184436457705, 'S_PURE_SVD': 0.5978461095662572, 'S_IALS': 0.2762861261572757, 'USER_CBF_CF': 0.5832360874401433} - results: ROC_AUC: 0.1260032, PRECISION: 0.0208439, PRECISION_RECALL_MIN_DEN: 0.0694796, RECALL: 0.0694796, MAP: 0.0330037, MRR: 0.0893112, NDCG: 0.0567222, F1: 0.0320675, HIT_RATE: 0.2084389, ARHR: 0.0940648, RMSE: 1.3760441, NOVELTY: 0.0057345, AVERAGE_POPULARITY: 0.4059745, DIVERSITY_MEAN_INTER_LIST: 0.9711359, DIVERSITY_HERFINDAHL: 0.9971076, COVERAGE_ITEM: 0.3751284, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1168937, SHANNON_ENTROPY: 9.5741890, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'MIXED': 0.254308724555028, 'S_SLIM_BPR': 0.08486216556962635, 'S_PURE_SVD': 0.7427320081084288, 'S_IALS': 0.019733894298533897, 'USER_CBF_CF': 0.08937653035383776} - results: ROC_AUC: 0.1167801, PRECISION: 0.0180392, PRECISION_RECALL_MIN_DEN: 0.0601306, RECALL: 0.0601306, MAP: 0.0304774, MRR: 0.0831851, NDCG: 0.0512806, F1: 0.0277526, HIT_RATE: 0.1803917, ARHR: 0.0872216, RMSE: 1.3760441, NOVELTY: 0.0056167, AVERAGE_POPULARITY: 0.3877227, DIVERSITY_MEAN_INTER_LIST: 0.9751428, DIVERSITY_HERFINDAHL: 0.9975083, COVERAGE_ITEM: 0.2936469, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1066155, SHANNON_ENTROPY: 9.3477284, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 7, 'MIXED': 0.19599289552378635, 'S_SLIM_BPR': 0.2869658996741978, 'S_PURE_SVD': 0.85493507910262, 'S_IALS': 0.2200347869391895, 'USER_CBF_CF': 0.9808013134590134} - results: ROC_AUC: 0.1218311, PRECISION: 0.0198184, PRECISION_RECALL_MIN_DEN: 0.0660612, RECALL: 0.0660612, MAP: 0.0320203, MRR: 0.0869492, NDCG: 0.0546633, F1: 0.0304898, HIT_RATE: 0.1981837, ARHR: 0.0914241, RMSE: 1.3760441, NOVELTY: 0.0055999, AVERAGE_POPULARITY: 0.4453499, DIVERSITY_MEAN_INTER_LIST: 0.9651560, DIVERSITY_HERFINDAHL: 0.9965096, COVERAGE_ITEM: 0.2774263, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1032531, SHANNON_ENTROPY: 9.1084050, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 7, 'MIXED': 0.15000668735327707, 'S_SLIM_BPR': 0.231354540216062, 'S_PURE_SVD': 0.7753306007846346, 'S_IALS': 0.8404735968199312, 'USER_CBF_CF': 0.20336826255564916} - results: ROC_AUC: 0.1205064, PRECISION: 0.0191450, PRECISION_RECALL_MIN_DEN: 0.0638166, RECALL: 0.0638166, MAP: 0.0315444, MRR: 0.0860213, NDCG: 0.0535355, F1: 0.0294538, HIT_RATE: 0.1914499, ARHR: 0.0902527, RMSE: 1.3760441, NOVELTY: 0.0057213, AVERAGE_POPULARITY: 0.3745663, DIVERSITY_MEAN_INTER_LIST: 0.9783909, DIVERSITY_HERFINDAHL: 0.9978330, COVERAGE_ITEM: 0.2360638, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1396626, SHANNON_ENTROPY: 9.5680703, 
SearchBayesianSkoptObject: New best config found. Config 4: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'MIXED': 0.7398176068690545, 'S_SLIM_BPR': 0.18810528233727558, 'S_PURE_SVD': 0.4380871238227333, 'S_IALS': 0.01623055580157429, 'USER_CBF_CF': 0.3875708069426347} - results: ROC_AUC: 0.1312506, PRECISION: 0.0218447, PRECISION_RECALL_MIN_DEN: 0.0728156, RECALL: 0.0728156, MAP: 0.0343156, MRR: 0.0926235, NDCG: 0.0591200, F1: 0.0336072, HIT_RATE: 0.2184469, ARHR: 0.0976787, RMSE: 1.3760441, NOVELTY: 0.0058872, AVERAGE_POPULARITY: 0.3471994, DIVERSITY_MEAN_INTER_LIST: 0.9792960, DIVERSITY_HERFINDAHL: 0.9979235, COVERAGE_ITEM: 0.4998108, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1428270, SHANNON_ENTROPY: 10.2092741, 
SearchBayesianSkoptObject: New best config found. Config 5: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.8679888450177188, 'S_SLIM_BPR': 0.31004459132895285, 'S_PURE_SVD': 0.36143885644754786, 'S_IALS': 0.7084141826550494, 'USER_CBF_CF': 0.014486276287565828} - results: ROC_AUC: 0.1348232, PRECISION: 0.0218756, PRECISION_RECALL_MIN_DEN: 0.0729186, RECALL: 0.0729186, MAP: 0.0350244, MRR: 0.0947948, NDCG: 0.0599789, F1: 0.0336547, HIT_RATE: 0.2187558, ARHR: 0.0998282, RMSE: 1.3760441, NOVELTY: 0.0059415, AVERAGE_POPULARITY: 0.3212446, DIVERSITY_MEAN_INTER_LIST: 0.9838153, DIVERSITY_HERFINDAHL: 0.9983754, COVERAGE_ITEM: 0.4475264, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1540676, SHANNON_ENTROPY: 10.3893172, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.7410352955951396, 'S_SLIM_BPR': 0.1469272484098623, 'S_PURE_SVD': 0.9896373908739878, 'S_IALS': 0.27717296976491773, 'USER_CBF_CF': 0.2056524530650941} - results: ROC_AUC: 0.1270342, PRECISION: 0.0207327, PRECISION_RECALL_MIN_DEN: 0.0691090, RECALL: 0.0691090, MAP: 0.0328482, MRR: 0.0892273, NDCG: 0.0565295, F1: 0.0318964, HIT_RATE: 0.2073269, ARHR: 0.0937834, RMSE: 1.3760441, NOVELTY: 0.0057795, AVERAGE_POPULARITY: 0.3595944, DIVERSITY_MEAN_INTER_LIST: 0.9793687, DIVERSITY_HERFINDAHL: 0.9979308, COVERAGE_ITEM: 0.4182211, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1259820, SHANNON_ENTROPY: 9.9166417, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'MIXED': 0.4782804179512621, 'S_SLIM_BPR': 0.24003287758803743, 'S_PURE_SVD': 0.4180065448189637, 'S_IALS': 0.32405657448493136, 'USER_CBF_CF': 0.6711140056537427} - results: ROC_AUC: 0.1332402, PRECISION: 0.0218138, PRECISION_RECALL_MIN_DEN: 0.0727127, RECALL: 0.0727127, MAP: 0.0345031, MRR: 0.0935933, NDCG: 0.0593888, F1: 0.0335597, HIT_RATE: 0.2181380, ARHR: 0.0984622, RMSE: 1.3760441, NOVELTY: 0.0056566, AVERAGE_POPULARITY: 0.4491771, DIVERSITY_MEAN_INTER_LIST: 0.9585783, DIVERSITY_HERFINDAHL: 0.9958519, COVERAGE_ITEM: 0.3672885, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1149350, SHANNON_ENTROPY: 9.3832863, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'MIXED': 0.9193925196688797, 'S_SLIM_BPR': 0.2833021299364769, 'S_PURE_SVD': 0.6230575036983166, 'S_IALS': 0.43713690424376817, 'USER_CBF_CF': 0.5022725275044753} - results: ROC_AUC: 0.1339226, PRECISION: 0.0224007, PRECISION_RECALL_MIN_DEN: 0.0746690, RECALL: 0.0746690, MAP: 0.0349120, MRR: 0.0942614, NDCG: 0.0603392, F1: 0.0344626, HIT_RATE: 0.2240069, ARHR: 0.0993934, RMSE: 1.3760441, NOVELTY: 0.0058654, AVERAGE_POPULARITY: 0.3563469, DIVERSITY_MEAN_INTER_LIST: 0.9787272, DIVERSITY_HERFINDAHL: 0.9978667, COVERAGE_ITEM: 0.4576913, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1394191, SHANNON_ENTROPY: 10.1224409, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'MIXED': 0.457955676048709, 'S_SLIM_BPR': 0.13719470893582578, 'S_PURE_SVD': 0.6408018625027031, 'S_IALS': 0.9036545062824134, 'USER_CBF_CF': 0.14073418121996364} - results: ROC_AUC: 0.1263748, PRECISION: 0.0202323, PRECISION_RECALL_MIN_DEN: 0.0674410, RECALL: 0.0674410, MAP: 0.0327543, MRR: 0.0890413, NDCG: 0.0559336, F1: 0.0311266, HIT_RATE: 0.2023229, ARHR: 0.0935638, RMSE: 1.3760441, NOVELTY: 0.0057878, AVERAGE_POPULARITY: 0.3508350, DIVERSITY_MEAN_INTER_LIST: 0.9817542, DIVERSITY_HERFINDAHL: 0.9981694, COVERAGE_ITEM: 0.2370911, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1674765, SHANNON_ENTROPY: 9.8600406, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 3, 'MIXED': 0.2097053085939578, 'S_SLIM_BPR': 0.36647967709572377, 'S_PURE_SVD': 0.2518635480206414, 'S_IALS': 0.9934406713569239, 'USER_CBF_CF': 0.5716625851193695} - results: ROC_AUC: 0.1274016, PRECISION: 0.0206030, PRECISION_RECALL_MIN_DEN: 0.0686765, RECALL: 0.0686765, MAP: 0.0335400, MRR: 0.0910785, NDCG: 0.0570973, F1: 0.0316969, HIT_RATE: 0.2060295, ARHR: 0.0957612, RMSE: 1.3760441, NOVELTY: 0.0057315, AVERAGE_POPULARITY: 0.3883789, DIVERSITY_MEAN_INTER_LIST: 0.9763044, DIVERSITY_HERFINDAHL: 0.9976244, COVERAGE_ITEM: 0.2369830, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1536822, SHANNON_ENTROPY: 9.6558096, 
