SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.47426207386909525, 'S_PURE_SVD': 0.3923296564879035, 'S_IALS': 0.32079556854741037, 'USER_CBF_CF': 0.3997561043812782, 'USER_CF': 0.8047255067275676} - results: ROC_AUC: 0.1575103, PRECISION: 0.0251892, PRECISION_RECALL_MIN_DEN: 0.0839641, RECALL: 0.0839641, MAP: 0.0435833, MRR: 0.1163730, NDCG: 0.0721128, F1: 0.0387526, HIT_RATE: 0.2518922, ARHR: 0.1233857, RMSE: 2.8784085, NOVELTY: 0.0055707, AVERAGE_POPULARITY: 0.4661060, DIVERSITY_MEAN_INTER_LIST: 0.9605633, DIVERSITY_HERFINDAHL: 0.9960517, COVERAGE_ITEM: 0.2828873, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0991061, SHANNON_ENTROPY: 9.0526026, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.7198709178329084, 'S_PURE_SVD': 0.5842341411682697, 'S_IALS': 0.682971578712798, 'USER_CBF_CF': 0.3902141150546916, 'USER_CF': 0.9640413998850402} - results: ROC_AUC: 0.1581557, PRECISION: 0.0251217, PRECISION_RECALL_MIN_DEN: 0.0837391, RECALL: 0.0837391, MAP: 0.0436712, MRR: 0.1165693, NDCG: 0.0721390, F1: 0.0386488, HIT_RATE: 0.2512173, ARHR: 0.1236137, RMSE: 2.8784085, NOVELTY: 0.0056035, AVERAGE_POPULARITY: 0.4442383, DIVERSITY_MEAN_INTER_LIST: 0.9661238, DIVERSITY_HERFINDAHL: 0.9966077, COVERAGE_ITEM: 0.2799676, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1055421, SHANNON_ENTROPY: 9.2006549, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'WEIGHTED_AVG_ITEM': 0.07169757573237935, 'S_PURE_SVD': 0.9428322160844669, 'S_IALS': 0.5137088137927083, 'USER_CBF_CF': 0.7986349381327917, 'USER_CF': 0.3875662601773209} - results: ROC_AUC: 0.1485210, PRECISION: 0.0236899, PRECISION_RECALL_MIN_DEN: 0.0789664, RECALL: 0.0789664, MAP: 0.0408169, MRR: 0.1091186, NDCG: 0.0676721, F1: 0.0364460, HIT_RATE: 0.2368992, ARHR: 0.1156185, RMSE: 2.8784085, NOVELTY: 0.0055715, AVERAGE_POPULARITY: 0.4442488, DIVERSITY_MEAN_INTER_LIST: 0.9667511, DIVERSITY_HERFINDAHL: 0.9966704, COVERAGE_ITEM: 0.2875912, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0958847, SHANNON_ENTROPY: 9.1190152, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 3, 'WEIGHTED_AVG_ITEM': 0.6755340224526726, 'S_PURE_SVD': 0.5666413470734074, 'S_IALS': 0.641525090592622, 'USER_CBF_CF': 0.3477285268510701, 'USER_CF': 0.022730157473104032} - results: ROC_AUC: 0.1591293, PRECISION: 0.0254544, PRECISION_RECALL_MIN_DEN: 0.0848479, RECALL: 0.0848479, MAP: 0.0438050, MRR: 0.1169775, NDCG: 0.0726386, F1: 0.0391606, HIT_RATE: 0.2545437, ARHR: 0.1240299, RMSE: 2.8784085, NOVELTY: 0.0057717, AVERAGE_POPULARITY: 0.3677733, DIVERSITY_MEAN_INTER_LIST: 0.9792680, DIVERSITY_HERFINDAHL: 0.9979221, COVERAGE_ITEM: 0.3481481, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1231771, SHANNON_ENTROPY: 9.8149263, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.1699898283840178, 'S_PURE_SVD': 0.7637570455885507, 'S_IALS': 0.6695171860314942, 'USER_CBF_CF': 0.5957823907710408, 'USER_CF': 0.5186174632070616} - results: ROC_AUC: 0.1507699, PRECISION: 0.0242202, PRECISION_RECALL_MIN_DEN: 0.0807341, RECALL: 0.0807341, MAP: 0.0417406, MRR: 0.1115302, NDCG: 0.0691626, F1: 0.0372619, HIT_RATE: 0.2422022, ARHR: 0.1182055, RMSE: 2.8784085, NOVELTY: 0.0055838, AVERAGE_POPULARITY: 0.4431775, DIVERSITY_MEAN_INTER_LIST: 0.9669926, DIVERSITY_HERFINDAHL: 0.9966946, COVERAGE_ITEM: 0.2718573, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1018972, SHANNON_ENTROPY: 9.1511610, 
SearchBayesianSkoptObject: New best config found. Config 5: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'WEIGHTED_AVG_ITEM': 0.918688676535983, 'S_PURE_SVD': 0.31317294889587316, 'S_IALS': 0.2051996794043734, 'USER_CBF_CF': 0.3831551000928226, 'USER_CF': 0.7348577041568084} - results: ROC_AUC: 0.1640674, PRECISION: 0.0264571, PRECISION_RECALL_MIN_DEN: 0.0881904, RECALL: 0.0881904, MAP: 0.0452423, MRR: 0.1201473, NDCG: 0.0750832, F1: 0.0407033, HIT_RATE: 0.2645712, ARHR: 0.1277473, RMSE: 2.8784085, NOVELTY: 0.0056567, AVERAGE_POPULARITY: 0.4393275, DIVERSITY_MEAN_INTER_LIST: 0.9650643, DIVERSITY_HERFINDAHL: 0.9965018, COVERAGE_ITEM: 0.3601514, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1043471, SHANNON_ENTROPY: 9.3611301, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.6709335638778121, 'S_PURE_SVD': 0.8578964801217029, 'S_IALS': 0.15621511781054123, 'USER_CBF_CF': 0.1428960186729761, 'USER_CF': 0.5510003846810315} - results: ROC_AUC: 0.1540367, PRECISION: 0.0240370, PRECISION_RECALL_MIN_DEN: 0.0801234, RECALL: 0.0801234, MAP: 0.0420215, MRR: 0.1125626, NDCG: 0.0693709, F1: 0.0369800, HIT_RATE: 0.2403702, ARHR: 0.1191515, RMSE: 2.8784085, NOVELTY: 0.0055806, AVERAGE_POPULARITY: 0.4126190, DIVERSITY_MEAN_INTER_LIST: 0.9725276, DIVERSITY_HERFINDAHL: 0.9972481, COVERAGE_ITEM: 0.4141119, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0984754, SHANNON_ENTROPY: 9.4817908, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.8521021693436528, 'S_PURE_SVD': 0.07793201334599477, 'S_IALS': 0.5902467536742008, 'USER_CBF_CF': 0.4845418307368051, 'USER_CF': 0.5481481132089361} - results: ROC_AUC: 0.1614762, PRECISION: 0.0265535, PRECISION_RECALL_MIN_DEN: 0.0885118, RECALL: 0.0885118, MAP: 0.0446618, MRR: 0.1186848, NDCG: 0.0745515, F1: 0.0408516, HIT_RATE: 0.2655354, ARHR: 0.1261439, RMSE: 2.8784085, NOVELTY: 0.0056374, AVERAGE_POPULARITY: 0.4707512, DIVERSITY_MEAN_INTER_LIST: 0.9490298, DIVERSITY_HERFINDAHL: 0.9948984, COVERAGE_ITEM: 0.4187078, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1047468, SHANNON_ENTROPY: 9.2935511, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'WEIGHTED_AVG_ITEM': 0.9403743831646597, 'S_PURE_SVD': 0.5472883200685608, 'S_IALS': 0.46845181267553404, 'USER_CBF_CF': 0.9311873697224301, 'USER_CF': 0.3537518068672964} - results: ROC_AUC: 0.1602956, PRECISION: 0.0261534, PRECISION_RECALL_MIN_DEN: 0.0871780, RECALL: 0.0871780, MAP: 0.0444510, MRR: 0.1184506, NDCG: 0.0739714, F1: 0.0402360, HIT_RATE: 0.2615340, ARHR: 0.1257233, RMSE: 2.8784085, NOVELTY: 0.0056294, AVERAGE_POPULARITY: 0.4540515, DIVERSITY_MEAN_INTER_LIST: 0.9611142, DIVERSITY_HERFINDAHL: 0.9961068, COVERAGE_ITEM: 0.3597188, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1029962, SHANNON_ENTROPY: 9.2883032, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.6870044626116053, 'S_PURE_SVD': 0.6743007913929557, 'S_IALS': 0.9078777488640619, 'USER_CBF_CF': 0.15125258900176855, 'USER_CF': 0.6092592830228859} - results: ROC_AUC: 0.1574796, PRECISION: 0.0252037, PRECISION_RECALL_MIN_DEN: 0.0840123, RECALL: 0.0840123, MAP: 0.0435482, MRR: 0.1161012, NDCG: 0.0720661, F1: 0.0387749, HIT_RATE: 0.2520368, ARHR: 0.1232012, RMSE: 2.8784085, NOVELTY: 0.0056676, AVERAGE_POPULARITY: 0.4098848, DIVERSITY_MEAN_INTER_LIST: 0.9728951, DIVERSITY_HERFINDAHL: 0.9972848, COVERAGE_ITEM: 0.3053258, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1107683, SHANNON_ENTROPY: 9.4441993, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'WEIGHTED_AVG_ITEM': 0.801641436329672, 'S_PURE_SVD': 0.9659626456876537, 'S_IALS': 0.4501430468557749, 'USER_CBF_CF': 0.28599064714819117, 'USER_CF': 0.24079406943567178} - results: ROC_AUC: 0.1587590, PRECISION: 0.0254640, PRECISION_RECALL_MIN_DEN: 0.0848800, RECALL: 0.0848800, MAP: 0.0435686, MRR: 0.1160149, NDCG: 0.0723554, F1: 0.0391754, HIT_RATE: 0.2546401, ARHR: 0.1231826, RMSE: 2.8784085, NOVELTY: 0.0056956, AVERAGE_POPULARITY: 0.3919574, DIVERSITY_MEAN_INTER_LIST: 0.9752599, DIVERSITY_HERFINDAHL: 0.9975213, COVERAGE_ITEM: 0.3725331, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1057809, SHANNON_ENTROPY: 9.5871118, 
