SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.47426207386909525, 'S_PURE_SVD': 0.3923296564879035, 'S_IALS': 0.32079556854741037, 'USER_CBF_CF': 0.3997561043812782, 'USER_CF': 0.8047255067275676} - results: ROC_AUC: 0.1440874, PRECISION: 0.0233428, PRECISION_RECALL_MIN_DEN: 0.0778094, RECALL: 0.0778094, MAP: 0.0398320, MRR: 0.1070105, NDCG: 0.0663265, F1: 0.0359120, HIT_RATE: 0.2334281, ARHR: 0.1131080, RMSE: 2.8784085, NOVELTY: 0.0053706, AVERAGE_POPULARITY: 0.5952962, DIVERSITY_MEAN_INTER_LIST: 0.8983130, DIVERSITY_HERFINDAHL: 0.9898270, COVERAGE_ITEM: 0.3102460, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0718684, SHANNON_ENTROPY: 8.0724928, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_avg', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.7198709178329084, 'S_PURE_SVD': 0.5842341411682697, 'S_IALS': 0.682971578712798, 'USER_CBF_CF': 0.3902141150546916, 'USER_CF': 0.9640413998850402} - results: ROC_AUC: 0.1443858, PRECISION: 0.0233862, PRECISION_RECALL_MIN_DEN: 0.0779540, RECALL: 0.0779540, MAP: 0.0398494, MRR: 0.1070366, NDCG: 0.0663897, F1: 0.0359788, HIT_RATE: 0.2338620, ARHR: 0.1131459, RMSE: 2.8784085, NOVELTY: 0.0053769, AVERAGE_POPULARITY: 0.5910538, DIVERSITY_MEAN_INTER_LIST: 0.9013755, DIVERSITY_HERFINDAHL: 0.9901332, COVERAGE_ITEM: 0.3106245, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0724623, SHANNON_ENTROPY: 8.1105869, 
SearchBayesianSkoptObject: New best config found. Config 2: {'strategy': 'weighted_avg', 'multiplier_cutoff': 6, 'WEIGHTED_AVG_ITEM': 0.07169757573237935, 'S_PURE_SVD': 0.9428322160844669, 'S_IALS': 0.5137088137927083, 'USER_CBF_CF': 0.7986349381327917, 'USER_CF': 0.3875662601773209} - results: ROC_AUC: 0.1482826, PRECISION: 0.0241624, PRECISION_RECALL_MIN_DEN: 0.0805412, RECALL: 0.0805412, MAP: 0.0409696, MRR: 0.1098635, NDCG: 0.0683484, F1: 0.0371729, HIT_RATE: 0.2416237, ARHR: 0.1162353, RMSE: 2.8784085, NOVELTY: 0.0054056, AVERAGE_POPULARITY: 0.5743995, DIVERSITY_MEAN_INTER_LIST: 0.9115802, DIVERSITY_HERFINDAHL: 0.9911536, COVERAGE_ITEM: 0.3018113, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0760985, SHANNON_ENTROPY: 8.2507066, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'weighted_avg', 'multiplier_cutoff': 3, 'WEIGHTED_AVG_ITEM': 0.6755340224526726, 'S_PURE_SVD': 0.5666413470734074, 'S_IALS': 0.641525090592622, 'USER_CBF_CF': 0.3477285268510701, 'USER_CF': 0.022730157473104032} - results: ROC_AUC: 0.1544260, PRECISION: 0.0251651, PRECISION_RECALL_MIN_DEN: 0.0838837, RECALL: 0.0838837, MAP: 0.0426126, MRR: 0.1136245, NDCG: 0.0710313, F1: 0.0387156, HIT_RATE: 0.2516512, ARHR: 0.1205555, RMSE: 2.8784085, NOVELTY: 0.0055166, AVERAGE_POPULARITY: 0.5189396, DIVERSITY_MEAN_INTER_LIST: 0.9384372, DIVERSITY_HERFINDAHL: 0.9938392, COVERAGE_ITEM: 0.3118140, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0926435, SHANNON_ENTROPY: 8.7595628, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.1699898283840178, 'S_PURE_SVD': 0.7637570455885507, 'S_IALS': 0.6695171860314942, 'USER_CBF_CF': 0.5957823907710408, 'USER_CF': 0.5186174632070616} - results: ROC_AUC: 0.1473206, PRECISION: 0.0239406, PRECISION_RECALL_MIN_DEN: 0.0798020, RECALL: 0.0798020, MAP: 0.0407654, MRR: 0.1093156, NDCG: 0.0678981, F1: 0.0368317, HIT_RATE: 0.2394061, ARHR: 0.1156503, RMSE: 2.8784085, NOVELTY: 0.0053944, AVERAGE_POPULARITY: 0.5805536, DIVERSITY_MEAN_INTER_LIST: 0.9080387, DIVERSITY_HERFINDAHL: 0.9907995, COVERAGE_ITEM: 0.3052717, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0743442, SHANNON_ENTROPY: 8.1977664, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 7, 'WEIGHTED_AVG_ITEM': 0.918688676535983, 'S_PURE_SVD': 0.31317294889587316, 'S_IALS': 0.2051996794043734, 'USER_CBF_CF': 0.3831551000928226, 'USER_CF': 0.7348577041568084} - results: ROC_AUC: 0.1447119, PRECISION: 0.0235308, PRECISION_RECALL_MIN_DEN: 0.0784361, RECALL: 0.0784361, MAP: 0.0400717, MRR: 0.1076061, NDCG: 0.0667615, F1: 0.0362013, HIT_RATE: 0.2353083, ARHR: 0.1137649, RMSE: 2.8784085, NOVELTY: 0.0053758, AVERAGE_POPULARITY: 0.5936837, DIVERSITY_MEAN_INTER_LIST: 0.8987436, DIVERSITY_HERFINDAHL: 0.9898700, COVERAGE_ITEM: 0.3133820, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0726932, SHANNON_ENTROPY: 8.0927549, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.6709335638778121, 'S_PURE_SVD': 0.8578964801217029, 'S_IALS': 0.15621511781054123, 'USER_CBF_CF': 0.1428960186729761, 'USER_CF': 0.5510003846810315} - results: ROC_AUC: 0.1428771, PRECISION: 0.0220749, PRECISION_RECALL_MIN_DEN: 0.0735831, RECALL: 0.0735831, MAP: 0.0394180, MRR: 0.1060107, NDCG: 0.0646293, F1: 0.0339614, HIT_RATE: 0.2207492, ARHR: 0.1119873, RMSE: 2.8784085, NOVELTY: 0.0053413, AVERAGE_POPULARITY: 0.6105021, DIVERSITY_MEAN_INTER_LIST: 0.8890994, DIVERSITY_HERFINDAHL: 0.9889057, COVERAGE_ITEM: 0.3153285, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0684037, SHANNON_ENTROPY: 7.9350885, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.8521021693436528, 'S_PURE_SVD': 0.07793201334599477, 'S_IALS': 0.5902467536742008, 'USER_CBF_CF': 0.4845418307368051, 'USER_CF': 0.5481481132089361} - results: ROC_AUC: 0.1440014, PRECISION: 0.0226775, PRECISION_RECALL_MIN_DEN: 0.0755918, RECALL: 0.0755918, MAP: 0.0398951, MRR: 0.1074038, NDCG: 0.0657538, F1: 0.0348885, HIT_RATE: 0.2267753, ARHR: 0.1134048, RMSE: 2.8784085, NOVELTY: 0.0053600, AVERAGE_POPULARITY: 0.6031779, DIVERSITY_MEAN_INTER_LIST: 0.8921644, DIVERSITY_HERFINDAHL: 0.9892121, COVERAGE_ITEM: 0.3111652, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0710685, SHANNON_ENTROPY: 8.0037090, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'WEIGHTED_AVG_ITEM': 0.9403743831646597, 'S_PURE_SVD': 0.5472883200685608, 'S_IALS': 0.46845181267553404, 'USER_CBF_CF': 0.9311873697224301, 'USER_CF': 0.3537518068672964} - results: ROC_AUC: 0.1478416, PRECISION: 0.0237092, PRECISION_RECALL_MIN_DEN: 0.0790307, RECALL: 0.0790307, MAP: 0.0408391, MRR: 0.1095229, NDCG: 0.0677619, F1: 0.0364757, HIT_RATE: 0.2370920, ARHR: 0.1158756, RMSE: 2.8784085, NOVELTY: 0.0053857, AVERAGE_POPULARITY: 0.5883028, DIVERSITY_MEAN_INTER_LIST: 0.9020008, DIVERSITY_HERFINDAHL: 0.9901957, COVERAGE_ITEM: 0.3058665, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0745062, SHANNON_ENTROPY: 8.1403249, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.6870044626116053, 'S_PURE_SVD': 0.6743007913929557, 'S_IALS': 0.9078777488640619, 'USER_CBF_CF': 0.15125258900176855, 'USER_CF': 0.6092592830228859} - results: ROC_AUC: 0.1460607, PRECISION: 0.0237429, PRECISION_RECALL_MIN_DEN: 0.0791432, RECALL: 0.0791432, MAP: 0.0403967, MRR: 0.1082107, NDCG: 0.0672853, F1: 0.0365276, HIT_RATE: 0.2374295, ARHR: 0.1145430, RMSE: 2.8784085, NOVELTY: 0.0053988, AVERAGE_POPULARITY: 0.5758247, DIVERSITY_MEAN_INTER_LIST: 0.9118139, DIVERSITY_HERFINDAHL: 0.9911770, COVERAGE_ITEM: 0.3109489, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0744192, SHANNON_ENTROPY: 8.2410789, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'WEIGHTED_AVG_ITEM': 0.801641436329672, 'S_PURE_SVD': 0.9659626456876537, 'S_IALS': 0.4501430468557749, 'USER_CBF_CF': 0.28599064714819117, 'USER_CF': 0.24079406943567178} - results: ROC_AUC: 0.1520408, PRECISION: 0.0246830, PRECISION_RECALL_MIN_DEN: 0.0822768, RECALL: 0.0822768, MAP: 0.0418418, MRR: 0.1120612, NDCG: 0.0698005, F1: 0.0379739, HIT_RATE: 0.2468303, ARHR: 0.1186343, RMSE: 2.8784085, NOVELTY: 0.0054520, AVERAGE_POPULARITY: 0.5457086, DIVERSITY_MEAN_INTER_LIST: 0.9284561, DIVERSITY_HERFINDAHL: 0.9928411, COVERAGE_ITEM: 0.3106786, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0803177, SHANNON_ENTROPY: 8.4902013, 
