SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_count', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.47426207386909525, 'S_PURE_SVD': 0.3923296564879035, 'S_IALS': 0.32079556854741037, 'USER_CBF_CF': 0.3997561043812782, 'USER_CF': 0.8047255067275676} - results: ROC_AUC: 0.1435269, PRECISION: 0.0237140, PRECISION_RECALL_MIN_DEN: 0.0790467, RECALL: 0.0790467, MAP: 0.0397163, MRR: 0.1087684, NDCG: 0.0668761, F1: 0.0364831, HIT_RATE: 0.2371402, ARHR: 0.1138588, RMSE: 2.8784085, NOVELTY: 0.0056687, AVERAGE_POPULARITY: 0.4213428, DIVERSITY_MEAN_INTER_LIST: 0.9704817, DIVERSITY_HERFINDAHL: 0.9970435, COVERAGE_ITEM: 0.3211138, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1090791, SHANNON_ENTROPY: 9.4013978, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.7198709178329084, 'S_PURE_SVD': 0.5842341411682697, 'S_IALS': 0.682971578712798, 'USER_CBF_CF': 0.3902141150546916, 'USER_CF': 0.9640413998850402} - results: ROC_AUC: 0.1432414, PRECISION: 0.0237092, PRECISION_RECALL_MIN_DEN: 0.0790307, RECALL: 0.0790307, MAP: 0.0397006, MRR: 0.1085940, NDCG: 0.0668247, F1: 0.0364757, HIT_RATE: 0.2370920, ARHR: 0.1137498, RMSE: 2.8784085, NOVELTY: 0.0056859, AVERAGE_POPULARITY: 0.4101348, DIVERSITY_MEAN_INTER_LIST: 0.9727100, DIVERSITY_HERFINDAHL: 0.9972663, COVERAGE_ITEM: 0.3140849, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1124157, SHANNON_ENTROPY: 9.4673909, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 6, 'WEIGHTED_AVG_ITEM': 0.07169757573237935, 'S_PURE_SVD': 0.9428322160844669, 'S_IALS': 0.5137088137927083, 'USER_CBF_CF': 0.7986349381327917, 'USER_CF': 0.3875662601773209} - results: ROC_AUC: 0.1357054, PRECISION: 0.0217133, PRECISION_RECALL_MIN_DEN: 0.0723778, RECALL: 0.0723778, MAP: 0.0379852, MRR: 0.1047395, NDCG: 0.0630530, F1: 0.0334052, HIT_RATE: 0.2171335, ARHR: 0.1092534, RMSE: 2.8784085, NOVELTY: 0.0056082, AVERAGE_POPULARITY: 0.4253777, DIVERSITY_MEAN_INTER_LIST: 0.9706240, DIVERSITY_HERFINDAHL: 0.9970577, COVERAGE_ITEM: 0.2236280, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1164451, SHANNON_ENTROPY: 9.1832597, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'weighted_count', 'multiplier_cutoff': 3, 'WEIGHTED_AVG_ITEM': 0.6755340224526726, 'S_PURE_SVD': 0.5666413470734074, 'S_IALS': 0.641525090592622, 'USER_CBF_CF': 0.3477285268510701, 'USER_CF': 0.022730157473104032} - results: ROC_AUC: 0.1509246, PRECISION: 0.0252615, PRECISION_RECALL_MIN_DEN: 0.0842051, RECALL: 0.0842051, MAP: 0.0417654, MRR: 0.1124222, NDCG: 0.0703623, F1: 0.0388639, HIT_RATE: 0.2526153, ARHR: 0.1187183, RMSE: 2.8784085, NOVELTY: 0.0058315, AVERAGE_POPULARITY: 0.3472800, DIVERSITY_MEAN_INTER_LIST: 0.9814078, DIVERSITY_HERFINDAHL: 0.9981361, COVERAGE_ITEM: 0.4123277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1278490, SHANNON_ENTROPY: 10.0530875, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.1699898283840178, 'S_PURE_SVD': 0.7637570455885507, 'S_IALS': 0.6695171860314942, 'USER_CBF_CF': 0.5957823907710408, 'USER_CF': 0.5186174632070616} - results: ROC_AUC: 0.1388378, PRECISION: 0.0226245, PRECISION_RECALL_MIN_DEN: 0.0754150, RECALL: 0.0754150, MAP: 0.0388994, MRR: 0.1065194, NDCG: 0.0648432, F1: 0.0348069, HIT_RATE: 0.2262450, ARHR: 0.1115027, RMSE: 2.8784085, NOVELTY: 0.0056177, AVERAGE_POPULARITY: 0.4240740, DIVERSITY_MEAN_INTER_LIST: 0.9707136, DIVERSITY_HERFINDAHL: 0.9970667, COVERAGE_ITEM: 0.2342255, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1172003, SHANNON_ENTROPY: 9.2312194, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 7, 'WEIGHTED_AVG_ITEM': 0.918688676535983, 'S_PURE_SVD': 0.31317294889587316, 'S_IALS': 0.2051996794043734, 'USER_CBF_CF': 0.3831551000928226, 'USER_CF': 0.7348577041568084} - results: ROC_AUC: 0.1353029, PRECISION: 0.0229330, PRECISION_RECALL_MIN_DEN: 0.0764435, RECALL: 0.0764435, MAP: 0.0381929, MRR: 0.1053150, NDCG: 0.0644678, F1: 0.0352816, HIT_RATE: 0.2293304, ARHR: 0.1098451, RMSE: 2.8784085, NOVELTY: 0.0057920, AVERAGE_POPULARITY: 0.3789946, DIVERSITY_MEAN_INTER_LIST: 0.9772385, DIVERSITY_HERFINDAHL: 0.9977191, COVERAGE_ITEM: 0.3994052, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1208653, SHANNON_ENTROPY: 9.8303670, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.6709335638778121, 'S_PURE_SVD': 0.8578964801217029, 'S_IALS': 0.15621511781054123, 'USER_CBF_CF': 0.1428960186729761, 'USER_CF': 0.5510003846810315} - results: ROC_AUC: 0.1488700, PRECISION: 0.0232657, PRECISION_RECALL_MIN_DEN: 0.0775523, RECALL: 0.0775523, MAP: 0.0397722, MRR: 0.1067169, NDCG: 0.0662628, F1: 0.0357934, HIT_RATE: 0.2326568, ARHR: 0.1128522, RMSE: 2.8784085, NOVELTY: 0.0056221, AVERAGE_POPULARITY: 0.3894069, DIVERSITY_MEAN_INTER_LIST: 0.9758858, DIVERSITY_HERFINDAHL: 0.9975839, COVERAGE_ITEM: 0.4062720, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1014899, SHANNON_ENTROPY: 9.5720675, 
SearchBayesianSkoptObject: New best config found. Config 7: {'strategy': 'weighted_count', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.8521021693436528, 'S_PURE_SVD': 0.07793201334599477, 'S_IALS': 0.5902467536742008, 'USER_CBF_CF': 0.4845418307368051, 'USER_CF': 0.5481481132089361} - results: ROC_AUC: 0.1568484, PRECISION: 0.0265150, PRECISION_RECALL_MIN_DEN: 0.0883832, RECALL: 0.0883832, MAP: 0.0428721, MRR: 0.1140210, NDCG: 0.0726564, F1: 0.0407923, HIT_RATE: 0.2651497, ARHR: 0.1211343, RMSE: 2.8784085, NOVELTY: 0.0056535, AVERAGE_POPULARITY: 0.4612222, DIVERSITY_MEAN_INTER_LIST: 0.9520726, DIVERSITY_HERFINDAHL: 0.9952027, COVERAGE_ITEM: 0.4771560, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1061324, SHANNON_ENTROPY: 9.4116490, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 2, 'WEIGHTED_AVG_ITEM': 0.9403743831646597, 'S_PURE_SVD': 0.5472883200685608, 'S_IALS': 0.46845181267553404, 'USER_CBF_CF': 0.9311873697224301, 'USER_CF': 0.3537518068672964} - results: ROC_AUC: 0.1531923, PRECISION: 0.0258256, PRECISION_RECALL_MIN_DEN: 0.0860853, RECALL: 0.0860853, MAP: 0.0423778, MRR: 0.1133228, NDCG: 0.0714767, F1: 0.0397317, HIT_RATE: 0.2582558, ARHR: 0.1200540, RMSE: 2.8784085, NOVELTY: 0.0057117, AVERAGE_POPULARITY: 0.4156963, DIVERSITY_MEAN_INTER_LIST: 0.9699161, DIVERSITY_HERFINDAHL: 0.9969869, COVERAGE_ITEM: 0.3915112, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1128186, SHANNON_ENTROPY: 9.5969165, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.6870044626116053, 'S_PURE_SVD': 0.6743007913929557, 'S_IALS': 0.9078777488640619, 'USER_CBF_CF': 0.15125258900176855, 'USER_CF': 0.6092592830228859} - results: ROC_AUC: 0.1436716, PRECISION: 0.0240226, PRECISION_RECALL_MIN_DEN: 0.0800752, RECALL: 0.0800752, MAP: 0.0399378, MRR: 0.1092573, NDCG: 0.0673912, F1: 0.0369578, HIT_RATE: 0.2402256, ARHR: 0.1144343, RMSE: 2.8784085, NOVELTY: 0.0057243, AVERAGE_POPULARITY: 0.3874956, DIVERSITY_MEAN_INTER_LIST: 0.9764642, DIVERSITY_HERFINDAHL: 0.9976417, COVERAGE_ITEM: 0.3038118, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1235301, SHANNON_ENTROPY: 9.6311389, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_count', 'multiplier_cutoff': 9, 'WEIGHTED_AVG_ITEM': 0.801641436329672, 'S_PURE_SVD': 0.9659626456876537, 'S_IALS': 0.4501430468557749, 'USER_CBF_CF': 0.28599064714819117, 'USER_CF': 0.24079406943567178} - results: ROC_AUC: 0.1271637, PRECISION: 0.0206528, PRECISION_RECALL_MIN_DEN: 0.0688425, RECALL: 0.0688425, MAP: 0.0361302, MRR: 0.1011426, NDCG: 0.0601333, F1: 0.0317735, HIT_RATE: 0.2065275, ARHR: 0.1046922, RMSE: 2.8784085, NOVELTY: 0.0057758, AVERAGE_POPULARITY: 0.3604248, DIVERSITY_MEAN_INTER_LIST: 0.9802428, DIVERSITY_HERFINDAHL: 0.9980196, COVERAGE_ITEM: 0.3742633, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1191872, SHANNON_ENTROPY: 9.8521227, 
