SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.47426207386909525, 'S_PURE_SVD': 0.3923296564879035, 'S_IALS': 0.32079556854741037, 'USER_CBF_CF': 0.3997561043812782, 'USER_CF': 0.8047255067275676} - results: ROC_AUC: 0.1547111, PRECISION: 0.0252808, PRECISION_RECALL_MIN_DEN: 0.0842694, RECALL: 0.0842694, MAP: 0.0425627, MRR: 0.1136607, NDCG: 0.0711294, F1: 0.0388936, HIT_RATE: 0.2528082, ARHR: 0.1205020, RMSE: 2.8784085, NOVELTY: 0.0055604, AVERAGE_POPULARITY: 0.4817330, DIVERSITY_MEAN_INTER_LIST: 0.9548027, DIVERSITY_HERFINDAHL: 0.9954757, COVERAGE_ITEM: 0.3054339, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0959721, SHANNON_ENTROPY: 8.9911980, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.7198709178329084, 'S_PURE_SVD': 0.5842341411682697, 'S_IALS': 0.682971578712798, 'USER_CBF_CF': 0.3902141150546916, 'USER_CF': 0.9640413998850402} - results: ROC_AUC: 0.1553566, PRECISION: 0.0255122, PRECISION_RECALL_MIN_DEN: 0.0850407, RECALL: 0.0850407, MAP: 0.0427522, MRR: 0.1139924, NDCG: 0.0715467, F1: 0.0392496, HIT_RATE: 0.2551222, ARHR: 0.1209608, RMSE: 2.8784085, NOVELTY: 0.0056295, AVERAGE_POPULARITY: 0.4431227, DIVERSITY_MEAN_INTER_LIST: 0.9653856, DIVERSITY_HERFINDAHL: 0.9965339, COVERAGE_ITEM: 0.3058124, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1063770, SHANNON_ENTROPY: 9.2715199, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 6, 'WEIGHTED_AVG_ITEM': 0.07169757573237935, 'S_PURE_SVD': 0.9428322160844669, 'S_IALS': 0.5137088137927083, 'USER_CBF_CF': 0.7986349381327917, 'USER_CF': 0.3875662601773209} - results: ROC_AUC: 0.1464287, PRECISION: 0.0239888, PRECISION_RECALL_MIN_DEN: 0.0799627, RECALL: 0.0799627, MAP: 0.0401264, MRR: 0.1075285, NDCG: 0.0672712, F1: 0.0369059, HIT_RATE: 0.2398882, ARHR: 0.1137877, RMSE: 2.8784085, NOVELTY: 0.0055683, AVERAGE_POPULARITY: 0.4530470, DIVERSITY_MEAN_INTER_LIST: 0.9645977, DIVERSITY_HERFINDAHL: 0.9964551, COVERAGE_ITEM: 0.2486618, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1032667, SHANNON_ENTROPY: 9.0565314, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'weighted_rank', 'multiplier_cutoff': 3, 'WEIGHTED_AVG_ITEM': 0.6755340224526726, 'S_PURE_SVD': 0.5666413470734074, 'S_IALS': 0.641525090592622, 'USER_CBF_CF': 0.3477285268510701, 'USER_CF': 0.022730157473104032} - results: ROC_AUC: 0.1588965, PRECISION: 0.0264957, PRECISION_RECALL_MIN_DEN: 0.0883190, RECALL: 0.0883190, MAP: 0.0433925, MRR: 0.1152187, NDCG: 0.0731728, F1: 0.0407626, HIT_RATE: 0.2649569, ARHR: 0.1225186, RMSE: 2.8784085, NOVELTY: 0.0058083, AVERAGE_POPULARITY: 0.3567633, DIVERSITY_MEAN_INTER_LIST: 0.9803189, DIVERSITY_HERFINDAHL: 0.9980272, COVERAGE_ITEM: 0.4008110, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1260512, SHANNON_ENTROPY: 9.9876282, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.1699898283840178, 'S_PURE_SVD': 0.7637570455885507, 'S_IALS': 0.6695171860314942, 'USER_CBF_CF': 0.5957823907710408, 'USER_CF': 0.5186174632070616} - results: ROC_AUC: 0.1492152, PRECISION: 0.0245047, PRECISION_RECALL_MIN_DEN: 0.0816822, RECALL: 0.0816822, MAP: 0.0408256, MRR: 0.1091994, NDCG: 0.0685222, F1: 0.0376995, HIT_RATE: 0.2450465, ARHR: 0.1156709, RMSE: 2.8784085, NOVELTY: 0.0055934, AVERAGE_POPULARITY: 0.4467946, DIVERSITY_MEAN_INTER_LIST: 0.9658116, DIVERSITY_HERFINDAHL: 0.9965765, COVERAGE_ITEM: 0.2529873, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1087786, SHANNON_ENTROPY: 9.1508878, 
SearchBayesianSkoptObject: New best config found. Config 5: {'strategy': 'weighted_rank', 'multiplier_cutoff': 7, 'WEIGHTED_AVG_ITEM': 0.918688676535983, 'S_PURE_SVD': 0.31317294889587316, 'S_IALS': 0.2051996794043734, 'USER_CBF_CF': 0.3831551000928226, 'USER_CF': 0.7348577041568084} - results: ROC_AUC: 0.1585348, PRECISION: 0.0261823, PRECISION_RECALL_MIN_DEN: 0.0872744, RECALL: 0.0872744, MAP: 0.0435024, MRR: 0.1157655, NDCG: 0.0729972, F1: 0.0402805, HIT_RATE: 0.2618233, ARHR: 0.1229528, RMSE: 2.8784085, NOVELTY: 0.0057034, AVERAGE_POPULARITY: 0.4245786, DIVERSITY_MEAN_INTER_LIST: 0.9679002, DIVERSITY_HERFINDAHL: 0.9967854, COVERAGE_ITEM: 0.3822655, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1111090, SHANNON_ENTROPY: 9.5181063, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.6709335638778121, 'S_PURE_SVD': 0.8578964801217029, 'S_IALS': 0.15621511781054123, 'USER_CBF_CF': 0.1428960186729761, 'USER_CF': 0.5510003846810315} - results: ROC_AUC: 0.1567822, PRECISION: 0.0260522, PRECISION_RECALL_MIN_DEN: 0.0868405, RECALL: 0.0868405, MAP: 0.0428297, MRR: 0.1140161, NDCG: 0.0721574, F1: 0.0400802, HIT_RATE: 0.2605216, ARHR: 0.1210755, RMSE: 2.8784085, NOVELTY: 0.0056510, AVERAGE_POPULARITY: 0.4205410, DIVERSITY_MEAN_INTER_LIST: 0.9687983, DIVERSITY_HERFINDAHL: 0.9968752, COVERAGE_ITEM: 0.5020816, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1077246, SHANNON_ENTROPY: 9.6644356, 
SearchBayesianSkoptObject: New best config found. Config 7: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'WEIGHTED_AVG_ITEM': 0.8521021693436528, 'S_PURE_SVD': 0.07793201334599477, 'S_IALS': 0.5902467536742008, 'USER_CBF_CF': 0.4845418307368051, 'USER_CF': 0.5481481132089361} - results: ROC_AUC: 0.1639918, PRECISION: 0.0272767, PRECISION_RECALL_MIN_DEN: 0.0909222, RECALL: 0.0909222, MAP: 0.0451495, MRR: 0.1197219, NDCG: 0.0757818, F1: 0.0419641, HIT_RATE: 0.2727667, ARHR: 0.1273865, RMSE: 2.8784085, NOVELTY: 0.0057535, AVERAGE_POPULARITY: 0.4247042, DIVERSITY_MEAN_INTER_LIST: 0.9608613, DIVERSITY_HERFINDAHL: 0.9960815, COVERAGE_ITEM: 0.5339822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1240342, SHANNON_ENTROPY: 9.8091893, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'WEIGHTED_AVG_ITEM': 0.9403743831646597, 'S_PURE_SVD': 0.5472883200685608, 'S_IALS': 0.46845181267553404, 'USER_CBF_CF': 0.9311873697224301, 'USER_CF': 0.3537518068672964} - results: ROC_AUC: 0.1610316, PRECISION: 0.0269633, PRECISION_RECALL_MIN_DEN: 0.0898777, RECALL: 0.0898777, MAP: 0.0442007, MRR: 0.1173657, NDCG: 0.0744850, F1: 0.0414820, HIT_RATE: 0.2696331, ARHR: 0.1247901, RMSE: 2.8784085, NOVELTY: 0.0056655, AVERAGE_POPULARITY: 0.4483228, DIVERSITY_MEAN_INTER_LIST: 0.9591235, DIVERSITY_HERFINDAHL: 0.9959077, COVERAGE_ITEM: 0.4153555, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1073677, SHANNON_ENTROPY: 9.4289424, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'WEIGHTED_AVG_ITEM': 0.6870044626116053, 'S_PURE_SVD': 0.6743007913929557, 'S_IALS': 0.9078777488640619, 'USER_CBF_CF': 0.15125258900176855, 'USER_CF': 0.6092592830228859} - results: ROC_AUC: 0.1555674, PRECISION: 0.0255797, PRECISION_RECALL_MIN_DEN: 0.0852657, RECALL: 0.0852657, MAP: 0.0426196, MRR: 0.1135363, NDCG: 0.0714696, F1: 0.0393534, HIT_RATE: 0.2557971, ARHR: 0.1205206, RMSE: 2.8784085, NOVELTY: 0.0057216, AVERAGE_POPULARITY: 0.3912138, DIVERSITY_MEAN_INTER_LIST: 0.9757461, DIVERSITY_HERFINDAHL: 0.9975699, COVERAGE_ITEM: 0.3015410, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1235784, SHANNON_ENTROPY: 9.6233807, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'WEIGHTED_AVG_ITEM': 0.801641436329672, 'S_PURE_SVD': 0.9659626456876537, 'S_IALS': 0.4501430468557749, 'USER_CBF_CF': 0.28599064714819117, 'USER_CF': 0.24079406943567178} - results: ROC_AUC: 0.1521443, PRECISION: 0.0251217, PRECISION_RECALL_MIN_DEN: 0.0837391, RECALL: 0.0837391, MAP: 0.0417392, MRR: 0.1112748, NDCG: 0.0700640, F1: 0.0386488, HIT_RATE: 0.2512173, ARHR: 0.1180777, RMSE: 2.8784085, NOVELTY: 0.0057390, AVERAGE_POPULARITY: 0.3689737, DIVERSITY_MEAN_INTER_LIST: 0.9783664, DIVERSITY_HERFINDAHL: 0.9978319, COVERAGE_ITEM: 0.4127061, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1119086, SHANNON_ENTROPY: 9.7944722, 
SearchBayesianSkoptObject: Config 11 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 3, 'WEIGHTED_AVG_ITEM': 0.5998278891185965, 'S_PURE_SVD': 0.6842610921313181, 'S_IALS': 0.2473259823742769, 'USER_CBF_CF': 0.6604659042962128, 'USER_CF': 0.9213789165729998} - results: ROC_AUC: 0.1544650, PRECISION: 0.0254110, PRECISION_RECALL_MIN_DEN: 0.0847033, RECALL: 0.0847033, MAP: 0.0424645, MRR: 0.1132791, NDCG: 0.0711387, F1: 0.0390938, HIT_RATE: 0.2541098, ARHR: 0.1201647, RMSE: 2.8784085, NOVELTY: 0.0055120, AVERAGE_POPULARITY: 0.5139411, DIVERSITY_MEAN_INTER_LIST: 0.9406056, DIVERSITY_HERFINDAHL: 0.9940560, COVERAGE_ITEM: 0.3285753, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0882345, SHANNON_ENTROPY: 8.7806112, 
