SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 46, 'USER_CF': 50, 'ITEM_CBF_NUM': 35, 'ITEM_CBF_CAT': 14} - results: ROC_AUC: 0.0834990, PRECISION: 0.0123271, PRECISION_RECALL_MIN_DEN: 0.0410902, RECALL: 0.0410902, MAP: 0.0218180, MRR: 0.0608785, NDCG: 0.0363262, F1: 0.0189647, HIT_RATE: 0.1232705, ARHR: 0.0631392, RMSE: nan, NOVELTY: 0.0064536, AVERAGE_POPULARITY: 0.3203779, DIVERSITY_MEAN_INTER_LIST: 0.9313065, DIVERSITY_HERFINDAHL: 0.9931262, COVERAGE_ITEM: 0.5151122, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1179389, SHANNON_ENTROPY: 9.2554494, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'ITEM_CF': 85, 'USER_CF': 58, 'ITEM_CBF_NUM': 44, 'ITEM_CBF_CAT': 11} - results: ROC_AUC: 0.0913185, PRECISION: 0.0139710, PRECISION_RECALL_MIN_DEN: 0.0465699, RECALL: 0.0465699, MAP: 0.0239983, MRR: 0.0660816, NDCG: 0.0402158, F1: 0.0214938, HIT_RATE: 0.1397098, ARHR: 0.0689855, RMSE: nan, NOVELTY: 0.0065707, AVERAGE_POPULARITY: 0.2975593, DIVERSITY_MEAN_INTER_LIST: 0.9360704, DIVERSITY_HERFINDAHL: 0.9936025, COVERAGE_ITEM: 0.5273317, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1262897, SHANNON_ENTROPY: 9.4484584, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 4, 'ITEM_CF': 77, 'USER_CF': 5, 'ITEM_CBF_NUM': 26, 'ITEM_CBF_CAT': 95} - results: ROC_AUC: 0.0540653, PRECISION: 0.0093284, PRECISION_RECALL_MIN_DEN: 0.0310948, RECALL: 0.0310948, MAP: 0.0133928, MRR: 0.0372580, NDCG: 0.0240957, F1: 0.0143515, HIT_RATE: 0.0932845, ARHR: 0.0386911, RMSE: nan, NOVELTY: 0.0065308, AVERAGE_POPULARITY: 0.1095867, DIVERSITY_MEAN_INTER_LIST: 0.9483490, DIVERSITY_HERFINDAHL: 0.9948303, COVERAGE_ITEM: 0.7701541, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2364770, SHANNON_ENTROPY: 11.0130968, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 62, 'USER_CF': 1, 'ITEM_CBF_NUM': 51, 'ITEM_CBF_CAT': 100} - results: ROC_AUC: 0.0466607, PRECISION: 0.0074531, PRECISION_RECALL_MIN_DEN: 0.0248437, RECALL: 0.0248437, MAP: 0.0120791, MRR: 0.0343362, NDCG: 0.0208372, F1: 0.0114663, HIT_RATE: 0.0745312, ARHR: 0.0352843, RMSE: nan, NOVELTY: 0.0062456, AVERAGE_POPULARITY: 0.1328111, DIVERSITY_MEAN_INTER_LIST: 0.9477647, DIVERSITY_HERFINDAHL: 0.9947719, COVERAGE_ITEM: 0.7675047, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2338968, SHANNON_ENTROPY: 10.9738812, 
SearchBayesianSkoptObject: New best config found. Config 4: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 77, 'USER_CF': 21, 'ITEM_CBF_NUM': 27, 'ITEM_CBF_CAT': 21} - results: ROC_AUC: 0.0892163, PRECISION: 0.0131080, PRECISION_RECALL_MIN_DEN: 0.0436935, RECALL: 0.0436935, MAP: 0.0241153, MRR: 0.0666257, NDCG: 0.0394515, F1: 0.0201662, HIT_RATE: 0.1310804, ARHR: 0.0694285, RMSE: nan, NOVELTY: 0.0066347, AVERAGE_POPULARITY: 0.2253778, DIVERSITY_MEAN_INTER_LIST: 0.9426440, DIVERSITY_HERFINDAHL: 0.9942599, COVERAGE_ITEM: 0.6315761, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1628324, SHANNON_ENTROPY: 10.1048115, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 0, 'USER_CF': 0, 'ITEM_CBF_NUM': 100, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0102059, PRECISION: 0.0021308, PRECISION_RECALL_MIN_DEN: 0.0071028, RECALL: 0.0071028, MAP: 0.0020063, MRR: 0.0059120, NDCG: 0.0044407, F1: 0.0032782, HIT_RATE: 0.0213084, ARHR: 0.0059654, RMSE: nan, NOVELTY: 0.0066686, AVERAGE_POPULARITY: 0.2354710, DIVERSITY_MEAN_INTER_LIST: 0.9357961, DIVERSITY_HERFINDAHL: 0.9935751, COVERAGE_ITEM: 0.5131657, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1462166, SHANNON_ENTROPY: 9.6301345, 
SearchBayesianSkoptObject: New best config found. Config 6: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0964476, PRECISION: 0.0159958, PRECISION_RECALL_MIN_DEN: 0.0533192, RECALL: 0.0533192, MAP: 0.0246766, MRR: 0.0670846, NDCG: 0.0429251, F1: 0.0246089, HIT_RATE: 0.1599576, ARHR: 0.0704807, RMSE: nan, NOVELTY: 0.0064077, AVERAGE_POPULARITY: 0.3795812, DIVERSITY_MEAN_INTER_LIST: 0.9086843, DIVERSITY_HERFINDAHL: 0.9908640, COVERAGE_ITEM: 0.4193566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0942809, SHANNON_ENTROPY: 8.6208754, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 100, 'USER_CF': 0, 'ITEM_CBF_NUM': 100, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0597825, PRECISION: 0.0083980, PRECISION_RECALL_MIN_DEN: 0.0279934, RECALL: 0.0279934, MAP: 0.0158832, MRR: 0.0460050, NDCG: 0.0260845, F1: 0.0129200, HIT_RATE: 0.0839801, ARHR: 0.0468232, RMSE: nan, NOVELTY: 0.0066742, AVERAGE_POPULARITY: 0.2392905, DIVERSITY_MEAN_INTER_LIST: 0.9389262, DIVERSITY_HERFINDAHL: 0.9938881, COVERAGE_ITEM: 0.5262503, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1459748, SHANNON_ENTROPY: 9.7283235, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 0, 'USER_CF': 12, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0763238, PRECISION: 0.0124910, PRECISION_RECALL_MIN_DEN: 0.0416365, RECALL: 0.0416365, MAP: 0.0198942, MRR: 0.0552094, NDCG: 0.0343288, F1: 0.0192169, HIT_RATE: 0.1249096, ARHR: 0.0574097, RMSE: nan, NOVELTY: 0.0057450, AVERAGE_POPULARITY: 0.5574342, DIVERSITY_MEAN_INTER_LIST: 0.8463215, DIVERSITY_HERFINDAHL: 0.9846281, COVERAGE_ITEM: 0.1586375, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0462163, SHANNON_ENTROPY: 6.8784737, 
SearchBayesianSkoptObject: New best config found. Config 9: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 92, 'USER_CF': 7, 'ITEM_CBF_NUM': 3, 'ITEM_CBF_CAT': 1} - results: ROC_AUC: 0.0993664, PRECISION: 0.0158077, PRECISION_RECALL_MIN_DEN: 0.0526925, RECALL: 0.0526925, MAP: 0.0263092, MRR: 0.0713591, NDCG: 0.0443979, F1: 0.0243196, HIT_RATE: 0.1580774, ARHR: 0.0750521, RMSE: nan, NOVELTY: 0.0068739, AVERAGE_POPULARITY: 0.2078475, DIVERSITY_MEAN_INTER_LIST: 0.9440933, DIVERSITY_HERFINDAHL: 0.9944048, COVERAGE_ITEM: 0.5424709, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1562434, SHANNON_ENTROPY: 10.0314767, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 99, 'USER_CF': 5, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 90} - results: ROC_AUC: 0.0816850, PRECISION: 0.0138360, PRECISION_RECALL_MIN_DEN: 0.0461200, RECALL: 0.0461200, MAP: 0.0228435, MRR: 0.0632577, NDCG: 0.0387355, F1: 0.0212861, HIT_RATE: 0.1383599, ARHR: 0.0658347, RMSE: nan, NOVELTY: 0.0066217, AVERAGE_POPULARITY: 0.1732017, DIVERSITY_MEAN_INTER_LIST: 0.9453182, DIVERSITY_HERFINDAHL: 0.9945273, COVERAGE_ITEM: 0.6317924, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1908781, SHANNON_ENTROPY: 10.4527155, 
