SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 46, 'USER_CF': 50, 'ITEM_CBF_NUM': 35, 'ITEM_CBF_CAT': 14} - results: ROC_AUC: 0.0768568, PRECISION: 0.0122644, PRECISION_RECALL_MIN_DEN: 0.0408813, RECALL: 0.0408813, MAP: 0.0201544, MRR: 0.0558496, NDCG: 0.0343600, F1: 0.0188683, HIT_RATE: 0.1226438, ARHR: 0.0581150, RMSE: nan, NOVELTY: 0.0059987, AVERAGE_POPULARITY: 0.5048963, DIVERSITY_MEAN_INTER_LIST: 0.8694638, DIVERSITY_HERFINDAHL: 0.9869422, COVERAGE_ITEM: 0.2122736, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0533088, SHANNON_ENTROPY: 7.3170954, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 7, 'ITEM_CF': 85, 'USER_CF': 58, 'ITEM_CBF_NUM': 44, 'ITEM_CBF_CAT': 11} - results: ROC_AUC: 0.0758730, PRECISION: 0.0120523, PRECISION_RECALL_MIN_DEN: 0.0401742, RECALL: 0.0401742, MAP: 0.0201397, MRR: 0.0556654, NDCG: 0.0340864, F1: 0.0185419, HIT_RATE: 0.1205226, ARHR: 0.0579924, RMSE: nan, NOVELTY: 0.0060645, AVERAGE_POPULARITY: 0.4679209, DIVERSITY_MEAN_INTER_LIST: 0.8962558, DIVERSITY_HERFINDAHL: 0.9896213, COVERAGE_ITEM: 0.2324953, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0579012, SHANNON_ENTROPY: 7.6507906, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 4, 'ITEM_CF': 77, 'USER_CF': 5, 'ITEM_CBF_NUM': 26, 'ITEM_CBF_CAT': 95} - results: ROC_AUC: 0.0647996, PRECISION: 0.0096370, PRECISION_RECALL_MIN_DEN: 0.0321233, RECALL: 0.0321233, MAP: 0.0175806, MRR: 0.0486031, NDCG: 0.0288342, F1: 0.0148261, HIT_RATE: 0.0963699, ARHR: 0.0506401, RMSE: nan, NOVELTY: 0.0065292, AVERAGE_POPULARITY: 0.3029102, DIVERSITY_MEAN_INTER_LIST: 0.9348809, DIVERSITY_HERFINDAHL: 0.9934836, COVERAGE_ITEM: 0.4824547, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1150247, SHANNON_ENTROPY: 9.2668884, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 62, 'USER_CF': 1, 'ITEM_CBF_NUM': 51, 'ITEM_CBF_CAT': 100} - results: ROC_AUC: 0.0467909, PRECISION: 0.0068746, PRECISION_RECALL_MIN_DEN: 0.0229154, RECALL: 0.0229154, MAP: 0.0125480, MRR: 0.0354783, NDCG: 0.0207030, F1: 0.0105763, HIT_RATE: 0.0687461, ARHR: 0.0365431, RMSE: nan, NOVELTY: 0.0063990, AVERAGE_POPULARITY: 0.2730201, DIVERSITY_MEAN_INTER_LIST: 0.9377426, DIVERSITY_HERFINDAHL: 0.9937697, COVERAGE_ITEM: 0.5022979, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1424458, SHANNON_ENTROPY: 9.6382217, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 77, 'USER_CF': 21, 'ITEM_CBF_NUM': 27, 'ITEM_CBF_CAT': 21} - results: ROC_AUC: 0.0752114, PRECISION: 0.0114063, PRECISION_RECALL_MIN_DEN: 0.0380209, RECALL: 0.0380209, MAP: 0.0200997, MRR: 0.0557415, NDCG: 0.0334142, F1: 0.0175481, HIT_RATE: 0.1140626, ARHR: 0.0579792, RMSE: nan, NOVELTY: 0.0060756, AVERAGE_POPULARITY: 0.4708162, DIVERSITY_MEAN_INTER_LIST: 0.8864620, DIVERSITY_HERFINDAHL: 0.9886419, COVERAGE_ITEM: 0.2716951, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0623806, SHANNON_ENTROPY: 7.7169615, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 0, 'USER_CF': 100, 'ITEM_CBF_NUM': 100, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0701183, PRECISION: 0.0110350, PRECISION_RECALL_MIN_DEN: 0.0367835, RECALL: 0.0367835, MAP: 0.0182045, MRR: 0.0506754, NDCG: 0.0310420, F1: 0.0169770, HIT_RATE: 0.1103505, ARHR: 0.0526057, RMSE: nan, NOVELTY: 0.0061030, AVERAGE_POPULARITY: 0.4591880, DIVERSITY_MEAN_INTER_LIST: 0.9003045, DIVERSITY_HERFINDAHL: 0.9900261, COVERAGE_ITEM: 0.2423358, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0604946, SHANNON_ENTROPY: 7.7491584, 
SearchBayesianSkoptObject: New best config found. Config 6: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0782254, PRECISION: 0.0123126, PRECISION_RECALL_MIN_DEN: 0.0410420, RECALL: 0.0410420, MAP: 0.0204949, MRR: 0.0568861, NDCG: 0.0347978, F1: 0.0189424, HIT_RATE: 0.1231259, ARHR: 0.0591462, RMSE: nan, NOVELTY: 0.0059673, AVERAGE_POPULARITY: 0.5396689, DIVERSITY_MEAN_INTER_LIST: 0.8475565, DIVERSITY_HERFINDAHL: 0.9847516, COVERAGE_ITEM: 0.1511219, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0476015, SHANNON_ENTROPY: 6.8885373, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 0, 'USER_CF': 7, 'ITEM_CBF_NUM': 9, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0690556, PRECISION: 0.0110158, PRECISION_RECALL_MIN_DEN: 0.0367192, RECALL: 0.0367192, MAP: 0.0180542, MRR: 0.0500953, NDCG: 0.0308267, F1: 0.0169473, HIT_RATE: 0.1101576, ARHR: 0.0520926, RMSE: nan, NOVELTY: 0.0060648, AVERAGE_POPULARITY: 0.4665412, DIVERSITY_MEAN_INTER_LIST: 0.8894711, DIVERSITY_HERFINDAHL: 0.9889428, COVERAGE_ITEM: 0.2774263, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0628977, SHANNON_ENTROPY: 7.7573015, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 8, 'USER_CF': 96, 'ITEM_CBF_NUM': 98, 'ITEM_CBF_CAT': 100} - results: ROC_AUC: 0.0718972, PRECISION: 0.0114593, PRECISION_RECALL_MIN_DEN: 0.0381976, RECALL: 0.0381976, MAP: 0.0188501, MRR: 0.0523091, NDCG: 0.0321366, F1: 0.0176297, HIT_RATE: 0.1145929, ARHR: 0.0543930, RMSE: nan, NOVELTY: 0.0060346, AVERAGE_POPULARITY: 0.4906075, DIVERSITY_MEAN_INTER_LIST: 0.8762788, DIVERSITY_HERFINDAHL: 0.9876237, COVERAGE_ITEM: 0.2424980, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0577688, SHANNON_ENTROPY: 7.5057039, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 3, 'USER_CF': 92, 'ITEM_CBF_NUM': 12, 'ITEM_CBF_CAT': 1} - results: ROC_AUC: 0.0758074, PRECISION: 0.0122403, PRECISION_RECALL_MIN_DEN: 0.0408009, RECALL: 0.0408009, MAP: 0.0198168, MRR: 0.0550417, NDCG: 0.0339932, F1: 0.0188312, HIT_RATE: 0.1224027, ARHR: 0.0572088, RMSE: nan, NOVELTY: 0.0059963, AVERAGE_POPULARITY: 0.5289939, DIVERSITY_MEAN_INTER_LIST: 0.8577616, DIVERSITY_HERFINDAHL: 0.9857720, COVERAGE_ITEM: 0.1652879, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0476874, SHANNON_ENTROPY: 7.0086026, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 99, 'USER_CF': 4, 'ITEM_CBF_NUM': 90, 'ITEM_CBF_CAT': 3} - results: ROC_AUC: 0.0493634, PRECISION: 0.0071060, PRECISION_RECALL_MIN_DEN: 0.0236867, RECALL: 0.0236867, MAP: 0.0132411, MRR: 0.0374154, NDCG: 0.0216925, F1: 0.0109323, HIT_RATE: 0.0710601, ARHR: 0.0385513, RMSE: nan, NOVELTY: 0.0066101, AVERAGE_POPULARITY: 0.2650033, DIVERSITY_MEAN_INTER_LIST: 0.9384754, DIVERSITY_HERFINDAHL: 0.9938430, COVERAGE_ITEM: 0.4960260, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1392047, SHANNON_ENTROPY: 9.5955688, 
