SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 2, 'ITEM_CF': 46, 'USER_CF': 50, 'ITEM_CBF_NUM': 35, 'ITEM_CBF_CAT': 14} - results: ROC_AUC: 0.0916234, PRECISION: 0.0156053, PRECISION_RECALL_MIN_DEN: 0.0520175, RECALL: 0.0520175, MAP: 0.0236814, MRR: 0.0646571, NDCG: 0.0414605, F1: 0.0240081, HIT_RATE: 0.1560526, ARHR: 0.0677950, RMSE: nan, NOVELTY: 0.0062926, AVERAGE_POPULARITY: 0.3991313, DIVERSITY_MEAN_INTER_LIST: 0.9057669, DIVERSITY_HERFINDAHL: 0.9905723, COVERAGE_ITEM: 0.3768045, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0876312, SHANNON_ENTROPY: 8.4302315, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 7, 'ITEM_CF': 85, 'USER_CF': 58, 'ITEM_CBF_NUM': 44, 'ITEM_CBF_CAT': 11} - results: ROC_AUC: 0.0858947, PRECISION: 0.0145495, PRECISION_RECALL_MIN_DEN: 0.0484983, RECALL: 0.0484983, MAP: 0.0215496, MRR: 0.0584470, NDCG: 0.0380865, F1: 0.0223838, HIT_RATE: 0.1454949, ARHR: 0.0614897, RMSE: nan, NOVELTY: 0.0066375, AVERAGE_POPULARITY: 0.2733203, DIVERSITY_MEAN_INTER_LIST: 0.9342122, DIVERSITY_HERFINDAHL: 0.9934167, COVERAGE_ITEM: 0.5229521, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1321997, SHANNON_ENTROPY: 9.5113685, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 4, 'ITEM_CF': 77, 'USER_CF': 5, 'ITEM_CBF_NUM': 26, 'ITEM_CBF_CAT': 95} - results: ROC_AUC: 0.0404539, PRECISION: 0.0085619, PRECISION_RECALL_MIN_DEN: 0.0285397, RECALL: 0.0285397, MAP: 0.0106545, MRR: 0.0301825, NDCG: 0.0203393, F1: 0.0131722, HIT_RATE: 0.0856192, ARHR: 0.0310703, RMSE: nan, NOVELTY: 0.0065009, AVERAGE_POPULARITY: 0.0982640, DIVERSITY_MEAN_INTER_LIST: 0.9391843, DIVERSITY_HERFINDAHL: 0.9939139, COVERAGE_ITEM: 0.6816437, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1974701, SHANNON_ENTROPY: 10.3979297, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CF': 62, 'USER_CF': 1, 'ITEM_CBF_NUM': 51, 'ITEM_CBF_CAT': 100} - results: ROC_AUC: 0.0395977, PRECISION: 0.0057079, PRECISION_RECALL_MIN_DEN: 0.0190265, RECALL: 0.0190265, MAP: 0.0100154, MRR: 0.0285144, NDCG: 0.0168374, F1: 0.0087815, HIT_RATE: 0.0570795, ARHR: 0.0292802, RMSE: nan, NOVELTY: 0.0066589, AVERAGE_POPULARITY: 0.0958124, DIVERSITY_MEAN_INTER_LIST: 0.9357942, DIVERSITY_HERFINDAHL: 0.9935749, COVERAGE_ITEM: 0.6679102, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1911225, SHANNON_ENTROPY: 10.2473141, 
SearchBayesianSkoptObject: New best config found. Config 4: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 77, 'USER_CF': 21, 'ITEM_CBF_NUM': 27, 'ITEM_CBF_CAT': 21} - results: ROC_AUC: 0.0980003, PRECISION: 0.0149062, PRECISION_RECALL_MIN_DEN: 0.0496874, RECALL: 0.0496874, MAP: 0.0254944, MRR: 0.0693004, NDCG: 0.0426739, F1: 0.0229327, HIT_RATE: 0.1490623, ARHR: 0.0728033, RMSE: nan, NOVELTY: 0.0068144, AVERAGE_POPULARITY: 0.2081742, DIVERSITY_MEAN_INTER_LIST: 0.9392081, DIVERSITY_HERFINDAHL: 0.9939163, COVERAGE_ITEM: 0.5412814, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1521611, SHANNON_ENTROPY: 9.9392398, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 0, 'USER_CF': 0, 'ITEM_CBF_NUM': 100, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0101952, PRECISION: 0.0021308, PRECISION_RECALL_MIN_DEN: 0.0071028, RECALL: 0.0071028, MAP: 0.0019977, MRR: 0.0058862, NDCG: 0.0044316, F1: 0.0032782, HIT_RATE: 0.0213084, ARHR: 0.0059397, RMSE: nan, NOVELTY: 0.0066687, AVERAGE_POPULARITY: 0.2354710, DIVERSITY_MEAN_INTER_LIST: 0.9357961, DIVERSITY_HERFINDAHL: 0.9935751, COVERAGE_ITEM: 0.5130035, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1462539, SHANNON_ENTROPY: 9.6301031, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 0, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0771367, PRECISION: 0.0124910, PRECISION_RECALL_MIN_DEN: 0.0416365, RECALL: 0.0416365, MAP: 0.0200786, MRR: 0.0556768, NDCG: 0.0345283, F1: 0.0192169, HIT_RATE: 0.1249096, ARHR: 0.0579200, RMSE: nan, NOVELTY: 0.0057071, AVERAGE_POPULARITY: 0.5581460, DIVERSITY_MEAN_INTER_LIST: 0.8460762, DIVERSITY_HERFINDAHL: 0.9846035, COVERAGE_ITEM: 0.1513923, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0471216, SHANNON_ENTROPY: 6.8703677, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 100, 'ITEM_CBF_CAT': 100} - results: ROC_AUC: 0.0813246, PRECISION: 0.0124042, PRECISION_RECALL_MIN_DEN: 0.0413473, RECALL: 0.0413473, MAP: 0.0217310, MRR: 0.0604861, NDCG: 0.0362324, F1: 0.0190834, HIT_RATE: 0.1240418, ARHR: 0.0628125, RMSE: nan, NOVELTY: 0.0063428, AVERAGE_POPULARITY: 0.2549962, DIVERSITY_MEAN_INTER_LIST: 0.9364123, DIVERSITY_HERFINDAHL: 0.9936367, COVERAGE_ITEM: 0.6277372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1521379, SHANNON_ENTROPY: 9.8254081, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'ITEM_CBF_NUM': 0, 'ITEM_CBF_CAT': 0} - results: ROC_AUC: 0.0968577, PRECISION: 0.0159861, PRECISION_RECALL_MIN_DEN: 0.0532871, RECALL: 0.0532871, MAP: 0.0250901, MRR: 0.0684262, NDCG: 0.0433645, F1: 0.0245940, HIT_RATE: 0.1598612, ARHR: 0.0717824, RMSE: nan, NOVELTY: 0.0063823, AVERAGE_POPULARITY: 0.3733495, DIVERSITY_MEAN_INTER_LIST: 0.9095105, DIVERSITY_HERFINDAHL: 0.9909467, COVERAGE_ITEM: 0.3987024, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0966990, SHANNON_ENTROPY: 8.6457390, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 2, 'USER_CF': 73, 'ITEM_CBF_NUM': 10, 'ITEM_CBF_CAT': 70} - results: ROC_AUC: 0.0643403, PRECISION: 0.0100998, PRECISION_RECALL_MIN_DEN: 0.0336660, RECALL: 0.0336660, MAP: 0.0168120, MRR: 0.0477125, NDCG: 0.0286946, F1: 0.0155381, HIT_RATE: 0.1009979, ARHR: 0.0490611, RMSE: nan, NOVELTY: 0.0060883, AVERAGE_POPULARITY: 0.2998631, DIVERSITY_MEAN_INTER_LIST: 0.9157897, DIVERSITY_HERFINDAHL: 0.9915746, COVERAGE_ITEM: 0.5624763, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1318389, SHANNON_ENTROPY: 9.1522433, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CF': 92, 'USER_CF': 35, 'ITEM_CBF_NUM': 23, 'ITEM_CBF_CAT': 93} - results: ROC_AUC: 0.0817455, PRECISION: 0.0141060, PRECISION_RECALL_MIN_DEN: 0.0470199, RECALL: 0.0470199, MAP: 0.0199626, MRR: 0.0541840, NDCG: 0.0359672, F1: 0.0217015, HIT_RATE: 0.1410596, ARHR: 0.0569982, RMSE: nan, NOVELTY: 0.0066107, AVERAGE_POPULARITY: 0.2435936, DIVERSITY_MEAN_INTER_LIST: 0.9379046, DIVERSITY_HERFINDAHL: 0.9937859, COVERAGE_ITEM: 0.5894566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1332335, SHANNON_ENTROPY: 9.6654329, 
