SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 4, 'ITEM_CF': 35, 'USER_CF': 7, 'SLIM_BPR': 74, 'P3ALPHA': 76, 'RP3BETA': 54} - results: ROC_AUC: 0.0979754, PRECISION: 0.0154703, PRECISION_RECALL_MIN_DEN: 0.0515676, RECALL: 0.0515676, MAP: 0.0258746, MRR: 0.0703464, NDCG: 0.0436242, F1: 0.0238004, HIT_RATE: 0.1547028, ARHR: 0.0739119, RMSE: nan, NOVELTY: 0.0067973, AVERAGE_POPULARITY: 0.2305988, DIVERSITY_MEAN_INTER_LIST: 0.9422509, DIVERSITY_HERFINDAHL: 0.9942205, COVERAGE_ITEM: 0.4974858, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1606937, SHANNON_ENTROPY: 9.9261998, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 4, 'ITEM_CF': 26, 'USER_CF': 1, 'SLIM_BPR': 28, 'P3ALPHA': 8, 'RP3BETA': 57} - results: ROC_AUC: 0.0985837, PRECISION: 0.0157210, PRECISION_RECALL_MIN_DEN: 0.0524032, RECALL: 0.0524032, MAP: 0.0259587, MRR: 0.0703734, NDCG: 0.0439476, F1: 0.0241861, HIT_RATE: 0.1572097, ARHR: 0.0740552, RMSE: nan, NOVELTY: 0.0067682, AVERAGE_POPULARITY: 0.2477103, DIVERSITY_MEAN_INTER_LIST: 0.9406030, DIVERSITY_HERFINDAHL: 0.9940558, COVERAGE_ITEM: 0.5344688, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1520323, SHANNON_ENTROPY: 9.8291045, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'ITEM_CF': 2, 'USER_CF': 25, 'SLIM_BPR': 27, 'P3ALPHA': 46, 'RP3BETA': 96} - results: ROC_AUC: 0.0982567, PRECISION: 0.0158801, PRECISION_RECALL_MIN_DEN: 0.0529335, RECALL: 0.0529335, MAP: 0.0258054, MRR: 0.0700762, NDCG: 0.0439663, F1: 0.0244309, HIT_RATE: 0.1588006, ARHR: 0.0736807, RMSE: nan, NOVELTY: 0.0066212, AVERAGE_POPULARITY: 0.2969470, DIVERSITY_MEAN_INTER_LIST: 0.9347211, DIVERSITY_HERFINDAHL: 0.9934676, COVERAGE_ITEM: 0.4111381, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1310021, SHANNON_ENTROPY: 9.3438698, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CF': 82, 'USER_CF': 50, 'SLIM_BPR': 43, 'P3ALPHA': 2, 'RP3BETA': 15} - results: ROC_AUC: 0.0988106, PRECISION: 0.0162561, PRECISION_RECALL_MIN_DEN: 0.0541870, RECALL: 0.0541870, MAP: 0.0260914, MRR: 0.0705634, NDCG: 0.0445930, F1: 0.0250094, HIT_RATE: 0.1625609, ARHR: 0.0743368, RMSE: nan, NOVELTY: 0.0066699, AVERAGE_POPULARITY: 0.2838336, DIVERSITY_MEAN_INTER_LIST: 0.9358813, DIVERSITY_HERFINDAHL: 0.9935836, COVERAGE_ITEM: 0.5211679, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1348997, SHANNON_ENTROPY: 9.5390376, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 2, 'ITEM_CF': 35, 'USER_CF': 94, 'SLIM_BPR': 89, 'P3ALPHA': 77, 'RP3BETA': 37} - results: ROC_AUC: 0.0971565, PRECISION: 0.0158704, PRECISION_RECALL_MIN_DEN: 0.0529014, RECALL: 0.0529014, MAP: 0.0255735, MRR: 0.0696131, NDCG: 0.0437203, F1: 0.0244160, HIT_RATE: 0.1587041, ARHR: 0.0730982, RMSE: nan, NOVELTY: 0.0064267, AVERAGE_POPULARITY: 0.3416166, DIVERSITY_MEAN_INTER_LIST: 0.9233967, DIVERSITY_HERFINDAHL: 0.9923352, COVERAGE_ITEM: 0.3939984, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1190795, SHANNON_ENTROPY: 9.0086493, 
SearchBayesianSkoptObject: New best config found. Config 5: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 99, 'USER_CF': 99, 'SLIM_BPR': 0, 'P3ALPHA': 86, 'RP3BETA': 53} - results: ROC_AUC: 0.1012131, PRECISION: 0.0165212, PRECISION_RECALL_MIN_DEN: 0.0550708, RECALL: 0.0550708, MAP: 0.0266255, MRR: 0.0720304, NDCG: 0.0454509, F1: 0.0254173, HIT_RATE: 0.1652124, ARHR: 0.0758663, RMSE: nan, NOVELTY: 0.0065572, AVERAGE_POPULARITY: 0.3127749, DIVERSITY_MEAN_INTER_LIST: 0.9314595, DIVERSITY_HERFINDAHL: 0.9931415, COVERAGE_ITEM: 0.4922952, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1198264, SHANNON_ENTROPY: 9.2749313, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 1, 'USER_CF': 96, 'SLIM_BPR': 98, 'P3ALPHA': 77, 'RP3BETA': 1} - results: ROC_AUC: 0.0935123, PRECISION: 0.0152823, PRECISION_RECALL_MIN_DEN: 0.0509409, RECALL: 0.0509409, MAP: 0.0245616, MRR: 0.0670327, NDCG: 0.0420606, F1: 0.0235112, HIT_RATE: 0.1528226, ARHR: 0.0703028, RMSE: nan, NOVELTY: 0.0062396, AVERAGE_POPULARITY: 0.3604369, DIVERSITY_MEAN_INTER_LIST: 0.9222722, DIVERSITY_HERFINDAHL: 0.9922228, COVERAGE_ITEM: 0.3699919, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1211687, SHANNON_ENTROPY: 8.9666945, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 100, 'SLIM_BPR': 0, 'P3ALPHA': 0, 'RP3BETA': 100} - results: ROC_AUC: 0.0992343, PRECISION: 0.0161982, PRECISION_RECALL_MIN_DEN: 0.0539941, RECALL: 0.0539941, MAP: 0.0256869, MRR: 0.0699098, NDCG: 0.0442073, F1: 0.0249204, HIT_RATE: 0.1619824, ARHR: 0.0734158, RMSE: nan, NOVELTY: 0.0064118, AVERAGE_POPULARITY: 0.3729526, DIVERSITY_MEAN_INTER_LIST: 0.9132197, DIVERSITY_HERFINDAHL: 0.9913176, COVERAGE_ITEM: 0.4268721, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0955331, SHANNON_ENTROPY: 8.6851956, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 98, 'USER_CF': 19, 'SLIM_BPR': 98, 'P3ALPHA': 1, 'RP3BETA': 28} - results: ROC_AUC: 0.0971612, PRECISION: 0.0156245, PRECISION_RECALL_MIN_DEN: 0.0520818, RECALL: 0.0520818, MAP: 0.0256951, MRR: 0.0696402, NDCG: 0.0435482, F1: 0.0240378, HIT_RATE: 0.1562455, ARHR: 0.0732867, RMSE: nan, NOVELTY: 0.0068299, AVERAGE_POPULARITY: 0.2261072, DIVERSITY_MEAN_INTER_LIST: 0.9425537, DIVERSITY_HERFINDAHL: 0.9942508, COVERAGE_ITEM: 0.5341984, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1626857, SHANNON_ENTROPY: 9.9861676, 
SearchBayesianSkoptObject: New best config found. Config 9: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 0, 'P3ALPHA': 100, 'RP3BETA': 0} - results: ROC_AUC: 0.1001075, PRECISION: 0.0156342, PRECISION_RECALL_MIN_DEN: 0.0521140, RECALL: 0.0521140, MAP: 0.0266981, MRR: 0.0725018, NDCG: 0.0446427, F1: 0.0240526, HIT_RATE: 0.1563419, ARHR: 0.0762144, RMSE: nan, NOVELTY: 0.0068107, AVERAGE_POPULARITY: 0.2151353, DIVERSITY_MEAN_INTER_LIST: 0.9419018, DIVERSITY_HERFINDAHL: 0.9941856, COVERAGE_ITEM: 0.5050014, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1528990, SHANNON_ENTROPY: 9.9322211, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'ITEM_CF': 100, 'USER_CF': 0, 'SLIM_BPR': 76, 'P3ALPHA': 98, 'RP3BETA': 91} - results: ROC_AUC: 0.1005633, PRECISION: 0.0160199, PRECISION_RECALL_MIN_DEN: 0.0533995, RECALL: 0.0533995, MAP: 0.0265505, MRR: 0.0720190, NDCG: 0.0448907, F1: 0.0246459, HIT_RATE: 0.1601986, ARHR: 0.0757594, RMSE: nan, NOVELTY: 0.0066239, AVERAGE_POPULARITY: 0.2359086, DIVERSITY_MEAN_INTER_LIST: 0.9413199, DIVERSITY_HERFINDAHL: 0.9941275, COVERAGE_ITEM: 0.5576102, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1672737, SHANNON_ENTROPY: 10.0484518, 
