SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 4, 'ITEM_CF': 73, 'USER_CF': 13, 'SLIM_BPR': 2, 'P3ALPHA': 44, 'RP3BETA': 99} - results: ROC_AUC: 0.0990025, PRECISION: 0.0155571, PRECISION_RECALL_MIN_DEN: 0.0518569, RECALL: 0.0518569, MAP: 0.0259495, MRR: 0.0702170, NDCG: 0.0437661, F1: 0.0239339, HIT_RATE: 0.1555706, ARHR: 0.0739537, RMSE: nan, NOVELTY: 0.0071242, AVERAGE_POPULARITY: 0.2107433, DIVERSITY_MEAN_INTER_LIST: 0.8697895, DIVERSITY_HERFINDAHL: 0.9869748, COVERAGE_ITEM: 0.3399838, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1113092, SHANNON_ENTROPY: 8.6469015, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 5, 'ITEM_CF': 30, 'USER_CF': 60, 'SLIM_BPR': 72, 'P3ALPHA': 7, 'RP3BETA': 27} - results: ROC_AUC: 0.0899828, PRECISION: 0.0143084, PRECISION_RECALL_MIN_DEN: 0.0476948, RECALL: 0.0476948, MAP: 0.0236314, MRR: 0.0644210, NDCG: 0.0400599, F1: 0.0220130, HIT_RATE: 0.1430844, ARHR: 0.0676049, RMSE: nan, NOVELTY: 0.0070699, AVERAGE_POPULARITY: 0.2316938, DIVERSITY_MEAN_INTER_LIST: 0.8942771, DIVERSITY_HERFINDAHL: 0.9894234, COVERAGE_ITEM: 0.3416058, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1125046, SHANNON_ENTROPY: 8.7375710, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 4, 'ITEM_CF': 16, 'USER_CF': 52, 'SLIM_BPR': 84, 'P3ALPHA': 24, 'RP3BETA': 93} - results: ROC_AUC: 0.0910974, PRECISION: 0.0144531, PRECISION_RECALL_MIN_DEN: 0.0481769, RECALL: 0.0481769, MAP: 0.0238714, MRR: 0.0650840, NDCG: 0.0404746, F1: 0.0222355, HIT_RATE: 0.1445307, ARHR: 0.0682974, RMSE: nan, NOVELTY: 0.0072078, AVERAGE_POPULARITY: 0.2203444, DIVERSITY_MEAN_INTER_LIST: 0.8288286, DIVERSITY_HERFINDAHL: 0.9828789, COVERAGE_ITEM: 0.2817518, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0951668, SHANNON_ENTROPY: 8.0699202, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 54, 'USER_CF': 57, 'SLIM_BPR': 91, 'P3ALPHA': 47, 'RP3BETA': 88} - results: ROC_AUC: 0.0962981, PRECISION: 0.0153642, PRECISION_RECALL_MIN_DEN: 0.0512141, RECALL: 0.0512141, MAP: 0.0252513, MRR: 0.0687031, NDCG: 0.0428702, F1: 0.0236373, HIT_RATE: 0.1536422, ARHR: 0.0721642, RMSE: nan, NOVELTY: 0.0067372, AVERAGE_POPULARITY: 0.2706986, DIVERSITY_MEAN_INTER_LIST: 0.8923080, DIVERSITY_HERFINDAHL: 0.9892265, COVERAGE_ITEM: 0.3512841, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1171391, SHANNON_ENTROPY: 8.7874497, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 8, 'ITEM_CF': 18, 'USER_CF': 41, 'SLIM_BPR': 74, 'P3ALPHA': 60, 'RP3BETA': 49} - results: ROC_AUC: 0.0908997, PRECISION: 0.0141686, PRECISION_RECALL_MIN_DEN: 0.0472288, RECALL: 0.0472288, MAP: 0.0239598, MRR: 0.0654138, NDCG: 0.0402877, F1: 0.0217979, HIT_RATE: 0.1416864, ARHR: 0.0685880, RMSE: nan, NOVELTY: 0.0071024, AVERAGE_POPULARITY: 0.1851104, DIVERSITY_MEAN_INTER_LIST: 0.8831589, DIVERSITY_HERFINDAHL: 0.9883116, COVERAGE_ITEM: 0.3809138, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1341825, SHANNON_ENTROPY: 8.9407484, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 6, 'ITEM_CF': 92, 'USER_CF': 99, 'SLIM_BPR': 3, 'P3ALPHA': 99, 'RP3BETA': 12} - results: ROC_AUC: 0.0987929, PRECISION: 0.0162464, PRECISION_RECALL_MIN_DEN: 0.0541548, RECALL: 0.0541548, MAP: 0.0257311, MRR: 0.0696841, NDCG: 0.0442352, F1: 0.0249945, HIT_RATE: 0.1624644, ARHR: 0.0733646, RMSE: nan, NOVELTY: 0.0067667, AVERAGE_POPULARITY: 0.2559645, DIVERSITY_MEAN_INTER_LIST: 0.9344750, DIVERSITY_HERFINDAHL: 0.9934430, COVERAGE_ITEM: 0.4768856, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1331625, SHANNON_ENTROPY: 9.5369718, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'ITEM_CF': 15, 'USER_CF': 12, 'SLIM_BPR': 1, 'P3ALPHA': 85, 'RP3BETA': 0} - results: ROC_AUC: 0.0984183, PRECISION: 0.0156390, PRECISION_RECALL_MIN_DEN: 0.0521300, RECALL: 0.0521300, MAP: 0.0255943, MRR: 0.0695826, NDCG: 0.0435242, F1: 0.0240600, HIT_RATE: 0.1563901, ARHR: 0.0731155, RMSE: nan, NOVELTY: 0.0065804, AVERAGE_POPULARITY: 0.2314445, DIVERSITY_MEAN_INTER_LIST: 0.9302786, DIVERSITY_HERFINDAHL: 0.9930234, COVERAGE_ITEM: 0.4876453, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1578915, SHANNON_ENTROPY: 9.7912524, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'ITEM_CF': 96, 'USER_CF': 93, 'SLIM_BPR': 0, 'P3ALPHA': 3, 'RP3BETA': 8} - results: ROC_AUC: 0.0892449, PRECISION: 0.0149207, PRECISION_RECALL_MIN_DEN: 0.0497357, RECALL: 0.0497357, MAP: 0.0237220, MRR: 0.0646608, NDCG: 0.0407432, F1: 0.0229549, HIT_RATE: 0.1492070, ARHR: 0.0678506, RMSE: nan, NOVELTY: 0.0065029, AVERAGE_POPULARITY: 0.3127855, DIVERSITY_MEAN_INTER_LIST: 0.9251107, DIVERSITY_HERFINDAHL: 0.9925066, COVERAGE_ITEM: 0.4342255, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1075584, SHANNON_ENTROPY: 9.0434105, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 8, 'ITEM_CF': 98, 'USER_CF': 1, 'SLIM_BPR': 98, 'P3ALPHA': 93, 'RP3BETA': 31} - results: ROC_AUC: 0.0943671, PRECISION: 0.0147471, PRECISION_RECALL_MIN_DEN: 0.0491571, RECALL: 0.0491571, MAP: 0.0251428, MRR: 0.0684616, NDCG: 0.0421057, F1: 0.0226879, HIT_RATE: 0.1474714, ARHR: 0.0718824, RMSE: nan, NOVELTY: 0.0071459, AVERAGE_POPULARITY: 0.1671836, DIVERSITY_MEAN_INTER_LIST: 0.9036104, DIVERSITY_HERFINDAHL: 0.9903567, COVERAGE_ITEM: 0.4174101, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1474074, SHANNON_ENTROPY: 9.2793637, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 41, 'USER_CF': 94, 'SLIM_BPR': 5, 'P3ALPHA': 97, 'RP3BETA': 99} - results: ROC_AUC: 0.0998501, PRECISION: 0.0158849, PRECISION_RECALL_MIN_DEN: 0.0529496, RECALL: 0.0529496, MAP: 0.0258093, MRR: 0.0703062, NDCG: 0.0440365, F1: 0.0244383, HIT_RATE: 0.1588488, ARHR: 0.0737921, RMSE: nan, NOVELTY: 0.0064852, AVERAGE_POPULARITY: 0.3411968, DIVERSITY_MEAN_INTER_LIST: 0.8988256, DIVERSITY_HERFINDAHL: 0.9898782, COVERAGE_ITEM: 0.3190051, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0973566, SHANNON_ENTROPY: 8.4793544, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'ITEM_CF': 1, 'USER_CF': 9, 'SLIM_BPR': 32, 'P3ALPHA': 95, 'RP3BETA': 0} - results: ROC_AUC: 0.0931541, PRECISION: 0.0145543, PRECISION_RECALL_MIN_DEN: 0.0485144, RECALL: 0.0485144, MAP: 0.0246748, MRR: 0.0673376, NDCG: 0.0414319, F1: 0.0223912, HIT_RATE: 0.1455431, ARHR: 0.0706149, RMSE: nan, NOVELTY: 0.0067724, AVERAGE_POPULARITY: 0.2229296, DIVERSITY_MEAN_INTER_LIST: 0.9274198, DIVERSITY_HERFINDAHL: 0.9927375, COVERAGE_ITEM: 0.4127061, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1556270, SHANNON_ENTROPY: 9.6291686, 
