SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'ITEM_CF': 0.12294713170158947, 'USER_CF': 0.9430979052524371, 'SLIM_BPR': 0.2064217089597971, 'ITEM_CBF_NUM': 0.5469567363679882, 'ITEM_CBF_CAT': 0.5085762548097283, 'P3ALPHA': 0.0021367277890532725, 'RP3BETA': 0.8421209271777765} - results: ROC_AUC: 0.0887766, PRECISION: 0.0139951, PRECISION_RECALL_MIN_DEN: 0.0466503, RECALL: 0.0466503, MAP: 0.0232025, MRR: 0.0638591, NDCG: 0.0393748, F1: 0.0215309, HIT_RATE: 0.1399508, ARHR: 0.0666895, RMSE: nan, NOVELTY: 0.0062971, AVERAGE_POPULARITY: 0.3798156, DIVERSITY_MEAN_INTER_LIST: 0.9199392, DIVERSITY_HERFINDAHL: 0.9919895, COVERAGE_ITEM: 0.4547175, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0915170, SHANNON_ENTROPY: 8.6643490, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CF': 0.5598284306586288, 'USER_CF': 0.7549502986414474, 'SLIM_BPR': 0.6901191873856459, 'ITEM_CBF_NUM': 0.13224592475799682, 'ITEM_CBF_CAT': 0.3219045523407749, 'P3ALPHA': 0.7205804872618268, 'RP3BETA': 0.8762298178156589} - results: ROC_AUC: 0.0992842, PRECISION: 0.0161886, PRECISION_RECALL_MIN_DEN: 0.0539620, RECALL: 0.0539620, MAP: 0.0259611, MRR: 0.0703136, NDCG: 0.0444261, F1: 0.0249055, HIT_RATE: 0.1618859, ARHR: 0.0740237, RMSE: nan, NOVELTY: 0.0065825, AVERAGE_POPULARITY: 0.2939001, DIVERSITY_MEAN_INTER_LIST: 0.9350362, DIVERSITY_HERFINDAHL: 0.9934991, COVERAGE_ITEM: 0.4954312, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1274343, SHANNON_ENTROPY: 9.4311889, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 8, 'ITEM_CF': 0.386189402588097, 'USER_CF': 0.9464682124343032, 'SLIM_BPR': 0.6350887735778069, 'ITEM_CBF_NUM': 0.3572875116641376, 'ITEM_CBF_CAT': 0.44264441798298504, 'P3ALPHA': 0.8298794973776688, 'RP3BETA': 0.3025259269607153} - results: ROC_AUC: 0.0979023, PRECISION: 0.0158849, PRECISION_RECALL_MIN_DEN: 0.0529496, RECALL: 0.0529496, MAP: 0.0256275, MRR: 0.0695971, NDCG: 0.0437796, F1: 0.0244383, HIT_RATE: 0.1588488, ARHR: 0.0731701, RMSE: nan, NOVELTY: 0.0064818, AVERAGE_POPULARITY: 0.3224895, DIVERSITY_MEAN_INTER_LIST: 0.9305479, DIVERSITY_HERFINDAHL: 0.9930503, COVERAGE_ITEM: 0.4767234, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1158462, SHANNON_ENTROPY: 9.1919618, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 4, 'ITEM_CF': 0.8739256243634854, 'USER_CF': 0.8039925972519383, 'SLIM_BPR': 0.6757951512288528, 'ITEM_CBF_NUM': 0.40232940548889173, 'ITEM_CBF_CAT': 0.09265401393983587, 'P3ALPHA': 0.5534963232950407, 'RP3BETA': 0.032950767404801636} - results: ROC_AUC: 0.0981336, PRECISION: 0.0156245, PRECISION_RECALL_MIN_DEN: 0.0520818, RECALL: 0.0520818, MAP: 0.0258375, MRR: 0.0703123, NDCG: 0.0437548, F1: 0.0240378, HIT_RATE: 0.1562455, ARHR: 0.0738388, RMSE: nan, NOVELTY: 0.0066126, AVERAGE_POPULARITY: 0.2989658, DIVERSITY_MEAN_INTER_LIST: 0.9343221, DIVERSITY_HERFINDAHL: 0.9934277, COVERAGE_ITEM: 0.5017032, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1276900, SHANNON_ENTROPY: 9.4203176, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 4, 'ITEM_CF': 0.1412859440256701, 'USER_CF': 0.9700803230217463, 'SLIM_BPR': 0.9086683496686011, 'ITEM_CBF_NUM': 0.40701727501923923, 'ITEM_CBF_CAT': 0.34237868853296455, 'P3ALPHA': 0.04016960087291888, 'RP3BETA': 0.044947728745562306} - results: ROC_AUC: 0.0888738, PRECISION: 0.0138215, PRECISION_RECALL_MIN_DEN: 0.0460718, RECALL: 0.0460718, MAP: 0.0231084, MRR: 0.0637005, NDCG: 0.0391215, F1: 0.0212639, HIT_RATE: 0.1382153, ARHR: 0.0664701, RMSE: nan, NOVELTY: 0.0063737, AVERAGE_POPULARITY: 0.3772149, DIVERSITY_MEAN_INTER_LIST: 0.9176969, DIVERSITY_HERFINDAHL: 0.9917653, COVERAGE_ITEM: 0.4145985, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0995932, SHANNON_ENTROPY: 8.7130140, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 0.9466319336107565, 'USER_CF': 0.05281315825708223, 'SLIM_BPR': 0.0275282893279506, 'ITEM_CBF_NUM': 0.9223542603371084, 'ITEM_CBF_CAT': 0.10379479922325777, 'P3ALPHA': 0.8451289283450366, 'RP3BETA': 0.8314499516587518} - results: ROC_AUC: 0.0894766, PRECISION: 0.0132912, PRECISION_RECALL_MIN_DEN: 0.0443041, RECALL: 0.0443041, MAP: 0.0242688, MRR: 0.0673421, NDCG: 0.0398385, F1: 0.0204480, HIT_RATE: 0.1329123, ARHR: 0.0700271, RMSE: nan, NOVELTY: 0.0066442, AVERAGE_POPULARITY: 0.2536350, DIVERSITY_MEAN_INTER_LIST: 0.9399773, DIVERSITY_HERFINDAHL: 0.9939932, COVERAGE_ITEM: 0.5159773, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1351622, SHANNON_ENTROPY: 9.6662920, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 0.8468962401658852, 'USER_CF': 0.03681759579550748, 'SLIM_BPR': 0.02559687442582593, 'ITEM_CBF_NUM': 0.3170183592101467, 'ITEM_CBF_CAT': 0.957776265168084, 'P3ALPHA': 0.8859278986911658, 'RP3BETA': 0.15092036943335854} - results: ROC_AUC: 0.0933871, PRECISION: 0.0136528, PRECISION_RECALL_MIN_DEN: 0.0455093, RECALL: 0.0455093, MAP: 0.0248646, MRR: 0.0681048, NDCG: 0.0407583, F1: 0.0210043, HIT_RATE: 0.1365280, ARHR: 0.0712918, RMSE: nan, NOVELTY: 0.0066442, AVERAGE_POPULARITY: 0.1590236, DIVERSITY_MEAN_INTER_LIST: 0.9466842, DIVERSITY_HERFINDAHL: 0.9946639, COVERAGE_ITEM: 0.7412814, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2052629, SHANNON_ENTROPY: 10.6948848, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 1.0, 'USER_CF': 0.0, 'SLIM_BPR': 1.0, 'ITEM_CBF_NUM': 0.0, 'ITEM_CBF_CAT': 1.0, 'P3ALPHA': 1.0, 'RP3BETA': 1.0} - results: ROC_AUC: 0.0932529, PRECISION: 0.0142988, PRECISION_RECALL_MIN_DEN: 0.0476627, RECALL: 0.0476627, MAP: 0.0250464, MRR: 0.0685710, NDCG: 0.0415872, F1: 0.0219982, HIT_RATE: 0.1429880, ARHR: 0.0717972, RMSE: nan, NOVELTY: 0.0066017, AVERAGE_POPULARITY: 0.1984609, DIVERSITY_MEAN_INTER_LIST: 0.9438096, DIVERSITY_HERFINDAHL: 0.9943764, COVERAGE_ITEM: 0.6158962, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1830755, SHANNON_ENTROPY: 10.3052858, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 0.15458107993446238, 'USER_CF': 0.03358661410484388, 'SLIM_BPR': 0.9993745797614133, 'ITEM_CBF_NUM': 0.01868712666022532, 'ITEM_CBF_CAT': 0.01463001405808029, 'P3ALPHA': 0.5889524012217349, 'RP3BETA': 0.07943146617443343} - results: ROC_AUC: 0.0928507, PRECISION: 0.0145254, PRECISION_RECALL_MIN_DEN: 0.0484179, RECALL: 0.0484179, MAP: 0.0244582, MRR: 0.0668158, NDCG: 0.0411917, F1: 0.0223467, HIT_RATE: 0.1452538, ARHR: 0.0700279, RMSE: nan, NOVELTY: 0.0068605, AVERAGE_POPULARITY: 0.2071368, DIVERSITY_MEAN_INTER_LIST: 0.9440777, DIVERSITY_HERFINDAHL: 0.9944032, COVERAGE_ITEM: 0.4992160, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1770695, SHANNON_ENTROPY: 10.1175670, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'ITEM_CF': 0.0380608324294951, 'USER_CF': 0.013596947597763535, 'SLIM_BPR': 0.025463991245489266, 'ITEM_CBF_NUM': 0.7745758172371835, 'ITEM_CBF_CAT': 0.9477748947548079, 'P3ALPHA': 0.007875518562114549, 'RP3BETA': 0.43782040163003366} - results: ROC_AUC: 0.0400879, PRECISION: 0.0058911, PRECISION_RECALL_MIN_DEN: 0.0196371, RECALL: 0.0196371, MAP: 0.0100927, MRR: 0.0289848, NDCG: 0.0171454, F1: 0.0090633, HIT_RATE: 0.0589114, ARHR: 0.0296280, RMSE: nan, NOVELTY: 0.0064716, AVERAGE_POPULARITY: 0.1476055, DIVERSITY_MEAN_INTER_LIST: 0.9469518, DIVERSITY_HERFINDAHL: 0.9946906, COVERAGE_ITEM: 0.7462557, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2164352, SHANNON_ENTROPY: 10.7762414, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'ITEM_CF': 0.0, 'USER_CF': 1.0, 'SLIM_BPR': 0.0, 'ITEM_CBF_NUM': 0.0, 'ITEM_CBF_CAT': 0.0, 'P3ALPHA': 1.0, 'RP3BETA': 0.0} - results: ROC_AUC: 0.0934981, PRECISION: 0.0151810, PRECISION_RECALL_MIN_DEN: 0.0506034, RECALL: 0.0506034, MAP: 0.0244870, MRR: 0.0670535, NDCG: 0.0419135, F1: 0.0233554, HIT_RATE: 0.1518102, ARHR: 0.0701897, RMSE: nan, NOVELTY: 0.0063067, AVERAGE_POPULARITY: 0.4020030, DIVERSITY_MEAN_INTER_LIST: 0.9037825, DIVERSITY_HERFINDAHL: 0.9903739, COVERAGE_ITEM: 0.3098135, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0972566, SHANNON_ENTROPY: 8.4015836, 
