SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 6, 'TOP_POP': 0.26439742043373177, 'ADV_TOP_POP': 0.35240751029124967, 'USER_CBF': 0.336879880512079} - results: ROC_AUC: 0.0430964, PRECISION: 0.0087577, PRECISION_RECALL_MIN_DEN: 0.0291923, RECALL: 0.0291923, MAP: 0.0095734, MRR: 0.0276334, NDCG: 0.0195739, F1: 0.0134734, HIT_RATE: 0.0875768, ARHR: 0.0281768, RMSE: 0.9399564, NOVELTY: 0.0049160, AVERAGE_POPULARITY: 0.8500863, DIVERSITY_MEAN_INTER_LIST: 0.4775711, DIVERSITY_HERFINDAHL: 0.9477466, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3414116, SHANNON_ENTROPY: 4.6025239, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.0887937600844191, 'ADV_TOP_POP': 0.03296835762445761, 'USER_CBF': 0.6691707200947155} - results: ROC_AUC: 0.0480548, PRECISION: 0.0090869, PRECISION_RECALL_MIN_DEN: 0.0302897, RECALL: 0.0302897, MAP: 0.0106460, MRR: 0.0303425, NDCG: 0.0210527, F1: 0.0139799, HIT_RATE: 0.0908692, ARHR: 0.0311403, RMSE: 0.9399564, NOVELTY: 0.0049367, AVERAGE_POPULARITY: 0.8322565, DIVERSITY_MEAN_INTER_LIST: 0.4814395, DIVERSITY_HERFINDAHL: 0.9481334, COVERAGE_ITEM: 0.0032441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3396890, SHANNON_ENTROPY: 4.7260924, 
SearchBayesianSkoptObject: New best config found. Config 2: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 7, 'TOP_POP': 0.03886496740002477, 'ADV_TOP_POP': 0.06490663824285382, 'USER_CBF': 0.9382102786862732} - results: ROC_AUC: 0.0476204, PRECISION: 0.0091528, PRECISION_RECALL_MIN_DEN: 0.0305092, RECALL: 0.0305092, MAP: 0.0107122, MRR: 0.0304083, NDCG: 0.0211628, F1: 0.0140812, HIT_RATE: 0.0915277, ARHR: 0.0312725, RMSE: 0.9399564, NOVELTY: 0.0049606, AVERAGE_POPULARITY: 0.8070414, DIVERSITY_MEAN_INTER_LIST: 0.5975120, DIVERSITY_HERFINDAHL: 0.9597381, COVERAGE_ITEM: 0.0028656, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4576350, SHANNON_ENTROPY: 4.9813162, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 8, 'TOP_POP': 0.1614041371305928, 'ADV_TOP_POP': 0.25543124464403505, 'USER_CBF': 0.6886862352310908} - results: ROC_AUC: 0.0472942, PRECISION: 0.0089991, PRECISION_RECALL_MIN_DEN: 0.0299971, RECALL: 0.0299971, MAP: 0.0104566, MRR: 0.0299299, NDCG: 0.0207853, F1: 0.0138448, HIT_RATE: 0.0899912, ARHR: 0.0306498, RMSE: 0.9399564, NOVELTY: 0.0049320, AVERAGE_POPULARITY: 0.8339152, DIVERSITY_MEAN_INTER_LIST: 0.5308535, DIVERSITY_HERFINDAHL: 0.9530737, COVERAGE_ITEM: 0.0027575, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4081338, SHANNON_ENTROPY: 4.7570271, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 4, 'TOP_POP': 0.8106444286401931, 'ADV_TOP_POP': 0.7106406196021007, 'USER_CBF': 0.6124878886461955} - results: ROC_AUC: 0.0431299, PRECISION: 0.0087577, PRECISION_RECALL_MIN_DEN: 0.0291923, RECALL: 0.0291923, MAP: 0.0096403, MRR: 0.0278189, NDCG: 0.0196366, F1: 0.0134734, HIT_RATE: 0.0875768, ARHR: 0.0283700, RMSE: 0.9399564, NOVELTY: 0.0049014, AVERAGE_POPULARITY: 0.8649272, DIVERSITY_MEAN_INTER_LIST: 0.3961689, DIVERSITY_HERFINDAHL: 0.9396082, COVERAGE_ITEM: 0.0027575, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3168788, SHANNON_ENTROPY: 4.3631530, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 9, 'TOP_POP': 0.9199386337843484, 'ADV_TOP_POP': 0.9770072668079073, 'USER_CBF': 0.00043660596331052137} - results: ROC_AUC: 0.0390160, PRECISION: 0.0079456, PRECISION_RECALL_MIN_DEN: 0.0264852, RECALL: 0.0264852, MAP: 0.0084482, MRR: 0.0240157, NDCG: 0.0174661, F1: 0.0122239, HIT_RATE: 0.0794557, ARHR: 0.0246801, RMSE: 0.9399564, NOVELTY: 0.0049114, AVERAGE_POPULARITY: 0.8555957, DIVERSITY_MEAN_INTER_LIST: 0.4525304, DIVERSITY_HERFINDAHL: 0.9452431, COVERAGE_ITEM: 0.0030819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3205981, SHANNON_ENTROPY: 4.5593638, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.9994101917024196, 'ADV_TOP_POP': 0.9841885664904063, 'USER_CBF': 0.9805193013612002} - results: ROC_AUC: 0.0445002, PRECISION: 0.0086040, PRECISION_RECALL_MIN_DEN: 0.0286801, RECALL: 0.0286801, MAP: 0.0096939, MRR: 0.0280186, NDCG: 0.0195828, F1: 0.0132370, HIT_RATE: 0.0860404, ARHR: 0.0285502, RMSE: 0.9399564, NOVELTY: 0.0049264, AVERAGE_POPULARITY: 0.8433849, DIVERSITY_MEAN_INTER_LIST: 0.4468493, DIVERSITY_HERFINDAHL: 0.9446751, COVERAGE_ITEM: 0.0041092, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2628679, SHANNON_ENTROPY: 4.6948526, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 0.9786013494452059, 'ADV_TOP_POP': 0.0660328661524119, 'USER_CBF': 0.05765820942060619} - results: ROC_AUC: 0.0400357, PRECISION: 0.0077480, PRECISION_RECALL_MIN_DEN: 0.0258267, RECALL: 0.0258267, MAP: 0.0082386, MRR: 0.0241355, NDCG: 0.0171818, F1: 0.0119200, HIT_RATE: 0.0774802, ARHR: 0.0244256, RMSE: 0.9399564, NOVELTY: 0.0048708, AVERAGE_POPULARITY: 0.8964543, DIVERSITY_MEAN_INTER_LIST: 0.0358993, DIVERSITY_HERFINDAHL: 0.9035891, COVERAGE_ITEM: 0.0007570, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7373076, SHANNON_ENTROPY: 3.4196230, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.0, 'ADV_TOP_POP': 1.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0453325, PRECISION: 0.0088235, PRECISION_RECALL_MIN_DEN: 0.0294118, RECALL: 0.0294118, MAP: 0.0100119, MRR: 0.0288643, NDCG: 0.0201394, F1: 0.0135747, HIT_RATE: 0.0882353, ARHR: 0.0294500, RMSE: 0.9399564, NOVELTY: 0.0049763, AVERAGE_POPULARITY: 0.7955840, DIVERSITY_MEAN_INTER_LIST: 0.6450434, DIVERSITY_HERFINDAHL: 0.9644902, COVERAGE_ITEM: 0.0049743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3111544, SHANNON_ENTROPY: 5.2403642, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 0.07076059443423412, 'ADV_TOP_POP': 0.9785510345664545, 'USER_CBF': 0.011043618830772652} - results: ROC_AUC: 0.0383743, PRECISION: 0.0073968, PRECISION_RECALL_MIN_DEN: 0.0246561, RECALL: 0.0246561, MAP: 0.0086667, MRR: 0.0247599, NDCG: 0.0171366, F1: 0.0113798, HIT_RATE: 0.0739684, ARHR: 0.0253799, RMSE: 0.9399564, NOVELTY: 0.0049883, AVERAGE_POPULARITY: 0.7883525, DIVERSITY_MEAN_INTER_LIST: 0.6810216, DIVERSITY_HERFINDAHL: 0.9680872, COVERAGE_ITEM: 0.0069208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2504761, SHANNON_ENTROPY: 5.4055189, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'norm_weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.0028354886178241227, 'ADV_TOP_POP': 0.10280898632312865, 'USER_CBF': 0.08366564496014407} - results: ROC_AUC: 0.0445429, PRECISION: 0.0087796, PRECISION_RECALL_MIN_DEN: 0.0292654, RECALL: 0.0292654, MAP: 0.0097950, MRR: 0.0280459, NDCG: 0.0198237, F1: 0.0135071, HIT_RATE: 0.0877963, ARHR: 0.0287155, RMSE: 0.9399564, NOVELTY: 0.0049756, AVERAGE_POPULARITY: 0.7966136, DIVERSITY_MEAN_INTER_LIST: 0.6442232, DIVERSITY_HERFINDAHL: 0.9644082, COVERAGE_ITEM: 0.0049743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3107612, SHANNON_ENTROPY: 5.2390412, 
