SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_avg', 'multiplier_cutoff': 6, 'TOP_POP': 0.26439742043373177, 'ADV_TOP_POP': 0.35240751029124967, 'USER_CBF': 0.336879880512079} - results: ROC_AUC: 0.0388941, PRECISION: 0.0075944, PRECISION_RECALL_MIN_DEN: 0.0253146, RECALL: 0.0253146, MAP: 0.0080137, MRR: 0.0235492, NDCG: 0.0167794, F1: 0.0116837, HIT_RATE: 0.0759438, ARHR: 0.0237952, RMSE: 0.9399564, NOVELTY: 0.0048705, AVERAGE_POPULARITY: 0.8967350, DIVERSITY_MEAN_INTER_LIST: 0.0226449, DIVERSITY_HERFINDAHL: 0.9022640, COVERAGE_ITEM: 0.0006488, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.8497231, SHANNON_ENTROPY: 3.3875639, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.0887937600844191, 'ADV_TOP_POP': 0.03296835762445761, 'USER_CBF': 0.6691707200947155} - results: ROC_AUC: 0.0393468, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080430, MRR: 0.0236433, NDCG: 0.0166889, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238862, RMSE: 0.9399564, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 7, 'TOP_POP': 0.03886496740002477, 'ADV_TOP_POP': 0.06490663824285382, 'USER_CBF': 0.9382102786862732} - results: ROC_AUC: 0.0392065, PRECISION: 0.0076602, PRECISION_RECALL_MIN_DEN: 0.0255341, RECALL: 0.0255341, MAP: 0.0080256, MRR: 0.0235301, NDCG: 0.0168575, F1: 0.0117850, HIT_RATE: 0.0766023, ARHR: 0.0238035, RMSE: 0.9399564, NOVELTY: 0.0048708, AVERAGE_POPULARITY: 0.8964839, DIVERSITY_MEAN_INTER_LIST: 0.0356866, DIVERSITY_HERFINDAHL: 0.9035679, COVERAGE_ITEM: 0.0007570, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7377466, SHANNON_ENTROPY: 3.4211156, 
SearchBayesianSkoptObject: New best config found. Config 3: {'strategy': 'weighted_avg', 'multiplier_cutoff': 8, 'TOP_POP': 0.1614041371305928, 'ADV_TOP_POP': 0.25543124464403505, 'USER_CBF': 0.6886862352310908} - results: ROC_AUC: 0.0392218, PRECISION: 0.0076163, PRECISION_RECALL_MIN_DEN: 0.0253878, RECALL: 0.0253878, MAP: 0.0080459, MRR: 0.0236518, NDCG: 0.0168430, F1: 0.0117174, HIT_RATE: 0.0761633, ARHR: 0.0238947, RMSE: 0.9399564, NOVELTY: 0.0048705, AVERAGE_POPULARITY: 0.8967301, DIVERSITY_MEAN_INTER_LIST: 0.0269515, DIVERSITY_HERFINDAHL: 0.9026946, COVERAGE_ITEM: 0.0006488, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.8490275, SHANNON_ENTROPY: 3.3954732, 
SearchBayesianSkoptObject: New best config found. Config 4: {'strategy': 'weighted_avg', 'multiplier_cutoff': 4, 'TOP_POP': 0.8106444286401931, 'ADV_TOP_POP': 0.7106406196021007, 'USER_CBF': 0.6124878886461955} - results: ROC_AUC: 0.0392568, PRECISION: 0.0075724, PRECISION_RECALL_MIN_DEN: 0.0252414, RECALL: 0.0252414, MAP: 0.0080485, MRR: 0.0236647, NDCG: 0.0168041, F1: 0.0116499, HIT_RATE: 0.0757243, ARHR: 0.0239052, RMSE: 0.9399564, NOVELTY: 0.0048702, AVERAGE_POPULARITY: 0.8971298, DIVERSITY_MEAN_INTER_LIST: 0.0121141, DIVERSITY_HERFINDAHL: 0.9012111, COVERAGE_ITEM: 0.0005948, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.9177458, SHANNON_ENTROPY: 3.3565299, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 9, 'TOP_POP': 0.9199386337843484, 'ADV_TOP_POP': 0.9770072668079073, 'USER_CBF': 0.00043660596331052137} - results: ROC_AUC: 0.0391517, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080019, MRR: 0.0235200, NDCG: 0.0166415, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0237629, RMSE: 0.9399564, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.9994101917024196, 'ADV_TOP_POP': 0.9841885664904063, 'USER_CBF': 0.9805193013612002} - results: ROC_AUC: 0.0393300, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0080265, MRR: 0.0236203, NDCG: 0.0166729, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0238499, RMSE: 0.9399564, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 0.9786013494452059, 'ADV_TOP_POP': 0.0660328661524119, 'USER_CBF': 0.05765820942060619} - results: ROC_AUC: 0.0396394, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0079869, MRR: 0.0234659, NDCG: 0.0166312, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0237134, RMSE: 0.9399564, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
SearchBayesianSkoptObject: New best config found. Config 8: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 0.03856027705258803, 'ADV_TOP_POP': 0.9844994947019546, 'USER_CBF': 0.9955273094842212} - results: ROC_AUC: 0.0391745, PRECISION: 0.0077041, PRECISION_RECALL_MIN_DEN: 0.0256804, RECALL: 0.0256804, MAP: 0.0083202, MRR: 0.0239788, NDCG: 0.0171361, F1: 0.0118525, HIT_RATE: 0.0770413, ARHR: 0.0244697, RMSE: 0.9399564, NOVELTY: 0.0049139, AVERAGE_POPULARITY: 0.8533167, DIVERSITY_MEAN_INTER_LIST: 0.4297423, DIVERSITY_HERFINDAHL: 0.9429648, COVERAGE_ITEM: 0.0020546, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4664854, SHANNON_ENTROPY: 4.4907000, 
SearchBayesianSkoptObject: New best config found. Config 9: {'strategy': 'weighted_avg', 'multiplier_cutoff': 10, 'TOP_POP': 0.07076059443423412, 'ADV_TOP_POP': 0.9785510345664545, 'USER_CBF': 0.011043618830772652} - results: ROC_AUC: 0.0400022, PRECISION: 0.0077480, PRECISION_RECALL_MIN_DEN: 0.0258267, RECALL: 0.0258267, MAP: 0.0085611, MRR: 0.0242283, NDCG: 0.0173800, F1: 0.0119200, HIT_RATE: 0.0774802, ARHR: 0.0249558, RMSE: 0.9399564, NOVELTY: 0.0048954, AVERAGE_POPULARITY: 0.8708294, DIVERSITY_MEAN_INTER_LIST: 0.3670517, DIVERSITY_HERFINDAHL: 0.9366971, COVERAGE_ITEM: 0.0015139, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5389861, SHANNON_ENTROPY: 4.2549722, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_avg', 'multiplier_cutoff': 1, 'TOP_POP': 1.0, 'ADV_TOP_POP': 0.0, 'USER_CBF': 0.0} - results: ROC_AUC: 0.0394443, PRECISION: 0.0074627, PRECISION_RECALL_MIN_DEN: 0.0248756, RECALL: 0.0248756, MAP: 0.0078894, MRR: 0.0231733, NDCG: 0.0165233, F1: 0.0114811, HIT_RATE: 0.0746269, ARHR: 0.0234207, RMSE: 0.9399564, NOVELTY: 0.0048699, AVERAGE_POPULARITY: 0.8974093, DIVERSITY_MEAN_INTER_LIST: 0.0000000, DIVERSITY_HERFINDAHL: 0.9000000, COVERAGE_ITEM: 0.0005407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 1.0000000, SHANNON_ENTROPY: 3.3219281, 
