SearchBayesianSkoptObject: New best config found. Config 0: {'strategy': 'weighted_rank', 'multiplier_cutoff': 6, 'TOP_POP': 0.26439742043373177, 'ADV_TOP_POP': 0.35240751029124967, 'USER_CBF': 0.336879880512079} - results: ROC_AUC: 0.0422108, PRECISION: 0.0085382, PRECISION_RECALL_MIN_DEN: 0.0284606, RECALL: 0.0284606, MAP: 0.0088655, MRR: 0.0254432, NDCG: 0.0185892, F1: 0.0131357, HIT_RATE: 0.0853819, ARHR: 0.0260198, RMSE: 0.9399564, NOVELTY: 0.0049180, AVERAGE_POPULARITY: 0.8470799, DIVERSITY_MEAN_INTER_LIST: 0.5161521, DIVERSITY_HERFINDAHL: 0.9516039, COVERAGE_ITEM: 0.0028656, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3721279, SHANNON_ENTROPY: 4.6587891, 
SearchBayesianSkoptObject: New best config found. Config 1: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.0887937600844191, 'ADV_TOP_POP': 0.03296835762445761, 'USER_CBF': 0.6691707200947155} - results: ROC_AUC: 0.0477575, PRECISION: 0.0093284, PRECISION_RECALL_MIN_DEN: 0.0310945, RECALL: 0.0310945, MAP: 0.0106871, MRR: 0.0303237, NDCG: 0.0213172, F1: 0.0143513, HIT_RATE: 0.0932836, ARHR: 0.0311924, RMSE: 0.9399564, NOVELTY: 0.0049539, AVERAGE_POPULARITY: 0.8146893, DIVERSITY_MEAN_INTER_LIST: 0.5688248, DIVERSITY_HERFINDAHL: 0.9568700, COVERAGE_ITEM: 0.0027575, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4532780, SHANNON_ENTROPY: 4.9106116, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 7, 'TOP_POP': 0.03886496740002477, 'ADV_TOP_POP': 0.06490663824285382, 'USER_CBF': 0.9382102786862732} - results: ROC_AUC: 0.0469299, PRECISION: 0.0093942, PRECISION_RECALL_MIN_DEN: 0.0313140, RECALL: 0.0313140, MAP: 0.0105939, MRR: 0.0301529, NDCG: 0.0212802, F1: 0.0144526, HIT_RATE: 0.0939421, ARHR: 0.0309674, RMSE: 0.9399564, NOVELTY: 0.0049558, AVERAGE_POPULARITY: 0.8108787, DIVERSITY_MEAN_INTER_LIST: 0.5905575, DIVERSITY_HERFINDAHL: 0.9590428, COVERAGE_ITEM: 0.0028116, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4563205, SHANNON_ENTROPY: 4.9502642, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 8, 'TOP_POP': 0.1614041371305928, 'ADV_TOP_POP': 0.25543124464403505, 'USER_CBF': 0.6886862352310908} - results: ROC_AUC: 0.0430095, PRECISION: 0.0087796, PRECISION_RECALL_MIN_DEN: 0.0292654, RECALL: 0.0292654, MAP: 0.0093154, MRR: 0.0265866, NDCG: 0.0192911, F1: 0.0135071, HIT_RATE: 0.0877963, ARHR: 0.0272663, RMSE: 0.9399564, NOVELTY: 0.0049312, AVERAGE_POPULARITY: 0.8341102, DIVERSITY_MEAN_INTER_LIST: 0.5520779, DIVERSITY_HERFINDAHL: 0.9551957, COVERAGE_ITEM: 0.0030278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3851932, SHANNON_ENTROPY: 4.8013649, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 4, 'TOP_POP': 0.8106444286401931, 'ADV_TOP_POP': 0.7106406196021007, 'USER_CBF': 0.6124878886461955} - results: ROC_AUC: 0.0416453, PRECISION: 0.0085162, PRECISION_RECALL_MIN_DEN: 0.0283875, RECALL: 0.0283875, MAP: 0.0087379, MRR: 0.0250092, NDCG: 0.0184055, F1: 0.0131019, HIT_RATE: 0.0851624, ARHR: 0.0256115, RMSE: 0.9399564, NOVELTY: 0.0049034, AVERAGE_POPULARITY: 0.8620289, DIVERSITY_MEAN_INTER_LIST: 0.4320748, DIVERSITY_HERFINDAHL: 0.9431980, COVERAGE_ITEM: 0.0022709, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3996784, SHANNON_ENTROPY: 4.4062486, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 9, 'TOP_POP': 0.9199386337843484, 'ADV_TOP_POP': 0.9770072668079073, 'USER_CBF': 0.00043660596331052137} - results: ROC_AUC: 0.0388362, PRECISION: 0.0079456, PRECISION_RECALL_MIN_DEN: 0.0264852, RECALL: 0.0264852, MAP: 0.0086242, MRR: 0.0245392, NDCG: 0.0176385, F1: 0.0122239, HIT_RATE: 0.0794557, ARHR: 0.0252059, RMSE: 0.9399564, NOVELTY: 0.0049098, AVERAGE_POPULARITY: 0.8571092, DIVERSITY_MEAN_INTER_LIST: 0.4691659, DIVERSITY_HERFINDAHL: 0.9469063, COVERAGE_ITEM: 0.0030278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3233492, SHANNON_ENTROPY: 4.5279736, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.9994101917024196, 'ADV_TOP_POP': 0.9841885664904063, 'USER_CBF': 0.9805193013612002} - results: ROC_AUC: 0.0436832, PRECISION: 0.0087138, PRECISION_RECALL_MIN_DEN: 0.0290459, RECALL: 0.0290459, MAP: 0.0093443, MRR: 0.0269632, NDCG: 0.0193106, F1: 0.0134058, HIT_RATE: 0.0871378, ARHR: 0.0274981, RMSE: 0.9399564, NOVELTY: 0.0049225, AVERAGE_POPULARITY: 0.8477311, DIVERSITY_MEAN_INTER_LIST: 0.4143890, DIVERSITY_HERFINDAHL: 0.9414298, COVERAGE_ITEM: 0.0044877, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2288280, SHANNON_ENTROPY: 4.6137954, 
SearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'TOP_POP': 0.9786013494452059, 'ADV_TOP_POP': 0.0660328661524119, 'USER_CBF': 0.05765820942060619} - results: ROC_AUC: 0.0396120, PRECISION: 0.0077261, PRECISION_RECALL_MIN_DEN: 0.0257536, RECALL: 0.0257536, MAP: 0.0082649, MRR: 0.0241041, NDCG: 0.0171574, F1: 0.0118863, HIT_RATE: 0.0772608, ARHR: 0.0244494, RMSE: 0.9399564, NOVELTY: 0.0048729, AVERAGE_POPULARITY: 0.8941910, DIVERSITY_MEAN_INTER_LIST: 0.0951365, DIVERSITY_HERFINDAHL: 0.9095116, COVERAGE_ITEM: 0.0009192, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6289533, SHANNON_ENTROPY: 3.5552978, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.0, 'ADV_TOP_POP': 1.0, 'USER_CBF': 1.0} - results: ROC_AUC: 0.0454803, PRECISION: 0.0086479, PRECISION_RECALL_MIN_DEN: 0.0288265, RECALL: 0.0288265, MAP: 0.0099531, MRR: 0.0284229, NDCG: 0.0198656, F1: 0.0133045, HIT_RATE: 0.0864794, ARHR: 0.0291411, RMSE: 0.9399564, NOVELTY: 0.0049826, AVERAGE_POPULARITY: 0.7917325, DIVERSITY_MEAN_INTER_LIST: 0.6454491, DIVERSITY_HERFINDAHL: 0.9645307, COVERAGE_ITEM: 0.0056772, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2801440, SHANNON_ENTROPY: 5.2791093, 
SearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 10, 'TOP_POP': 0.07076059443423412, 'ADV_TOP_POP': 0.9785510345664545, 'USER_CBF': 0.011043618830772652} - results: ROC_AUC: 0.0389596, PRECISION: 0.0072212, PRECISION_RECALL_MIN_DEN: 0.0240708, RECALL: 0.0240708, MAP: 0.0085465, MRR: 0.0245286, NDCG: 0.0168676, F1: 0.0111096, HIT_RATE: 0.0722125, ARHR: 0.0250841, RMSE: 0.9399564, NOVELTY: 0.0049863, AVERAGE_POPULARITY: 0.7901156, DIVERSITY_MEAN_INTER_LIST: 0.6844226, DIVERSITY_HERFINDAHL: 0.9684272, COVERAGE_ITEM: 0.0068127, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2540805, SHANNON_ENTROPY: 5.4017419, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'strategy': 'weighted_rank', 'multiplier_cutoff': 1, 'TOP_POP': 0.0028354886178241227, 'ADV_TOP_POP': 0.10280898632312865, 'USER_CBF': 0.08366564496014407} - results: ROC_AUC: 0.0439317, PRECISION: 0.0085601, PRECISION_RECALL_MIN_DEN: 0.0285338, RECALL: 0.0285338, MAP: 0.0095915, MRR: 0.0274168, NDCG: 0.0193778, F1: 0.0131694, HIT_RATE: 0.0856014, ARHR: 0.0280956, RMSE: 0.9399564, NOVELTY: 0.0049828, AVERAGE_POPULARITY: 0.7920085, DIVERSITY_MEAN_INTER_LIST: 0.6462910, DIVERSITY_HERFINDAHL: 0.9646149, COVERAGE_ITEM: 0.0058394, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2744811, SHANNON_ENTROPY: 5.2903017, 
