SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 377, 'regularization': 0.3136338785806448, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 2.83813804488197, 'epsilon': 0.048786413808001174} - results: ROC_AUC: 0.0968971, PRECISION: 0.0147896, PRECISION_RECALL_MIN_DEN: 0.0492988, RECALL: 0.0492988, MAP: 0.0257684, MRR: 0.0709517, NDCG: 0.0429316, F1: 0.0227533, HIT_RATE: 0.1478965, ARHR: 0.0740633, RMSE: 0.9739032, NOVELTY: 0.0058925, AVERAGE_POPULARITY: 0.2872877, DIVERSITY_MEAN_INTER_LIST: 0.9880091, DIVERSITY_HERFINDAHL: 0.9987948, COVERAGE_ITEM: 0.1183022, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3596707, SHANNON_ENTROPY: 10.0495933, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 206, 'regularization': 0.013831835745144282, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.12211358917607645, 'epsilon': 0.1296631494245202} - results: ROC_AUC: 0.0745913, PRECISION: 0.0115957, PRECISION_RECALL_MIN_DEN: 0.0386524, RECALL: 0.0386524, MAP: 0.0192049, MRR: 0.0537589, NDCG: 0.0327518, F1: 0.0178396, HIT_RATE: 0.1159572, ARHR: 0.0556416, RMSE: 0.9882629, NOVELTY: 0.0057161, AVERAGE_POPULARITY: 0.3219336, DIVERSITY_MEAN_INTER_LIST: 0.9732070, DIVERSITY_HERFINDAHL: 0.9973147, COVERAGE_ITEM: 0.0511490, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3659542, SHANNON_ENTROPY: 8.8534990, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 268, 'regularization': 2.732752028880806, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.2545086948738565, 'epsilon': 1.7031038714279292} - results: ROC_AUC: 0.0811804, PRECISION: 0.0124668, PRECISION_RECALL_MIN_DEN: 0.0415560, RECALL: 0.0415560, MAP: 0.0212014, MRR: 0.0592304, NDCG: 0.0357796, F1: 0.0191797, HIT_RATE: 0.1246679, ARHR: 0.0613744, RMSE: 0.9877873, NOVELTY: 0.0058074, AVERAGE_POPULARITY: 0.2894648, DIVERSITY_MEAN_INTER_LIST: 0.9797676, DIVERSITY_HERFINDAHL: 0.9979707, COVERAGE_ITEM: 0.0619086, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3946361, SHANNON_ENTROPY: 9.2261513, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 492, 'regularization': 3.625933888130567, 'epochs': 50, 'confidence_scaling': 'log', 'alpha': 0.14354036785912894, 'epsilon': 0.022639871393840688} - results: ROC_AUC: 0.0840222, PRECISION: 0.0124050, PRECISION_RECALL_MIN_DEN: 0.0413501, RECALL: 0.0413501, MAP: 0.0223895, MRR: 0.0623244, NDCG: 0.0369510, F1: 0.0190846, HIT_RATE: 0.1240502, ARHR: 0.0646978, RMSE: 0.9876803, NOVELTY: 0.0060688, AVERAGE_POPULARITY: 0.2122342, DIVERSITY_MEAN_INTER_LIST: 0.9889261, DIVERSITY_HERFINDAHL: 0.9988865, COVERAGE_ITEM: 0.1058124, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4178878, SHANNON_ENTROPY: 10.0724779, 
SearchBayesianSkopt: New best config found. Config 4: {'num_factors': 488, 'regularization': 93.82377291481401, 'epochs': 50, 'confidence_scaling': 'log', 'alpha': 1.6388712706938415, 'epsilon': 0.0012718884782782912} - results: ROC_AUC: 0.1108637, PRECISION: 0.0181627, PRECISION_RECALL_MIN_DEN: 0.0605424, RECALL: 0.0605424, MAP: 0.0289229, MRR: 0.0791364, NDCG: 0.0497312, F1: 0.0279427, HIT_RATE: 0.1816272, ARHR: 0.0828669, RMSE: 0.9526776, NOVELTY: 0.0054867, AVERAGE_POPULARITY: 0.4670619, DIVERSITY_MEAN_INTER_LIST: 0.9628447, DIVERSITY_HERFINDAHL: 0.9962785, COVERAGE_ITEM: 0.0711544, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2367313, SHANNON_ENTROPY: 8.6941897, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 50, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'log', 'alpha': 49.99999999999999, 'epsilon': 0.001} - results: ROC_AUC: 0.0485649, PRECISION: 0.0089887, PRECISION_RECALL_MIN_DEN: 0.0299623, RECALL: 0.0299623, MAP: 0.0114052, MRR: 0.0317647, NDCG: 0.0216267, F1: 0.0138288, HIT_RATE: 0.0898869, ARHR: 0.0329447, RMSE: 0.8150260, NOVELTY: 0.0056631, AVERAGE_POPULARITY: 0.3951242, DIVERSITY_MEAN_INTER_LIST: 0.9773297, DIVERSITY_HERFINDAHL: 0.9977269, COVERAGE_ITEM: 0.1395512, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2229691, SHANNON_ENTROPY: 9.5395281, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 500, 'regularization': 0.011925585994737031, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.0017469021453095494, 'epsilon': 0.0013499450410027467} - results: ROC_AUC: 0.0700495, PRECISION: 0.0098845, PRECISION_RECALL_MIN_DEN: 0.0329483, RECALL: 0.0329483, MAP: 0.0186799, MRR: 0.0527018, NDCG: 0.0304691, F1: 0.0152069, HIT_RATE: 0.0988448, ARHR: 0.0543476, RMSE: 0.9914998, NOVELTY: 0.0061297, AVERAGE_POPULARITY: 0.1891543, DIVERSITY_MEAN_INTER_LIST: 0.9867810, DIVERSITY_HERFINDAHL: 0.9986720, COVERAGE_ITEM: 0.1011084, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3738331, SHANNON_ENTROPY: 9.8677013, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 500, 'regularization': 0.01, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 49.99999999999999, 'epsilon': 10.0} - results: ROC_AUC: 0.0836702, PRECISION: 0.0130908, PRECISION_RECALL_MIN_DEN: 0.0436358, RECALL: 0.0436358, MAP: 0.0218247, MRR: 0.0603546, NDCG: 0.0370084, F1: 0.0201396, HIT_RATE: 0.1309075, ARHR: 0.0628675, RMSE: 0.9579302, NOVELTY: 0.0062273, AVERAGE_POPULARITY: 0.2320006, DIVERSITY_MEAN_INTER_LIST: 0.9932120, DIVERSITY_HERFINDAHL: 0.9993151, COVERAGE_ITEM: 0.3729657, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2612743, SHANNON_ENTROPY: 11.2007641, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 49.99999999999999, 'epsilon': 10.0} - results: ROC_AUC: 0.1033278, PRECISION: 0.0166677, PRECISION_RECALL_MIN_DEN: 0.0555590, RECALL: 0.0555590, MAP: 0.0273452, MRR: 0.0747707, NDCG: 0.0464812, F1: 0.0256426, HIT_RATE: 0.1666770, ARHR: 0.0783440, RMSE: 0.9339678, NOVELTY: 0.0058275, AVERAGE_POPULARITY: 0.3407956, DIVERSITY_MEAN_INTER_LIST: 0.9843205, DIVERSITY_HERFINDAHL: 0.9984260, COVERAGE_ITEM: 0.1894025, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2379865, SHANNON_ENTROPY: 10.0727913, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 330, 'regularization': 82.67264590691077, 'epochs': 50, 'confidence_scaling': 'log', 'alpha': 0.0011715065701393592, 'epsilon': 4.808504462965355} - results: ROC_AUC: 0.0301706, PRECISION: 0.0063940, PRECISION_RECALL_MIN_DEN: 0.0213134, RECALL: 0.0213134, MAP: 0.0065436, MRR: 0.0189621, NDCG: 0.0138099, F1: 0.0098370, HIT_RATE: 0.0639402, ARHR: 0.0192888, RMSE: 1.0000000, NOVELTY: 0.0048932, AVERAGE_POPULARITY: 0.8666971, DIVERSITY_MEAN_INTER_LIST: 0.0581070, DIVERSITY_HERFINDAHL: 0.9058103, COVERAGE_ITEM: 0.0025412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2375376, SHANNON_ENTROPY: 3.4748303, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 49.99999999999999, 'epsilon': 0.001} - results: ROC_AUC: 0.1034771, PRECISION: 0.0167295, PRECISION_RECALL_MIN_DEN: 0.0557649, RECALL: 0.0557649, MAP: 0.0274283, MRR: 0.0750236, NDCG: 0.0466320, F1: 0.0257377, HIT_RATE: 0.1672947, ARHR: 0.0785927, RMSE: 0.9339592, NOVELTY: 0.0058275, AVERAGE_POPULARITY: 0.3406764, DIVERSITY_MEAN_INTER_LIST: 0.9843444, DIVERSITY_HERFINDAHL: 0.9984284, COVERAGE_ITEM: 0.1907002, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2362738, SHANNON_ENTROPY: 10.0729543, 
