SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 180, 'regularization': 0.4530899273993118, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 2.2574299246883016} - results: ROC_AUC: 0.0958096, PRECISION: 0.0150615, PRECISION_RECALL_MIN_DEN: 0.0502049, RECALL: 0.0502049, MAP: 0.0248239, MRR: 0.0688589, NDCG: 0.0423046, F1: 0.0231715, HIT_RATE: 0.1506147, ARHR: 0.0715961, RMSE: 0.9704415, NOVELTY: 0.0056118, AVERAGE_POPULARITY: 0.3946965, DIVERSITY_MEAN_INTER_LIST: 0.9766430, DIVERSITY_HERFINDAHL: 0.9976583, COVERAGE_ITEM: 0.0680184, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3298823, SHANNON_ENTROPY: 9.1305858, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 225, 'regularization': 90.96928483595876, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.23536524392240957} - results: ROC_AUC: 0.0301706, PRECISION: 0.0063940, PRECISION_RECALL_MIN_DEN: 0.0213134, RECALL: 0.0213134, MAP: 0.0065436, MRR: 0.0189621, NDCG: 0.0138099, F1: 0.0098370, HIT_RATE: 0.0639402, ARHR: 0.0192888, RMSE: 1.0000000, NOVELTY: 0.0048932, AVERAGE_POPULARITY: 0.8666971, DIVERSITY_MEAN_INTER_LIST: 0.0581070, DIVERSITY_HERFINDAHL: 0.9058103, COVERAGE_ITEM: 0.0025412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2375376, SHANNON_ENTROPY: 3.4748221, 
SearchBayesianSkopt: New best config found. Config 2: {'num_factors': 353, 'regularization': 1.0420958392016273, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 6.676371169634139} - results: ROC_AUC: 0.0976919, PRECISION: 0.0152839, PRECISION_RECALL_MIN_DEN: 0.0509462, RECALL: 0.0509462, MAP: 0.0260359, MRR: 0.0716496, NDCG: 0.0437112, F1: 0.0235136, HIT_RATE: 0.1528387, ARHR: 0.0748226, RMSE: 0.9639165, NOVELTY: 0.0058635, AVERAGE_POPULARITY: 0.3095151, DIVERSITY_MEAN_INTER_LIST: 0.9872408, DIVERSITY_HERFINDAHL: 0.9987180, COVERAGE_ITEM: 0.1420384, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3067178, SHANNON_ENTROPY: 10.0896893, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 206, 'regularization': 0.11862462950978707, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 30.624554078919388} - results: ROC_AUC: 0.0867581, PRECISION: 0.0138939, PRECISION_RECALL_MIN_DEN: 0.0463129, RECALL: 0.0463129, MAP: 0.0218150, MRR: 0.0605998, NDCG: 0.0379115, F1: 0.0213752, HIT_RATE: 0.1389387, ARHR: 0.0629706, RMSE: 0.9343805, NOVELTY: 0.0057749, AVERAGE_POPULARITY: 0.3504010, DIVERSITY_MEAN_INTER_LIST: 0.9835517, DIVERSITY_HERFINDAHL: 0.9983491, COVERAGE_ITEM: 0.1543660, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2525511, SHANNON_ENTROPY: 9.8980051, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 261, 'regularization': 0.07070898821523736, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.4603295887412635} - results: ROC_AUC: 0.0838659, PRECISION: 0.0129054, PRECISION_RECALL_MIN_DEN: 0.0430181, RECALL: 0.0430181, MAP: 0.0219120, MRR: 0.0609938, NDCG: 0.0369661, F1: 0.0198545, HIT_RATE: 0.1290542, ARHR: 0.0633137, RMSE: 0.9849288, NOVELTY: 0.0057897, AVERAGE_POPULARITY: 0.2998219, DIVERSITY_MEAN_INTER_LIST: 0.9810097, DIVERSITY_HERFINDAHL: 0.9980949, COVERAGE_ITEM: 0.0653149, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3974704, SHANNON_ENTROPY: 9.3110201, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 500, 'regularization': 0.01, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 100.0} - results: ROC_AUC: 0.0798662, PRECISION: 0.0124977, PRECISION_RECALL_MIN_DEN: 0.0416589, RECALL: 0.0416589, MAP: 0.0206629, MRR: 0.0574473, NDCG: 0.0352020, F1: 0.0192272, HIT_RATE: 0.1249768, ARHR: 0.0596776, RMSE: 0.9570769, NOVELTY: 0.0063485, AVERAGE_POPULARITY: 0.2167258, DIVERSITY_MEAN_INTER_LIST: 0.9941131, DIVERSITY_HERFINDAHL: 0.9994052, COVERAGE_ITEM: 0.4594755, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2644456, SHANNON_ENTROPY: 11.4827389, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 63, 'regularization': 0.010673724040483262, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.1934875030149585} - results: ROC_AUC: 0.0772136, PRECISION: 0.0125224, PRECISION_RECALL_MIN_DEN: 0.0417413, RECALL: 0.0417413, MAP: 0.0200368, MRR: 0.0556586, NDCG: 0.0345308, F1: 0.0192652, HIT_RATE: 0.1252239, ARHR: 0.0578486, RMSE: 0.9857727, NOVELTY: 0.0053044, AVERAGE_POPULARITY: 0.5387397, DIVERSITY_MEAN_INTER_LIST: 0.9303551, DIVERSITY_HERFINDAHL: 0.9930298, COVERAGE_ITEM: 0.0216275, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3327069, SHANNON_ENTROPY: 7.4644487, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 491, 'regularization': 2.1283132781877105, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 82.3954407647244} - results: ROC_AUC: 0.0806250, PRECISION: 0.0126521, PRECISION_RECALL_MIN_DEN: 0.0421738, RECALL: 0.0421738, MAP: 0.0210592, MRR: 0.0582428, NDCG: 0.0357330, F1: 0.0194648, HIT_RATE: 0.1265213, ARHR: 0.0606687, RMSE: 0.9574020, NOVELTY: 0.0063374, AVERAGE_POPULARITY: 0.2126292, DIVERSITY_MEAN_INTER_LIST: 0.9941753, DIVERSITY_HERFINDAHL: 0.9994114, COVERAGE_ITEM: 0.4343336, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2685563, SHANNON_ENTROPY: 11.4460363, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 500, 'regularization': 0.28828974037065913, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.1} - results: ROC_AUC: 0.0727053, PRECISION: 0.0104652, PRECISION_RECALL_MIN_DEN: 0.0348840, RECALL: 0.0348840, MAP: 0.0194799, MRR: 0.0546552, NDCG: 0.0318783, F1: 0.0161003, HIT_RATE: 0.1046519, ARHR: 0.0565171, RMSE: 0.9906242, NOVELTY: 0.0061200, AVERAGE_POPULARITY: 0.1930064, DIVERSITY_MEAN_INTER_LIST: 0.9876227, DIVERSITY_HERFINDAHL: 0.9987562, COVERAGE_ITEM: 0.1027305, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3891861, SHANNON_ENTROPY: 9.9409213, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 499, 'regularization': 0.010317859553340922, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 51.31365835805672} - results: ROC_AUC: 0.0842088, PRECISION: 0.0129919, PRECISION_RECALL_MIN_DEN: 0.0433064, RECALL: 0.0433064, MAP: 0.0220090, MRR: 0.0610102, NDCG: 0.0371294, F1: 0.0199875, HIT_RATE: 0.1299191, ARHR: 0.0634774, RMSE: 0.9580681, NOVELTY: 0.0062319, AVERAGE_POPULARITY: 0.2318048, DIVERSITY_MEAN_INTER_LIST: 0.9932458, DIVERSITY_HERFINDAHL: 0.9993184, COVERAGE_ITEM: 0.3776156, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2609838, SHANNON_ENTROPY: 11.2148471, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 61, 'regularization': 1.2852056913573975, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 91.87550604006677} - results: ROC_AUC: 0.0608390, PRECISION: 0.0108853, PRECISION_RECALL_MIN_DEN: 0.0362843, RECALL: 0.0362843, MAP: 0.0143709, MRR: 0.0401668, NDCG: 0.0268282, F1: 0.0167466, HIT_RATE: 0.1088528, ARHR: 0.0416063, RMSE: 0.8668569, NOVELTY: 0.0056267, AVERAGE_POPULARITY: 0.4061096, DIVERSITY_MEAN_INTER_LIST: 0.9758215, DIVERSITY_HERFINDAHL: 0.9975761, COVERAGE_ITEM: 0.1165720, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2373422, SHANNON_ENTROPY: 9.3893489, 
