SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 377, 'regularization': 0.024969122281077442, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 77.53165645311009} - results: ROC_AUC: 0.0248662, PRECISION: 0.0038716, PRECISION_RECALL_MIN_DEN: 0.0387158, RECALL: 0.0387158, MAP: 0.0153567, MRR: 0.0153567, NDCG: 0.0208394, F1: 0.0070392, HIT_RATE: 0.0387158, ARHR: 0.0153567, RMSE: 0.8777848, NOVELTY: 0.0059935, AVERAGE_POPULARITY: 0.2748989, DIVERSITY_MEAN_INTER_LIST: 0.9899894, DIVERSITY_HERFINDAHL: 0.9989756, COVERAGE_ITEM: 0.1690187, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3469226, SHANNON_ENTROPY: 10.4966685, 
SearchBayesianSkopt: New best config found. Config 1: {'num_factors': 451, 'regularization': 0.05272728133360989, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 24.054797666996823} - results: ROC_AUC: 0.0311615, PRECISION: 0.0050992, PRECISION_RECALL_MIN_DEN: 0.0509915, RECALL: 0.0509915, MAP: 0.0203811, MRR: 0.0203811, NDCG: 0.0274659, F1: 0.0092712, HIT_RATE: 0.0509915, ARHR: 0.0203811, RMSE: 0.9047184, NOVELTY: 0.0060347, AVERAGE_POPULARITY: 0.2565329, DIVERSITY_MEAN_INTER_LIST: 0.9908162, DIVERSITY_HERFINDAHL: 0.9990582, COVERAGE_ITEM: 0.1597188, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3749495, SHANNON_ENTROPY: 10.5387977, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 456, 'regularization': 45.63952675913926, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.023547198845487467} - results: ROC_AUC: 0.0000000, PRECISION: 0.0000000, PRECISION_RECALL_MIN_DEN: 0.0000000, RECALL: 0.0000000, MAP: 0.0000000, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, RMSE: 1.0000000, NOVELTY: 0.0085214, AVERAGE_POPULARITY: 0.0084025, DIVERSITY_MEAN_INTER_LIST: 0.0012706, DIVERSITY_HERFINDAHL: 0.9001270, COVERAGE_ITEM: 0.0005948, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.9171545, SHANNON_ENTROPY: 3.3274962, 
SearchBayesianSkopt: New best config found. Config 3: {'num_factors': 301, 'regularization': 0.3036221099637692, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 2.9326735300493767} - results: ROC_AUC: 0.0335222, PRECISION: 0.0050992, PRECISION_RECALL_MIN_DEN: 0.0509915, RECALL: 0.0509915, MAP: 0.0230424, MRR: 0.0230424, NDCG: 0.0295486, F1: 0.0092712, HIT_RATE: 0.0509915, ARHR: 0.0230424, RMSE: 0.9433567, NOVELTY: 0.0058726, AVERAGE_POPULARITY: 0.2735571, DIVERSITY_MEAN_INTER_LIST: 0.9860568, DIVERSITY_HERFINDAHL: 0.9985824, COVERAGE_ITEM: 0.0752095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4642615, SHANNON_ENTROPY: 9.7337126, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 426, 'regularization': 31.98065648671496, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 23.48026743346199} - results: ROC_AUC: 0.0343091, PRECISION: 0.0054533, PRECISION_RECALL_MIN_DEN: 0.0545326, RECALL: 0.0545326, MAP: 0.0230180, MRR: 0.0230180, NDCG: 0.0303384, F1: 0.0099150, HIT_RATE: 0.0545326, ARHR: 0.0230180, RMSE: 0.8916414, NOVELTY: 0.0058976, AVERAGE_POPULARITY: 0.2981338, DIVERSITY_MEAN_INTER_LIST: 0.9877096, DIVERSITY_HERFINDAHL: 0.9987476, COVERAGE_ITEM: 0.1303596, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3546644, SHANNON_ENTROPY: 10.1631708, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 416, 'regularization': 152.0186389596603, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 5.575989828907723} - results: ROC_AUC: 0.0134823, PRECISION: 0.0023843, PRECISION_RECALL_MIN_DEN: 0.0238432, RECALL: 0.0238432, MAP: 0.0081968, MRR: 0.0081968, NDCG: 0.0118102, F1: 0.0043351, HIT_RATE: 0.0238432, ARHR: 0.0081968, RMSE: 0.9467049, NOVELTY: 0.0048741, AVERAGE_POPULARITY: 0.8652292, DIVERSITY_MEAN_INTER_LIST: 0.3725261, DIVERSITY_HERFINDAHL: 0.9372438, COVERAGE_ITEM: 0.0019465, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4134612, SHANNON_ENTROPY: 4.1903009, 
SearchBayesianSkopt: New best config found. Config 6: {'num_factors': 303, 'regularization': 0.17016662144851177, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 3.650406431847723} - results: ROC_AUC: 0.0337845, PRECISION: 0.0054769, PRECISION_RECALL_MIN_DEN: 0.0547686, RECALL: 0.0547686, MAP: 0.0232252, MRR: 0.0232252, NDCG: 0.0304999, F1: 0.0099579, HIT_RATE: 0.0547686, ARHR: 0.0232252, RMSE: 0.9360073, NOVELTY: 0.0058618, AVERAGE_POPULARITY: 0.2826344, DIVERSITY_MEAN_INTER_LIST: 0.9864177, DIVERSITY_HERFINDAHL: 0.9986185, COVERAGE_ITEM: 0.0816978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4436138, SHANNON_ENTROPY: 9.7981653, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 429, 'regularization': 0.45359387917809274, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 1.605461398826643} - results: ROC_AUC: 0.0319484, PRECISION: 0.0046270, PRECISION_RECALL_MIN_DEN: 0.0462701, RECALL: 0.0462701, MAP: 0.0213139, MRR: 0.0213139, NDCG: 0.0271915, F1: 0.0084127, HIT_RATE: 0.0462701, ARHR: 0.0213139, RMSE: 0.9678324, NOVELTY: 0.0060826, AVERAGE_POPULARITY: 0.1967649, DIVERSITY_MEAN_INTER_LIST: 0.9872361, DIVERSITY_HERFINDAHL: 0.9987003, COVERAGE_ITEM: 0.0747770, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5013750, SHANNON_ENTROPY: 9.8107863, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 315, 'regularization': 0.05743162695493674, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.6450749099009456} - results: ROC_AUC: 0.0234760, PRECISION: 0.0034230, PRECISION_RECALL_MIN_DEN: 0.0342304, RECALL: 0.0342304, MAP: 0.0156183, MRR: 0.0156183, NDCG: 0.0200221, F1: 0.0062237, HIT_RATE: 0.0342304, ARHR: 0.0156183, RMSE: 0.9884306, NOVELTY: 0.0060623, AVERAGE_POPULARITY: 0.1963263, DIVERSITY_MEAN_INTER_LIST: 0.9696917, DIVERSITY_HERFINDAHL: 0.9969463, COVERAGE_ITEM: 0.0566640, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3344909, SHANNON_ENTROPY: 8.8732681, 
SearchBayesianSkopt: New best config found. Config 9: {'num_factors': 401, 'regularization': 144.02283289130506, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 18.004904115608564} - results: ROC_AUC: 0.0400273, PRECISION: 0.0066100, PRECISION_RECALL_MIN_DEN: 0.0661001, RECALL: 0.0661001, MAP: 0.0264770, MRR: 0.0264770, NDCG: 0.0356304, F1: 0.0120182, HIT_RATE: 0.0661001, ARHR: 0.0264770, RMSE: 0.8602611, NOVELTY: 0.0054277, AVERAGE_POPULARITY: 0.4857243, DIVERSITY_MEAN_INTER_LIST: 0.9555723, DIVERSITY_HERFINDAHL: 0.9955347, COVERAGE_ITEM: 0.0485537, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2834141, SHANNON_ENTROPY: 8.4052432, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 531, 'regularization': 0.13484399127924618, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.9063885909884886} - results: ROC_AUC: 0.0274892, PRECISION: 0.0038952, PRECISION_RECALL_MIN_DEN: 0.0389518, RECALL: 0.0389518, MAP: 0.0192347, MRR: 0.0192347, NDCG: 0.0238969, F1: 0.0070822, HIT_RATE: 0.0389518, ARHR: 0.0192347, RMSE: 0.9825676, NOVELTY: 0.0062183, AVERAGE_POPULARITY: 0.1598215, DIVERSITY_MEAN_INTER_LIST: 0.9829787, DIVERSITY_HERFINDAHL: 0.9982747, COVERAGE_ITEM: 0.0661800, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4346404, SHANNON_ENTROPY: 9.4606130, 
