CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 370, 'regularization': 0.019335610859635664, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 10.455573236470823} - results: ROC_AUC: 0.032862±0.0014, PRECISION: 0.005140±0.0002, PRECISION_RECALL_MIN_DEN: 0.051400±0.0023, RECALL: 0.051400±0.0023, MAP: 0.022206±0.0015, MRR: 0.022206±0.0015, NDCG: 0.029000±0.0015, F1: 0.009345±0.0004, HIT_RATE: 0.051400±0.0023, ARHR: 0.022206±0.0015, RMSE: 0.915742±0.0012, NOVELTY: 0.005944±0.0000, AVERAGE_POPULARITY: 0.277591±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.989137±0.0000, DIVERSITY_HERFINDAHL: 0.998891±0.0000, COVERAGE_ITEM: 0.126315±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.385763±0.0014, SHANNON_ENTROPY: 10.245813±0.0033, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'num_factors': 396, 'regularization': 0.03107643766263053, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 7.942849279110979} - results: ROC_AUC: 0.033569±0.0017, PRECISION: 0.005063±0.0003, PRECISION_RECALL_MIN_DEN: 0.050632±0.0032, RECALL: 0.050632±0.0032, MAP: 0.022980±0.0010, MRR: 0.022980±0.0010, NDCG: 0.029440±0.0013, F1: 0.009206±0.0006, HIT_RATE: 0.050632±0.0032, ARHR: 0.022980±0.0010, RMSE: 0.926387±0.0014, NOVELTY: 0.005986±0.0000, AVERAGE_POPULARITY: 0.260004±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.989930±0.0000, DIVERSITY_HERFINDAHL: 0.998971±0.0000, COVERAGE_ITEM: 0.124488±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.409009±0.0013, SHANNON_ENTROPY: 10.306165±0.0025, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 397, 'regularization': 10.187899072151469, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 48.518752764429} - results: ROC_AUC: 0.029745±0.0019, PRECISION: 0.004756±0.0004, PRECISION_RECALL_MIN_DEN: 0.047561±0.0036, RECALL: 0.047561±0.0036, MAP: 0.019334±0.0015, MRR: 0.019334±0.0015, NDCG: 0.025901±0.0018, F1: 0.008647±0.0007, HIT_RATE: 0.047561±0.0036, ARHR: 0.019334±0.0015, RMSE: 0.889749±0.0016, NOVELTY: 0.005964±0.0000, AVERAGE_POPULARITY: 0.285647±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.989179±0.0001, DIVERSITY_HERFINDAHL: 0.998896±0.0000, COVERAGE_ITEM: 0.161200±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.340686±0.0019, SHANNON_ENTROPY: 10.400685±0.0072, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 418, 'regularization': 53.00851961842103, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 1.210334182109111} - results: ROC_AUC: 0.010855±0.0013, PRECISION: 0.002028±0.0002, PRECISION_RECALL_MIN_DEN: 0.020280±0.0015, RECALL: 0.020280±0.0015, MAP: 0.006521±0.0013, MRR: 0.006521±0.0013, NDCG: 0.009681±0.0013, F1: 0.003687±0.0003, HIT_RATE: 0.020280±0.0015, ARHR: 0.006521±0.0013, RMSE: 0.991108±0.0001, NOVELTY: 0.004877±0.0000, AVERAGE_POPULARITY: 0.867663±0.0084, DIVERSITY_MEAN_INTER_LIST: 0.127124±0.0001, DIVERSITY_HERFINDAHL: 0.912710±0.0000, COVERAGE_ITEM: 0.001709±0.0000, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.366979±0.0088, SHANNON_ENTROPY: 3.599154±0.0005, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 544, 'regularization': 1.1936345534739465, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.014993447465152571} - results: ROC_AUC: 0.010925±0.0012, PRECISION: 0.002028±0.0001, PRECISION_RECALL_MIN_DEN: 0.020280±0.0014, RECALL: 0.020280±0.0014, MAP: 0.006532±0.0013, MRR: 0.006532±0.0013, NDCG: 0.009691±0.0013, F1: 0.003687±0.0003, HIT_RATE: 0.020280±0.0014, ARHR: 0.006532±0.0013, RMSE: 1.000000±0.0000, NOVELTY: 0.004880±0.0000, AVERAGE_POPULARITY: 0.864516±0.0067, DIVERSITY_MEAN_INTER_LIST: 0.127314±0.0003, DIVERSITY_HERFINDAHL: 0.912729±0.0000, COVERAGE_ITEM: 0.001730±0.0000, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.362458±0.0069, SHANNON_ENTROPY: 3.599719±0.0007, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'num_factors': 411, 'regularization': 46.955126105248446, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 2.7571465854336674} - results: ROC_AUC: 0.034693±0.0013, PRECISION: 0.005370±0.0001, PRECISION_RECALL_MIN_DEN: 0.053704±0.0014, RECALL: 0.053704±0.0014, MAP: 0.023566±0.0012, MRR: 0.023566±0.0012, NDCG: 0.030578±0.0012, F1: 0.009764±0.0003, HIT_RATE: 0.053704±0.0014, ARHR: 0.023566±0.0012, RMSE: 0.960918±0.0004, NOVELTY: 0.005199±0.0000, AVERAGE_POPULARITY: 0.606288±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.909758±0.0002, DIVERSITY_HERFINDAHL: 0.990955±0.0000, COVERAGE_ITEM: 0.014523±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.397257±0.0039, SHANNON_ENTROPY: 7.147025±0.0020, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 306, 'regularization': 0.38213978444955937, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 10.952426226085025} - results: ROC_AUC: 0.031943±0.0018, PRECISION: 0.005054±0.0002, PRECISION_RECALL_MIN_DEN: 0.050542±0.0023, RECALL: 0.050542±0.0023, MAP: 0.020901±0.0013, MRR: 0.020901±0.0013, NDCG: 0.027803±0.0015, F1: 0.009189±0.0004, HIT_RATE: 0.050542±0.0023, ARHR: 0.020901±0.0013, RMSE: 0.906507±0.0007, NOVELTY: 0.005865±0.0000, AVERAGE_POPULARITY: 0.303393±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.987265±0.0000, DIVERSITY_HERFINDAHL: 0.998704±0.0000, COVERAGE_ITEM: 0.114193±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.370815±0.0026, SHANNON_ENTROPY: 10.043839±0.0045, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 548, 'regularization': 0.9320811122734813, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 3.673745155173816} - results: ROC_AUC: 0.032054±0.0002, PRECISION: 0.004765±0.0001, PRECISION_RECALL_MIN_DEN: 0.047651±0.0012, RECALL: 0.047651±0.0012, MAP: 0.021422±0.0006, MRR: 0.021422±0.0006, NDCG: 0.027583±0.0005, F1: 0.008664±0.0002, HIT_RATE: 0.047651±0.0012, ARHR: 0.021422±0.0006, RMSE: 0.956394±0.0012, NOVELTY: 0.006204±0.0000, AVERAGE_POPULARITY: 0.184223±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.992033±0.0000, DIVERSITY_HERFINDAHL: 0.999181±0.0000, COVERAGE_ITEM: 0.128500±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.475766±0.0016, SHANNON_ENTROPY: 10.545883±0.0028, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 464, 'regularization': 33.35797692566128, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 1.3170763053899819} - results: ROC_AUC: 0.023903±0.0012, PRECISION: 0.003844±0.0002, PRECISION_RECALL_MIN_DEN: 0.038437±0.0018, RECALL: 0.038437±0.0018, MAP: 0.016253±0.0011, MRR: 0.016253±0.0011, NDCG: 0.021385±0.0011, F1: 0.006989±0.0003, HIT_RATE: 0.038437±0.0018, ARHR: 0.016253±0.0011, RMSE: 0.983318±0.0002, NOVELTY: 0.004950±0.0000, AVERAGE_POPULARITY: 0.798164±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.685450±0.0010, DIVERSITY_HERFINDAHL: 0.968530±0.0001, COVERAGE_ITEM: 0.004336±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.375882±0.0086, SHANNON_ENTROPY: 5.290927±0.0042, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 406, 'regularization': 0.014363457451565167, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 5.038469603187715} - results: ROC_AUC: 0.034287±0.0006, PRECISION: 0.005126±0.0001, PRECISION_RECALL_MIN_DEN: 0.051265±0.0010, RECALL: 0.051265±0.0010, MAP: 0.023377±0.0008, MRR: 0.023377±0.0008, NDCG: 0.029906±0.0006, F1: 0.009321±0.0002, HIT_RATE: 0.051265±0.0010, ARHR: 0.023377±0.0008, RMSE: 0.937857±0.0013, NOVELTY: 0.006000±0.0000, AVERAGE_POPULARITY: 0.246832±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.989841±0.0000, DIVERSITY_HERFINDAHL: 0.998962±0.0000, COVERAGE_ITEM: 0.112117±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.436357±0.0030, SHANNON_ENTROPY: 10.238437±0.0050, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 433, 'regularization': 73.1943484292731, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.035113007363601074} - results: ROC_AUC: 0.000000±0.0000, PRECISION: 0.000000±0.0000, PRECISION_RECALL_MIN_DEN: 0.000000±0.0000, RECALL: 0.000000±0.0000, MAP: 0.000000±0.0000, MRR: 0.000000±0.0000, NDCG: 0.000000±0.0000, F1: 0.000000±0.0000, HIT_RATE: 0.000000±0.0000, ARHR: 0.000000±0.0000, RMSE: 1.000000±0.0000, NOVELTY: 0.009046±0.0001, AVERAGE_POPULARITY: 0.004569±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.000901±0.0001, DIVERSITY_HERFINDAHL: 0.900090±0.0000, COVERAGE_ITEM: 0.000606±0.0000, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.902896±0.0282, SHANNON_ENTROPY: 3.326121±0.0003, 
