CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 393, 'regularization': 10.941195511447303, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 1.109454314053172} - results: ROC_AUC: 0.039110±0.0027, PRECISION: 0.005822±0.0003, PRECISION_RECALL_MIN_DEN: 0.058220±0.0033, RECALL: 0.058220±0.0033, MAP: 0.025845±0.0020, MRR: 0.025845±0.0020, NDCG: 0.033454±0.0023, F1: 0.010586±0.0006, HIT_RATE: 0.058220±0.0033, ARHR: 0.025845±0.0020, RMSE: 0.978296±0.0002, NOVELTY: 0.005954±0.0000, AVERAGE_POPULARITY: 0.279889±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.977922±0.0001, DIVERSITY_HERFINDAHL: 0.997770±0.0000, COVERAGE_ITEM: 0.050511±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.445151±0.0028, SHANNON_ENTROPY: 9.101458±0.0053, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 485, 'regularization': 2.3134939941865547, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 3.879229834991565} - results: ROC_AUC: 0.036405±0.0014, PRECISION: 0.005438±0.0001, PRECISION_RECALL_MIN_DEN: 0.054381±0.0012, RECALL: 0.054381±0.0012, MAP: 0.024696±0.0009, MRR: 0.024696±0.0009, NDCG: 0.031649±0.0009, F1: 0.009887±0.0002, HIT_RATE: 0.054381±0.0012, ARHR: 0.024696±0.0009, RMSE: 0.943803±0.0014, NOVELTY: 0.006139±0.0000, AVERAGE_POPULARITY: 0.237385±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.989720±0.0000, DIVERSITY_HERFINDAHL: 0.998950±0.0000, COVERAGE_ITEM: 0.111554±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.434330±0.0025, SHANNON_ENTROPY: 10.223692±0.0028, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'num_factors': 317, 'regularization': 28.990641831416752, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 2.013299237714643} - results: ROC_AUC: 0.040023±0.0010, PRECISION: 0.006129±0.0002, PRECISION_RECALL_MIN_DEN: 0.061292±0.0017, RECALL: 0.061292±0.0017, MAP: 0.027134±0.0012, MRR: 0.027134±0.0012, NDCG: 0.035099±0.0013, F1: 0.011144±0.0003, HIT_RATE: 0.061292±0.0017, ARHR: 0.027134±0.0012, RMSE: 0.967224±0.0001, NOVELTY: 0.005542±0.0000, AVERAGE_POPULARITY: 0.479249±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.954759±0.0001, DIVERSITY_HERFINDAHL: 0.995454±0.0000, COVERAGE_ITEM: 0.030105±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.377474±0.0040, SHANNON_ENTROPY: 8.135865±0.0040, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 476, 'regularization': 9.297224194854145, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.17379546429452553} - results: ROC_AUC: 0.010880±0.0013, PRECISION: 0.002042±0.0001, PRECISION_RECALL_MIN_DEN: 0.020416±0.0013, RECALL: 0.020416±0.0013, MAP: 0.006538±0.0013, MRR: 0.006538±0.0013, NDCG: 0.009723±0.0012, F1: 0.003712±0.0002, HIT_RATE: 0.020416±0.0013, ARHR: 0.006538±0.0013, RMSE: 0.998965±0.0000, NOVELTY: 0.005008±0.0000, AVERAGE_POPULARITY: 0.862454±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.128028±0.0001, DIVERSITY_HERFINDAHL: 0.912800±0.0000, COVERAGE_ITEM: 0.002314±0.0000, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.273391±0.0025, SHANNON_ENTROPY: 3.603704±0.0001, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 493, 'regularization': 0.6111803844154388, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.07433651018086046} - results: ROC_AUC: 0.026337±0.0015, PRECISION: 0.003948±0.0002, PRECISION_RECALL_MIN_DEN: 0.039476±0.0021, RECALL: 0.039476±0.0021, MAP: 0.017397±0.0008, MRR: 0.017397±0.0008, NDCG: 0.022584±0.0011, F1: 0.007177±0.0004, HIT_RATE: 0.039476±0.0021, ARHR: 0.017397±0.0008, RMSE: 0.998512±0.0000, NOVELTY: 0.006250±0.0000, AVERAGE_POPULARITY: 0.193168±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.970349±0.0018, DIVERSITY_HERFINDAHL: 0.997013±0.0002, COVERAGE_ITEM: 0.089213±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.262687±0.0030, SHANNON_ENTROPY: 9.137913±0.0488, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 418, 'regularization': 0.026960992437187314, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 33.472538973042695} - results: ROC_AUC: 0.030643±0.0008, PRECISION: 0.004783±0.0002, PRECISION_RECALL_MIN_DEN: 0.047832±0.0016, RECALL: 0.047832±0.0016, MAP: 0.020070±0.0009, MRR: 0.020070±0.0009, NDCG: 0.026550±0.0009, F1: 0.008697±0.0003, HIT_RATE: 0.047832±0.0016, ARHR: 0.020070±0.0009, RMSE: 0.891252±0.0011, NOVELTY: 0.006096±0.0000, AVERAGE_POPULARITY: 0.280339±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.989711±0.0000, DIVERSITY_HERFINDAHL: 0.998949±0.0000, COVERAGE_ITEM: 0.165731±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.342652±0.0009, SHANNON_ENTROPY: 10.452936±0.0074, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 363, 'regularization': 77.56969633924491, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 6.301997800408601} - results: ROC_AUC: 0.039712±0.0016, PRECISION: 0.006319±0.0002, PRECISION_RECALL_MIN_DEN: 0.063189±0.0019, RECALL: 0.063189±0.0019, MAP: 0.026642±0.0015, MRR: 0.026642±0.0015, NDCG: 0.035126±0.0015, F1: 0.011489±0.0003, HIT_RATE: 0.063189±0.0019, ARHR: 0.026642±0.0015, RMSE: 0.923500±0.0004, NOVELTY: 0.005481±0.0000, AVERAGE_POPULARITY: 0.518884±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.946308±0.0003, DIVERSITY_HERFINDAHL: 0.994609±0.0000, COVERAGE_ITEM: 0.032484±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.318855±0.0008, SHANNON_ENTROPY: 8.010905±0.0057, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 518, 'regularization': 1.5337345345351234, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.035413520681348135} - results: ROC_AUC: 0.011036±0.0013, PRECISION: 0.002064±0.0001, PRECISION_RECALL_MIN_DEN: 0.020641±0.0013, RECALL: 0.020641±0.0013, MAP: 0.006579±0.0012, MRR: 0.006579±0.0012, NDCG: 0.009809±0.0012, F1: 0.003753±0.0002, HIT_RATE: 0.020641±0.0013, ARHR: 0.006579±0.0012, RMSE: 0.999703±0.0000, NOVELTY: 0.005009±0.0000, AVERAGE_POPULARITY: 0.861618±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.134619±0.0034, DIVERSITY_HERFINDAHL: 0.913459±0.0003, COVERAGE_ITEM: 0.002336±0.0000, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.271932±0.0024, SHANNON_ENTROPY: 3.616145±0.0035, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 412, 'regularization': 0.01099569905782414, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.49836145176170576} - results: ROC_AUC: 0.023497±0.0025, PRECISION: 0.003297±0.0003, PRECISION_RECALL_MIN_DEN: 0.032972±0.0028, RECALL: 0.032972±0.0028, MAP: 0.016627±0.0017, MRR: 0.016627±0.0017, NDCG: 0.020485±0.0019, F1: 0.005995±0.0005, HIT_RATE: 0.032972±0.0028, ARHR: 0.016627±0.0017, RMSE: 0.991398±0.0003, NOVELTY: 0.006224±0.0000, AVERAGE_POPULARITY: 0.191231±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.974488±0.0008, DIVERSITY_HERFINDAHL: 0.997427±0.0001, COVERAGE_ITEM: 0.077426±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.290671±0.0047, SHANNON_ENTROPY: 9.127664±0.0285, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 499, 'regularization': 62.78371987699565, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.042208432577770516} - results: ROC_AUC: 0.000632±0.0003, PRECISION: 0.000131±0.0000, PRECISION_RECALL_MIN_DEN: 0.001310±0.0005, RECALL: 0.001310±0.0005, MAP: 0.000376±0.0002, MRR: 0.000376±0.0002, NDCG: 0.000589±0.0003, F1: 0.000238±0.0001, HIT_RATE: 0.001310±0.0005, ARHR: 0.000376±0.0002, RMSE: 1.000000±0.0000, NOVELTY: 0.007002±0.0001, AVERAGE_POPULARITY: 0.069088±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.012940±0.0008, DIVERSITY_HERFINDAHL: 0.901294±0.0001, COVERAGE_ITEM: 0.000725±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.772150±0.0538, SHANNON_ENTROPY: 3.359948±0.0019, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 527, 'regularization': 0.3592932500850636, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 4.559078791614746} - results: ROC_AUC: 0.035421±0.0008, PRECISION: 0.005294±0.0002, PRECISION_RECALL_MIN_DEN: 0.052936±0.0019, RECALL: 0.052936±0.0019, MAP: 0.024139±0.0011, MRR: 0.024139±0.0011, NDCG: 0.030882±0.0009, F1: 0.009625±0.0003, HIT_RATE: 0.052936±0.0019, ARHR: 0.024139±0.0011, RMSE: 0.940913±0.0013, NOVELTY: 0.006177±0.0000, AVERAGE_POPULARITY: 0.230272±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.990666±0.0000, DIVERSITY_HERFINDAHL: 0.999044±0.0000, COVERAGE_ITEM: 0.125926±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.426664±0.0013, SHANNON_ENTROPY: 10.376407±0.0047, 
