SearchBayesianSkopt: New best config found. Config 0: {'topK': 143, 'shrink': 265, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8213032650415153, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2410619, PRECISION: 0.0040688, PRECISION_RECALL_MIN_DEN: 0.0135628, RECALL: 0.0135628, MAP: 0.0048540, MRR: 0.0139062, NDCG: 0.0095242, F1: 0.0062598, HIT_RATE: 0.0406884, ARHR: 0.0142341, RMSE: nan, NOVELTY: 0.0068638, AVERAGE_POPULARITY: 0.0701752, DIVERSITY_MEAN_INTER_LIST: 0.9980174, DIVERSITY_HERFINDAHL: 0.9996665, COVERAGE_ITEM: 0.8514106, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3524545, SHANNON_ENTROPY: 12.4700011, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 77, 'shrink': 201, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8855255884019835, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2407877, PRECISION: 0.0040688, PRECISION_RECALL_MIN_DEN: 0.0135628, RECALL: 0.0135628, MAP: 0.0047727, MRR: 0.0136118, NDCG: 0.0094254, F1: 0.0062598, HIT_RATE: 0.0406884, ARHR: 0.0139650, RMSE: nan, NOVELTY: 0.0068690, AVERAGE_POPULARITY: 0.0698722, DIVERSITY_MEAN_INTER_LIST: 0.9980213, DIVERSITY_HERFINDAHL: 0.9996672, COVERAGE_ITEM: 0.8480068, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3529864, SHANNON_ENTROPY: 12.4679025, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 665, 'shrink': 538, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5618865756536416, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2412638, PRECISION: 0.0041074, PRECISION_RECALL_MIN_DEN: 0.0136914, RECALL: 0.0136914, MAP: 0.0048254, MRR: 0.0138792, NDCG: 0.0095453, F1: 0.0063191, HIT_RATE: 0.0410741, ARHR: 0.0141777, RMSE: nan, NOVELTY: 0.0068618, AVERAGE_POPULARITY: 0.0705697, DIVERSITY_MEAN_INTER_LIST: 0.9979679, DIVERSITY_HERFINDAHL: 0.9996584, COVERAGE_ITEM: 0.8468940, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3495608, SHANNON_ENTROPY: 12.4471488, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 717, 'shrink': 420, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.1953254044810851, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2334971, PRECISION: 0.0027576, PRECISION_RECALL_MIN_DEN: 0.0091919, RECALL: 0.0091919, MAP: 0.0029492, MRR: 0.0084541, NDCG: 0.0060941, F1: 0.0042424, HIT_RATE: 0.0275756, ARHR: 0.0086508, RMSE: nan, NOVELTY: 0.0069410, AVERAGE_POPULARITY: 0.0589617, DIVERSITY_MEAN_INTER_LIST: 0.9981647, DIVERSITY_HERFINDAHL: 0.9996907, COVERAGE_ITEM: 0.7657263, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3523018, SHANNON_ENTROPY: 12.3798705, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 962, 'shrink': 155, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.34916501898539704, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2330666, PRECISION: 0.0027383, PRECISION_RECALL_MIN_DEN: 0.0091276, RECALL: 0.0091276, MAP: 0.0029392, MRR: 0.0084112, NDCG: 0.0060519, F1: 0.0042127, HIT_RATE: 0.0273827, ARHR: 0.0086143, RMSE: nan, NOVELTY: 0.0069370, AVERAGE_POPULARITY: 0.0593935, DIVERSITY_MEAN_INTER_LIST: 0.9981407, DIVERSITY_HERFINDAHL: 0.9996868, COVERAGE_ITEM: 0.7581331, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3512239, SHANNON_ENTROPY: 12.3615605, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2413294, PRECISION: 0.0036109, PRECISION_RECALL_MIN_DEN: 0.0120362, RECALL: 0.0120362, MAP: 0.0049320, MRR: 0.0142756, NDCG: 0.0091736, F1: 0.0055552, HIT_RATE: 0.0361086, ARHR: 0.0145357, RMSE: nan, NOVELTY: 0.0069332, AVERAGE_POPULARITY: 0.0708138, DIVERSITY_MEAN_INTER_LIST: 0.9932508, DIVERSITY_HERFINDAHL: 0.9988838, COVERAGE_ITEM: 0.7500164, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2869426, SHANNON_ENTROPY: 11.6815698, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 985, 'shrink': 958, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.024286457651655498, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2410179, PRECISION: 0.0041219, PRECISION_RECALL_MIN_DEN: 0.0137396, RECALL: 0.0137396, MAP: 0.0048577, MRR: 0.0138349, NDCG: 0.0095678, F1: 0.0063413, HIT_RATE: 0.0412187, ARHR: 0.0142010, RMSE: nan, NOVELTY: 0.0068646, AVERAGE_POPULARITY: 0.0708497, DIVERSITY_MEAN_INTER_LIST: 0.9979602, DIVERSITY_HERFINDAHL: 0.9996571, COVERAGE_ITEM: 0.8471559, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3497436, SHANNON_ENTROPY: 12.4465131, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 988, 'shrink': 923, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9678619379386761, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2413579, PRECISION: 0.0042135, PRECISION_RECALL_MIN_DEN: 0.0140449, RECALL: 0.0140449, MAP: 0.0048598, MRR: 0.0139010, NDCG: 0.0096782, F1: 0.0064823, HIT_RATE: 0.0421347, ARHR: 0.0142402, RMSE: nan, NOVELTY: 0.0068573, AVERAGE_POPULARITY: 0.0709885, DIVERSITY_MEAN_INTER_LIST: 0.9980081, DIVERSITY_HERFINDAHL: 0.9996650, COVERAGE_ITEM: 0.8495123, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3530161, SHANNON_ENTROPY: 12.4683925, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 24, 'shrink': 962, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8539202401966515, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2376220, PRECISION: 0.0035193, PRECISION_RECALL_MIN_DEN: 0.0117309, RECALL: 0.0117309, MAP: 0.0038261, MRR: 0.0109213, NDCG: 0.0078414, F1: 0.0054142, HIT_RATE: 0.0351926, ARHR: 0.0111998, RMSE: nan, NOVELTY: 0.0069416, AVERAGE_POPULARITY: 0.0606145, DIVERSITY_MEAN_INTER_LIST: 0.9979328, DIVERSITY_HERFINDAHL: 0.9996526, COVERAGE_ITEM: 0.7862800, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3631176, SHANNON_ENTROPY: 12.4151725, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2359012, PRECISION: 0.0029263, PRECISION_RECALL_MIN_DEN: 0.0097543, RECALL: 0.0097543, MAP: 0.0035603, MRR: 0.0103072, NDCG: 0.0069595, F1: 0.0045020, HIT_RATE: 0.0292629, ARHR: 0.0104940, RMSE: nan, NOVELTY: 0.0069815, AVERAGE_POPULARITY: 0.0601896, DIVERSITY_MEAN_INTER_LIST: 0.9934561, DIVERSITY_HERFINDAHL: 0.9989175, COVERAGE_ITEM: 0.7797997, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3071874, SHANNON_ENTROPY: 11.8969775, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 970, 'shrink': 2, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.959972222518257, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2398296, PRECISION: 0.0039531, PRECISION_RECALL_MIN_DEN: 0.0131771, RECALL: 0.0131771, MAP: 0.0044694, MRR: 0.0127229, NDCG: 0.0089760, F1: 0.0060818, HIT_RATE: 0.0395314, ARHR: 0.0130656, RMSE: nan, NOVELTY: 0.0068704, AVERAGE_POPULARITY: 0.0692381, DIVERSITY_MEAN_INTER_LIST: 0.9981739, DIVERSITY_HERFINDAHL: 0.9996922, COVERAGE_ITEM: 0.8556654, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3585763, SHANNON_ENTROPY: 12.5243159, 
