SearchBayesianSkopt: New best config found. Config 0: {'topK': 143, 'shrink': 265, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2406930, PRECISION: 0.0040592, PRECISION_RECALL_MIN_DEN: 0.0135307, RECALL: 0.0135307, MAP: 0.0046665, MRR: 0.0133439, NDCG: 0.0093108, F1: 0.0062449, HIT_RATE: 0.0405920, ARHR: 0.0136717, RMSE: nan, NOVELTY: 0.0068695, AVERAGE_POPULARITY: 0.0699887, DIVERSITY_MEAN_INTER_LIST: 0.9980056, DIVERSITY_HERFINDAHL: 0.9996646, COVERAGE_ITEM: 0.8463049, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3529037, SHANNON_ENTROPY: 12.4627549, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 655, 'shrink': 72, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2415196, PRECISION: 0.0041026, PRECISION_RECALL_MIN_DEN: 0.0136753, RECALL: 0.0136753, MAP: 0.0048945, MRR: 0.0140329, NDCG: 0.0096118, F1: 0.0063117, HIT_RATE: 0.0410259, ARHR: 0.0143582, RMSE: nan, NOVELTY: 0.0068723, AVERAGE_POPULARITY: 0.0694057, DIVERSITY_MEAN_INTER_LIST: 0.9980649, DIVERSITY_HERFINDAHL: 0.9996743, COVERAGE_ITEM: 0.8514761, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3561634, SHANNON_ENTROPY: 12.4897327, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 943, 'shrink': 802, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2422347, PRECISION: 0.0043051, PRECISION_RECALL_MIN_DEN: 0.0143502, RECALL: 0.0143502, MAP: 0.0050946, MRR: 0.0145286, NDCG: 0.0100256, F1: 0.0066232, HIT_RATE: 0.0430507, ARHR: 0.0149062, RMSE: nan, NOVELTY: 0.0068616, AVERAGE_POPULARITY: 0.0712002, DIVERSITY_MEAN_INTER_LIST: 0.9979306, DIVERSITY_HERFINDAHL: 0.9996523, COVERAGE_ITEM: 0.8453885, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3484156, SHANNON_ENTROPY: 12.4356166, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 811, 'shrink': 281, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2424362, PRECISION: 0.0043340, PRECISION_RECALL_MIN_DEN: 0.0144466, RECALL: 0.0144466, MAP: 0.0051085, MRR: 0.0145940, NDCG: 0.0100777, F1: 0.0066677, HIT_RATE: 0.0433399, ARHR: 0.0149597, RMSE: nan, NOVELTY: 0.0068610, AVERAGE_POPULARITY: 0.0712742, DIVERSITY_MEAN_INTER_LIST: 0.9979307, DIVERSITY_HERFINDAHL: 0.9996523, COVERAGE_ITEM: 0.8445375, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3485322, SHANNON_ENTROPY: 12.4350996, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 776, 'shrink': 821, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2412819, PRECISION: 0.0041460, PRECISION_RECALL_MIN_DEN: 0.0138199, RECALL: 0.0138199, MAP: 0.0048845, MRR: 0.0139978, NDCG: 0.0096372, F1: 0.0063784, HIT_RATE: 0.0414598, ARHR: 0.0143256, RMSE: nan, NOVELTY: 0.0068661, AVERAGE_POPULARITY: 0.0706788, DIVERSITY_MEAN_INTER_LIST: 0.9979636, DIVERSITY_HERFINDAHL: 0.9996577, COVERAGE_ITEM: 0.8455849, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3503457, SHANNON_ENTROPY: 12.4468402, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 998, 'shrink': 980, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2331881, PRECISION: 0.0027142, PRECISION_RECALL_MIN_DEN: 0.0090472, RECALL: 0.0090472, MAP: 0.0029341, MRR: 0.0084216, NDCG: 0.0060288, F1: 0.0041756, HIT_RATE: 0.0271417, ARHR: 0.0086119, RMSE: nan, NOVELTY: 0.0069362, AVERAGE_POPULARITY: 0.0593406, DIVERSITY_MEAN_INTER_LIST: 0.9981359, DIVERSITY_HERFINDAHL: 0.9996860, COVERAGE_ITEM: 0.7574786, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3512396, SHANNON_ENTROPY: 12.3596972, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 15, 'shrink': 27, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2376612, PRECISION: 0.0033457, PRECISION_RECALL_MIN_DEN: 0.0111524, RECALL: 0.0111524, MAP: 0.0038574, MRR: 0.0111205, NDCG: 0.0077154, F1: 0.0051472, HIT_RATE: 0.0334571, ARHR: 0.0113463, RMSE: nan, NOVELTY: 0.0069517, AVERAGE_POPULARITY: 0.0599341, DIVERSITY_MEAN_INTER_LIST: 0.9976432, DIVERSITY_HERFINDAHL: 0.9996051, COVERAGE_ITEM: 0.8013353, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3563233, SHANNON_ENTROPY: 12.3928612, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 7, 'shrink': 959, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2405792, PRECISION: 0.0038037, PRECISION_RECALL_MIN_DEN: 0.0126790, RECALL: 0.0126790, MAP: 0.0047940, MRR: 0.0138001, NDCG: 0.0091950, F1: 0.0058518, HIT_RATE: 0.0380369, ARHR: 0.0140911, RMSE: nan, NOVELTY: 0.0069139, AVERAGE_POPULARITY: 0.0723574, DIVERSITY_MEAN_INTER_LIST: 0.9952292, DIVERSITY_HERFINDAHL: 0.9992087, COVERAGE_ITEM: 0.7716829, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2947910, SHANNON_ENTROPY: 11.8599294, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 6, 'shrink': 980, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2415350, PRECISION: 0.0040110, PRECISION_RECALL_MIN_DEN: 0.0133700, RECALL: 0.0133700, MAP: 0.0049078, MRR: 0.0140920, NDCG: 0.0095378, F1: 0.0061708, HIT_RATE: 0.0401099, ARHR: 0.0144077, RMSE: nan, NOVELTY: 0.0069058, AVERAGE_POPULARITY: 0.0737616, DIVERSITY_MEAN_INTER_LIST: 0.9929087, DIVERSITY_HERFINDAHL: 0.9988277, COVERAGE_ITEM: 0.7406559, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2790939, SHANNON_ENTROPY: 11.6172620, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 7, 'shrink': 29, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2367114, PRECISION: 0.0031239, PRECISION_RECALL_MIN_DEN: 0.0104132, RECALL: 0.0104132, MAP: 0.0036919, MRR: 0.0106565, NDCG: 0.0073050, F1: 0.0048061, HIT_RATE: 0.0312395, ARHR: 0.0108662, RMSE: nan, NOVELTY: 0.0069597, AVERAGE_POPULARITY: 0.0619651, DIVERSITY_MEAN_INTER_LIST: 0.9954526, DIVERSITY_HERFINDAHL: 0.9992454, COVERAGE_ITEM: 0.8129868, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3329901, SHANNON_ENTROPY: 12.1725856, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 978, 'shrink': 5, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2396414, PRECISION: 0.0039242, PRECISION_RECALL_MIN_DEN: 0.0130807, RECALL: 0.0130807, MAP: 0.0044754, MRR: 0.0127348, NDCG: 0.0089480, F1: 0.0060373, HIT_RATE: 0.0392422, ARHR: 0.0130805, RMSE: nan, NOVELTY: 0.0068706, AVERAGE_POPULARITY: 0.0689596, DIVERSITY_MEAN_INTER_LIST: 0.9981274, DIVERSITY_HERFINDAHL: 0.9996846, COVERAGE_ITEM: 0.8494469, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3584326, SHANNON_ENTROPY: 12.5067670, 
