SearchBayesianSkopt: New best config found. Config 0: {'topK': 143, 'shrink': 265, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.2336525, PRECISION: 0.0027817, PRECISION_RECALL_MIN_DEN: 0.0092722, RECALL: 0.0092722, MAP: 0.0030109, MRR: 0.0086286, NDCG: 0.0061832, F1: 0.0042795, HIT_RATE: 0.0278166, ARHR: 0.0088307, RMSE: nan, NOVELTY: 0.0069416, AVERAGE_POPULARITY: 0.0589230, DIVERSITY_MEAN_INTER_LIST: 0.9981782, DIVERSITY_HERFINDAHL: 0.9996929, COVERAGE_ITEM: 0.7669700, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3556841, SHANNON_ENTROPY: 12.3951919, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 911, 'shrink': 653, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.2331325, PRECISION: 0.0027527, PRECISION_RECALL_MIN_DEN: 0.0091758, RECALL: 0.0091758, MAP: 0.0029685, MRR: 0.0085007, NDCG: 0.0060986, F1: 0.0042350, HIT_RATE: 0.0275274, ARHR: 0.0087032, RMSE: nan, NOVELTY: 0.0069358, AVERAGE_POPULARITY: 0.0593644, DIVERSITY_MEAN_INTER_LIST: 0.9981541, DIVERSITY_HERFINDAHL: 0.9996890, COVERAGE_ITEM: 0.7609478, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3518183, SHANNON_ENTROPY: 12.3699563, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 194, 'shrink': 934, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.2338215, PRECISION: 0.0027961, PRECISION_RECALL_MIN_DEN: 0.0093204, RECALL: 0.0093204, MAP: 0.0030728, MRR: 0.0088240, NDCG: 0.0062686, F1: 0.0043017, HIT_RATE: 0.0279612, ARHR: 0.0090212, RMSE: nan, NOVELTY: 0.0069427, AVERAGE_POPULARITY: 0.0588324, DIVERSITY_MEAN_INTER_LIST: 0.9981529, DIVERSITY_HERFINDAHL: 0.9996888, COVERAGE_ITEM: 0.7665772, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3520091, SHANNON_ENTROPY: 12.3780797, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 665, 'shrink': 538, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.2335507, PRECISION: 0.0027624, PRECISION_RECALL_MIN_DEN: 0.0092079, RECALL: 0.0092079, MAP: 0.0029841, MRR: 0.0085587, NDCG: 0.0061370, F1: 0.0042498, HIT_RATE: 0.0276238, ARHR: 0.0087555, RMSE: nan, NOVELTY: 0.0069408, AVERAGE_POPULARITY: 0.0592195, DIVERSITY_MEAN_INTER_LIST: 0.9981540, DIVERSITY_HERFINDAHL: 0.9996890, COVERAGE_ITEM: 0.7644171, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3515517, SHANNON_ENTROPY: 12.3738104, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 285, 'shrink': 397, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.2340056, PRECISION: 0.0028106, PRECISION_RECALL_MIN_DEN: 0.0093686, RECALL: 0.0093686, MAP: 0.0030941, MRR: 0.0089015, NDCG: 0.0063120, F1: 0.0043240, HIT_RATE: 0.0281059, ARHR: 0.0090919, RMSE: nan, NOVELTY: 0.0069408, AVERAGE_POPULARITY: 0.0589813, DIVERSITY_MEAN_INTER_LIST: 0.9981516, DIVERSITY_HERFINDAHL: 0.9996886, COVERAGE_ITEM: 0.7663808, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3522554, SHANNON_ENTROPY: 12.3785288, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 998, 'shrink': 10, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.2334442, PRECISION: 0.0027624, PRECISION_RECALL_MIN_DEN: 0.0092079, RECALL: 0.0092079, MAP: 0.0029977, MRR: 0.0086029, NDCG: 0.0061481, F1: 0.0042498, HIT_RATE: 0.0276238, ARHR: 0.0087980, RMSE: nan, NOVELTY: 0.0069360, AVERAGE_POPULARITY: 0.0593345, DIVERSITY_MEAN_INTER_LIST: 0.9981358, DIVERSITY_HERFINDAHL: 0.9996860, COVERAGE_ITEM: 0.7581986, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3512745, SHANNON_ENTROPY: 12.3608278, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 13, 'shrink': 994, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.2372621, PRECISION: 0.0032734, PRECISION_RECALL_MIN_DEN: 0.0109113, RECALL: 0.0109113, MAP: 0.0038290, MRR: 0.0110104, NDCG: 0.0076010, F1: 0.0050360, HIT_RATE: 0.0327339, ARHR: 0.0112488, RMSE: nan, NOVELTY: 0.0069477, AVERAGE_POPULARITY: 0.0603466, DIVERSITY_MEAN_INTER_LIST: 0.9974093, DIVERSITY_HERFINDAHL: 0.9995667, COVERAGE_ITEM: 0.8091248, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3524447, SHANNON_ENTROPY: 12.3676636, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 988, 'shrink': 970, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.2333746, PRECISION: 0.0027768, PRECISION_RECALL_MIN_DEN: 0.0092561, RECALL: 0.0092561, MAP: 0.0029444, MRR: 0.0084430, NDCG: 0.0061048, F1: 0.0042721, HIT_RATE: 0.0277684, ARHR: 0.0086382, RMSE: nan, NOVELTY: 0.0069397, AVERAGE_POPULARITY: 0.0590186, DIVERSITY_MEAN_INTER_LIST: 0.9981464, DIVERSITY_HERFINDAHL: 0.9996877, COVERAGE_ITEM: 0.7635007, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3512116, SHANNON_ENTROPY: 12.3701294, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 11, 'shrink': 2, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.2369507, PRECISION: 0.0033216, PRECISION_RECALL_MIN_DEN: 0.0110720, RECALL: 0.0110720, MAP: 0.0036227, MRR: 0.0104112, NDCG: 0.0074288, F1: 0.0051102, HIT_RATE: 0.0332160, ARHR: 0.0106373, RMSE: nan, NOVELTY: 0.0069458, AVERAGE_POPULARITY: 0.0615445, DIVERSITY_MEAN_INTER_LIST: 0.9970587, DIVERSITY_HERFINDAHL: 0.9995091, COVERAGE_ITEM: 0.8070956, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3477724, SHANNON_ENTROPY: 12.3217941, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.2355621, PRECISION: 0.0030034, PRECISION_RECALL_MIN_DEN: 0.0100114, RECALL: 0.0100114, MAP: 0.0034432, MRR: 0.0099725, NDCG: 0.0069062, F1: 0.0046207, HIT_RATE: 0.0300342, ARHR: 0.0101511, RMSE: nan, NOVELTY: 0.0069944, AVERAGE_POPULARITY: 0.0602869, DIVERSITY_MEAN_INTER_LIST: 0.9929402, DIVERSITY_HERFINDAHL: 0.9988328, COVERAGE_ITEM: 0.8122013, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3179891, SHANNON_ENTROPY: 11.9888755, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.2331871, PRECISION: 0.0027527, PRECISION_RECALL_MIN_DEN: 0.0091758, RECALL: 0.0091758, MAP: 0.0029475, MRR: 0.0084522, NDCG: 0.0060801, F1: 0.0042350, HIT_RATE: 0.0275274, ARHR: 0.0086474, RMSE: nan, NOVELTY: 0.0069348, AVERAGE_POPULARITY: 0.0594160, DIVERSITY_MEAN_INTER_LIST: 0.9981422, DIVERSITY_HERFINDAHL: 0.9996870, COVERAGE_ITEM: 0.7591805, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3512403, SHANNON_ENTROPY: 12.3632885, 
