SearchBayesianSkopt: New best config found. Config 0: {'topK': 143, 'shrink': 265, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8213032650415153, 'tversky_beta': 1.3069593337166383} - results: ROC_AUC: 0.2336525, PRECISION: 0.0027817, PRECISION_RECALL_MIN_DEN: 0.0092722, RECALL: 0.0092722, MAP: 0.0030109, MRR: 0.0086286, NDCG: 0.0061832, F1: 0.0042795, HIT_RATE: 0.0278166, ARHR: 0.0088307, RMSE: nan, NOVELTY: 0.0069414, AVERAGE_POPULARITY: 0.0589286, DIVERSITY_MEAN_INTER_LIST: 0.9981785, DIVERSITY_HERFINDAHL: 0.9996930, COVERAGE_ITEM: 0.7670354, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3556873, SHANNON_ENTROPY: 12.3953337, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 77, 'shrink': 201, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8855255884019835, 'tversky_beta': 1.6038658014842322} - results: ROC_AUC: 0.2345694, PRECISION: 0.0029022, PRECISION_RECALL_MIN_DEN: 0.0096739, RECALL: 0.0096739, MAP: 0.0032592, MRR: 0.0094041, NDCG: 0.0065876, F1: 0.0044649, HIT_RATE: 0.0290218, ARHR: 0.0095909, RMSE: nan, NOVELTY: 0.0069338, AVERAGE_POPULARITY: 0.0593059, DIVERSITY_MEAN_INTER_LIST: 0.9981595, DIVERSITY_HERFINDAHL: 0.9996899, COVERAGE_ITEM: 0.7718138, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3575770, SHANNON_ENTROPY: 12.4056270, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 665, 'shrink': 538, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5618865756536416, 'tversky_beta': 0.7932091523702087} - results: ROC_AUC: 0.2335560, PRECISION: 0.0027672, PRECISION_RECALL_MIN_DEN: 0.0092240, RECALL: 0.0092240, MAP: 0.0029859, MRR: 0.0085641, NDCG: 0.0061438, F1: 0.0042572, HIT_RATE: 0.0276720, ARHR: 0.0087608, RMSE: nan, NOVELTY: 0.0069407, AVERAGE_POPULARITY: 0.0592287, DIVERSITY_MEAN_INTER_LIST: 0.9981536, DIVERSITY_HERFINDAHL: 0.9996889, COVERAGE_ITEM: 0.7644171, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3515923, SHANNON_ENTROPY: 12.3738570, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 717, 'shrink': 420, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.1953254044810851, 'tversky_beta': 0.21065072454613537} - results: ROC_AUC: 0.2331436, PRECISION: 0.0027045, PRECISION_RECALL_MIN_DEN: 0.0090151, RECALL: 0.0090151, MAP: 0.0029079, MRR: 0.0083301, NDCG: 0.0059900, F1: 0.0041608, HIT_RATE: 0.0270453, ARHR: 0.0085268, RMSE: nan, NOVELTY: 0.0069399, AVERAGE_POPULARITY: 0.0591985, DIVERSITY_MEAN_INTER_LIST: 0.9981526, DIVERSITY_HERFINDAHL: 0.9996887, COVERAGE_ITEM: 0.7648753, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3509416, SHANNON_ENTROPY: 12.3724484, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 962, 'shrink': 155, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.34916501898539704, 'tversky_beta': 0.14065755965917462} - results: ROC_AUC: 0.2332005, PRECISION: 0.0027624, PRECISION_RECALL_MIN_DEN: 0.0092079, RECALL: 0.0092079, MAP: 0.0029762, MRR: 0.0085223, NDCG: 0.0061175, F1: 0.0042498, HIT_RATE: 0.0276238, ARHR: 0.0087255, RMSE: nan, NOVELTY: 0.0069343, AVERAGE_POPULARITY: 0.0595538, DIVERSITY_MEAN_INTER_LIST: 0.9981348, DIVERSITY_HERFINDAHL: 0.9996858, COVERAGE_ITEM: 0.7568894, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3510916, SHANNON_ENTROPY: 12.3583636, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.2330632, PRECISION: 0.0027093, PRECISION_RECALL_MIN_DEN: 0.0090312, RECALL: 0.0090312, MAP: 0.0029116, MRR: 0.0083434, NDCG: 0.0059958, F1: 0.0041682, HIT_RATE: 0.0270935, ARHR: 0.0085391, RMSE: nan, NOVELTY: 0.0069342, AVERAGE_POPULARITY: 0.0596952, DIVERSITY_MEAN_INTER_LIST: 0.9981324, DIVERSITY_HERFINDAHL: 0.9996854, COVERAGE_ITEM: 0.7595078, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3502509, SHANNON_ENTROPY: 12.3592056, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'shrink': 916, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.05444962713936509, 'tversky_beta': 0.019744776534826206} - results: ROC_AUC: 0.2355621, PRECISION: 0.0030034, PRECISION_RECALL_MIN_DEN: 0.0100114, RECALL: 0.0100114, MAP: 0.0034432, MRR: 0.0099725, NDCG: 0.0069062, F1: 0.0046207, HIT_RATE: 0.0300342, ARHR: 0.0101511, RMSE: nan, NOVELTY: 0.0069944, AVERAGE_POPULARITY: 0.0602869, DIVERSITY_MEAN_INTER_LIST: 0.9929402, DIVERSITY_HERFINDAHL: 0.9988328, COVERAGE_ITEM: 0.8122013, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3179891, SHANNON_ENTROPY: 11.9888755, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.2355621, PRECISION: 0.0030034, PRECISION_RECALL_MIN_DEN: 0.0100114, RECALL: 0.0100114, MAP: 0.0034432, MRR: 0.0099725, NDCG: 0.0069062, F1: 0.0046207, HIT_RATE: 0.0300342, ARHR: 0.0101511, RMSE: nan, NOVELTY: 0.0069944, AVERAGE_POPULARITY: 0.0602875, DIVERSITY_MEAN_INTER_LIST: 0.9929402, DIVERSITY_HERFINDAHL: 0.9988328, COVERAGE_ITEM: 0.8122013, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3179866, SHANNON_ENTROPY: 11.9888673, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 999, 'shrink': 27, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.10059239513765686, 'tversky_beta': 1.9439525840702614} - results: ROC_AUC: 0.2334291, PRECISION: 0.0027817, PRECISION_RECALL_MIN_DEN: 0.0092722, RECALL: 0.0092722, MAP: 0.0029974, MRR: 0.0086115, NDCG: 0.0061670, F1: 0.0042795, HIT_RATE: 0.0278166, ARHR: 0.0088018, RMSE: nan, NOVELTY: 0.0069366, AVERAGE_POPULARITY: 0.0592497, DIVERSITY_MEAN_INTER_LIST: 0.9981463, DIVERSITY_HERFINDAHL: 0.9996877, COVERAGE_ITEM: 0.7639589, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3513077, SHANNON_ENTROPY: 12.3711355, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 5, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.2355701, PRECISION: 0.0029745, PRECISION_RECALL_MIN_DEN: 0.0099150, RECALL: 0.0099150, MAP: 0.0034793, MRR: 0.0100712, NDCG: 0.0069136, F1: 0.0045761, HIT_RATE: 0.0297450, ARHR: 0.0102546, RMSE: nan, NOVELTY: 0.0069915, AVERAGE_POPULARITY: 0.0602857, DIVERSITY_MEAN_INTER_LIST: 0.9929299, DIVERSITY_HERFINDAHL: 0.9988311, COVERAGE_ITEM: 0.8123977, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3178481, SHANNON_ENTROPY: 11.9888525, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 44, 'shrink': 30, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9741766291094107, 'tversky_beta': 0.10575907397710307} - results: ROC_AUC: 0.2359842, PRECISION: 0.0031963, PRECISION_RECALL_MIN_DEN: 0.0106542, RECALL: 0.0106542, MAP: 0.0034776, MRR: 0.0099673, NDCG: 0.0071289, F1: 0.0049173, HIT_RATE: 0.0319626, ARHR: 0.0102001, RMSE: nan, NOVELTY: 0.0069328, AVERAGE_POPULARITY: 0.0603654, DIVERSITY_MEAN_INTER_LIST: 0.9981024, DIVERSITY_HERFINDAHL: 0.9996805, COVERAGE_ITEM: 0.7720102, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3600099, SHANNON_ENTROPY: 12.4059257, 
