SearchBayesianSkopt: New best config found. Config 0: {'topK': 999, 'shrink': 628, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9277198012312846, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2365899, PRECISION: 0.0031770, PRECISION_RECALL_MIN_DEN: 0.0105899, RECALL: 0.0105899, MAP: 0.0037405, MRR: 0.0108429, NDCG: 0.0074118, F1: 0.0048877, HIT_RATE: 0.0317698, ARHR: 0.0110323, RMSE: nan, NOVELTY: 0.0042413, AVERAGE_POPULARITY: 0.0494247, DIVERSITY_MEAN_INTER_LIST: 0.9984835, DIVERSITY_HERFINDAHL: 0.9997431, COVERAGE_ITEM: 0.8437956, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3806029, SHANNON_ENTROPY: 12.8401029, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 929, 'shrink': 3, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.550425827571278, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2357161, PRECISION: 0.0030613, PRECISION_RECALL_MIN_DEN: 0.0102042, RECALL: 0.0102042, MAP: 0.0034966, MRR: 0.0100717, NDCG: 0.0070179, F1: 0.0047097, HIT_RATE: 0.0306127, ARHR: 0.0102808, RMSE: nan, NOVELTY: 0.0042411, AVERAGE_POPULARITY: 0.0481474, DIVERSITY_MEAN_INTER_LIST: 0.9986452, DIVERSITY_HERFINDAHL: 0.9997696, COVERAGE_ITEM: 0.8487699, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3900672, SHANNON_ENTROPY: 12.9097263, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 547, 'shrink': 949, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.016258609920542625, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 951, 'shrink': 398, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2394599714306074, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2365641, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037326, MRR: 0.0107998, NDCG: 0.0073954, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109988, RMSE: nan, NOVELTY: 0.0042417, AVERAGE_POPULARITY: 0.0492753, DIVERSITY_MEAN_INTER_LIST: 0.9985033, DIVERSITY_HERFINDAHL: 0.9997463, COVERAGE_ITEM: 0.8460665, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3810848, SHANNON_ENTROPY: 12.8488029, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 997, 'shrink': 809, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6396251014878603, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 17, 'shrink': 36, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8437539804055798, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2368938, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0038895, MRR: 0.0113110, NDCG: 0.0075729, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0114897, RMSE: nan, NOVELTY: 0.0042894, AVERAGE_POPULARITY: 0.0495950, DIVERSITY_MEAN_INTER_LIST: 0.9966014, DIVERSITY_HERFINDAHL: 0.9994340, COVERAGE_ITEM: 0.7642065, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3229773, SHANNON_ENTROPY: 12.3005845, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 55, 'shrink': 20, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.042632377594094224, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2358071, PRECISION: 0.0031143, PRECISION_RECALL_MIN_DEN: 0.0103810, RECALL: 0.0103810, MAP: 0.0035725, MRR: 0.0102546, NDCG: 0.0071443, F1: 0.0047912, HIT_RATE: 0.0311430, ARHR: 0.0104860, RMSE: nan, NOVELTY: 0.0042394, AVERAGE_POPULARITY: 0.0490093, DIVERSITY_MEAN_INTER_LIST: 0.9983736, DIVERSITY_HERFINDAHL: 0.9997250, COVERAGE_ITEM: 0.8286023, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3705134, SHANNON_ENTROPY: 12.7705245, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2370170, PRECISION: 0.0027431, PRECISION_RECALL_MIN_DEN: 0.0091436, RECALL: 0.0091436, MAP: 0.0041202, MRR: 0.0120199, NDCG: 0.0073846, F1: 0.0042201, HIT_RATE: 0.0274309, ARHR: 0.0121902, RMSE: nan, NOVELTY: 0.0043977, AVERAGE_POPULARITY: 0.0469662, DIVERSITY_MEAN_INTER_LIST: 0.9831055, DIVERSITY_HERFINDAHL: 0.9972179, COVERAGE_ITEM: 0.6722357, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2616419, SHANNON_ENTROPY: 11.3304352, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 62, 'shrink': 30, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9917488753471246, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2313826, PRECISION: 0.0024442, PRECISION_RECALL_MIN_DEN: 0.0081473, RECALL: 0.0081473, MAP: 0.0023754, MRR: 0.0069186, NDCG: 0.0051621, F1: 0.0037603, HIT_RATE: 0.0244420, ARHR: 0.0070225, RMSE: nan, NOVELTY: 0.0042555, AVERAGE_POPULARITY: 0.0433947, DIVERSITY_MEAN_INTER_LIST: 0.9985759, DIVERSITY_HERFINDAHL: 0.9997582, COVERAGE_ITEM: 0.7681536, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3843463, SHANNON_ENTROPY: 12.7716549, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 993, 'shrink': 969, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.03432942878635537, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2364506, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037108, MRR: 0.0107538, NDCG: 0.0073731, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109431, RMSE: nan, NOVELTY: 0.0042411, AVERAGE_POPULARITY: 0.0494637, DIVERSITY_MEAN_INTER_LIST: 0.9984755, DIVERSITY_HERFINDAHL: 0.9997418, COVERAGE_ITEM: 0.8433090, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3799026, SHANNON_ENTROPY: 12.8360025, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 24, 'shrink': 933, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.008033627616075735, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2375062, PRECISION: 0.0032445, PRECISION_RECALL_MIN_DEN: 0.0108149, RECALL: 0.0108149, MAP: 0.0039402, MRR: 0.0114333, NDCG: 0.0077069, F1: 0.0049915, HIT_RATE: 0.0324447, ARHR: 0.0116269, RMSE: nan, NOVELTY: 0.0042808, AVERAGE_POPULARITY: 0.0494700, DIVERSITY_MEAN_INTER_LIST: 0.9974747, DIVERSITY_HERFINDAHL: 0.9995774, COVERAGE_ITEM: 0.7682617, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3437808, SHANNON_ENTROPY: 12.4706082, 
