SearchBayesianSkopt: New best config found. Config 0: {'topK': 999, 'shrink': 628, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 964, 'shrink': 639, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 694, 'shrink': 550, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 547, 'shrink': 949, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 13, 'shrink': 14, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.2318533, PRECISION: 0.0024249, PRECISION_RECALL_MIN_DEN: 0.0080830, RECALL: 0.0080830, MAP: 0.0025833, MRR: 0.0075888, NDCG: 0.0053756, F1: 0.0037306, HIT_RATE: 0.0242491, ARHR: 0.0076694, RMSE: nan, NOVELTY: 0.0043154, AVERAGE_POPULARITY: 0.0429799, DIVERSITY_MEAN_INTER_LIST: 0.9964551, DIVERSITY_HERFINDAHL: 0.9994100, COVERAGE_ITEM: 0.8085969, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3611382, SHANNON_ENTROPY: 12.5572504, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 18, 'shrink': 4, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.2329283, PRECISION: 0.0026274, PRECISION_RECALL_MIN_DEN: 0.0087580, RECALL: 0.0087580, MAP: 0.0028070, MRR: 0.0080931, NDCG: 0.0058124, F1: 0.0040421, HIT_RATE: 0.0262739, ARHR: 0.0082571, RMSE: nan, NOVELTY: 0.0043168, AVERAGE_POPULARITY: 0.0429660, DIVERSITY_MEAN_INTER_LIST: 0.9975433, DIVERSITY_HERFINDAHL: 0.9995887, COVERAGE_ITEM: 0.8028656, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3743473, SHANNON_ENTROPY: 12.6817809, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'shrink': 1000, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.2330277, PRECISION: 0.0023574, PRECISION_RECALL_MIN_DEN: 0.0078581, RECALL: 0.0078581, MAP: 0.0030640, MRR: 0.0088546, NDCG: 0.0058089, F1: 0.0036268, HIT_RATE: 0.0235742, ARHR: 0.0090234, RMSE: nan, NOVELTY: 0.0043939, AVERAGE_POPULARITY: 0.0400046, DIVERSITY_MEAN_INTER_LIST: 0.9844426, DIVERSITY_HERFINDAHL: 0.9974375, COVERAGE_ITEM: 0.7931333, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3073831, SHANNON_ENTROPY: 11.8338924, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 988, 'shrink': 7, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.2330277, PRECISION: 0.0023574, PRECISION_RECALL_MIN_DEN: 0.0078581, RECALL: 0.0078581, MAP: 0.0030640, MRR: 0.0088546, NDCG: 0.0058089, F1: 0.0036268, HIT_RATE: 0.0235742, ARHR: 0.0090234, RMSE: nan, NOVELTY: 0.0043939, AVERAGE_POPULARITY: 0.0400046, DIVERSITY_MEAN_INTER_LIST: 0.9844426, DIVERSITY_HERFINDAHL: 0.9974375, COVERAGE_ITEM: 0.7931333, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3073831, SHANNON_ENTROPY: 11.8338924, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 9, 'shrink': 7, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.2328995, PRECISION: 0.0024828, PRECISION_RECALL_MIN_DEN: 0.0082759, RECALL: 0.0082759, MAP: 0.0029715, MRR: 0.0085560, NDCG: 0.0058341, F1: 0.0038196, HIT_RATE: 0.0248277, ARHR: 0.0087353, RMSE: nan, NOVELTY: 0.0043397, AVERAGE_POPULARITY: 0.0425929, DIVERSITY_MEAN_INTER_LIST: 0.9939704, DIVERSITY_HERFINDAHL: 0.9990020, COVERAGE_ITEM: 0.8116248, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3406847, SHANNON_ENTROPY: 12.3324070, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.2330277, PRECISION: 0.0023574, PRECISION_RECALL_MIN_DEN: 0.0078581, RECALL: 0.0078581, MAP: 0.0030640, MRR: 0.0088546, NDCG: 0.0058089, F1: 0.0036268, HIT_RATE: 0.0235742, ARHR: 0.0090234, RMSE: nan, NOVELTY: 0.0043939, AVERAGE_POPULARITY: 0.0400046, DIVERSITY_MEAN_INTER_LIST: 0.9844426, DIVERSITY_HERFINDAHL: 0.9974375, COVERAGE_ITEM: 0.7931333, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3073831, SHANNON_ENTROPY: 11.8338924, 
