SearchBayesianSkopt: New best config found. Config 0: {'topK': 346, 'shrink': 1876, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0420387, PRECISION: 0.0073763, PRECISION_RECALL_MIN_DEN: 0.0245876, RECALL: 0.0245876, MAP: 0.0092158, MRR: 0.0262544, NDCG: 0.0177469, F1: 0.0113481, HIT_RATE: 0.0737629, ARHR: 0.0269475, RMSE: 0.9989705, NOVELTY: 0.0060775, AVERAGE_POPULARITY: 0.3044229, DIVERSITY_MEAN_INTER_LIST: 0.9832022, DIVERSITY_HERFINDAHL: 0.9983141, COVERAGE_ITEM: 0.6021087, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2007829, SHANNON_ENTROPY: 10.9337027, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 85, 'shrink': 1974, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0396564, PRECISION: 0.0068944, PRECISION_RECALL_MIN_DEN: 0.0229814, RECALL: 0.0229814, MAP: 0.0089280, MRR: 0.0253764, NDCG: 0.0169079, F1: 0.0106068, HIT_RATE: 0.0689442, ARHR: 0.0260771, RMSE: 0.9996959, NOVELTY: 0.0062959, AVERAGE_POPULARITY: 0.2526249, DIVERSITY_MEAN_INTER_LIST: 0.9868876, DIVERSITY_HERFINDAHL: 0.9986827, COVERAGE_ITEM: 0.6907272, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2535833, SHANNON_ENTROPY: 11.5555309, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 109, 'shrink': 1757, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0337496, PRECISION: 0.0058442, PRECISION_RECALL_MIN_DEN: 0.0194807, RECALL: 0.0194807, MAP: 0.0078378, MRR: 0.0222883, NDCG: 0.0146085, F1: 0.0089911, HIT_RATE: 0.0584420, ARHR: 0.0228908, RMSE: 0.9995858, NOVELTY: 0.0067510, AVERAGE_POPULARITY: 0.0885315, DIVERSITY_MEAN_INTER_LIST: 0.9966689, DIVERSITY_HERFINDAHL: 0.9996607, COVERAGE_ITEM: 0.7555015, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3485527, SHANNON_ENTROPY: 12.5341282, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 315, 'shrink': 1960, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0382997, PRECISION: 0.0063446, PRECISION_RECALL_MIN_DEN: 0.0211487, RECALL: 0.0211487, MAP: 0.0090436, MRR: 0.0257626, NDCG: 0.0164541, F1: 0.0097609, HIT_RATE: 0.0634460, ARHR: 0.0264429, RMSE: 0.9993415, NOVELTY: 0.0066221, AVERAGE_POPULARITY: 0.1127997, DIVERSITY_MEAN_INTER_LIST: 0.9960988, DIVERSITY_HERFINDAHL: 0.9996037, COVERAGE_ITEM: 0.7358746, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3200406, SHANNON_ENTROPY: 12.3510740, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 186, 'shrink': 1521, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0299274, PRECISION: 0.0051955, PRECISION_RECALL_MIN_DEN: 0.0173184, RECALL: 0.0173184, MAP: 0.0067917, MRR: 0.0194529, NDCG: 0.0128295, F1: 0.0079931, HIT_RATE: 0.0519553, ARHR: 0.0199101, RMSE: 0.9995321, NOVELTY: 0.0063447, AVERAGE_POPULARITY: 0.1398878, DIVERSITY_MEAN_INTER_LIST: 0.9961371, DIVERSITY_HERFINDAHL: 0.9996076, COVERAGE_ITEM: 0.7996756, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3062103, SHANNON_ENTROPY: 12.3741033, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 500, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0426724, PRECISION: 0.0076110, PRECISION_RECALL_MIN_DEN: 0.0253702, RECALL: 0.0253702, MAP: 0.0092265, MRR: 0.0262602, NDCG: 0.0180059, F1: 0.0117093, HIT_RATE: 0.0761105, ARHR: 0.0269668, RMSE: 0.9987266, NOVELTY: 0.0060419, AVERAGE_POPULARITY: 0.3113918, DIVERSITY_MEAN_INTER_LIST: 0.9821665, DIVERSITY_HERFINDAHL: 0.9982106, COVERAGE_ITEM: 0.5818329, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1910582, SHANNON_ENTROPY: 10.7924413, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 500, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0426724, PRECISION: 0.0076110, PRECISION_RECALL_MIN_DEN: 0.0253702, RECALL: 0.0253702, MAP: 0.0092265, MRR: 0.0262602, NDCG: 0.0180059, F1: 0.0117093, HIT_RATE: 0.0761105, ARHR: 0.0269668, RMSE: 0.9987266, NOVELTY: 0.0060419, AVERAGE_POPULARITY: 0.3113918, DIVERSITY_MEAN_INTER_LIST: 0.9821665, DIVERSITY_HERFINDAHL: 0.9982106, COVERAGE_ITEM: 0.5818329, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1910582, SHANNON_ENTROPY: 10.7924413, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 500, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0426724, PRECISION: 0.0076110, PRECISION_RECALL_MIN_DEN: 0.0253702, RECALL: 0.0253702, MAP: 0.0092265, MRR: 0.0262602, NDCG: 0.0180059, F1: 0.0117093, HIT_RATE: 0.0761105, ARHR: 0.0269668, RMSE: 0.9987266, NOVELTY: 0.0060419, AVERAGE_POPULARITY: 0.3113918, DIVERSITY_MEAN_INTER_LIST: 0.9821665, DIVERSITY_HERFINDAHL: 0.9982106, COVERAGE_ITEM: 0.5818329, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1910582, SHANNON_ENTROPY: 10.7924413, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 500, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0426724, PRECISION: 0.0076110, PRECISION_RECALL_MIN_DEN: 0.0253702, RECALL: 0.0253702, MAP: 0.0092265, MRR: 0.0262602, NDCG: 0.0180059, F1: 0.0117093, HIT_RATE: 0.0761105, ARHR: 0.0269668, RMSE: 0.9987266, NOVELTY: 0.0060419, AVERAGE_POPULARITY: 0.3113918, DIVERSITY_MEAN_INTER_LIST: 0.9821665, DIVERSITY_HERFINDAHL: 0.9982106, COVERAGE_ITEM: 0.5818329, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1910582, SHANNON_ENTROPY: 10.7924413, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 493, 'shrink': 1976, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0357472, PRECISION: 0.0063570, PRECISION_RECALL_MIN_DEN: 0.0211898, RECALL: 0.0211898, MAP: 0.0081467, MRR: 0.0229983, NDCG: 0.0154618, F1: 0.0097799, HIT_RATE: 0.0635695, ARHR: 0.0237109, RMSE: 0.9997473, NOVELTY: 0.0068471, AVERAGE_POPULARITY: 0.1048595, DIVERSITY_MEAN_INTER_LIST: 0.9952188, DIVERSITY_HERFINDAHL: 0.9995157, COVERAGE_ITEM: 0.6644499, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3033739, SHANNON_ENTROPY: 12.1097537, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0299690, PRECISION: 0.0053994, PRECISION_RECALL_MIN_DEN: 0.0179980, RECALL: 0.0179980, MAP: 0.0066506, MRR: 0.0188653, NDCG: 0.0128639, F1: 0.0083068, HIT_RATE: 0.0539939, ARHR: 0.0194041, RMSE: 0.9988606, NOVELTY: 0.0063935, AVERAGE_POPULARITY: 0.1928374, DIVERSITY_MEAN_INTER_LIST: 0.9940797, DIVERSITY_HERFINDAHL: 0.9994018, COVERAGE_ITEM: 0.7982157, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2767255, SHANNON_ENTROPY: 12.0835868, 
